datetime,open,high,low,close,volume
2007-11-08 12:00:00,7.2,7.2,6.0,7.15,1252
2007-11-08 16:00:00,7.15,7.395,7.1,7.15,1563
2007-11-09 08:00:00,7.15,8.41,7.15,8.41,463
2007-11-09 12:00:00,8.85,8.87,6.91,6.965,1664
2007-11-09 16:00:00,7.01,7.115,7.01,7.115,558
2007-11-12 08:00:00,7.5,7.5,6.68,6.68,465
2007-11-12 12:00:00,6.615,7.21,6.615,7.015,3946
2007-11-12 16:00:00,7.015,7.02,6.97,7.02,144
2007-11-13 08:00:00,7.0,7.0,6.94,6.94,5
2007-11-13 12:00:00,6.93,6.93,6.91,6.91,195
2007-11-13 16:00:00,6.91,6.91,6.85,6.85,44
2007-11-14 08:00:00,7.199,7.199,6.844,6.844,62
2007-11-14 12:00:00,6.854,6.854,6.804,6.804,87
2007-11-14 16:00:00,6.754,6.804,6.754,6.769,132
2007-11-15 08:00:00,6.89,6.89,6.89,6.89,4
2007-11-15 12:00:00,6.89,6.89,6.765,6.765,13
2007-11-15 16:00:00,6.87,6.87,6.765,6.765,55
2007-11-16 08:00:00,6.71,6.995,6.71,6.995,196
2007-11-16 12:00:00,6.995,6.995,6.75,6.75,56
2007-11-16 16:00:00,6.8,6.8,6.8,6.8,23
2007-11-19 08:00:00,6.8,6.8,6.8,6.8,101
2007-11-19 12:00:00,6.8,6.8,6.705,6.705,49
2007-11-20 08:00:00,6.7,6.7,6.352,6.692,65
2007-11-20 12:00:00,6.597,6.682,6.592,6.592,48
2007-11-20 16:00:00,6.592,6.592,6.412,6.412,302
2007-11-21 08:00:00,6.45,6.459,6.359,6.359,311
2007-11-21 12:00:00,6.359,6.359,6.284,6.329,59
2007-11-21 16:00:00,6.299,6.299,6.284,6.284,310
2007-11-22 08:00:00,6.299,7.095,6.299,7.095,495
2007-11-22 12:00:00,6.4,6.4,6.145,6.145,282
2007-11-22 16:00:00,6.145,6.145,6.145,6.145,60
2007-11-23 08:00:00,6.2,6.2,6.2,6.2,50
