datetime,open,high,low,close,volume
2006-02-08 12:00:00,0.55,0.55,0.55,0.55,867
2006-03-09 16:00:00,0.49,0.49,0.49,0.49,2
2006-03-10 08:00:00,0.3,0.64,0.3,0.64,110
2006-03-10 12:00:00,0.64,0.82,0.64,0.82,48
2006-03-13 08:00:00,1.0,1.8,0.8,1.8,81
2006-03-13 12:00:00,2.5,2.5,2.5,2.5,8
2006-03-13 16:00:00,2.0,2.5,2.0,2.5,33
2006-03-14 12:00:00,3.5,3.94,2.0,3.94,5
2006-03-14 16:00:00,2.5,3.0,2.38,3.0,13
2006-03-15 08:00:00,2.5,2.5,1.9,2.18,14
2006-03-15 12:00:00,2.0,2.44,1.0,2.08,81
2006-03-15 16:00:00,1.98,2.82,1.26,2.82,67
2006-03-16 08:00:00,3.0,3.0,1.8,1.8,272
2006-03-16 12:00:00,1.7,2.26,1.7,2.26,3
2006-03-16 16:00:00,1.4,1.5,1.34,1.4,24
2006-03-17 08:00:00,1.8,2.2,1.8,2.2,17
2006-03-17 12:00:00,2.5,2.5,1.58,1.58,195
2006-03-17 16:00:00,1.66,1.9,1.66,1.9,28
2006-03-20 08:00:00,2.0,2.0,2.0,2.0,1
2006-03-20 12:00:00,1.88,1.94,1.34,1.54,106
2006-03-20 16:00:00,1.54,1.76,1.54,1.76,4
2006-03-21 08:00:00,1.75,1.86,1.7,1.7,13
2006-03-21 12:00:00,1.7,1.7,1.38,1.64,294
2006-03-21 16:00:00,1.6,1.6,1.54,1.54,14
2006-03-22 12:00:00,1.52,1.52,1.51,1.51,5
2006-03-22 16:00:00,1.43,1.49,1.33,1.49,16
2006-03-23 12:00:00,1.38,1.38,1.21,1.25,116
2006-03-23 16:00:00,1.19,1.29,1.15,1.27,90
2006-03-24 08:00:00,1.18,1.2,1.04,1.04,395
2006-03-24 12:00:00,1.1,1.18,1.04,1.06,358
2006-03-24 16:00:00,1.06,1.1,1.06,1.1,190
2006-03-27 08:00:00,1.05,1.05,1.05,1.05,1
2006-03-27 12:00:00,1.05,1.05,1.05,1.05,31
2006-03-27 16:00:00,1.05,1.07,1.03,1.03,100
2006-03-28 08:00:00,1.02,1.02,1.0,1.0,7
2006-03-28 12:00:00,1.0,1.0,1.0,1.0,555
2006-03-28 16:00:00,1.02,1.24,1.02,1.12,151
2006-03-29 08:00:00,1.12,1.15,1.12,1.15,2
2006-03-29 12:00:00,1.15,1.15,1.13,1.13,61
2006-03-29 16:00:00,1.11,1.11,1.03,1.03,67
2006-03-30 08:00:00,1.0,1.22,0.32,1.22,55
2006-03-30 12:00:00,0.94,1.24,0.94,1.24,3
2006-03-30 16:00:00,0.98,1.04,0.96,1.0,12
2006-03-31 12:00:00,1.02,1.04,1.02,1.04,2
2006-03-31 16:00:00,1.06,1.18,1.02,1.14,240
2006-04-03 08:00:00,1.16,1.18,1.16,1.18,59
2006-04-03 12:00:00,1.18,1.18,1.18,1.18,43
2006-04-03 16:00:00,1.16,1.18,1.08,1.18,394
2006-04-04 08:00:00,1.05,1.05,1.05,1.05,1
2006-04-04 12:00:00,1.07,1.07,1.07,1.07,2
2006-04-04 16:00:00,1.13,1.19,1.13,1.19,12
2006-04-05 16:00:00,1.14,1.14,1.14,1.14,3
2006-04-06 12:00:00,1.12,1.18,1.12,1.16,5
2006-04-06 16:00:00,1.16,1.16,1.06,1.06,22
2006-04-07 12:00:00,1.12,1.12,1.1,1.1,11
2006-04-10 12:00:00,1.07,1.07,1.07,1.07,1
2006-04-10 16:00:00,1.07,1.13,1.05,1.13,1879
2006-04-11 12:00:00,1.1,1.1,1.04,1.04,105
2006-04-11 16:00:00,1.08,1.08,1.08,1.08,1
2006-04-12 08:00:00,1.12,1.12,1.12,1.12,1
2006-04-12 12:00:00,1.1,1.1,1.1,1.1,1
2006-04-12 16:00:00,1.1,1.1,1.1,1.1,1
2006-04-13 16:00:00,1.12,1.14,1.12,1.14,57
2006-04-14 08:00:00,1.1,1.1,1.1,1.1,5
2006-04-14 12:00:00,1.1,1.12,1.06,1.08,580
2006-04-14 16:00:00,1.06,1.08,1.06,1.08,321
2006-04-17 08:00:00,1.0,1.0,1.0,1.0,600
2006-04-17 12:00:00,1.0,1.0,1.0,1.0,1
2006-04-17 16:00:00,1.0,1.0,1.0,1.0,399
2006-04-20 12:00:00,1.0,1.0,0.96,0.96,159
2006-04-20 16:00:00,0.96,0.96,0.96,0.96,1
2006-04-21 12:00:00,0.95,0.95,0.95,0.95,84
2006-04-24 12:00:00,0.99,1.0,0.96,0.96,7
2006-04-24 16:00:00,1.0,1.0,1.0,1.0,2
2006-04-26 12:00:00,0.98,0.98,0.94,0.96,614
2006-04-26 16:00:00,0.96,1.0,0.94,1.0,258
2006-04-27 16:00:00,0.85,0.85,0.8,0.8,370
2006-04-28 08:00:00,0.83,0.94,0.82,0.94,66
2006-04-28 12:00:00,0.82,0.82,0.8,0.8,35
2006-04-28 16:00:00,0.9,0.9,0.9,0.9,44
2006-05-03 12:00:00,0.89,0.89,0.85,0.85,21
2006-05-03 16:00:00,0.83,0.83,0.81,0.81,20
2006-05-06 12:00:00,0.7,0.78,0.7,0.72,21
2006-05-06 16:00:00,0.82,0.82,0.82,0.82,1
2006-05-11 12:00:00,0.8,0.8,0.8,0.8,1
2006-05-12 12:00:00,0.56,0.56,0.56,0.56,3
2006-05-12 16:00:00,0.88,0.88,0.64,0.64,19
2006-05-16 12:00:00,0.9,0.9,0.9,0.9,20
2006-05-16 16:00:00,0.9,0.9,0.9,0.9,1
2006-05-17 08:00:00,0.88,0.88,0.86,0.88,12
2006-05-18 08:00:00,0.87,0.87,0.87,0.87,9
2006-05-18 12:00:00,0.87,0.87,0.87,0.87,2
2006-05-18 16:00:00,0.85,0.85,0.85,0.85,1
2006-05-19 12:00:00,0.83,0.83,0.83,0.83,1
2006-05-23 12:00:00,0.75,0.75,0.57,0.65,10
2006-05-23 16:00:00,0.63,0.63,0.63,0.63,70
2006-05-24 16:00:00,0.62,0.62,0.62,0.62,1902
2006-05-25 12:00:00,0.65,0.65,0.65,0.65,1
2006-05-26 16:00:00,0.7,0.7,0.7,0.7,1
2006-05-31 12:00:00,0.69,0.69,0.69,0.69,1
2006-06-01 16:00:00,0.64,0.64,0.64,0.64,3
2006-06-06 12:00:00,0.57,0.57,0.57,0.57,5
2006-06-07 16:00:00,0.6,0.6,0.6,0.6,17
2006-06-15 12:00:00,0.61,0.61,0.61,0.61,20
2006-06-15 16:00:00,0.61,0.61,0.61,0.61,21
2006-06-16 16:00:00,0.6,0.6,0.6,0.6,1
2006-06-19 16:00:00,0.69,0.69,0.69,0.69,91
2006-06-20 08:00:00,0.6,0.6,0.6,0.6,12
2006-06-21 16:00:00,0.61,0.61,0.61,0.61,1
2006-07-03 12:00:00,0.64,0.64,0.64,0.64,2
2006-07-04 12:00:00,0.5,0.52,0.5,0.52,14
2006-07-04 16:00:00,0.5,0.5,0.5,0.5,11
2006-07-05 12:00:00,0.67,0.67,0.67,0.67,20
2006-07-05 16:00:00,0.69,0.69,0.69,0.69,6
2006-07-07 16:00:00,0.68,0.68,0.68,0.68,577
2006-07-11 16:00:00,0.68,0.68,0.68,0.68,100
