datetime,open,high,low,close,volume
2000-08-18 16:00:00,0.29,0.29,0.29,0.29,15
2000-08-21 16:00:00,0.25,0.25,0.25,0.25,0
2000-09-01 08:00:00,0.29,0.29,0.29,0.29,4
2000-09-01 12:00:00,0.27,0.27,0.27,0.27,5
2000-09-01 16:00:00,0.28,0.28,0.27,0.27,15
2000-09-05 12:00:00,0.29,0.29,0.27,0.27,5
2000-09-06 16:00:00,0.26,0.26,0.26,0.26,5
2000-09-25 12:00:00,0.23,0.23,0.23,0.23,0
2000-09-29 12:00:00,0.23,0.24,0.23,0.24,0
2000-10-02 12:00:00,0.25,0.25,0.25,0.25,0
2000-10-10 12:00:00,0.25,0.25,0.25,0.25,3
2000-11-09 12:00:00,0.26,0.26,0.26,0.26,2
2000-11-09 16:00:00,0.27,0.27,0.26,0.26,0
2001-01-25 16:00:00,0.25,0.26,0.25,0.26,27
2001-01-31 16:00:00,0.27,0.28,0.27,0.28,0
2001-02-09 12:00:00,0.28,0.28,0.28,0.28,0
2001-02-09 16:00:00,0.28,0.28,0.28,0.28,0
2001-02-12 12:00:00,0.3,0.3,0.29,0.29,2
2001-02-12 16:00:00,0.3,0.3,0.3,0.3,0
2001-02-13 12:00:00,0.3,0.3,0.28,0.28,2
2001-02-13 16:00:00,0.29,0.29,0.29,0.29,19
2001-02-14 12:00:00,0.27,0.27,0.27,0.27,30
2001-02-14 16:00:00,0.29,0.29,0.29,0.29,10
2001-02-15 12:00:00,0.3,0.3,0.3,0.3,10
2001-02-15 16:00:00,0.3,0.31,0.3,0.31,41
2001-02-16 12:00:00,0.3,0.3,0.27,0.27,0
2001-03-02 12:00:00,0.3,0.3,0.3,0.3,10
2001-03-02 16:00:00,0.3,0.3,0.3,0.3,30
2001-03-05 16:00:00,0.31,0.31,0.31,0.31,0
2001-03-07 12:00:00,0.3,0.31,0.3,0.31,9
2001-03-13 16:00:00,0.32,0.33,0.32,0.32,15
2001-03-14 12:00:00,0.32,0.32,0.32,0.32,3
2001-03-14 16:00:00,0.32,0.32,0.32,0.32,0
2001-03-15 12:00:00,0.32,0.33,0.32,0.33,43
2001-03-15 16:00:00,0.33,0.33,0.33,0.33,1
2001-03-16 16:00:00,0.32,0.32,0.32,0.32,10
2001-03-27 12:00:00,0.37,0.37,0.32,0.33,600
2001-03-29 12:00:00,0.34,0.34,0.34,0.34,252
2001-03-30 08:00:00,0.36,0.36,0.36,0.36,10
2001-04-04 12:00:00,0.32,0.32,0.32,0.32,62
2001-04-04 16:00:00,0.32,0.32,0.32,0.32,5
2001-04-06 12:00:00,0.32,0.32,0.32,0.32,6
2001-04-06 16:00:00,0.32,0.32,0.32,0.32,10
2001-04-09 12:00:00,0.32,0.32,0.32,0.32,5
2001-04-09 16:00:00,0.32,0.32,0.32,0.32,15
2001-04-11 12:00:00,0.33,0.33,0.33,0.33,14
2001-04-13 12:00:00,0.33,0.33,0.33,0.33,32
2001-04-16 16:00:00,0.33,0.33,0.33,0.33,1
2001-04-20 16:00:00,0.33,0.33,0.33,0.33,1
2001-04-27 08:00:00,0.33,0.33,0.33,0.33,22
2001-05-08 12:00:00,0.34,0.34,0.34,0.34,7
2001-05-08 16:00:00,0.34,0.34,0.34,0.34,10
2001-05-17 16:00:00,0.33,0.33,0.33,0.33,10
2001-06-08 16:00:00,0.35,0.35,0.35,0.35,14
2001-06-22 12:00:00,0.33,0.37,0.33,0.37,3
2001-06-27 16:00:00,0.45,0.47,0.45,0.47,14
2001-07-11 08:00:00,0.4,0.4,0.4,0.4,10
2001-07-18 12:00:00,0.38,0.38,0.38,0.38,50
2001-09-03 16:00:00,0.36,0.36,0.36,0.36,3
2001-09-11 12:00:00,0.38,0.38,0.38,0.38,4
2001-09-12 08:00:00,0.34,0.34,0.34,0.34,10
2001-09-25 12:00:00,0.33,0.33,0.33,0.33,3
2001-10-02 16:00:00,0.36,0.36,0.36,0.36,1
2001-10-12 12:00:00,0.39,0.39,0.39,0.39,1
2001-10-30 12:00:00,0.39,0.39,0.39,0.39,11
2001-10-30 16:00:00,0.39,0.39,0.39,0.39,13
2001-11-08 12:00:00,0.4,0.4,0.4,0.4,0
2001-11-15 12:00:00,0.41,0.41,0.41,0.41,6
2001-11-20 12:00:00,0.41,0.41,0.41,0.41,0
2001-11-30 12:00:00,0.48,0.48,0.48,0.48,0
2001-12-14 12:00:00,0.42,0.43,0.42,0.43,0
2001-12-24 12:00:00,0.43,0.43,0.43,0.43,4
2001-12-26 12:00:00,0.46,0.46,0.46,0.46,3
2002-01-04 08:00:00,0.6,0.6,0.6,0.6,0
2002-01-09 16:00:00,0.56,0.56,0.56,0.56,0
2002-01-10 12:00:00,0.55,0.55,0.525,0.525,0
2002-01-11 16:00:00,0.5,0.528,0.5,0.528,9
2002-01-14 16:00:00,0.52,0.52,0.47,0.47,1
2002-01-15 12:00:00,0.54,0.55,0.54,0.55,0
2002-01-15 16:00:00,0.57,0.6,0.57,0.6,0
2002-01-16 12:00:00,0.6,0.655,0.55,0.55,8
2002-01-16 16:00:00,0.55,0.58,0.55,0.58,10
2002-01-17 16:00:00,0.625,0.659,0.624,0.659,10
2002-01-18 12:00:00,0.68,0.717,0.68,0.717,0
2002-01-18 16:00:00,0.61,0.61,0.61,0.61,1
2002-01-23 16:00:00,0.734,0.75,0.65,0.65,0
2002-01-24 12:00:00,0.78,0.78,0.31,0.6,0
2002-01-24 16:00:00,0.777,0.778,0.6,0.6,0
2002-01-25 08:00:00,0.88,0.88,0.52,0.52,0
2002-02-01 12:00:00,0.8,0.8,0.8,0.8,0
2002-02-06 12:00:00,0.5,0.5,0.5,0.5,0
2002-02-11 12:00:00,0.65,0.65,0.65,0.65,0
2002-02-20 12:00:00,0.55,0.55,0.55,0.55,0
2002-02-21 08:00:00,0.64,0.64,0.64,0.64,0
2002-02-21 12:00:00,0.3,0.3,0.3,0.3,0
2002-02-27 08:00:00,0.56,0.56,0.56,0.56,0
2002-02-27 12:00:00,0.67,0.67,0.67,0.67,0
2002-02-28 08:00:00,0.5,0.5,0.5,0.5,0
2002-02-28 12:00:00,0.4,0.4,0.309,0.309,248
2002-03-04 08:00:00,0.37,0.44,0.37,0.44,0
2002-03-04 12:00:00,0.44,0.455,0.44,0.455,0
2002-03-04 16:00:00,0.455,0.455,0.455,0.455,0
2002-03-06 12:00:00,0.46,0.46,0.46,0.46,5
2002-03-07 08:00:00,0.55,0.55,0.55,0.55,0
2002-03-11 12:00:00,0.6,0.66,0.6,0.66,2
2002-03-15 12:00:00,0.65,0.65,0.59,0.59,2
2002-03-18 12:00:00,0.69,0.69,0.69,0.69,0
2002-03-26 12:00:00,0.59,0.59,0.48,0.58,71
2002-03-27 08:00:00,0.48,0.79,0.48,0.79,0
2002-03-27 12:00:00,0.51,0.67,0.48,0.5,480
2002-03-28 08:00:00,0.59,0.7,0.54,0.54,399
2002-03-28 12:00:00,0.64,0.64,0.54,0.54,300
2002-03-28 16:00:00,0.53,0.53,0.53,0.53,1
2002-03-29 12:00:00,0.64,0.64,0.64,0.64,0
2002-04-03 16:00:00,0.64,0.64,0.64,0.64,0
2002-04-05 08:00:00,0.64,0.64,0.64,0.64,0
2002-04-05 12:00:00,0.64,0.64,0.48,0.48,0
2002-04-05 16:00:00,0.6,0.6,0.6,0.6,0
2002-04-08 16:00:00,0.6,0.6,0.6,0.6,0
2002-04-10 12:00:00,0.65,0.66,0.65,0.66,8
2002-04-10 16:00:00,0.65,0.65,0.65,0.65,0
2002-04-24 12:00:00,0.521,0.521,0.521,0.521,1
2002-04-25 16:00:00,0.691,0.691,0.691,0.691,0
2002-05-06 08:00:00,0.57,0.57,0.57,0.57,0
2002-05-08 12:00:00,0.57,0.57,0.57,0.57,0
2002-05-17 16:00:00,0.521,0.521,0.521,0.521,0
2002-05-18 08:00:00,0.63,0.64,0.63,0.64,8
2002-05-20 12:00:00,0.639,0.64,0.639,0.64,54
2002-05-21 12:00:00,0.6,0.635,0.522,0.635,112
2002-05-24 12:00:00,0.6,0.6,0.6,0.6,10
2002-05-24 16:00:00,0.58,0.58,0.58,0.58,10
2002-06-07 16:00:00,0.57,0.57,0.57,0.57,8
2002-06-13 12:00:00,0.56,0.56,0.54,0.54,4
2002-06-13 16:00:00,0.55,0.56,0.546,0.546,11
2002-06-14 08:00:00,0.55,0.55,0.55,0.55,5
2002-06-14 16:00:00,0.54,0.54,0.54,0.54,6
2002-06-19 08:00:00,0.525,0.525,0.521,0.521,8
2002-06-19 16:00:00,0.55,0.55,0.51,0.51,2
2002-06-20 16:00:00,0.53,0.53,0.52,0.52,16
2002-06-21 16:00:00,0.53,0.53,0.53,0.53,15
2002-06-27 08:00:00,0.4,0.48,0.4,0.48,9
2002-06-28 12:00:00,0.46,0.46,0.46,0.46,0
2002-07-04 12:00:00,0.55,0.55,0.55,0.55,2
2002-07-05 12:00:00,0.54,0.54,0.54,0.54,8
2002-07-05 16:00:00,0.54,0.54,0.54,0.54,6
2002-07-08 16:00:00,0.55,0.55,0.52,0.52,18
2002-07-09 12:00:00,0.52,0.52,0.52,0.52,11
2002-07-10 16:00:00,0.53,0.53,0.53,0.53,10
2002-07-12 16:00:00,0.54,0.55,0.539,0.55,43
2002-07-17 16:00:00,0.53,0.54,0.525,0.525,15
2002-07-19 12:00:00,0.525,0.525,0.52,0.52,15
2002-07-19 16:00:00,0.545,0.545,0.545,0.545,5
2002-07-31 16:00:00,0.5,0.5,0.5,0.5,1
2002-08-08 08:00:00,0.54,0.54,0.54,0.54,0
2002-08-14 16:00:00,0.55,0.55,0.55,0.55,0
2002-08-15 08:00:00,0.6,0.6,0.6,0.6,0
2002-08-20 16:00:00,0.5,0.5,0.5,0.5,3
2002-08-21 16:00:00,0.5,0.5,0.5,0.5,5
2002-08-23 08:00:00,0.5,0.5,0.5,0.5,6
2002-08-26 12:00:00,0.5,0.5,0.5,0.5,10
2002-08-27 08:00:00,0.5,0.5,0.5,0.5,4
2002-08-29 16:00:00,0.51,0.51,0.5,0.5,10
2002-08-30 16:00:00,0.5,0.5,0.5,0.5,0
2002-09-05 16:00:00,0.55,0.55,0.55,0.55,0
2002-09-06 08:00:00,0.55,0.55,0.55,0.55,0
2002-09-06 12:00:00,0.32,0.32,0.32,0.32,0
2002-09-09 12:00:00,0.5,0.5,0.5,0.5,8
2002-09-10 08:00:00,0.5,0.5,0.5,0.5,5
2002-09-10 16:00:00,0.52,0.52,0.52,0.52,0
2002-09-12 12:00:00,0.53,0.55,0.53,0.55,12
2002-09-12 16:00:00,0.55,0.555,0.54,0.54,10
2002-09-13 12:00:00,0.55,0.59,0.549,0.55,20
2002-09-13 16:00:00,0.55,0.55,0.55,0.55,0
2002-09-16 12:00:00,0.58,0.58,0.54,0.54,0
2002-09-16 16:00:00,0.52,0.54,0.52,0.54,5
2002-09-17 12:00:00,0.57,0.57,0.57,0.57,0
2002-09-17 16:00:00,0.57,0.57,0.57,0.57,9
2002-09-18 12:00:00,0.54,0.54,0.54,0.54,10
2002-09-18 16:00:00,0.57,0.585,0.57,0.585,17
2002-09-19 08:00:00,0.6,0.64,0.6,0.64,15
2002-09-19 12:00:00,0.605,0.605,0.58,0.58,25
2002-09-19 16:00:00,0.58,0.58,0.58,0.58,0
2002-09-20 12:00:00,0.58,0.58,0.58,0.58,0
2002-09-20 16:00:00,0.58,0.58,0.58,0.58,0
2002-09-24 12:00:00,0.59,0.59,0.59,0.59,0
2002-09-24 16:00:00,0.59,0.6,0.59,0.6,59
2002-09-25 08:00:00,0.6,0.6,0.6,0.6,9
2002-09-27 12:00:00,0.6,0.6,0.6,0.6,1
2002-09-30 08:00:00,0.6,0.6,0.6,0.6,10
2002-09-30 12:00:00,0.61,0.61,0.61,0.61,0
2002-10-03 12:00:00,0.62,0.62,0.62,0.62,10
2002-10-07 16:00:00,0.619,0.63,0.619,0.63,29
2002-10-08 08:00:00,0.649,0.65,0.649,0.65,17
2002-10-08 12:00:00,0.65,0.65,0.65,0.65,2
2002-10-08 16:00:00,0.64,0.65,0.64,0.64,9
2002-10-10 12:00:00,0.64,0.65,0.63,0.63,6
2002-10-10 16:00:00,0.62,0.62,0.62,0.62,0
2002-10-11 08:00:00,0.65,0.65,0.65,0.65,0
2002-10-11 12:00:00,0.65,0.665,0.65,0.665,2
2002-10-11 16:00:00,0.66,0.66,0.65,0.65,2
2002-10-14 08:00:00,0.7,0.7,0.7,0.7,0
2002-10-14 12:00:00,0.65,0.65,0.65,0.65,0
2002-10-14 16:00:00,0.64,0.649,0.64,0.649,1
2002-10-15 08:00:00,0.65,0.65,0.65,0.65,0
2002-10-16 08:00:00,0.63,0.649,0.63,0.63,0
2002-10-16 12:00:00,0.64,0.64,0.64,0.64,0
2002-10-16 16:00:00,0.63,0.65,0.62,0.65,12
2002-10-17 08:00:00,0.649,0.649,0.649,0.649,0
2002-10-17 12:00:00,0.657,0.659,0.6,0.64,8
2002-10-17 16:00:00,0.66,0.67,0.66,0.67,0
2002-10-18 08:00:00,0.68,0.68,0.68,0.68,0
2002-10-18 12:00:00,0.62,0.62,0.62,0.62,0
2002-10-18 16:00:00,0.62,0.62,0.62,0.62,5
2002-10-21 12:00:00,0.63,0.63,0.61,0.61,8
2002-10-22 08:00:00,0.65,0.65,0.65,0.65,0
2002-10-22 12:00:00,0.616,0.616,0.615,0.615,5
2002-10-22 16:00:00,0.645,0.645,0.62,0.62,8
2002-10-23 08:00:00,0.625,0.625,0.625,0.625,3
2002-10-23 16:00:00,0.64,0.64,0.64,0.64,0
2002-10-25 12:00:00,0.615,0.67,0.615,0.66,72
2002-10-25 16:00:00,0.64,0.65,0.64,0.65,24
2002-10-29 16:00:00,0.65,0.68,0.65,0.68,12
2002-10-30 16:00:00,0.66,0.66,0.66,0.66,9
2002-10-31 08:00:00,0.67,0.67,0.67,0.67,20
2002-10-31 12:00:00,0.675,0.7,0.675,0.68,19
2002-10-31 16:00:00,0.68,0.68,0.675,0.675,4
2002-11-01 16:00:00,0.675,0.675,0.675,0.675,1
2002-11-04 08:00:00,0.69,0.69,0.69,0.69,0
2002-11-05 12:00:00,0.66,0.68,0.658,0.68,3
2002-11-05 16:00:00,0.67,0.68,0.645,0.68,6
2002-11-06 12:00:00,0.66,0.68,0.6,0.659,8
2002-11-10 12:00:00,0.64,0.7,0.64,0.7,5
2002-11-11 12:00:00,0.635,0.66,0.63,0.63,10
2002-11-11 16:00:00,0.65,0.65,0.65,0.65,0
2002-11-13 08:00:00,0.68,0.68,0.638,0.64,19
2002-11-13 12:00:00,0.64,0.65,0.64,0.65,0
2002-11-13 16:00:00,0.63,0.63,0.63,0.63,7
2002-11-14 08:00:00,0.6,0.68,0.59,0.68,135
2002-11-14 12:00:00,0.65,0.65,0.65,0.65,2
