datetime,open,high,low,close,volume
1999-06-02 12:00:00,0.15,0.15,0.15,0.15,5
1999-06-07 12:00:00,0.13,0.13,0.13,0.13,5
1999-06-07 16:00:00,0.11,0.11,0.11,0.11,5
1999-06-18 16:00:00,0.17,0.17,0.17,0.17,1
1999-12-28 12:00:00,2.0,2.0,2.0,2.0,0
2000-01-10 12:00:00,0.1,0.1,0.1,0.1,0
2000-01-26 16:00:00,0.18,0.18,0.18,0.18,10
2000-02-01 08:00:00,0.18,0.18,0.18,0.18,110
2000-02-08 12:00:00,0.2,0.2,0.2,0.2,4
2000-02-09 12:00:00,0.2,0.2,0.2,0.2,2
2000-02-09 16:00:00,0.18,0.18,0.18,0.18,13
2000-02-11 12:00:00,0.18,0.22,0.18,0.22,2
2000-02-14 12:00:00,0.19,0.19,0.19,0.19,2
2000-02-17 16:00:00,0.2,0.23,0.2,0.23,14
2000-02-18 08:00:00,0.28,0.28,0.28,0.28,14
2000-02-22 16:00:00,0.19,0.19,0.19,0.19,2
2000-02-28 12:00:00,0.19,0.19,0.19,0.19,0
2000-03-02 12:00:00,0.2,0.2,0.2,0.2,4
2000-03-03 12:00:00,0.19,0.19,0.18,0.18,3
2000-03-03 16:00:00,0.19,0.19,0.19,0.19,4
2000-03-06 12:00:00,0.19,0.19,0.19,0.19,75
2000-03-07 12:00:00,0.19,0.19,0.19,0.19,0
2000-03-09 12:00:00,0.2,0.2,0.2,0.2,122
2000-03-09 16:00:00,0.2,0.2,0.2,0.2,10
2000-03-10 08:00:00,0.27,0.27,0.22,0.22,107
2000-03-10 16:00:00,0.22,0.22,0.22,0.22,10
2000-03-13 08:00:00,0.22,0.22,0.22,0.22,10
2000-03-13 16:00:00,0.22,0.22,0.22,0.22,0
2000-03-17 16:00:00,0.21,0.21,0.21,0.21,6
2000-03-21 12:00:00,0.2,0.21,0.2,0.21,70
2000-03-21 16:00:00,0.2,0.21,0.2,0.21,3
2000-03-22 12:00:00,0.2,0.2,0.2,0.2,10
2000-03-22 16:00:00,0.2,0.2,0.2,0.2,0
2000-03-23 12:00:00,0.22,0.24,0.22,0.24,40
2000-03-23 16:00:00,0.22,0.22,0.22,0.22,0
2000-03-24 12:00:00,0.23,0.23,0.23,0.23,3
2000-03-24 16:00:00,0.23,0.23,0.22,0.22,51
2000-03-27 12:00:00,0.23,0.26,0.21,0.26,6
2000-03-28 16:00:00,0.23,0.24,0.23,0.24,1
2000-03-29 12:00:00,0.25,0.27,0.23,0.23,12
2000-03-30 16:00:00,0.22,0.22,0.22,0.22,5
2000-03-31 16:00:00,0.24,0.24,0.24,0.24,52
2000-04-03 12:00:00,0.23,0.23,0.2,0.2,30
2000-04-03 16:00:00,0.25,0.25,0.25,0.25,5
2000-04-04 12:00:00,0.24,0.24,0.24,0.24,2
