datetime,open,high,low,close,volume
2006-07-28 12:00:00,4.0,4.0,4.0,4.0,7
2006-07-31 12:00:00,3.0,3.0,3.0,3.0,5
2006-08-01 12:00:00,5.0,5.0,5.0,5.0,15
2006-12-06 12:00:00,6.0,6.0,6.0,6.0,5
2006-12-13 12:00:00,8.0,8.0,8.0,8.0,150
2006-12-13 16:00:00,8.0,8.0,8.0,8.0,123
2006-12-27 16:00:00,6.1,6.1,6.1,6.1,25
2006-12-28 12:00:00,6.0,7.8,6.0,6.8,204
2007-01-18 08:00:00,8.0,8.0,8.0,8.0,1
2007-02-15 12:00:00,10.0,10.0,5.8,5.8,229
2007-02-15 16:00:00,9.2,9.2,5.8,5.8,20
2007-02-19 16:00:00,8.1,8.1,8.1,8.1,16
2007-02-20 12:00:00,7.5,14.9,7.5,14.9,7
2007-02-21 08:00:00,7.0,8.4,7.0,8.4,14
2007-02-21 12:00:00,8.4,9.0,8.4,8.8,40
2007-02-21 16:00:00,8.8,8.8,8.8,8.8,4
2007-02-22 16:00:00,9.5,9.9,9.5,9.9,8
2007-02-26 12:00:00,9.8,10.0,9.8,10.0,20
2007-03-09 12:00:00,7.5,7.5,7.5,7.5,1
2007-03-09 16:00:00,7.1,7.3,7.1,7.3,3
2007-03-12 16:00:00,7.0,7.2,7.0,7.0,8
2007-03-13 12:00:00,20.0,20.0,10.0,10.0,2
2007-03-13 16:00:00,11.0,11.0,11.0,11.0,3
2007-03-14 16:00:00,8.0,8.0,7.0,7.0,5
2007-03-16 08:00:00,8.0,9.0,8.0,9.0,12
2007-03-19 16:00:00,8.1,8.1,8.1,8.1,1
2007-03-23 08:00:00,9.0,9.0,9.0,9.0,1
2007-03-28 16:00:00,8.0,8.0,8.0,8.0,1
2007-03-29 12:00:00,8.5,8.7,8.5,8.7,20
2007-03-30 12:00:00,8.5,8.5,7.9,7.9,3
2007-03-30 16:00:00,8.1,8.1,8.1,8.1,12
2007-04-02 12:00:00,8.0,8.0,8.0,8.0,2
2007-04-03 08:00:00,8.0,8.0,8.0,8.0,5
2007-04-04 12:00:00,7.3,7.3,7.2,7.2,16
2007-04-04 16:00:00,7.2,7.2,7.2,7.2,3
2007-04-05 08:00:00,7.2,7.2,7.2,7.2,20
2007-04-06 12:00:00,7.2,7.2,7.2,7.2,402
2007-04-13 16:00:00,7.0,7.0,7.0,7.0,1
2007-04-17 16:00:00,7.0,7.0,7.0,7.0,1
2007-04-20 12:00:00,6.8,6.8,6.8,6.8,64
2007-04-26 08:00:00,6.8,6.8,6.8,6.8,189
2007-04-26 12:00:00,6.8,6.8,6.8,6.8,5
2007-04-26 16:00:00,6.8,6.8,6.6,6.6,86
2007-04-27 16:00:00,7.3,7.3,7.3,7.3,2
2007-04-28 08:00:00,7.0,7.4,7.0,7.4,70
2007-04-28 12:00:00,7.0,7.0,7.0,7.0,65
2007-04-28 16:00:00,7.0,7.0,7.0,7.0,13
2007-05-07 12:00:00,8.0,8.0,8.0,8.0,1
2007-05-07 16:00:00,7.6,8.0,7.6,8.0,9
2007-05-08 12:00:00,7.0,8.0,7.0,8.0,2
2007-05-10 16:00:00,6.8,6.8,6.8,6.8,7
2007-05-15 12:00:00,7.5,7.5,7.5,7.5,1
2007-05-18 08:00:00,8.0,8.0,8.0,8.0,21
2007-05-23 12:00:00,7.5,7.5,7.5,7.5,11
2007-05-25 12:00:00,6.5,6.5,6.5,6.5,3
2007-05-25 16:00:00,6.5,6.5,6.5,6.5,9
2007-06-05 12:00:00,7.4,7.4,7.0,7.0,2
2007-06-18 12:00:00,6.8,6.8,6.8,6.8,115
2007-06-18 16:00:00,6.8,6.8,6.8,6.8,3
2007-06-20 16:00:00,7.0,7.0,7.0,7.0,1
2007-06-28 12:00:00,6.0,6.6,5.6,6.6,111
2007-07-02 08:00:00,5.5,5.6,5.0,5.6,160
2007-07-02 12:00:00,6.0,6.2,5.6,6.2,112
2007-07-02 16:00:00,6.0,6.2,6.0,6.2,5
