datetime,open,high,low,close,volume
2023-10-16 10:00:00,540.0,651.7,521.2,567.2,2911304
2023-10-16 10:10:00,567.2,577.5,551.8,556.45,624896
2023-10-16 10:40:00,550.0,555.0,512.8,514.4,1105877
2023-10-16 10:50:00,513.8,525.0,502.0,504.3,1067713
2023-10-16 11:00:00,504.3,521.15,503.75,517.1,713597
2023-10-16 11:10:00,517.1,529.5,515.25,527.6,480670
2023-10-16 11:20:00,527.65,545.0,526.5,544.0,618574
2023-10-16 11:30:00,544.0,544.2,520.2,522.75,534479
2023-10-16 11:40:00,522.6,528.5,515.2,517.25,363944
2023-10-16 11:50:00,517.4,525.0,515.7,523.0,166560
2023-10-16 12:00:00,523.0,533.5,522.0,527.3,255268
2023-10-16 12:10:00,527.25,531.5,524.0,524.1,115935
2023-10-16 12:20:00,524.05,532.0,524.0,531.7,115974
2023-10-16 12:30:00,531.6,537.0,530.5,536.85,178837
2023-10-16 12:40:00,536.55,541.65,531.7,535.65,264369
2023-10-16 12:50:00,535.7,539.05,531.0,537.05,121015
2023-10-16 13:00:00,537.0,548.3,537.0,547.7,400739
2023-10-16 13:10:00,547.7,548.5,541.8,546.05,264672
2023-10-16 13:20:00,546.05,552.4,546.0,552.3,252470
2023-10-16 13:30:00,552.25,593.0,552.25,582.65,1070071
2023-10-16 13:40:00,582.45,592.5,565.0,581.05,838581
2023-10-16 13:50:00,581.5,586.0,573.15,583.0,425918
2023-10-16 14:00:00,583.05,586.0,575.0,578.3,362119
2023-10-16 14:10:00,577.85,584.0,577.0,581.65,274882
2023-10-16 14:20:00,581.8,589.0,581.1,586.0,360445
2023-10-16 14:30:00,586.0,595.0,585.5,590.2,733955
2023-10-16 14:40:00,590.15,595.0,582.5,585.8,452288
2023-10-16 14:50:00,585.6,590.0,585.3,589.75,172649
2023-10-16 15:00:00,589.75,590.0,575.1,580.0,371572
2023-10-16 15:10:00,579.75,584.0,578.0,579.9,160406
2023-10-16 15:20:00,579.9,579.9,568.5,569.95,333766
2023-10-16 15:30:00,569.95,578.0,566.0,575.85,278804
2023-10-16 15:40:00,576.5,580.0,573.05,575.95,192493
2023-10-16 15:50:00,575.95,576.35,562.0,564.9,236615
2023-10-16 16:00:00,564.95,572.0,556.3,559.6,274172
2023-10-16 16:10:00,559.5,562.25,552.0,554.7,281391
2023-10-16 16:20:00,554.7,566.0,554.15,562.4,196545
2023-10-16 16:30:00,562.35,575.0,562.3,564.55,322417
2023-10-16 16:40:00,564.15,565.0,561.15,563.7,133213
2023-10-16 16:50:00,563.7,569.0,563.0,566.85,120858
