datetime,open,high,low,close,volume
2006-01-16 15:00:00,5.0,5.0,5.0,5.0,1
2006-01-16 15:10:00,5.0,5.0,5.0,5.0,1
2006-03-16 12:40:00,3.0,3.0,3.0,3.0,0
2006-03-16 17:30:00,2.5,2.5,2.5,2.5,0
2006-03-17 14:20:00,0.22,0.22,0.22,0.22,0
2006-03-21 15:00:00,0.6,1.0,0.6,1.0,0
2006-03-21 15:10:00,1.5,1.5,1.5,1.5,0
2006-03-21 17:50:00,0.8,0.8,0.8,0.8,9
2006-03-21 18:10:00,0.8,0.8,0.8,0.8,0
2006-03-22 11:40:00,1.0,1.0,1.0,1.0,0
2006-03-22 12:10:00,1.0,1.45,1.0,1.45,0
2006-03-22 12:20:00,1.0,1.0,1.0,1.0,0
2006-03-22 12:40:00,1.0,1.0,1.0,1.0,0
2006-03-22 14:50:00,1.0,1.5,1.0,1.5,14
2006-03-22 15:30:00,1.02,1.02,1.02,1.02,0
2006-03-22 17:00:00,1.02,1.02,1.01,1.01,2
2006-03-22 18:00:00,1.01,1.01,1.01,1.01,0
2006-03-23 12:30:00,0.71,0.71,0.71,0.71,0
2006-03-23 14:00:00,1.1,1.1,1.1,1.1,1
2006-03-23 14:30:00,1.05,1.05,1.05,1.05,0
2006-03-23 15:10:00,1.0,1.0,1.0,1.0,1
2006-03-24 17:20:00,1.2,1.2,0.9,1.2,0
2006-03-27 10:30:00,1.0,1.0,1.0,1.0,4
2006-03-27 17:00:00,1.11,1.11,1.11,1.11,0
2006-03-28 18:40:00,0.81,0.81,0.8,0.8,5
2006-03-30 13:10:00,1.0,1.05,1.0,1.05,0
2006-04-05 11:30:00,1.03,1.03,1.03,1.03,0
2006-04-06 10:30:00,1.0,1.0,1.0,1.0,0
2006-04-06 14:20:00,0.7,0.7,0.7,0.7,0
2006-04-06 16:30:00,1.0,1.0,1.0,1.0,19
2006-04-10 17:20:00,0.7,0.7,0.7,0.7,0
2006-04-10 17:30:00,1.0,1.0,1.0,1.0,0
2006-04-12 10:30:00,1.2,1.2,1.2,1.2,0
2006-04-13 11:40:00,0.91,0.91,0.91,0.91,0
2006-04-14 17:20:00,0.7,0.7,0.7,0.7,0
2006-04-17 12:00:00,0.99,0.99,0.99,0.99,0
2006-04-18 18:30:00,1.04,1.04,1.04,1.04,0
2006-04-25 10:30:00,0.7,0.7,0.7,0.7,0
2006-04-25 14:40:00,0.7,0.7,0.7,0.7,0
2006-04-25 18:00:00,0.7,0.7,0.7,0.7,0
2006-04-25 18:10:00,0.7,0.7,0.7,0.7,0
2006-06-19 12:10:00,1.16,1.16,1.16,1.16,0
2006-06-19 13:40:00,1.16,1.16,1.16,1.16,0
2006-06-20 12:40:00,1.157,1.157,1.157,1.157,0
2006-06-26 14:20:00,0.15,0.15,0.15,0.15,0
2006-07-03 18:00:00,2.5,2.5,1.5,1.5,0
2006-07-04 15:00:00,1.01,1.01,1.01,1.01,0
2006-07-04 18:00:00,1.0,1.0,1.0,1.0,0
2006-07-06 17:40:00,1.05,1.05,0.77,0.77,0
2006-07-06 17:50:00,0.75,0.75,0.75,0.75,0
2006-07-06 18:00:00,0.75,0.75,0.75,0.75,0
2006-07-06 18:40:00,0.9,0.9,0.9,0.9,0
2006-07-10 12:00:00,0.736,0.736,0.736,0.736,0
2006-07-17 13:20:00,0.575,0.575,0.575,0.575,0
2006-07-17 16:50:00,0.435,0.435,0.435,0.435,0
2006-07-26 15:20:00,1.6,1.6,1.6,1.6,0
2006-07-26 15:30:00,0.326,0.326,0.326,0.326,0
2006-07-27 10:50:00,0.325,0.325,0.21,0.21,500
2006-08-01 10:30:00,0.235,0.235,0.235,0.235,4
2006-08-01 11:50:00,0.499,0.499,0.499,0.499,0
2006-08-01 12:00:00,0.499,0.499,0.499,0.499,0
2006-08-02 17:10:00,0.5,0.5,0.5,0.5,0
2006-08-03 11:20:00,0.5,0.5,0.5,0.5,0
2006-08-03 16:20:00,0.5,0.5,0.5,0.5,0
2006-08-03 17:10:00,0.4,0.4,0.4,0.4,0
2006-08-03 17:20:00,0.38,0.38,0.37,0.37,0
2006-08-03 17:30:00,0.378,0.378,0.378,0.378,0
2006-08-03 17:40:00,0.3,0.3,0.3,0.3,0
2006-08-08 12:10:00,0.39,0.39,0.39,0.39,0
2006-08-08 18:00:00,0.35,0.35,0.35,0.35,0
2006-08-09 10:30:00,0.21,0.21,0.21,0.21,0
2006-08-09 13:10:00,0.35,0.35,0.35,0.35,0
2006-08-09 18:40:00,0.35,0.35,0.35,0.35,0
2006-08-10 10:40:00,0.35,0.35,0.35,0.35,0
2006-08-10 13:10:00,0.35,0.35,0.35,0.35,0
2006-08-11 18:00:00,0.449,0.45,0.449,0.45,1
2006-08-11 18:10:00,0.35,0.35,0.322,0.322,1
2006-08-11 18:20:00,0.4,0.564,0.362,0.564,0
2006-08-11 18:40:00,0.5,0.56,0.5,0.56,0
2006-08-14 16:00:00,1.35,1.35,1.35,1.35,0
2006-08-15 10:30:00,1.35,1.35,1.35,1.35,0
2006-08-17 16:20:00,1.1,1.1,1.1,1.1,0
2006-08-21 12:00:00,0.825,0.825,0.825,0.825,0
2006-08-21 12:10:00,0.825,0.825,0.825,0.825,0
2006-08-21 13:20:00,0.825,0.825,0.825,0.825,4
2006-08-21 14:10:00,0.327,0.327,0.323,0.323,6
2006-08-23 16:00:00,0.4,0.4,0.4,0.4,0
2006-08-28 15:50:00,0.49,0.49,0.49,0.49,0
2006-08-29 18:20:00,0.45,0.45,0.45,0.45,0
2006-08-30 10:40:00,0.45,0.45,0.45,0.45,0
2006-09-01 15:50:00,0.45,0.45,0.45,0.45,0
2006-09-01 17:50:00,0.4,0.4,0.4,0.4,17
2006-09-01 18:00:00,0.45,0.45,0.45,0.45,0
2006-09-04 13:30:00,0.45,0.45,0.45,0.45,7
2006-09-04 13:40:00,0.45,0.45,0.45,0.45,10
2006-09-04 16:40:00,0.426,0.426,0.426,0.426,100
2006-09-06 10:50:00,0.5,0.5,0.5,0.5,5
2006-09-11 18:30:00,0.45,0.45,0.45,0.45,0
2006-09-13 11:00:00,0.5,0.5,0.5,0.5,0
2006-09-13 18:10:00,0.588,0.588,0.588,0.588,0
2006-09-15 15:00:00,0.45,0.45,0.45,0.45,0
2006-09-15 17:30:00,0.54,0.54,0.54,0.54,0
2006-09-18 13:30:00,0.534,0.534,0.534,0.534,0
2006-09-26 10:50:00,0.54,0.55,0.54,0.55,33
2006-09-26 11:10:00,0.55,0.55,0.55,0.55,0
2006-09-26 11:20:00,0.55,0.55,0.55,0.55,0
2006-09-26 11:40:00,0.686,0.686,0.686,0.686,0
2006-09-26 13:30:00,0.552,0.552,0.552,0.552,55
2006-09-26 17:20:00,0.6,0.6,0.6,0.6,0
2006-09-26 17:30:00,0.6,0.6,0.6,0.6,0
2006-09-26 17:50:00,0.55,0.61,0.55,0.61,0
2006-09-27 13:20:00,0.67,0.68,0.67,0.68,3
2006-09-29 11:40:00,0.845,0.845,0.845,0.845,0
2006-09-29 11:50:00,0.999,1.099,0.999,1.099,0
2006-09-29 18:40:00,0.551,0.551,0.271,0.271,370
2006-10-02 10:50:00,0.4,0.4,0.4,0.4,0
2006-10-02 11:10:00,0.5,0.5,0.5,0.5,0
2006-10-02 12:10:00,0.55,0.554,0.55,0.554,5
2006-10-02 13:10:00,0.558,0.632,0.558,0.632,8
2006-10-02 13:50:00,0.632,0.694,0.632,0.694,26
2006-10-02 14:30:00,0.804,0.864,0.804,0.804,20
2006-10-02 17:20:00,0.544,0.544,0.522,0.522,0
2006-10-02 17:30:00,0.794,0.794,0.794,0.794,0
2006-10-03 10:40:00,0.7,0.7,0.7,0.7,0
2006-10-03 12:00:00,0.85,0.85,0.85,0.85,0
2006-10-03 12:20:00,0.86,1.0,0.86,1.0,24
2006-10-03 15:50:00,0.83,0.83,0.83,0.83,1
2006-10-03 18:10:00,0.83,0.9,0.83,0.9,0
2006-10-09 12:10:00,0.55,0.55,0.55,0.55,0
2006-10-09 12:20:00,0.45,0.56,0.35,0.56,0
2006-10-09 12:30:00,0.59,0.59,0.59,0.59,0
2006-10-09 12:50:00,0.624,0.624,0.624,0.624,0
2006-10-09 14:10:00,0.648,0.648,0.648,0.648,0
2006-10-09 15:10:00,0.722,0.722,0.722,0.722,0
2006-10-09 15:40:00,0.722,0.722,0.712,0.712,26
2006-10-09 15:50:00,0.712,0.712,0.712,0.712,1
2006-10-09 16:10:00,0.712,0.712,0.712,0.712,0
