datetime,open,high,low,close,volume
2011-12-05 11:50:00,5.4,5.4,4.3,4.3,200
2011-12-05 14:40:00,4.7,4.7,4.7,4.7,500
2011-12-05 15:00:00,4.7,4.7,4.7,4.7,100
2011-12-05 15:10:00,4.7,4.7,4.7,4.7,100
2011-12-06 13:20:00,4.6,4.7,4.6,4.7,900
2011-12-07 11:40:00,4.3,4.3,3.0,3.0,1400
2011-12-07 12:30:00,4.2,4.2,4.2,4.2,100
2011-12-07 17:50:00,4.2,4.2,4.2,4.2,100
2011-12-08 10:00:00,4.2,4.2,4.2,4.2,100
2011-12-08 16:10:00,4.2,4.2,4.2,4.2,100
2011-12-08 18:30:00,4.4,4.4,4.4,4.4,100
2011-12-09 15:20:00,4.0,4.5,4.0,4.5,200
2011-12-09 18:40:00,4.0,4.0,4.0,4.0,100
2011-12-12 10:10:00,4.5,4.5,4.5,4.5,100
2011-12-12 10:20:00,4.5,4.5,4.5,4.5,400
2011-12-12 10:30:00,4.5,4.6,4.5,4.5,400
2011-12-12 10:50:00,4.5,4.5,4.5,4.5,100
2011-12-13 10:00:00,4.5,4.5,4.5,4.5,100
2011-12-15 18:10:00,3.8,3.8,3.8,3.8,200
2011-12-20 11:40:00,3.8,3.8,3.8,3.8,80300
2011-12-20 16:20:00,4.3,5.3,4.3,4.4,7200
2011-12-20 16:30:00,4.4,4.4,4.4,4.4,100
2011-12-20 16:50:00,4.2,4.2,4.2,4.2,100
2011-12-20 18:30:00,4.2,4.2,4.2,4.2,600
2011-12-21 10:00:00,4.2,4.3,4.2,4.3,300
2011-12-21 10:10:00,4.3,4.3,4.3,4.3,200
2011-12-21 11:10:00,4.3,4.3,4.3,4.3,100
2011-12-21 11:20:00,4.3,4.3,4.3,4.3,200
2011-12-21 12:00:00,4.3,4.3,4.3,4.3,100
2011-12-22 10:00:00,4.2,4.2,4.2,4.2,300
2011-12-22 10:50:00,4.0,4.0,3.8,3.8,7000
2011-12-22 11:00:00,3.9,4.0,3.9,4.0,400
2011-12-22 13:20:00,4.1,4.5,4.1,4.5,82100
2011-12-22 14:00:00,4.2,4.2,4.2,4.2,100
2011-12-27 10:10:00,4.1,4.1,4.1,4.1,100
2011-12-29 13:40:00,3.8,3.8,3.8,3.8,2500
2011-12-29 15:10:00,3.8,3.8,3.8,3.8,300
2011-12-29 18:20:00,3.9,3.9,3.9,3.9,300
2011-12-30 14:30:00,3.8,3.8,3.8,3.8,1900
2011-12-30 17:00:00,3.9,3.9,3.9,3.9,300
2011-12-30 17:50:00,3.9,3.9,3.9,3.9,2600
2011-12-30 18:30:00,4.0,4.1,4.0,4.1,5000
2012-01-04 16:40:00,3.9,3.9,3.9,3.9,100
2012-01-19 11:20:00,3.9,3.9,3.9,3.9,3000
2012-01-19 11:40:00,3.9,3.9,3.9,3.9,2000
2012-01-20 16:50:00,3.8,3.8,3.8,3.8,2900
2012-01-23 12:10:00,4.0,4.0,4.0,4.0,100
2012-01-23 15:40:00,4.0,4.0,4.0,4.0,100
2012-01-23 18:10:00,3.6,3.6,3.6,3.6,100
2012-01-25 17:10:00,3.8,4.1,3.8,4.1,17300
2012-01-26 13:30:00,4.1,4.1,4.1,4.1,400
2012-01-30 18:30:00,4.0,4.0,4.0,4.0,100
2012-02-06 14:50:00,4.1,4.1,4.1,4.1,100
2012-02-07 12:30:00,4.2,4.2,4.2,4.2,1000
2012-02-07 13:20:00,4.2,4.3,4.2,4.3,10000
2012-02-07 15:00:00,4.1,4.1,4.1,4.1,200
2012-02-07 16:10:00,4.2,4.2,4.2,4.2,10000
2012-02-08 14:40:00,4.2,4.2,4.2,4.2,300
2012-02-08 16:00:00,4.0,4.0,4.0,4.0,2000
2012-02-10 10:30:00,4.2,4.7,4.2,4.7,12000
2012-02-10 13:20:00,4.2,4.2,4.2,4.2,100
2012-02-10 13:30:00,3.7,3.7,3.7,3.7,100
2012-02-14 11:10:00,4.2,4.2,4.2,4.2,100
2012-02-15 14:30:00,4.4,4.5,4.4,4.5,2100
2012-02-15 14:40:00,4.4,4.4,4.4,4.4,1000
2012-02-15 15:10:00,4.4,4.4,4.4,4.4,500
2012-02-24 14:40:00,3.9,3.9,3.9,3.9,100
2012-02-27 14:40:00,4.0,4.0,4.0,4.0,100
2012-02-28 11:50:00,4.0,4.0,4.0,4.0,1000
2012-02-28 16:50:00,4.0,4.0,4.0,4.0,100
2012-02-28 17:40:00,4.0,4.0,4.0,4.0,3400
2012-03-01 18:30:00,4.0,4.0,4.0,4.0,400
2012-03-05 14:40:00,4.3,4.3,4.3,4.3,400
2012-03-12 11:30:00,4.2,4.2,4.2,4.2,200
2012-03-13 10:10:00,3.9,3.9,3.9,3.9,9000
2012-03-13 10:40:00,3.9,3.9,3.9,3.9,100
2012-03-13 11:10:00,3.9,3.9,3.9,3.9,100
2012-03-13 13:00:00,3.9,3.9,3.9,3.9,100
2012-03-13 13:10:00,3.9,3.9,3.9,3.9,200
2012-03-13 13:30:00,4.1,4.2,4.1,4.2,13500
2012-03-14 11:00:00,4.2,4.2,4.2,4.2,100
2012-03-16 12:10:00,4.0,4.0,4.0,4.0,200
2012-03-16 18:00:00,4.0,4.0,4.0,4.0,100
2012-03-23 10:00:00,4.1,4.1,4.1,4.1,200
2012-03-23 10:40:00,4.1,4.1,4.1,4.1,2500
2012-03-26 10:50:00,4.1,4.1,4.1,4.1,500
2012-03-26 11:00:00,4.0,4.0,4.0,4.0,500
2012-03-27 11:00:00,4.3,4.3,4.3,4.3,100
2012-04-09 13:50:00,4.0,4.0,4.0,4.0,1000
2012-04-10 10:40:00,3.9,3.9,3.9,3.9,1000
2012-04-10 10:50:00,3.9,3.9,3.9,3.9,600
2012-04-10 11:00:00,3.9,3.9,3.9,3.9,400
2012-04-10 11:10:00,3.9,3.9,3.9,3.9,400
2012-04-10 16:20:00,4.0,4.0,4.0,4.0,100
2012-04-11 10:00:00,4.0,4.0,4.0,4.0,500
2012-04-11 16:10:00,4.0,4.0,4.0,4.0,200
2012-04-12 10:50:00,4.3,4.4,4.3,4.4,7500
2012-04-12 11:00:00,4.5,4.5,4.5,4.5,1800
2012-04-12 11:50:00,4.1,4.1,4.1,4.1,1400
2012-04-16 10:00:00,4.1,4.1,4.1,4.1,200
2012-04-17 16:30:00,4.1,4.1,4.1,4.1,100
2012-04-18 13:40:00,4.1,4.1,4.1,4.1,500
2012-04-18 15:50:00,4.1,4.1,4.1,4.1,500
2012-04-20 17:10:00,4.2,4.2,4.1,4.1,6900
2012-04-24 16:30:00,4.1,4.1,4.0,4.1,11000
2012-04-25 10:00:00,4.2,4.2,4.2,4.2,20400
2012-04-26 15:10:00,3.9,3.9,3.9,3.9,100
2012-05-02 12:20:00,4.0,4.0,4.0,4.0,100
2012-05-02 14:20:00,4.0,4.0,4.0,4.0,200
2012-05-03 10:40:00,4.0,4.0,4.0,4.0,12000
2012-05-03 11:00:00,4.0,4.0,4.0,4.0,8000
2012-05-03 11:10:00,4.0,4.0,4.0,4.0,5000
2012-05-03 15:50:00,4.0,4.0,4.0,4.0,5000
2012-05-03 16:00:00,4.0,4.0,4.0,4.0,5000
2012-05-03 17:50:00,4.0,4.0,4.0,4.0,14800
2012-05-04 10:00:00,4.0,4.0,4.0,4.0,50000
2012-05-05 12:10:00,4.0,4.0,4.0,4.0,1400
2012-05-05 12:20:00,4.0,4.0,4.0,4.0,1400
2012-05-11 11:50:00,3.5,3.5,3.5,3.5,300
2012-05-17 16:40:00,4.0,4.0,4.0,4.0,100
2012-05-23 14:30:00,3.9,3.9,3.9,3.9,2000
2012-05-30 10:40:00,4.0,4.0,4.0,4.0,4000
2012-05-30 10:50:00,4.2,4.2,4.2,4.2,4100
2012-05-30 11:10:00,4.0,4.1,4.0,4.1,10200
2012-05-30 15:50:00,3.9,3.9,3.9,3.9,200
2012-06-01 13:40:00,4.0,4.1,4.0,4.1,10000
2012-06-04 13:00:00,4.0,4.0,4.0,4.0,100
2012-06-06 10:00:00,3.1,3.1,3.1,3.1,100
2012-06-13 18:10:00,3.7,3.7,3.7,3.7,700
2012-06-14 15:40:00,3.2,3.2,3.2,3.2,100
2012-06-18 16:10:00,3.0,3.0,3.0,3.0,100
2012-06-19 11:50:00,3.0,3.0,3.0,3.0,900
2012-06-19 16:20:00,3.1,3.1,3.1,3.1,900
2012-06-21 15:50:00,3.6,3.6,3.6,3.6,3400
2012-07-05 15:20:00,3.6,3.6,3.6,3.6,4600
2012-07-06 14:00:00,3.4,3.4,3.4,3.4,1000
2012-07-06 14:20:00,3.4,3.4,3.4,3.4,200
2012-07-09 10:00:00,3.4,3.6,3.4,3.6,1000
2012-07-09 12:00:00,3.5,3.5,3.5,3.5,200
2012-07-09 12:10:00,3.5,3.9,3.5,3.9,10000
2012-07-09 15:50:00,3.4,3.4,3.4,3.4,200
2012-07-10 10:40:00,3.3,3.3,3.3,3.3,10000
2012-07-10 17:40:00,3.5,3.5,3.5,3.5,200
2012-07-12 12:20:00,3.5,3.6,3.5,3.6,5800
2012-07-13 16:40:00,3.3,3.3,3.3,3.3,1000
2012-07-13 18:00:00,3.3,3.3,3.3,3.3,100
2012-07-16 12:10:00,3.5,3.6,3.5,3.6,5900
2012-07-16 15:10:00,3.5,3.6,3.5,3.6,5400
2012-07-17 17:10:00,3.5,3.5,3.5,3.5,9500
2012-07-18 14:00:00,3.3,3.3,3.3,3.3,2000
2012-07-19 13:00:00,3.3,3.5,3.3,3.5,6600
2012-07-19 13:10:00,3.3,3.3,3.3,3.3,400
2012-07-19 13:20:00,3.3,3.3,3.3,3.3,1000
2012-07-20 12:20:00,3.3,3.5,3.3,3.5,11800
2012-07-20 14:20:00,3.3,3.3,3.3,3.3,3000
2012-07-20 14:30:00,3.3,3.3,3.3,3.3,200
2012-07-20 15:50:00,3.3,3.3,3.3,3.3,100
2012-07-20 16:20:00,3.3,3.3,3.3,3.3,1000
2012-07-23 17:00:00,3.3,3.3,3.3,3.3,300
2012-07-26 18:40:00,3.3,3.3,3.3,3.3,100
2012-07-27 12:30:00,3.3,3.3,3.3,3.3,500
2012-07-27 13:20:00,3.3,3.3,3.3,3.3,200
2012-07-30 12:10:00,3.3,3.4,3.2,3.2,7600
2012-07-30 18:30:00,3.1,3.1,3.1,3.1,200
2012-07-31 10:20:00,3.3,3.4,3.3,3.4,13200
2012-08-01 10:50:00,3.3,3.3,3.3,3.3,100
2012-08-02 12:00:00,3.3,3.4,3.3,3.4,13000
2012-08-02 15:00:00,3.3,3.4,3.3,3.4,1200
2012-08-02 15:20:00,3.3,3.3,3.3,3.3,200
2012-08-02 16:10:00,3.3,3.3,3.3,3.3,1000
2012-08-02 17:50:00,3.3,3.3,3.3,3.3,5400
2012-08-02 18:00:00,3.3,3.4,3.3,3.4,5600
2012-08-03 10:00:00,3.3,3.6,3.3,3.6,10000
2012-08-03 10:20:00,3.5,3.7,3.5,3.7,6600
2012-08-03 11:20:00,3.6,3.7,3.6,3.7,400
2012-08-03 11:30:00,3.6,3.6,3.6,3.6,1800
2012-08-03 15:00:00,3.7,3.7,3.7,3.7,3000
2012-08-03 15:10:00,3.7,3.9,3.7,3.9,3500
2012-08-03 17:40:00,3.3,3.3,3.3,3.3,300
2012-08-06 10:00:00,3.3,3.3,3.3,3.3,400
2012-08-06 12:00:00,3.5,3.7,3.5,3.7,1300
2012-08-06 12:10:00,3.7,3.8,3.7,3.8,10200
2012-08-06 12:20:00,3.7,3.8,3.7,3.8,500
2012-08-07 12:00:00,3.7,3.7,3.7,3.7,200
2012-08-07 12:10:00,3.7,3.8,3.7,3.8,11100
2012-08-08 10:20:00,3.7,3.7,3.7,3.7,400
2012-08-08 10:30:00,3.7,3.8,3.7,3.8,14300
2012-08-09 10:10:00,3.7,3.8,3.7,3.8,17100
2012-08-09 18:40:00,3.7,3.7,3.7,3.7,600
2012-08-10 10:30:00,3.7,3.8,3.7,3.8,15400
2012-08-13 10:10:00,3.8,3.8,3.8,3.8,5200
2012-08-13 10:20:00,3.8,4.0,3.8,4.0,5600
2012-08-14 10:10:00,3.8,3.8,3.8,3.8,4800
2012-08-14 12:00:00,3.9,4.0,3.9,4.0,10600
2012-08-14 12:10:00,3.9,3.9,3.9,3.9,400
2012-08-14 17:40:00,3.9,4.0,3.9,3.9,62300
2012-08-14 17:50:00,3.9,3.9,3.9,3.9,200
2012-08-15 12:30:00,3.9,4.0,3.9,4.0,6800
2012-08-15 17:00:00,3.9,4.0,3.9,4.0,3800
2012-08-16 10:00:00,3.9,4.0,3.9,4.0,10300
2012-08-16 10:10:00,3.9,3.9,3.9,3.9,3000
2012-08-16 14:50:00,4.0,4.0,4.0,4.0,1000
2012-08-17 11:00:00,4.0,4.1,4.0,4.1,600
2012-08-17 11:40:00,4.3,4.4,4.3,4.4,5000
2012-08-17 12:50:00,4.4,4.4,4.4,4.4,100
2012-08-20 10:00:00,4.3,4.4,4.3,4.4,9100
2012-08-20 10:30:00,3.9,3.9,3.9,3.9,100
2012-08-20 12:30:00,4.0,4.0,4.0,4.0,500
2012-08-20 12:40:00,4.1,4.1,4.1,4.1,10000
2012-08-20 13:00:00,4.1,4.1,4.1,4.1,1500
2012-08-21 10:10:00,4.1,4.1,4.1,4.1,10800
2012-08-21 15:20:00,4.1,4.1,4.1,4.1,5000
2012-08-21 18:00:00,4.1,4.1,4.1,4.1,5600
2012-08-21 18:40:00,4.1,4.1,4.1,4.1,700
2012-08-22 10:00:00,4.1,4.3,4.1,4.3,10000
2012-08-22 10:10:00,4.1,4.1,4.1,4.1,200
2012-08-22 11:00:00,4.1,4.1,4.1,4.1,5000
2012-08-22 12:40:00,4.1,4.1,4.1,4.1,10000
2012-08-22 13:10:00,4.1,4.3,4.1,4.3,800
2012-08-22 13:40:00,4.2,4.2,4.2,4.2,3000
2012-08-22 14:20:00,4.2,4.2,4.2,4.2,1500
2012-08-22 15:20:00,4.2,4.2,4.2,4.2,300
2012-08-22 15:30:00,4.2,4.2,4.2,4.2,2500
2012-08-22 16:40:00,4.2,4.2,4.2,4.2,500
2012-08-22 17:40:00,4.1,4.1,4.1,4.1,200
