datetime,open,high,low,close,volume
2013-11-20 17:50:00,4.222,4.222,4.222,4.222,1
2013-11-20 18:00:00,4.1996,4.1996,4.1996,4.1996,1
2013-11-26 10:40:00,4.24,4.24,4.24,4.24,9600
2013-12-10 17:20:00,4.175,4.175,4.175,4.175,30
2013-12-10 17:30:00,4.17,4.18,4.17,4.18,95
2013-12-10 17:40:00,4.175,4.175,4.17,4.17,70
2013-12-10 18:00:00,4.14,4.14,4.14,4.14,35
2013-12-10 18:20:00,4.15,4.156,4.147,4.156,140
2013-12-10 18:30:00,4.16,4.19,4.15,4.15,140
2013-12-11 11:30:00,4.14,4.151,4.14,4.151,70
2013-12-11 11:40:00,4.156,4.17,4.15,4.157,210
2013-12-11 11:50:00,4.166,4.177,4.15,4.177,175
2013-12-11 12:00:00,4.168,4.168,4.159,4.166,105
2013-12-11 12:10:00,4.171,4.182,4.156,4.156,175
2013-12-11 12:20:00,4.164,4.181,4.164,4.176,140
2013-12-11 12:30:00,4.183,4.183,4.16,4.162,105
2013-12-11 12:40:00,4.177,4.195,4.146,4.17,175
2013-12-12 14:00:00,4.18,4.18,4.18,4.18,35
2013-12-12 14:10:00,4.19,4.2,4.19,4.2,70
2013-12-12 15:00:00,4.15,4.175,4.15,4.175,105
2013-12-12 15:50:00,4.143,4.143,4.143,4.143,35
2013-12-12 16:00:00,4.156,4.156,4.156,4.156,35
2013-12-12 16:10:00,4.18,4.18,4.18,4.18,35
2013-12-12 16:50:00,4.138,4.177,4.138,4.146,140
2013-12-12 17:00:00,4.155,4.171,4.155,4.171,70
2013-12-13 11:40:00,4.15,4.17,4.15,4.165,210
2013-12-13 11:50:00,4.175,4.176,4.175,4.176,2
2013-12-18 10:30:00,4.2,4.2,4.2,4.2,8400
2013-12-25 15:00:00,4.225,4.225,4.225,4.225,25
2013-12-25 17:40:00,4.35,4.35,4.35,4.35,25
2013-12-26 16:10:00,4.225,4.225,4.225,4.225,25
2013-12-26 16:40:00,4.2,4.21,4.2,4.21,12700
2013-12-26 17:00:00,4.21,4.21,4.21,4.21,114300
2013-12-26 17:20:00,4.26,4.26,4.26,4.26,1143000
2013-12-26 18:00:00,4.325,4.325,4.325,4.325,1
2013-12-26 18:10:00,4.325,4.325,4.325,4.325,2
2013-12-27 15:20:00,4.31,4.65,4.31,4.65,141123
2014-01-08 17:30:00,4.305,4.305,4.305,4.305,25
2014-01-08 17:40:00,4.5,4.5,4.5,4.5,1
2014-01-08 18:30:00,4.305,4.305,4.305,4.305,3
2014-01-17 18:30:00,4.4125,4.4125,4.4125,4.4125,1
2014-02-14 17:40:00,4.392,4.392,4.392,4.392,35000
2014-02-17 17:10:00,4.3925,4.3929,4.3925,4.3929,45000
2014-02-17 17:20:00,4.3929,4.3929,4.3929,4.3929,22000
2014-02-17 17:30:00,4.3929,4.3933,4.3929,4.3931000000000004,35000
2014-02-19 14:50:00,4.39,4.3911999999999995,4.39,4.3911999999999995,35000
2014-02-19 15:10:00,4.3926,4.3928,4.3914,4.3914,29000
2014-02-20 14:30:00,4.395,4.4197,4.395,4.4197,25525
2014-02-20 14:50:00,4.4211,4.4295,4.4195,4.4195,45500
2014-02-21 14:20:00,4.42,4.4298,4.415,4.4298,36000
2014-02-21 14:50:00,4.4348,4.4348,4.4248,4.4248,29000
2014-02-21 15:40:00,4.5222,4.5222,4.5222,4.5222,25
2014-02-21 16:10:00,4.5222,4.5222,4.5222,4.5222,1
2014-02-24 15:30:00,4.6325,4.6325,4.6325,4.6325,25
2014-02-25 12:20:00,4.6325,4.6325,4.6325,4.6325,25
2014-02-25 14:50:00,4.5225,4.5225,4.4287,4.4339,37025
2014-02-25 15:00:00,4.4325,4.4325,4.4311,4.4311,13000
2014-02-26 16:10:00,4.5225,4.5225,4.5225,4.5225,3
2014-02-26 16:30:00,4.4271,4.4271,4.4241,4.4241,12020
2014-02-26 16:40:00,4.4241,4.4261,4.4211,4.4241,73000
2014-03-03 16:00:00,4.431,4.431,4.4281,4.4281,42000
2014-03-03 16:20:00,4.4251,4.4251,4.3501,4.3501,25000
2014-03-03 18:30:00,4.2001,4.2001,4.2001,4.2001,1
2014-03-04 14:50:00,4.422,4.4447,4.422,4.4447,68000
2014-03-05 16:20:00,4.4566,4.4567,4.4566,4.4567,33000
2014-03-05 17:00:00,4.4567,4.4569,4.4567,4.4569,34000
2014-03-06 15:20:00,4.4572,4.4582,4.4572,4.4582,23000
2014-03-06 15:40:00,4.4582,4.4582,4.458,4.458,42000
2014-03-07 17:20:00,4.4591,4.4594,4.4586,4.4586,66000
2014-03-11 16:20:00,4.4564,4.4564,4.4558,4.4558,43000
2014-03-11 16:40:00,4.4556000000000004,4.4556000000000004,4.4556000000000004,4.4556000000000004,22000
2014-03-12 12:50:00,4.457,4.457,4.4566,4.4566,60000
2014-03-13 15:10:00,4.4125,4.4125,4.4125,4.4125,2
2014-03-13 17:10:00,4.4565,4.4565,4.4563,4.4563,65000
2014-03-14 10:20:00,4.4715,4.4715,4.4715,4.4715,1
2014-03-14 15:00:00,4.3971,4.3971,4.3961,4.3961,33000
2014-03-14 15:20:00,4.3965,4.3965,4.3961,4.3965,35000
2014-03-17 14:50:00,4.3965,4.3965,4.3965,4.3965,20000
2014-03-17 15:40:00,4.3963,4.3963,4.3961,4.3963,41000
2014-03-18 12:10:00,4.3954,4.3954,4.3954,4.3954,3000
2014-03-18 14:10:00,4.3954,4.3956,4.3952,4.3956,26000
2014-03-18 14:40:00,4.3956,4.396,4.3956,4.3956,31000
2014-03-19 13:00:00,4.395,4.3952,4.395,4.3952,37000
2014-03-19 14:20:00,4.3952,4.3952,4.3952,4.3952,28000
2014-03-20 13:40:00,4.3955,4.3961,4.3955,4.3961,32000
2014-03-20 16:00:00,4.3963,4.3963,4.3961,4.3961,35000
2014-03-21 14:30:00,4.3986,4.3986,4.3921,4.3921,65000
2014-03-24 10:40:00,4.3725,4.3725,4.3725,4.3725,1
2014-03-24 12:00:00,4.3899,4.3979,4.3899,4.3949,30000
2014-03-24 14:30:00,4.4029,4.4079,4.3999,4.4079,30198
2014-03-25 12:20:00,4.4715,4.4715,4.4715,4.4715,8
2014-04-02 11:50:00,4.4025,4.4025,4.4025,4.4025,8
2014-04-09 18:30:00,4.3725,4.3725,4.3725,4.3725,21
2014-04-25 17:30:00,4.3725,4.3725,4.2,4.2,50000
2014-04-25 17:40:00,4.2,4.2,4.2,4.2,100000
2014-04-25 17:50:00,4.2,4.2,4.2,4.2,94122
2014-05-08 12:40:00,4.3725,4.3725,4.3725,4.3725,1
2014-05-12 16:00:00,4.4815,4.4815,4.4815,4.4815,1
2014-06-24 18:20:00,4.3725,4.3725,4.3725,4.3725,1
2014-06-26 16:50:00,4.3725,4.3725,4.3725,4.3725,100025
2014-06-26 17:00:00,4.3725,4.3725,4.3725,4.3725,357404
2014-07-03 13:10:00,4.2725,4.2725,4.2725,4.2725,25
2014-07-03 18:30:00,4.2725,4.2725,4.2725,4.2725,1
2014-07-08 12:30:00,4.1725,4.1725,4.1725,4.1725,1
2014-07-10 14:00:00,4.1725,4.1725,4.1725,4.1725,3
2014-07-21 14:10:00,4.2625,4.2625,4.2625,4.2625,1
2014-08-26 17:50:00,4.45,4.45,4.45,4.45,31000
2014-08-27 16:20:00,4.45,4.45,4.45,4.45,930734
2014-08-27 16:40:00,4.45,4.45,4.45,4.45,30000
2014-08-27 17:40:00,4.449,4.45,4.449,4.45,449439
2014-09-22 17:20:00,4.2725,4.452,4.2725,4.452,45
2014-10-13 16:40:00,4.45,4.45,4.45,4.45,350000
2014-10-13 17:50:00,4.46,4.46,4.46,4.46,320000
2014-11-12 13:10:00,4.36,4.36,4.36,4.36,25
2014-11-12 17:10:00,4.35,4.35,4.35,4.35,1
2014-11-24 10:40:00,4.46,4.46,4.46,4.46,1
2014-12-02 17:40:00,4.36,4.36,4.36,4.36,1
2014-12-03 14:20:00,4.36,4.36,4.36,4.36,1
2014-12-03 18:20:00,4.28,4.28,4.28,4.28,1
2014-12-04 15:50:00,4.32,4.32,4.32,4.32,1
2014-12-04 18:30:00,4.36,4.36,4.36,4.36,1
2014-12-05 18:00:00,4.41,4.41,4.41,4.41,1
2014-12-08 16:00:00,4.46,4.46,4.46,4.46,1
2014-12-08 16:10:00,4.53,4.53,4.53,4.53,3
2014-12-09 15:20:00,4.58,4.58,4.58,4.58,1
2014-12-09 15:50:00,4.62,4.62,4.62,4.62,1
2014-12-09 17:30:00,4.59,4.59,4.59,4.59,490975
2014-12-10 16:30:00,4.64,4.64,4.64,4.64,1
2014-12-10 16:40:00,4.64,4.64,4.64,4.64,2
2014-12-11 17:50:00,4.59,4.59,4.59,4.59,50000
2014-12-11 18:00:00,4.59,4.59,4.59,4.59,250000
2014-12-11 18:10:00,4.58,4.59,4.58,4.59,150001
2014-12-11 18:20:00,4.59,4.59,4.59,4.59,39415
2014-12-15 17:20:00,4.59,4.59,4.59,4.59,220510
2014-12-16 17:10:00,4.59,4.59,4.59,4.59,200000
2014-12-16 17:20:00,4.59,4.59,4.59,4.59,6000
2014-12-17 16:10:00,4.65,4.65,4.65,4.65,25
2014-12-19 13:50:00,4.7,4.7,4.7,4.7,1
2014-12-26 17:50:00,4.52,4.72,4.52,4.67,8
2014-12-26 18:00:00,4.6,4.64,4.6,4.6,22
2014-12-26 18:10:00,4.62,4.63,4.61,4.62,30
2014-12-26 18:20:00,4.62,4.64,4.6,4.62,48
2014-12-26 18:30:00,4.57,4.67,4.57,4.62,12
2014-12-29 17:20:00,4.9,4.9,4.7,4.85,12
2014-12-29 17:30:00,4.8,4.82,4.78,4.82,64
2014-12-29 17:40:00,4.79,4.8100000000000005,4.79,4.8100000000000005,50
2014-12-29 18:20:00,4.8,4.8,4.8,4.8,2
2014-12-30 17:20:00,4.99,5.03,4.99,5.01,120
2014-12-30 18:20:00,4.99,5.03,4.99,5.03,4
2015-01-09 14:50:00,5.06,5.06,5.06,5.06,1
2015-01-22 11:50:00,5.1,5.1,5.1,5.1,1
2015-01-29 15:50:00,5.05,5.05,5.05,5.05,2
2015-01-30 17:50:00,5.01,5.01,5.01,5.01,1
2015-02-04 14:20:00,5.1,5.1,5.1,5.1,1
2015-02-04 14:30:00,5.1,5.1,5.1,5.1,1
2015-02-11 14:50:00,5.25,5.25,5.25,5.25,1
2015-02-11 18:20:00,5.25,5.25,5.25,5.25,1
2015-02-12 18:10:00,5.16,5.16,5.16,5.16,25
2015-02-26 17:10:00,5.1,5.1,5.1,5.1,2
2015-02-27 18:20:00,5.05,5.05,5.05,5.05,1
2015-03-02 11:20:00,5.06,5.06,5.06,5.06,1
2015-03-12 17:50:00,4.9,4.9,4.9,4.9,2
2015-03-13 15:30:00,4.95,4.95,4.95,4.95,1
2015-03-13 17:10:00,4.85,4.85,4.85,4.85,1
2015-03-16 17:30:00,4.89,4.91,4.89,4.91,2
2015-03-18 17:40:00,4.9,4.9,4.9,4.9,1
2015-03-24 13:30:00,4.95,4.95,4.95,4.95,2
2015-03-27 18:30:00,4.9,4.9,4.9,4.9,2
2015-03-31 17:40:00,5.02,5.04,5.02,5.04,2
2015-04-21 17:00:00,5.02,5.04,5.02,5.04,2
2015-04-22 15:50:00,5.05,5.05,5.05,5.05,9
2015-04-22 17:20:00,5.02,5.04,5.02,5.04,2
2015-04-28 17:00:00,5.21,5.21,5.21,5.21,488000
2015-04-30 16:00:00,5.14,5.16,5.14,5.16,2
2015-05-05 15:50:00,5.15,5.15,5.15,5.15,1
2015-05-05 18:00:00,5.25,5.25,5.25,5.25,90000
2015-05-05 18:10:00,5.25,5.25,5.25,5.25,100500
2015-05-08 16:50:00,5.24,5.24,5.24,5.24,1
2015-05-19 11:30:00,5.25,5.25,5.25,5.25,1
2015-05-19 14:20:00,5.25,5.25,5.25,5.25,1
2015-05-21 17:40:00,5.23,5.25,5.23,5.25,2
2015-05-27 17:10:00,4.96,4.96,4.96,4.96,1
2015-05-28 12:20:00,4.89,4.89,4.89,4.89,1
2015-05-28 14:30:00,4.89,4.95,4.89,4.95,31
2015-05-28 16:40:00,5.24,5.24,5.24,5.24,1
2015-05-29 16:50:00,5.25,5.25,5.25,5.25,1
2015-06-01 11:50:00,5.17,5.17,5.15,5.15,27
2015-06-01 12:10:00,5.07,5.07,5.05,5.05,4
2015-06-02 16:30:00,5.25,5.25,5.25,5.25,190500
2015-06-04 18:30:00,5.24,5.24,5.24,5.24,1
2015-06-08 16:50:00,5.27,5.27,5.27,5.27,1
2015-06-09 17:00:00,5.24,5.24,5.24,5.24,1
2015-06-15 17:20:00,5.24,5.25,5.24,5.25,295590
2015-06-15 17:30:00,5.25,5.25,5.25,5.25,85365
2015-06-17 15:30:00,5.24,5.24,5.24,5.24,1
2015-06-22 15:40:00,5.23,5.23,5.22,5.22,2
2015-06-22 17:40:00,5.24,5.24,5.24,5.24,1
2015-06-24 16:10:00,5.25,5.25,5.25,5.25,1700
2015-06-24 16:20:00,5.25,5.25,5.25,5.25,80000
2015-06-24 16:40:00,5.25,5.25,5.25,5.25,73000
2015-06-24 16:50:00,5.25,5.25,5.25,5.25,22238
2015-06-24 17:10:00,5.25,5.25,5.25,5.25,9
2015-06-25 11:40:00,5.25,5.25,5.25,5.25,35000
