datetime,open,high,low,close,volume
2000-08-25 16:10:00,0.5,0.5,0.5,0.5,120
2000-09-14 15:50:00,0.42,0.42,0.41,0.41,500
2000-11-04 16:40:00,0.43,0.43,0.43,0.43,76
2000-11-04 16:50:00,0.43,0.43,0.43,0.43,5
2001-02-08 17:40:00,0.4,0.4,0.4,0.4,100
2001-02-12 16:10:00,0.48,0.48,0.48,0.48,100
2001-02-12 16:20:00,0.49,0.49,0.49,0.49,120
2001-02-12 16:40:00,0.49,0.49,0.49,0.49,120
2001-02-26 11:30:00,0.51,0.51,0.51,0.51,599
2001-03-05 17:30:00,0.62,0.62,0.62,0.62,99
2001-03-07 13:40:00,0.7,0.71,0.7,0.71,0
2001-03-07 13:50:00,0.59,0.59,0.59,0.59,81
2001-03-07 15:00:00,0.59,0.59,0.59,0.59,145
2001-03-13 14:10:00,0.59,0.59,0.59,0.59,0
2001-03-13 14:20:00,0.59,0.59,0.59,0.59,0
2001-03-13 17:50:00,0.59,0.59,0.59,0.59,0
2001-03-14 12:00:00,0.65,0.65,0.65,0.65,250
2001-03-14 17:50:00,0.62,0.65,0.62,0.65,50
2001-03-15 17:40:00,0.63,0.63,0.63,0.63,200
2001-03-20 13:30:00,0.67,0.67,0.67,0.67,500
2001-03-20 17:50:00,0.65,0.65,0.65,0.65,500
2001-03-21 17:50:00,0.65,0.65,0.65,0.65,137
2001-03-22 12:10:00,0.63,0.63,0.63,0.63,40
2001-03-23 11:00:00,0.65,0.65,0.65,0.65,187
2001-03-26 14:30:00,0.63,0.63,0.63,0.63,142
2001-03-27 13:30:00,0.63,0.63,0.63,0.63,49
2001-03-30 11:50:00,0.61,0.61,0.61,0.61,59
2001-04-10 11:00:00,0.69,0.69,0.69,0.69,51
2001-04-12 16:50:00,0.61,0.61,0.6,0.6,140
2001-04-12 17:20:00,0.6,0.6,0.6,0.6,50
2001-04-12 17:30:00,0.6,0.6,0.6,0.6,50
2001-04-12 17:40:00,0.61,0.61,0.61,0.61,130
2001-04-17 12:10:00,0.62,0.62,0.62,0.62,100
2001-04-17 17:30:00,0.62,0.62,0.62,0.62,108
2001-04-25 12:40:00,0.65,0.65,0.65,0.65,12
2001-04-25 13:10:00,0.61,0.61,0.61,0.61,12
2001-05-17 11:10:00,0.62,0.62,0.62,0.62,72
2001-05-17 11:40:00,0.65,0.65,0.65,0.65,250
2001-05-17 16:50:00,0.65,0.66,0.65,0.66,140
