datetime,open,high,low,close,volume
2011-12-21 15:45:00,2.35,2.35,2.1,2.1,490
2011-12-21 16:00:00,2.1,2.1,2.1,2.1,60
2011-12-21 17:30:00,2.5,2.55,2.5,2.55,30
2011-12-21 17:45:00,2.55,2.55,2.5,2.5,20
2011-12-22 10:00:00,2.56,2.56,2.56,2.56,10
2011-12-22 18:30:00,2.56,3.01,2.56,3.01,20
2011-12-27 18:30:00,3.1,3.1,3.1,3.1,10
2011-12-28 17:15:00,3.5,3.5,3.5,3.5,10
2011-12-29 15:30:00,2.35,2.35,2.35,2.35,10
2011-12-30 14:00:00,2.8,2.8,2.8,2.8,10
2012-01-03 13:45:00,2.3,2.3,2.3,2.3,20
2012-01-03 14:00:00,2.4,2.4,2.3,2.3,20
2012-01-03 16:00:00,2.8,2.8,2.8,2.8,10
2012-01-16 16:45:00,2.81,2.81,2.81,2.81,10
2012-01-16 17:00:00,2.81,2.81,2.81,2.81,30
2012-02-08 12:45:00,3.7800000000000002,3.7800000000000002,3.7800000000000002,3.7800000000000002,40
2012-02-08 18:00:00,3.93,3.93,3.93,3.93,10
2012-03-05 18:15:00,3.5,3.5,3.5,3.5,20
2012-03-11 16:30:00,2.5,2.5,2.1,2.1,20
2012-03-12 11:45:00,2.99,2.99,2.99,2.99,10
2012-03-19 17:15:00,3.3,3.3,3.3,3.3,500
2012-03-27 14:15:00,4.62,4.62,4.62,4.62,10
2012-03-27 14:45:00,2.37,2.37,2.37,2.37,10
2012-03-27 15:00:00,3.9699999999999998,4.47,2.52,4.47,40
2012-03-27 15:15:00,4.57,4.57,4.57,4.57,100
2012-03-27 15:30:00,4.57,4.57,4.57,4.57,100
2012-03-27 16:00:00,3.9699999999999998,3.9699999999999998,3.9699999999999998,3.9699999999999998,60
2012-03-27 16:30:00,4.57,4.57,4.57,4.57,10
2012-03-28 10:00:00,6.47,6.47,6.47,6.47,200
2012-03-28 10:15:00,6.47,6.47,6.47,6.47,50
2012-03-28 11:30:00,6.47,6.47,6.47,6.47,120
2012-03-28 12:30:00,6.47,6.47,6.47,6.47,10
2012-03-28 14:30:00,6.47,6.47,6.47,6.47,80
2012-03-28 16:45:00,6.47,6.47,6.47,6.47,20
2012-03-28 17:15:00,6.47,6.47,6.47,6.47,10
2012-03-28 18:00:00,6.47,6.47,6.47,6.47,10
2012-03-28 18:15:00,6.47,6.47,6.47,6.47,80
2012-03-28 18:30:00,6.47,6.47,6.47,6.47,10
2012-03-29 10:00:00,6.46,6.46,6.46,6.46,60
2012-03-29 10:30:00,5.21,5.21,5.21,5.21,10
2012-03-29 12:00:00,5.06,5.06,5.06,5.06,10
2012-03-29 16:15:00,5.06,5.06,5.06,5.06,10
2012-03-29 17:30:00,4.21,4.21,4.01,4.01,30
2012-03-29 18:00:00,4.06,5.51,4.06,5.51,20
2012-03-29 18:15:00,4.96,4.96,4.96,4.96,10
2012-03-29 18:30:00,4.96,4.96,4.96,4.96,40
2012-03-30 11:15:00,3.11,3.11,3.11,3.11,20
2012-03-30 12:15:00,4.86,4.86,4.86,4.86,10
2012-03-30 14:00:00,3.56,3.56,3.51,3.51,30
2012-03-30 14:15:00,3.51,3.51,3.11,3.11,130
2012-03-30 14:30:00,3.11,3.11,3.11,3.11,80
2012-03-30 14:45:00,3.41,3.41,3.06,3.06,100
2012-03-30 15:00:00,3.41,3.71,3.41,3.66,80
2012-03-30 15:15:00,3.16,3.16,3.01,3.01,180
2012-03-30 15:30:00,3.01,3.01,3.01,3.01,40
2012-03-30 15:45:00,3.06,3.06,3.06,3.06,10
2012-03-30 16:00:00,3.06,3.16,3.06,3.06,40
2012-03-30 16:15:00,3.16,3.36,3.16,3.36,50
2012-03-30 16:30:00,3.36,3.36,3.36,3.36,40
2012-03-30 16:45:00,3.26,3.46,3.16,3.16,50
2012-03-30 17:15:00,3.76,3.76,3.76,3.76,10
2012-03-30 17:30:00,3.26,3.26,3.26,3.26,10
2012-03-30 18:00:00,3.26,3.26,3.26,3.26,80
2012-03-30 18:30:00,3.36,3.66,3.16,3.16,70
2012-04-02 10:45:00,3.0,3.0,3.0,3.0,10
2012-04-02 18:30:00,2.6,2.6,2.6,2.6,30
2012-04-03 11:15:00,3.05,3.6,3.05,3.45,70
2012-04-03 11:30:00,3.5,3.6,3.5,3.6,40
2012-04-03 11:45:00,3.55,3.55,3.55,3.55,10
2012-04-03 12:00:00,3.55,3.55,3.55,3.55,20
2012-04-03 12:15:00,3.55,3.55,3.55,3.55,10
2012-04-03 12:30:00,3.55,3.55,3.55,3.55,10
2012-04-03 15:30:00,3.6,3.6,3.6,3.6,150
2012-04-03 15:45:00,3.6,3.6,3.6,3.6,30
2012-04-03 17:00:00,3.6,3.6,3.6,3.6,30
2012-04-04 10:15:00,3.9699999999999998,4.19,3.94,3.94,30
2012-04-04 10:45:00,3.94,3.94,3.94,3.94,10
2012-04-04 11:45:00,3.94,3.94,3.94,3.94,10
2012-04-04 12:15:00,4.19,4.19,4.19,4.19,20
2012-04-04 12:30:00,4.04,4.04,4.04,4.04,40
2012-04-04 12:45:00,4.04,4.04,4.04,4.04,10
2012-04-04 13:45:00,4.04,4.04,3.84,3.84,20
2012-04-04 14:00:00,3.44,3.44,3.39,3.39,110
2012-04-04 14:30:00,3.39,3.39,3.39,3.39,70
2012-04-04 14:45:00,3.39,3.39,3.39,3.39,10
2012-04-04 15:15:00,3.94,3.94,3.94,3.94,10
2012-04-05 10:00:00,4.5,4.5,4.5,4.5,20
2012-04-05 11:30:00,3.9,3.9,3.9,3.9,10
2012-04-05 11:45:00,3.65,3.65,3.65,3.65,10
2012-04-05 12:15:00,3.6,3.6,3.6,3.6,20
2012-04-05 17:15:00,3.9,3.9,3.9,3.9,10
2012-04-06 16:45:00,4.1,4.2,4.1,4.2,20
2012-04-09 11:45:00,3.15,3.15,3.15,3.15,10
2012-04-09 15:15:00,3.6,3.6,3.6,3.6,10
2012-04-09 16:15:00,3.6,3.6,3.6,3.6,10
2012-04-09 16:30:00,3.6,3.6,3.6,3.6,10
2012-04-09 16:45:00,3.6,3.6,3.6,3.6,10
2012-04-09 17:15:00,3.65,3.9,3.65,3.9,20
2012-04-10 11:00:00,3.9,3.9,3.9,3.9,30
2012-04-10 11:15:00,3.9,4.5,3.9,4.5,30
2012-04-10 11:30:00,4.5,4.5,4.5,4.5,20
2012-04-10 12:00:00,4.1,4.1,4.1,4.1,50
2012-04-10 12:15:00,4.45,4.5,4.45,4.5,20
2012-04-10 12:45:00,4.5,4.5,4.5,4.5,10
2012-04-10 14:00:00,4.15,4.15,4.0,4.0,20
2012-04-10 16:15:00,4.5,4.5,4.5,4.5,10
2012-04-11 14:30:00,3.95,3.95,3.95,3.95,10
2012-04-11 17:30:00,3.7,3.7,3.65,3.65,70
2012-04-11 18:00:00,3.75,3.75,3.75,3.75,10
2012-04-11 18:15:00,3.85,3.85,3.75,3.75,20
2012-04-12 10:30:00,3.9,3.9,3.9,3.9,50
2012-04-12 10:45:00,3.75,3.75,3.75,3.75,20
2012-04-12 12:00:00,3.75,3.75,3.65,3.65,20
2012-04-12 16:45:00,3.55,3.55,3.55,3.55,10
2012-04-12 17:45:00,3.9,3.9,3.9,3.9,10
2012-04-12 18:00:00,3.8,3.8,3.8,3.8,10
2012-04-13 18:30:00,3.71,3.71,3.71,3.71,10
2012-04-17 11:30:00,3.0,3.0,3.0,3.0,10
