datetime,open,high,low,close,volume
2023-01-19 12:30:00,31.3,31.75,31.15,31.75,3855
2023-01-19 13:00:00,31.7,31.7,31.3,31.3,273
2023-01-19 13:30:00,31.3,31.95,31.3,31.95,854
2023-01-19 14:00:00,31.8,32.4,31.7,31.7,1423
2023-01-19 14:30:00,31.85,32.4,31.7,32.4,794
2023-01-19 15:00:00,32.1,32.2,32.1,32.2,42
2023-01-19 15:30:00,32.15,32.15,31.9,32.0,158
2023-01-19 16:00:00,31.85,31.95,31.85,31.95,62
2023-01-19 16:30:00,31.9,31.9,31.75,31.75,11
2023-01-19 17:00:00,31.8,31.9,31.8,31.9,204
2023-01-19 17:30:00,31.8,31.9,31.75,31.8,296
2023-01-19 18:00:00,31.8,31.8,31.7,31.7,228
2023-01-19 18:30:00,31.7,31.7,31.6,31.6,349
2023-01-20 10:00:00,31.65,31.65,30.55,31.2,3266
2023-01-20 10:30:00,31.2,31.45,30.9,31.15,1488
2023-01-20 11:00:00,31.1,31.3,31.05,31.1,229
2023-01-20 11:30:00,31.1,31.25,31.05,31.25,105
2023-01-20 12:00:00,31.3,31.3,31.3,31.3,24
2023-01-20 12:30:00,31.4,31.4,31.3,31.35,107
2023-01-20 13:00:00,31.25,31.25,31.1,31.25,70
2023-01-20 13:30:00,31.2,31.2,31.0,31.1,323
2023-01-20 14:00:00,31.15,31.25,31.15,31.2,144
2023-01-20 14:30:00,31.2,31.2,31.2,31.2,98
2023-01-20 15:00:00,31.2,31.2,31.2,31.2,12
2023-01-20 15:30:00,31.1,31.15,31.0,31.0,617
2023-01-20 16:00:00,31.15,31.2,31.0,31.2,304
2023-01-20 16:30:00,31.2,31.2,31.15,31.2,215
2023-01-20 17:00:00,31.2,31.25,31.2,31.25,212
2023-01-20 18:00:00,31.2,31.2,31.15,31.15,60
2023-01-20 18:30:00,31.1,31.15,31.0,31.0,373
2023-01-23 10:00:00,31.0,31.45,31.0,31.1,282
2023-01-23 10:30:00,31.45,31.45,31.2,31.4,176
2023-01-23 11:00:00,31.4,31.95,31.4,31.4,1872
2023-01-23 11:30:00,31.4,31.5,31.1,31.5,328
2023-01-23 12:00:00,31.4,31.45,31.1,31.1,214
2023-01-23 12:30:00,31.25,31.6,31.25,31.6,224
2023-01-23 13:00:00,31.3,31.3,31.2,31.2,134
2023-01-23 13:30:00,31.3,31.55,31.25,31.55,30
2023-01-23 14:00:00,31.25,31.25,31.25,31.25,4
2023-01-23 14:30:00,31.45,31.5,31.25,31.5,23
2023-01-23 15:00:00,31.45,31.45,31.45,31.45,1
2023-01-23 15:30:00,31.45,31.45,31.4,31.4,11
2023-01-23 16:00:00,31.35,31.45,31.25,31.45,53
2023-01-23 16:30:00,31.4,31.4,31.35,31.4,19
2023-01-23 17:00:00,31.35,31.35,31.35,31.35,6
2023-01-23 17:30:00,31.35,31.35,31.35,31.35,5
2023-01-23 18:00:00,31.35,31.35,31.35,31.35,26
2023-01-23 18:30:00,31.4,31.45,31.4,31.45,31
2023-01-24 10:00:00,31.9,32.2,31.45,31.5,238
2023-01-24 10:30:00,31.7,31.9,31.6,31.75,174
2023-01-24 11:00:00,31.75,31.75,31.6,31.7,26
2023-01-24 11:30:00,31.7,31.7,31.7,31.7,2
2023-01-24 12:00:00,31.7,31.7,31.7,31.7,1
2023-01-24 12:30:00,31.6,31.6,31.45,31.45,300
2023-01-24 13:30:00,31.45,31.45,31.45,31.45,2
2023-01-24 14:00:00,31.6,33.3,31.6,32.25,8762
2023-01-24 14:30:00,32.3,32.4,31.65,32.0,1631
2023-01-24 15:00:00,31.7,31.9,31.35,31.85,988
2023-01-24 15:30:00,31.85,32.1,31.85,32.1,58
2023-01-24 16:00:00,31.75,31.9,31.4,31.7,504
2023-01-24 16:30:00,31.4,31.5,31.05,31.2,2226
2023-01-24 17:00:00,31.2,31.25,31.2,31.2,424
2023-01-24 17:30:00,31.25,31.4,31.2,31.2,807
2023-01-24 18:00:00,31.2,31.3,31.2,31.2,392
2023-01-24 18:30:00,31.2,31.2,31.2,31.2,114
2023-01-25 10:00:00,31.45,31.45,31.4,31.4,3
2023-01-25 10:30:00,31.3,31.55,30.9,31.55,777
2023-01-25 11:00:00,31.1,31.1,31.1,31.1,1
2023-01-25 11:30:00,31.4,31.4,30.6,30.95,610
2023-01-25 12:00:00,31.2,31.2,30.95,30.95,30
2023-01-25 12:30:00,31.2,31.2,31.0,31.0,9
2023-01-25 13:00:00,31.05,31.05,31.05,31.05,32
2023-01-25 14:00:00,31.05,31.05,31.0,31.05,31
2023-01-25 14:30:00,31.05,31.15,31.05,31.15,33
2023-01-25 15:00:00,31.2,31.2,31.1,31.1,177
2023-01-25 15:30:00,31.1,31.1,31.1,31.1,64
2023-01-25 16:00:00,31.0,31.1,31.0,31.1,429
2023-01-25 16:30:00,31.2,31.35,31.1,31.1,96
2023-01-25 17:00:00,31.1,31.4,31.0,31.4,305
2023-01-25 17:30:00,31.1,31.1,31.05,31.05,30
2023-01-25 18:00:00,31.25,31.25,31.0,31.0,50
2023-01-26 10:00:00,31.55,31.55,31.0,31.05,219
2023-01-26 10:30:00,31.2,31.3,31.2,31.25,30
2023-01-26 11:00:00,31.25,31.25,31.25,31.25,5
2023-01-26 11:30:00,31.2,31.2,31.2,31.2,14
2023-01-26 12:00:00,31.3,31.3,31.25,31.25,5
2023-01-26 12:30:00,31.25,31.25,31.25,31.25,1
2023-01-26 13:00:00,31.2,31.3,31.2,31.3,18
2023-01-26 13:30:00,31.2,31.2,31.2,31.2,12
2023-01-26 14:00:00,31.3,31.35,31.2,31.35,81
2023-01-26 14:30:00,31.3,31.35,31.3,31.35,439
2023-01-26 15:00:00,31.4,31.4,31.3,31.3,142
2023-01-26 15:30:00,31.25,31.25,31.2,31.2,35
2023-01-26 16:00:00,31.2,31.35,31.2,31.35,30
2023-01-26 16:30:00,31.25,31.35,31.2,31.35,121
2023-01-26 17:00:00,31.3,31.3,31.15,31.3,94
2023-01-26 17:30:00,31.15,31.15,31.15,31.15,28
2023-01-26 18:00:00,31.15,31.8,31.1,31.45,2117
2023-01-26 18:30:00,31.3,31.3,31.3,31.3,2
2023-01-27 10:00:00,31.3,31.3,30.75,30.75,1569
2023-01-27 10:30:00,30.75,31.0,30.65,30.95,247
2023-01-27 11:00:00,30.9,31.0,30.7,30.7,520
2023-01-27 11:30:00,30.9,30.9,30.65,30.65,314
2023-01-27 12:00:00,30.65,30.85,30.6,30.75,184
2023-01-27 12:30:00,30.7,30.7,30.55,30.65,652
2023-01-27 13:00:00,30.65,30.65,30.55,30.65,692
2023-01-27 13:30:00,30.65,31.15,30.55,31.15,752
2023-01-27 14:00:00,31.15,31.2,30.9,31.05,341
2023-01-27 14:30:00,31.05,31.15,31.05,31.15,47
2023-01-27 15:00:00,31.1,31.1,30.6,30.6,539
2023-01-27 15:30:00,30.8,30.8,30.65,30.65,39
2023-01-27 16:00:00,30.7,30.8,30.7,30.8,18
2023-01-27 16:30:00,30.8,31.0,30.8,31.0,2000
2023-01-27 17:00:00,30.8,30.8,30.8,30.8,3
2023-01-27 17:30:00,30.95,30.95,30.95,30.95,2
2023-01-27 18:00:00,30.8,30.95,30.75,30.95,256
2023-01-30 10:00:00,30.9,31.55,30.65,31.4,1507
2023-01-30 10:30:00,31.2,31.45,31.2,31.45,206
2023-01-30 11:00:00,31.4,31.4,31.1,31.1,701
2023-01-30 11:30:00,31.3,31.55,31.3,31.3,196
2023-01-30 12:00:00,31.3,31.3,31.05,31.05,276
2023-01-30 12:30:00,31.1,31.25,31.1,31.25,26
2023-01-30 13:00:00,31.25,31.3,31.1,31.1,270
2023-01-30 13:30:00,31.1,31.1,30.7,30.75,1730
