datetime,open,high,low,close,volume
2005-09-30 18:40:00,0.35,0.35,0.35,0.35,5
2005-10-03 17:20:00,0.37,0.37,0.37,0.37,2
2005-10-04 14:50:00,0.32,0.32,0.32,0.32,10
2005-10-04 16:05:00,0.32,0.32,0.32,0.32,0
2005-10-04 16:35:00,0.3,0.3,0.3,0.3,34
2005-10-04 17:55:00,0.34,0.34,0.34,0.34,1
2005-10-04 18:15:00,0.33,0.33,0.33,0.33,0
2005-10-04 18:20:00,0.32,0.32,0.31,0.31,0
2005-10-04 18:30:00,0.32,0.33,0.32,0.33,0
2005-10-04 18:40:00,0.32,0.32,0.31,0.31,0
2005-10-05 14:35:00,0.31,0.31,0.31,0.31,0
2005-10-05 17:30:00,0.31,0.31,0.31,0.31,0
2005-10-11 15:55:00,0.31,0.31,0.31,0.31,0
2005-10-11 16:05:00,0.31,0.31,0.3,0.3,0
2005-10-14 11:35:00,0.3,0.3,0.3,0.3,0
2005-10-17 12:35:00,0.25,0.25,0.25,0.25,30
2005-10-19 18:20:00,0.3,0.3,0.3,0.3,0
2005-10-20 14:25:00,0.29,0.29,0.29,0.29,1
2005-10-26 13:15:00,0.29,0.29,0.29,0.29,0
2005-10-27 11:55:00,0.29,0.29,0.29,0.29,0
2005-10-28 14:15:00,0.28,0.29,0.28,0.29,1
2005-10-31 10:35:00,0.29,0.29,0.29,0.29,0
2005-10-31 17:15:00,0.25,0.25,0.25,0.25,0
2005-10-31 18:15:00,0.26,0.26,0.26,0.26,0
2005-11-01 10:40:00,0.25,0.25,0.25,0.25,0
2005-11-01 17:55:00,0.23,0.23,0.21,0.21,15
2005-11-01 18:35:00,0.23,0.23,0.23,0.23,2
2005-11-01 18:40:00,0.22,0.22,0.22,0.22,2
2005-11-08 11:45:00,0.21,0.21,0.21,0.21,0
2005-11-08 17:00:00,0.21,0.21,0.21,0.21,0
2005-11-09 12:25:00,0.21,0.21,0.21,0.21,0
2005-11-09 12:30:00,0.23,0.23,0.23,0.23,0
2005-11-09 15:05:00,0.22,0.22,0.22,0.22,0
