datetime,open,high,low,close,volume
2017-09-07 11:55:00,9.52,9.52,9.52,9.52,50
2017-09-07 12:00:00,9.52,9.52,9.34,9.42,400
2017-09-07 12:05:00,9.52,9.52,9.52,9.52,2110
2017-09-07 12:10:00,9.52,9.52,9.52,9.52,20
2017-09-07 12:15:00,9.58,9.58,9.58,9.58,2400
2017-09-07 12:20:00,9.58,9.66,9.58,9.66,1730
2017-09-07 12:30:00,9.66,9.66,9.66,9.66,2000
2017-09-07 12:35:00,9.76,9.76,9.76,9.76,1000
2017-09-07 12:45:00,9.8,9.94,9.8,9.94,1610
2017-09-07 12:50:00,9.94,11.96,9.94,11.96,500
2017-09-07 12:55:00,11.94,11.94,11.94,11.94,1000
2017-09-07 13:00:00,12.44,12.94,12.44,12.94,650
2017-09-07 13:05:00,12.94,12.94,12.94,12.94,250
2017-09-07 13:10:00,9.8,9.8,9.8,9.8,10
2017-09-07 13:30:00,9.8,9.8,9.8,9.8,1010
2017-09-07 13:40:00,9.8,9.94,9.8,9.94,5490
2017-09-07 13:45:00,9.94,9.94,9.94,9.94,1000
2017-09-07 13:55:00,9.9,9.9,9.76,9.76,3010
2017-09-07 14:30:00,9.8,9.8,9.76,9.76,12180
2017-09-07 14:35:00,9.64,9.64,9.64,9.64,250
2017-09-07 14:45:00,9.56,9.56,9.56,9.56,60
2017-09-07 15:25:00,9.66,9.66,9.66,9.66,20
2017-09-07 15:40:00,9.66,9.66,9.64,9.64,80
2017-09-07 15:55:00,9.66,9.66,9.66,9.66,2000
2017-09-07 16:10:00,9.66,9.66,9.66,9.66,200
2017-09-07 16:50:00,9.66,9.66,9.66,9.66,170
2017-09-07 17:05:00,9.66,9.66,9.66,9.66,10
2017-09-07 17:10:00,9.66,9.66,9.66,9.66,10
2017-09-07 17:20:00,9.66,9.66,9.66,9.66,500
2017-09-07 17:50:00,9.66,9.66,9.66,9.66,2000
2017-09-07 18:05:00,9.66,9.66,9.58,9.58,1300
2017-09-07 18:15:00,9.78,10.28,9.78,10.28,1000
2017-09-07 18:20:00,9.58,9.58,9.58,9.58,10
2017-09-07 18:30:00,10.08,10.34,10.08,10.34,4820
2017-09-07 18:35:00,10.28,10.28,10.28,10.28,20
2017-09-07 18:45:00,10.18,10.18,10.18,10.18,180
2017-09-08 10:00:00,9.67,9.85,9.67,9.85,150
2017-09-08 10:05:00,9.85,10.49,9.85,10.49,1650
2017-09-08 10:10:00,10.49,10.49,9.99,10.39,1330
2017-09-08 10:15:00,10.05,10.39,10.01,10.39,110
2017-09-08 10:20:00,10.09,10.17,9.95,9.95,60
2017-09-08 10:25:00,9.95,10.47,9.95,10.47,520
2017-09-08 10:30:00,10.23,10.23,10.23,10.23,480
2017-09-08 10:35:00,9.95,9.95,9.95,9.95,190
2017-09-08 10:40:00,9.89,9.89,9.81,9.81,340
2017-09-08 10:45:00,9.77,9.77,9.77,9.77,2620
2017-09-08 10:50:00,9.81,9.81,9.81,9.81,20
2017-09-08 11:00:00,9.71,9.71,9.71,9.71,120
2017-09-08 11:10:00,9.69,9.69,9.69,9.69,70
2017-09-08 11:30:00,9.69,9.69,9.69,9.69,570
2017-09-08 11:45:00,9.73,9.73,9.69,9.69,1020
2017-09-08 11:50:00,9.73,9.73,9.73,9.73,5190
