datetime,open,high,low,close,volume
1999-06-02 17:35:00,6.3,6.3,6.3,6.3,10
1999-06-03 13:20:00,6.5,6.5,6.5,6.5,5
1999-06-04 12:15:00,6.4,6.4,6.4,6.4,0
1999-06-09 13:00:00,7.7,7.7,7.7,7.7,0
1999-06-09 17:15:00,8.7,8.7,8.7,8.7,5
1999-06-10 14:25:00,10.6,10.6,10.6,10.6,20
1999-06-10 14:35:00,9.6,9.6,9.6,9.6,0
1999-06-10 16:25:00,10.1,10.1,10.1,10.1,10
1999-06-15 17:35:00,11.0,11.0,11.0,11.0,0
1999-06-28 12:00:00,10.0,10.0,10.0,10.0,3
1999-06-28 14:35:00,12.0,12.0,12.0,12.0,1
1999-07-01 11:25:00,10.1,10.1,10.1,10.1,1
1999-07-02 12:10:00,7.1,7.1,7.1,7.1,2
1999-07-02 13:40:00,12.6,12.6,12.6,12.6,0
1999-07-02 15:10:00,11.6,11.6,11.6,11.6,0
1999-07-08 16:00:00,20.0,20.0,20.0,20.0,2
1999-07-08 17:05:00,17.5,17.5,17.5,17.5,0
1999-07-12 13:15:00,17.5,17.5,17.5,17.5,17
1999-07-12 13:50:00,18.0,18.0,18.0,18.0,1
1999-07-12 17:45:00,16.5,16.5,16.5,16.5,1
1999-07-16 15:30:00,17.0,17.0,17.0,17.0,2
1999-07-16 15:40:00,17.0,17.0,17.0,17.0,2
1999-07-16 15:55:00,18.0,18.0,18.0,18.0,5
1999-07-16 17:55:00,17.5,17.5,17.5,17.5,5
1999-07-19 12:05:00,15.0,15.0,15.0,15.0,1
1999-07-21 14:40:00,12.1,12.1,12.1,12.1,1
1999-07-27 16:10:00,13.5,15.0,13.5,15.0,2
1999-07-29 17:05:00,13.0,13.0,13.0,13.0,8
1999-08-17 15:00:00,9.0,9.0,9.0,9.0,0
1999-08-18 16:25:00,12.0,12.0,12.0,12.0,2
1999-08-20 14:25:00,17.2,17.2,17.2,17.2,0
1999-09-06 13:35:00,14.0,14.0,14.0,14.0,0
1999-09-09 11:25:00,12.5,12.5,12.5,12.5,2
1999-09-30 11:20:00,18.0,18.0,18.0,18.0,0
1999-11-04 14:45:00,13.0,13.0,13.0,13.0,0
1999-11-15 14:05:00,13.0,13.0,13.0,13.0,0
1999-11-16 16:00:00,13.0,13.0,13.0,13.0,0
1999-11-18 11:05:00,14.5,14.5,14.5,14.5,40
1999-11-18 11:25:00,12.0,12.0,12.0,12.0,40
1999-11-18 15:15:00,13.0,13.0,13.0,13.0,2
1999-11-18 15:20:00,13.0,13.0,13.0,13.0,2
1999-11-19 11:00:00,13.0,13.0,13.0,13.0,2
1999-11-23 15:05:00,15.0,15.0,15.0,15.0,0
1999-11-23 15:25:00,14.5,14.5,14.5,14.5,1
1999-11-23 17:15:00,15.0,15.0,15.0,15.0,0
1999-11-23 17:40:00,14.5,14.5,14.5,14.5,0
1999-11-23 17:45:00,14.5,14.5,14.5,14.5,0
1999-11-23 17:55:00,14.5,14.5,14.5,14.5,0
1999-11-24 17:15:00,14.0,14.0,14.0,14.0,1
1999-11-25 12:10:00,13.3,13.3,13.3,13.3,1
1999-11-26 16:10:00,14.2,14.2,14.2,14.2,0
1999-11-26 17:00:00,14.2,14.2,14.2,14.2,2
1999-11-30 12:40:00,14.1,14.1,14.1,14.1,1
1999-11-30 12:50:00,14.1,14.1,14.1,14.1,2
1999-11-30 13:10:00,14.1,14.1,14.1,14.1,2
1999-11-30 14:10:00,14.6,14.6,14.6,14.6,4
1999-11-30 15:05:00,14.6,14.6,14.6,14.6,3
1999-12-02 17:10:00,17.0,17.0,17.0,17.0,0
1999-12-02 17:30:00,20.0,20.0,20.0,20.0,5
1999-12-03 12:45:00,22.0,22.0,22.0,22.0,1
1999-12-03 12:55:00,22.0,22.0,22.0,22.0,3
1999-12-03 15:50:00,22.0,22.0,22.0,22.0,1
1999-12-03 16:05:00,22.0,22.0,22.0,22.0,0
1999-12-06 17:40:00,21.4,21.4,21.4,21.4,1
1999-12-07 17:00:00,19.7,19.7,19.7,19.7,1
1999-12-08 13:00:00,21.0,21.0,21.0,21.0,1
1999-12-08 16:55:00,20.0,20.0,20.0,20.0,1
1999-12-10 12:45:00,19.0,19.0,19.0,19.0,0
1999-12-15 11:20:00,22.0,22.0,22.0,22.0,30
1999-12-15 11:25:00,18.0,18.0,18.0,18.0,30
1999-12-15 14:15:00,21.0,23.0,21.0,23.0,6
1999-12-17 15:05:00,24.0,24.0,24.0,24.0,5
1999-12-17 15:10:00,25.0,25.0,25.0,25.0,2
1999-12-21 14:45:00,29.5,29.5,29.5,29.5,0
1999-12-21 15:20:00,29.5,30.0,29.5,30.0,0
1999-12-23 14:25:00,27.2,27.2,27.2,27.2,1
1999-12-23 14:30:00,27.2,27.2,27.2,27.2,2
1999-12-23 17:20:00,27.2,27.2,27.2,27.2,0
1999-12-24 14:30:00,29.0,29.5,29.0,29.5,5
1999-12-24 17:15:00,32.0,32.0,32.0,32.0,0
1999-12-27 13:05:00,32.8,32.8,32.8,32.8,0
1999-12-27 16:20:00,32.8,32.8,32.8,32.8,0
1999-12-27 16:25:00,32.8,32.8,32.8,32.8,2
1999-12-27 17:55:00,32.8,32.8,32.8,32.8,0
2000-01-11 14:25:00,35.2,35.2,35.2,35.2,3
2000-01-11 14:45:00,37.7,37.7,37.7,37.7,0
2000-01-11 14:55:00,38.7,39.7,38.7,39.7,8
2000-01-11 15:35:00,35.7,35.7,35.7,35.7,0
2000-01-13 14:30:00,44.0,44.0,44.0,44.0,0
2000-01-13 15:05:00,44.0,45.0,44.0,45.0,0
2000-01-17 17:30:00,41.6,41.6,41.6,41.6,5
2000-01-18 11:20:00,41.0,41.0,41.0,41.0,0
2000-01-18 11:25:00,41.0,45.0,41.0,45.0,3
2000-01-18 15:00:00,43.0,43.0,43.0,43.0,0
2000-01-18 15:10:00,37.0,37.0,37.0,37.0,0
2000-01-20 13:10:00,42.0,42.0,42.0,42.0,9
2000-01-20 13:40:00,42.0,42.0,42.0,42.0,4
2000-01-20 14:00:00,44.5,44.5,44.5,44.5,0
2000-01-20 16:15:00,40.0,40.0,40.0,40.0,0
2000-01-21 11:20:00,42.5,42.5,42.5,42.5,0
2000-01-21 11:25:00,42.5,42.5,42.5,42.5,0
2000-01-24 17:10:00,41.0,41.0,41.0,41.0,2
2000-01-24 17:50:00,41.0,42.0,41.0,42.0,8
2000-01-24 17:55:00,42.0,42.0,42.0,42.0,2
2000-01-25 12:55:00,38.0,38.0,38.0,38.0,0
2000-01-25 16:05:00,43.0,44.0,43.0,44.0,3
2000-01-27 12:40:00,44.0,44.0,43.0,43.0,4
2000-01-27 13:05:00,43.0,43.0,43.0,43.0,0
2000-01-27 15:35:00,44.0,44.0,44.0,44.0,2
2000-01-31 12:50:00,43.0,43.0,43.0,43.0,5
2000-01-31 15:40:00,41.0,41.0,40.5,40.5,5
2000-02-01 15:35:00,43.0,43.0,43.0,43.0,3
2000-02-01 17:15:00,40.5,40.5,40.5,40.5,1
2000-02-01 17:30:00,40.5,40.5,40.5,40.5,3
2000-02-02 15:05:00,45.0,45.0,45.0,45.0,4
2000-02-02 16:00:00,45.0,45.0,45.0,45.0,2
2000-02-03 11:40:00,42.0,42.0,42.0,42.0,0
2000-02-03 12:35:00,44.0,44.0,44.0,44.0,2
2000-02-03 13:40:00,49.0,49.0,49.0,49.0,5
2000-02-03 14:25:00,49.0,50.0,49.0,50.0,0
2000-02-03 15:05:00,59.0,60.0,59.0,60.0,6
2000-02-03 15:20:00,67.0,67.0,67.0,67.0,0
2000-02-03 16:00:00,58.5,58.5,58.5,58.5,0
2000-02-03 16:25:00,55.5,55.5,55.5,55.5,2
2000-02-03 17:45:00,53.5,53.5,53.5,53.5,0
2000-02-08 12:00:00,58.0,58.0,58.0,58.0,2
2000-02-08 12:35:00,61.0,61.0,61.0,61.0,0
2000-02-08 15:20:00,61.0,61.0,61.0,61.0,2
2000-02-09 11:30:00,65.0,65.0,65.0,65.0,0
2000-02-09 13:20:00,66.0,67.0,66.0,67.0,1
2000-02-09 17:25:00,67.0,67.0,67.0,67.0,8
2000-02-09 17:45:00,67.0,67.0,67.0,67.0,0
2000-02-09 17:55:00,61.0,61.0,61.0,61.0,3
2000-02-10 14:20:00,65.0,70.0,65.0,70.0,1
2000-02-10 17:30:00,70.0,70.0,70.0,70.0,0
2000-02-11 15:10:00,74.5,75.0,74.5,75.0,0
2000-02-11 15:30:00,75.0,75.0,75.0,75.0,0
2000-02-14 17:45:00,75.0,75.0,75.0,75.0,0
2000-02-16 13:25:00,70.0,70.0,70.0,70.0,0
2000-02-16 15:35:00,70.0,70.0,70.0,70.0,0
2000-02-16 16:40:00,70.0,70.0,70.0,70.0,1
2000-02-16 17:50:00,70.0,70.0,70.0,70.0,1
2000-02-16 17:55:00,70.0,70.0,70.0,70.0,6
2000-02-17 16:35:00,65.0,65.0,65.0,65.0,0
2000-02-24 14:40:00,60.0,60.0,60.0,60.0,0
2000-02-24 15:10:00,55.0,55.0,55.0,55.0,0
2000-02-25 13:35:00,60.5,60.5,60.5,60.5,0
2000-02-25 13:45:00,60.5,60.5,60.5,60.5,1
2000-02-25 17:35:00,60.0,60.0,60.0,60.0,0
2000-02-28 14:15:00,53.0,53.0,53.0,53.0,5
2000-02-28 16:25:00,50.0,50.0,50.0,50.0,0
2000-03-01 13:55:00,51.0,51.0,51.0,51.0,2
2000-03-01 14:20:00,51.0,51.0,51.0,51.0,2
2000-03-01 14:50:00,57.0,57.0,57.0,57.0,0
2000-03-01 15:30:00,50.0,50.0,50.0,50.0,2
2000-03-02 17:25:00,48.3,48.3,48.3,48.3,0
2000-03-06 15:15:00,57.0,57.0,57.0,57.0,0
2000-03-07 13:40:00,57.0,57.0,57.0,57.0,1
2000-03-09 13:25:00,55.1,55.1,55.1,55.1,0
2000-03-09 17:55:00,56.6,56.6,56.6,56.6,1
2000-03-10 12:20:00,63.0,63.0,63.0,63.0,0
2000-03-10 12:45:00,63.0,63.0,63.0,63.0,0
2000-03-10 13:35:00,61.0,61.0,61.0,61.0,2
2000-03-10 13:40:00,60.0,60.0,60.0,60.0,0
2000-03-10 16:10:00,60.0,60.0,60.0,60.0,5
2000-03-10 16:15:00,60.0,60.0,60.0,60.0,5
2000-03-10 16:20:00,60.0,60.0,60.0,60.0,5
2000-03-10 16:45:00,60.0,60.0,60.0,60.0,0
2000-03-10 17:05:00,60.0,60.0,60.0,60.0,0
2000-03-13 16:30:00,52.0,52.0,52.0,52.0,1
2000-03-14 13:20:00,55.0,55.0,55.0,55.0,0
2000-03-15 17:10:00,60.0,60.0,60.0,60.0,3
2000-03-15 17:15:00,60.0,62.0,60.0,62.0,2
2000-03-17 12:45:00,55.0,55.0,55.0,55.0,1
2000-03-17 14:45:00,55.0,55.0,55.0,55.0,1
2000-03-22 16:05:00,61.3,61.3,61.3,61.3,0
2000-03-22 16:10:00,61.3,61.3,61.3,61.3,0
2000-03-23 13:40:00,58.5,58.5,58.5,58.5,0
2000-03-27 14:15:00,55.6,55.6,55.6,55.6,0
2000-03-28 13:25:00,61.0,61.0,61.0,61.0,0
2000-03-28 13:55:00,58.0,58.0,58.0,58.0,0
2000-03-28 15:45:00,56.0,56.0,56.0,56.0,0
2000-03-28 16:45:00,59.0,59.0,59.0,59.0,0
2000-03-29 11:35:00,61.9,61.9,61.9,61.9,0
2000-03-30 11:55:00,52.5,52.5,52.5,52.5,0
2000-03-30 12:00:00,52.5,52.5,52.5,52.5,2
2000-03-30 15:05:00,52.5,52.5,52.5,52.5,0
2000-03-30 17:10:00,55.5,55.5,55.5,55.5,0
2000-03-30 17:20:00,54.5,54.5,54.5,54.5,0
2000-03-30 17:25:00,54.5,54.5,54.5,54.5,1
2000-03-30 17:45:00,54.5,54.5,54.5,54.5,0
2000-03-31 14:55:00,55.0,55.0,55.0,55.0,0
2000-03-31 17:25:00,55.0,55.0,55.0,55.0,0
2000-03-31 17:55:00,55.0,55.0,55.0,55.0,0
2000-04-03 14:15:00,61.5,61.5,61.5,61.5,0
2000-04-03 17:05:00,61.5,61.5,61.5,61.5,0
2000-04-04 11:40:00,61.9,62.0,61.9,62.0,3
2000-04-04 11:45:00,63.0,63.0,63.0,63.0,0
2000-04-04 11:50:00,62.0,62.0,62.0,62.0,0
2000-04-04 12:40:00,63.0,63.0,63.0,63.0,2
2000-04-04 14:15:00,60.5,60.5,60.5,60.5,0
2000-04-04 14:20:00,60.5,60.5,60.5,60.5,0
2000-04-04 15:30:00,62.0,62.0,62.0,62.0,0
2000-04-04 15:40:00,62.0,62.0,62.0,62.0,0
2000-04-04 15:45:00,62.5,62.5,62.5,62.5,0
2000-04-05 11:45:00,55.0,55.0,55.0,55.0,0
2000-04-07 16:15:00,62.5,62.5,62.5,62.5,0
2000-04-07 16:20:00,63.0,63.0,63.0,63.0,2
2000-04-07 16:25:00,63.0,63.0,63.0,63.0,8
2000-04-07 16:30:00,63.0,63.0,63.0,63.0,1
2000-04-07 16:45:00,64.0,64.0,64.0,64.0,1
2000-04-07 16:50:00,64.0,64.0,64.0,64.0,1
2000-04-07 17:05:00,64.0,64.0,64.0,64.0,0
2000-04-07 17:50:00,63.0,63.0,63.0,63.0,0
2000-04-10 14:25:00,63.0,63.6,63.0,63.6,2
2000-04-10 15:40:00,64.6,64.6,64.6,64.6,0
2000-04-12 17:00:00,64.0,64.0,60.0,60.0,50
2000-04-13 11:50:00,60.0,60.0,60.0,60.0,1
2000-04-13 16:15:00,62.0,62.0,62.0,62.0,0
2000-04-13 16:20:00,62.0,62.0,62.0,62.0,0
2000-04-13 17:25:00,62.0,62.0,62.0,62.0,0
2000-04-14 15:35:00,64.9,65.0,64.9,65.0,8
2000-04-14 16:30:00,67.0,67.0,67.0,67.0,10
2000-04-14 17:00:00,70.0,70.0,70.0,70.0,15
2000-04-14 17:20:00,70.0,70.0,70.0,70.0,0
2000-04-17 13:45:00,58.1,58.1,58.1,58.1,0
2000-04-19 11:00:00,7.4,7.4,7.4,7.4,0
2000-04-19 13:05:00,69.9,69.9,69.9,69.9,0
2000-04-25 17:50:00,61.5,61.5,61.5,61.5,0
2000-04-26 17:45:00,62.0,62.0,62.0,62.0,0
2000-04-27 17:05:00,63.0,63.0,63.0,63.0,0
2000-04-27 17:25:00,63.0,63.0,63.0,63.0,0
2000-05-12 17:35:00,68.0,68.0,68.0,68.0,0
2000-05-25 13:10:00,46.9,46.9,46.9,46.9,0
2000-05-26 15:50:00,65.0,65.0,65.0,65.0,3
2000-06-02 12:00:00,15.0,15.0,15.0,15.0,0
2000-06-08 14:35:00,49.9,49.9,49.9,49.9,1
2000-06-29 17:10:00,50.0,50.0,50.0,50.0,2
2000-06-29 17:15:00,50.0,50.0,50.0,50.0,1
2000-06-29 17:20:00,51.0,51.0,50.0,50.0,1
2000-06-29 17:35:00,50.0,50.0,50.0,50.0,0
2000-06-30 12:20:00,55.0,55.0,55.0,55.0,1
2000-07-03 12:05:00,55.0,55.0,55.0,55.0,0
2000-07-04 13:50:00,55.0,60.0,55.0,60.0,0
2000-07-13 17:25:00,52.0,52.0,52.0,52.0,1
2000-07-14 14:20:00,52.0,60.0,52.0,60.0,3
2000-07-17 15:20:00,54.0,54.0,54.0,54.0,0
2000-07-18 14:20:00,57.0,57.0,57.0,57.0,0
2000-07-20 14:10:00,57.0,57.0,57.0,57.0,0
2000-08-02 14:05:00,50.0,50.0,50.0,50.0,0
2000-08-03 13:35:00,52.0,52.0,52.0,52.0,0
2000-08-04 16:30:00,59.0,60.0,59.0,60.0,1
2000-08-07 16:25:00,60.0,60.0,60.0,60.0,0
2000-08-14 17:50:00,60.0,60.0,60.0,60.0,0
2000-08-18 17:55:00,55.0,55.0,55.0,55.0,0
2000-08-22 16:05:00,60.0,60.0,60.0,60.0,1
2000-08-22 16:30:00,60.0,60.0,60.0,60.0,0
2000-09-06 17:50:00,55.7,55.7,55.7,55.7,10
2000-09-15 13:05:00,50.0,50.0,50.0,50.0,0
2000-09-20 11:45:00,50.0,50.0,50.0,50.0,0
2000-09-20 15:05:00,52.0,52.0,52.0,52.0,0
2000-09-20 15:10:00,54.0,54.0,54.0,54.0,10
2000-09-20 17:25:00,54.0,54.0,54.0,54.0,0
2000-09-21 13:05:00,64.0,64.0,64.0,64.0,4
2000-09-21 13:10:00,64.0,64.0,64.0,64.0,10
2000-09-21 13:20:00,69.0,69.0,65.0,65.0,10
2000-09-21 13:25:00,69.0,69.0,69.0,69.0,11
2000-09-21 14:15:00,69.0,69.0,69.0,69.0,0
2000-09-22 14:05:00,65.0,65.0,65.0,65.0,0
2000-09-26 12:25:00,69.0,69.0,69.0,69.0,0
2000-09-26 13:35:00,69.0,69.0,69.0,69.0,1
2000-09-29 16:45:00,69.9,69.9,69.9,69.9,1
2000-10-03 17:45:00,67.0,67.0,67.0,67.0,1
2000-10-04 17:45:00,69.0,69.0,69.0,69.0,0
2000-10-17 14:05:00,65.0,65.0,65.0,65.0,0
2000-10-20 11:05:00,67.0,67.0,67.0,67.0,3
2000-10-20 11:10:00,67.0,67.0,67.0,67.0,2
2000-10-23 15:00:00,66.0,66.0,66.0,66.0,0
2000-10-24 11:15:00,66.0,70.1,66.0,70.0,2
2000-10-24 11:30:00,70.0,70.0,70.0,70.0,7
2000-10-24 11:35:00,70.0,70.0,70.0,70.0,5
2000-10-24 11:40:00,70.0,70.0,70.0,70.0,3
2000-10-24 11:55:00,70.0,70.0,70.0,70.0,1
2000-10-24 12:20:00,70.0,70.0,70.0,70.0,4
2000-10-24 12:25:00,70.0,70.0,70.0,70.0,0
2000-10-24 13:00:00,72.5,72.5,72.5,72.5,0
2000-10-24 15:50:00,70.0,70.0,70.0,70.0,3
2000-10-24 16:45:00,70.0,70.0,70.0,70.0,2
2000-10-24 17:50:00,70.0,70.0,70.0,70.0,1
2000-10-25 12:45:00,71.0,71.0,71.0,71.0,3
2000-10-25 12:50:00,71.0,71.0,71.0,71.0,2
2000-10-27 15:30:00,71.0,71.0,71.0,71.0,5
2000-10-27 15:40:00,71.0,71.0,71.0,71.0,1
2000-10-27 16:25:00,71.0,71.0,71.0,71.0,4
2000-10-27 16:35:00,71.0,71.0,71.0,71.0,1
2000-10-27 17:30:00,71.0,71.0,71.0,71.0,1
2000-10-27 17:50:00,71.0,71.0,71.0,71.0,0
2000-10-30 15:35:00,70.0,70.0,70.0,70.0,1
2000-10-31 14:25:00,70.0,70.0,70.0,70.0,0
2000-10-31 14:40:00,70.0,70.0,70.0,70.0,0
2000-10-31 15:05:00,70.0,70.0,70.0,70.0,3
2000-10-31 15:10:00,73.0,73.0,73.0,73.0,1
2000-10-31 17:55:00,71.0,71.0,71.0,71.0,0
2000-11-02 17:55:00,71.0,71.0,71.0,71.0,2
2000-11-08 14:10:00,70.0,70.0,70.0,70.0,4
2000-11-09 14:55:00,68.0,68.0,68.0,68.0,1
2000-11-09 17:15:00,68.0,68.0,68.0,68.0,0
2000-11-20 16:15:00,69.0,69.0,69.0,69.0,2
2000-11-20 17:10:00,69.0,69.0,69.0,69.0,0
2000-11-20 17:20:00,69.0,69.0,69.0,69.0,1
2000-11-20 17:30:00,69.0,69.0,69.0,69.0,1
2000-11-28 13:15:00,65.0,65.0,65.0,65.0,0
2000-11-28 16:15:00,60.0,60.0,60.0,60.0,0
2000-12-04 14:20:00,60.0,60.0,60.0,60.0,1
2000-12-14 15:00:00,50.0,50.0,50.0,50.0,0
2000-12-14 15:30:00,50.0,50.0,50.0,50.0,0
2000-12-14 17:10:00,50.0,50.0,50.0,50.0,0
2000-12-15 16:20:00,46.0,46.0,46.0,46.0,0
2000-12-21 16:45:00,30.0,30.0,30.0,30.0,0
2000-12-25 14:30:00,49.0,49.0,49.0,49.0,0
2000-12-28 12:45:00,50.0,50.0,50.0,50.0,0
2000-12-28 16:30:00,47.0,47.0,47.0,47.0,0
2001-01-04 13:15:00,60.0,60.0,60.0,60.0,0
2001-01-12 14:55:00,53.0,53.0,53.0,53.0,0
2001-01-15 11:30:00,49.8,49.8,49.8,49.8,0
2001-01-15 13:35:00,52.8,52.8,52.8,52.8,0
2001-01-15 15:00:00,52.8,52.8,52.8,52.8,0
2001-01-23 11:10:00,52.0,52.0,52.0,52.0,0
2001-01-23 12:35:00,50.0,50.0,50.0,50.0,0
2001-02-01 17:15:00,47.0,47.0,47.0,47.0,0
2001-02-05 17:55:00,46.0,46.0,46.0,46.0,0
2001-02-07 14:55:00,43.0,43.0,43.0,43.0,1
2001-02-07 15:30:00,43.0,43.0,43.0,43.0,0
2001-02-07 16:50:00,43.0,43.0,43.0,43.0,1
2001-02-07 17:10:00,43.5,43.5,43.5,43.5,1
2001-02-08 13:05:00,44.5,44.5,44.5,44.5,3
2001-02-08 13:15:00,44.5,45.0,44.5,45.0,2
2001-02-08 15:45:00,45.0,45.0,45.0,45.0,3
2001-02-09 15:00:00,43.5,43.5,43.5,43.5,0
2001-02-09 16:40:00,44.0,44.0,44.0,44.0,3
2001-02-16 14:05:00,47.0,47.0,47.0,47.0,0
2001-02-16 17:10:00,45.0,45.0,45.0,45.0,1
2001-02-19 16:20:00,45.0,45.0,45.0,45.0,0
2001-02-20 17:45:00,45.5,45.5,45.5,45.5,6
2001-02-21 12:20:00,45.0,45.0,45.0,45.0,0
2001-02-23 16:45:00,42.0,42.0,42.0,42.0,1
2001-03-02 17:55:00,43.0,43.0,43.0,43.0,0
2001-03-14 16:30:00,42.0,42.0,42.0,42.0,2
2001-03-21 16:00:00,48.0,48.0,48.0,48.0,1
2001-03-21 17:00:00,52.5,52.5,52.5,52.5,1
2001-03-22 12:50:00,50.0,50.0,50.0,50.0,2
2001-03-23 14:15:00,52.8,52.8,52.8,52.8,2
2001-03-23 16:05:00,57.8,57.8,57.8,57.8,5
