datetime,open,high,low,close,volume
2020-09-01,1870.0,2108.0,1850.0,1898.0,214770
2020-10-01,1895.8,1929.8,1740.4,1824.0,465813
2020-11-01,1830.6,2019.8,1809.2,1870.2,338763
2020-12-01,1879.0,2626.8,1831.0,2265.0,237520
2021-01-01,2300.0,2398.4,1988.0,2353.0,190131
2021-02-01,2301.6,2679.0,2252.6,2634.8,131674
2021-03-01,2610.0,2781.8,2283.2,2577.2,215283
2021-04-01,2619.6,3300.0,2573.2,3124.8,168049
2021-05-01,3020.0,3496.5,2707.0,3030.0,218214
2021-06-01,3078.5,3180.5,2606.0,3103.0,368274
2021-07-01,3057.5,3750.0,2981.5,3128.0,325521
2021-08-01,3124.0,4114.0,3020.0,3911.0,339044
2021-09-01,3911.0,4160.0,3465.0,3558.0,267201
2021-10-01,3562.0,4308.0,3519.0,3776.0,428419
2021-11-01,3830.0,4952.0,3671.0,4113.0,602702
2021-12-01,4140.0,4322.0,3300.0,3889.0,741559
2022-01-01,3898.0,4002.0,2597.0,3421.0,1172555
2022-02-01,3401.0,3797.0,1400.0,1549.0,609082
2022-03-01,1497.0,2362.0,1220.0,2280.0,88843
2022-04-01,2285.0,2808.0,1450.0,1682.0,133467
2022-05-01,1706.0,1725.0,1140.0,1180.0,54714
2022-06-01,1181.0,1246.0,813.0,917.0,88633
2022-07-01,938.0,1850.0,820.0,1628.0,278451
2022-08-01,1650.0,1928.0,1325.0,1516.0,312028
2022-09-01,1517.0,1519.0,853.0,1050.0,317416
2022-10-01,1075.0,1425.0,1025.0,1385.0,122217
2022-11-01,1385.0,1475.0,1201.0,1374.0,192244
2022-12-01,1360.0,1389.0,1161.0,1202.0,228212
2023-01-01,1222.0,1436.0,1080.0,1399.0,426435
2023-02-01,1419.0,1440.0,1280.0,1331.0,160458
2023-03-01,1326.0,1388.0,1255.0,1366.0,186249
2023-04-01,1366.0,1789.0,1335.0,1603.0,386260
2023-05-01,1603.0,2088.0,1426.0,2021.0,487111
2023-06-01,2043.0,2548.0,1845.0,2144.0,786401
2023-07-01,2148.0,2520.0,2102.0,2495.0,574352
2023-08-01,2504.0,4250.0,2080.0,3750.0,2500988
2023-09-01,3753.0,3840.0,3050.0,3385.0,898904
2023-10-01,3406.0,3930.0,3306.0,3745.0,785607
2023-11-01,3825.0,4000.0,3101.0,3481.0,625657
2023-12-01,3509.0,3529.0,2703.0,2950.0,699484
2024-01-01,2981.0,3158.0,2955.0,3121.0,59097
