datetime,open,high,low,close,volume
2005-11-01,0.0,0.0,0.0,0.0,100
2005-12-01,2.0,3.0,2.0,3.0,100
2007-02-01,12.0,12.0,12.0,12.0,100
2007-04-01,21.0,51.0,20.0,20.0,470
2007-05-01,22.0,50.0,18.0,20.0,980
2007-06-01,23.0,23.0,20.0,20.0,30
2007-07-01,14.0,21.0,10.0,19.0,5550
2007-08-01,19.0,61.0,19.0,21.0,68150
2007-09-01,21.0,26.0,16.0,23.0,10530
2007-10-01,23.0,27.0,20.0,24.0,40400
2007-11-01,23.0,26.0,20.0,20.0,9930
2007-12-01,21.0,22.0,18.0,19.0,9980
2008-01-01,19.0,24.0,15.0,19.0,19480
2008-02-01,20.0,21.0,18.0,19.0,1870
2008-03-01,21.0,30.0,17.0,20.0,46030
2008-04-01,20.0,24.0,19.0,21.0,25550
2008-05-01,19.0,23.0,19.0,19.0,38650
2008-06-01,19.0,22.0,19.0,20.0,16220
2008-07-01,19.0,22.0,16.0,16.0,24220
2008-08-01,16.0,24.0,11.0,16.0,23670
2008-09-01,16.0,21.0,11.0,18.0,10690
2008-10-01,20.0,20.0,13.0,14.0,11980
2008-11-01,13.0,15.0,11.0,13.0,5450
2008-12-01,13.0,16.0,11.0,15.0,32040
2009-01-01,13.0,17.0,7.0,16.0,11630
2009-02-01,16.0,17.0,12.0,17.0,2610
2009-03-01,15.0,18.0,13.0,13.0,3980
2009-04-01,14.0,19.0,13.0,16.0,7310
2009-05-01,15.0,15.0,13.0,15.0,27600
2009-06-01,16.0,23.0,9.0,16.0,47520
2009-07-01,15.0,19.0,14.0,16.0,4980
2009-08-01,15.0,19.0,14.0,16.0,28770
2009-09-01,16.0,18.0,15.0,16.0,9140
2009-10-01,17.0,18.0,15.0,17.0,9030
2009-11-01,18.0,24.0,16.0,21.0,14500
2009-12-01,21.0,22.0,19.0,19.0,5800
2011-12-01,43.0,90.0,43.0,80.0,260
2012-01-01,80.0,95.0,63.0,85.0,6630
2012-02-01,87.0,87.0,77.0,83.0,970
2012-03-01,81.0,87.0,80.0,85.0,3310
2012-04-01,85.0,87.0,71.0,75.0,2770
2012-05-01,89.0,89.0,72.0,72.0,58980
2012-06-01,85.0,85.0,70.0,72.0,7750
2012-07-01,75.0,84.0,75.0,78.0,10210
2012-08-01,78.0,82.0,78.0,82.0,3160
2012-09-01,82.0,96.0,81.0,96.0,6500
2012-10-01,86.0,112.0,82.0,99.0,1310
2012-11-01,95.0,116.0,82.0,88.0,1200
2012-12-01,88.0,90.0,82.0,88.0,840
2013-01-01,89.0,98.0,81.0,98.0,1470
2013-02-01,85.0,89.0,80.0,84.0,2230
2013-03-01,76.0,85.0,76.0,82.0,2010
2013-04-01,85.0,85.0,66.0,69.0,1960
2013-05-01,70.0,82.0,70.0,82.0,100
2013-06-01,80.0,82.0,68.0,82.0,4470
2013-07-01,80.0,81.0,80.0,81.0,580
2013-08-01,78.0,78.0,70.0,70.0,550
2013-09-01,68.0,73.0,68.0,72.0,1880
2013-10-01,72.0,73.0,71.0,72.0,600
2013-11-01,63.0,74.0,63.0,71.0,2670
2013-12-01,72.0,75.0,71.0,73.0,2580
2014-01-01,72.0,72.0,72.0,72.0,50
2014-02-01,71.0,77.0,68.0,77.0,130
2014-03-01,65.0,70.0,65.0,70.0,130
2014-04-01,67.0,77.0,66.0,77.0,370
2014-05-01,67.0,69.0,67.0,69.0,20
2014-06-01,82.0,82.0,68.0,68.0,30
2014-09-01,69.0,85.0,69.0,70.0,1020
2014-10-01,60.0,60.0,60.0,60.0,10
2015-01-01,75.0,88.0,75.0,88.0,20
2015-02-01,50.0,50.0,50.0,50.0,30
2015-03-01,43.0,49.0,43.0,49.0,20
2015-04-01,84.0,88.0,46.0,88.0,740
2015-06-01,54.0,97.0,54.0,84.0,510
2015-09-01,67.0,78.0,67.0,77.0,700
2015-10-01,80.0,80.0,80.0,80.0,400
2015-11-01,80.0,90.0,78.0,78.0,400
2015-12-01,80.0,131.0,80.0,116.0,3800
2016-02-01,101.0,101.0,101.0,101.0,100
2016-06-01,115.0,115.0,101.0,110.0,40
2016-09-01,122.0,205.0,103.0,181.0,390
