datetime,open,high,low,close,volume
2023-04-23,25.032,38.496,25.032,38.496,15388550
2023-04-30,38.494,42.0,31.55,32.2,69203750
2023-05-07,33.3,34.8,31.25,32.29,12216920
2023-05-14,32.56,33.2,31.31,31.53,8455880
2023-05-21,32.518,32.6,28.126,30.0,9921120
2023-05-28,30.0,33.616,29.042,31.994,10486070
2023-06-04,31.992,34.494,30.536,32.2,8579220
2023-06-11,32.818,34.6,32.202,32.8,5307650
2023-06-18,33.138,35.25,32.28,34.11,8490400
2023-06-25,33.94,34.5,32.54,33.432,3496620
2023-07-02,33.402,33.7,31.98,32.092,2085220
2023-07-09,32.102,32.954,32.028,32.31,1411280
2023-07-16,32.31,35.0,32.31,33.35,714148
2023-07-23,33.362,34.788,32.952,34.054,715081
2023-07-30,34.398,35.43,32.57,33.8,746815
2023-08-06,34.2,34.6,32.65,34.195,281992
2023-08-13,34.205,34.68,31.315,32.8,380542
2023-08-20,33.0,35.33,32.735,33.56,432709
2023-08-27,33.575,33.94,32.55,32.8,250729
2023-09-03,33.19,33.995,32.1,32.645,371106
2023-09-10,32.56,39.93,26.89,37.3,6345311
2023-09-17,38.4,57.11,35.925,49.0,15696487
2023-09-24,49.5,53.625,42.55,46.8,6925884
2023-10-01,50.5,57.03,48.825,52.8,6757543
2023-10-08,53.03,67.45,52.165,64.0,12368719
2023-10-15,65.22,65.265,56.565,56.75,2265057
2023-10-22,56.76,61.795,52.3,55.83,3278931
2023-10-29,55.99,58.9,54.24,54.6,974425
2023-11-05,54.92,56.18,47.64,51.47,1058664
2023-11-12,51.6,53.5,40.0,47.035,2061411
2023-11-19,47.28,50.835,44.405,46.19,1232560
2023-11-26,46.48,46.99,43.005,43.965,501356
2023-12-03,43.9,43.9,36.845,37.7,614144
2023-12-10,37.67,38.77,35.765,37.745,478598
2023-12-17,38.175,46.55,37.595,44.135,1665623
2023-12-24,44.285,47.85,42.225,43.81,758665
2023-12-31,43.81,47.26,43.315,45.905,478711
