datetime,open,high,low,close,volume
2023-01-15,31.3,32.4,30.55,31.0,16196
2023-01-22,31.0,33.3,30.55,30.95,34333
2023-01-29,30.9,38.45,30.65,33.45,179903
2023-02-05,33.45,41.85,32.55,39.95,328641
2023-02-12,40.95,43.5,37.75,39.2,161866
2023-02-19,39.7,40.5,37.75,38.35,40119
2023-02-26,37.25,40.0,34.5,38.55,59235
2023-03-05,38.55,39.3,37.5,38.0,18932
2023-03-12,37.5,38.75,37.25,37.55,8477
2023-03-19,37.6,41.65,37.05,39.2,85319
2023-03-26,40.5,41.45,38.25,39.6,70718
2023-04-02,40.3,44.1,39.4,41.8,108107
2023-04-09,41.8,46.0,40.0,42.35,78885
2023-04-16,42.6,60.0,42.25,52.35,376698
2023-04-23,52.6,58.45,52.05,52.75,87043
2023-04-30,52.9,55.5,50.0,52.05,62438
2023-05-07,52.0,53.1,50.25,51.15,18989
2023-05-14,51.15,56.8,50.6,52.4,60739
2023-05-21,52.8,58.5,51.75,55.2,78108
2023-05-28,55.95,55.95,48.75,51.5,128147
2023-06-04,51.95,52.0,48.15,50.75,50685
2023-06-11,52.95,52.95,50.4,50.6,23022
2023-06-18,50.6,55.0,50.0,51.0,58926
2023-06-25,50.0,51.95,48.75,50.6,23240
2023-07-02,50.7,51.15,49.0,50.15,31924
2023-07-09,50.0,50.4,49.55,49.9,15880
2023-07-16,49.65,52.0,49.25,50.0,65246
2023-07-23,50.15,51.9,48.8,50.55,137679
2023-07-30,50.5,53.85,47.25,47.7,281800
2023-08-06,49.6,50.5,46.25,49.05,91844
2023-08-13,49.3,49.9,47.0,48.35,51152
2023-08-20,48.35,49.8,47.4,48.9,37711
2023-08-27,49.25,50.7,47.55,48.45,51948
2023-09-03,49.35,50.5,46.0,46.9,63510
2023-09-10,47.4,53.0,46.2,49.1,130888
2023-09-17,49.5,56.5,48.0,50.7,187341
2023-09-24,50.75,52.9,49.5,50.4,68410
2023-10-01,49.75,54.0,49.6,50.4,59846
2023-10-08,51.0,54.25,42.15,46.75,131649
2023-10-15,47.1,47.1,44.4,45.0,24407
2023-10-22,45.5,45.5,40.15,41.3,51270
2023-10-29,40.35,42.5,40.0,41.0,37050
2023-11-05,41.05,44.65,41.0,44.1,44443
2023-11-12,44.0,47.8,40.15,42.35,54259
2023-11-19,42.35,44.2,35.0,35.9,49051
2023-11-26,35.4,38.3,33.0,33.5,34873
2023-12-03,33.5,40.55,32.0,39.55,71642
2023-12-10,38.15,39.0,34.8,36.0,21803
2023-12-17,36.0,39.75,35.25,37.4,27385
2023-12-24,37.65,37.9,34.4,36.0,37981
2023-12-31,36.6,37.0,36.2,36.85,5333
