datetime,open,high,low,close,volume
1998-01-02,31.5,31.69,31.38,31.69,2400
1998-01-05,31.81,32.0,31.69,31.81,26000
1998-01-06,32.0,32.38,32.0,32.38,24200
1998-01-07,31.81,32.0,31.81,31.94,76300
1998-01-08,32.0,32.0,31.56,31.69,29400
1998-01-09,31.75,31.75,31.56,31.63,14500
1998-01-12,31.19,31.19,30.75,30.88,27400
1998-01-13,30.94,32.13,30.75,32.0,91600
1998-01-14,31.94,32.0,31.88,32.0,43700
1998-01-15,32.0,32.0,31.69,31.94,23700
1998-01-16,32.25,32.69,32.25,32.44,72800
1998-01-20,32.63,32.63,32.25,32.31,24900
1998-01-21,32.19,32.31,32.06,32.19,27200
1998-01-22,32.13,32.25,31.19,31.94,14300
1998-01-23,31.94,32.0,31.63,32.0,122400
1998-01-26,32.13,32.13,31.69,31.94,10300
1998-01-27,31.94,32.25,31.94,32.19,25400
1998-01-28,32.06,32.31,31.94,32.13,30500
1998-01-29,32.0,32.44,32.0,32.44,56300
1998-01-30,32.38,33.5,32.38,33.38,29700
1998-02-02,33.56,33.69,33.19,33.25,12300
1998-02-03,33.0,33.06,32.56,32.88,7500
1998-02-04,32.75,33.81,32.75,33.25,8000
1998-02-05,33.13,33.37,32.81,33.06,13500
1998-02-06,32.94,33.31,32.94,33.13,5000
1998-02-09,33.44,34.56,33.44,33.94,11500
1998-02-10,33.75,34.06,33.44,33.69,11900
1998-02-11,33.94,34.13,32.37,32.88,176400
1998-02-12,33.06,33.38,32.81,32.94,19800
1998-02-13,33.06,33.06,32.75,32.75,4800
1998-02-17,32.81,32.81,32.0,32.5,27900
1998-02-18,32.06,32.63,31.94,31.94,11200
1998-02-19,31.94,32.0,31.5,31.63,7200
1998-02-20,31.31,31.31,29.88,30.94,29300
1998-02-23,31.13,31.38,30.82,31.0,72900
1998-02-24,31.25,31.88,31.19,31.88,24700
1998-02-25,31.81,32.75,31.81,32.5,17600
1998-02-26,32.44,33.63,32.44,33.31,9000
1998-02-27,33.25,34.07,33.19,33.94,10300
1998-03-02,33.63,33.69,31.75,32.69,94100
1998-03-03,32.69,32.81,32.44,32.63,67100
1998-03-04,32.63,33.07,32.63,32.69,17100
1998-03-05,32.31,32.5,32.0,32.5,17100
1998-03-06,32.38,33.56,32.38,32.94,11100
1998-03-09,32.94,33.0,32.06,32.13,16200
1998-03-10,32.06,32.5,32.06,32.38,5800
1998-03-11,32.25,32.38,32.06,32.19,5800
1998-03-12,32.19,32.19,31.81,31.81,3800
1998-03-13,31.81,31.88,31.13,31.69,9400
1998-03-16,32.06,32.25,31.93,32.13,8600
1998-03-17,32.13,32.26,32.0,32.0,8900
1998-03-18,31.81,31.94,31.56,31.69,5400
1998-03-19,31.56,31.63,31.0,31.0,11600
1998-03-20,31.44,31.69,31.38,31.38,14200
1998-03-23,31.19,31.25,31.0,31.13,2900
1998-03-24,31.06,31.38,31.0,31.06,8100
1998-03-25,31.0,31.25,31.0,31.06,10100
1998-03-26,31.06,31.19,30.87,31.06,23600
1998-03-27,31.69,32.06,31.38,31.63,40300
1998-03-30,31.63,31.63,31.25,31.25,4100
1998-03-31,31.44,31.69,31.44,31.56,5200
1998-04-01,31.56,31.82,31.5,31.63,12900
1998-04-02,31.75,31.94,31.63,31.69,36800
1998-04-03,31.5,31.69,31.13,31.19,19300
1998-04-06,31.25,31.31,31.0,31.0,23400
1998-04-07,31.13,31.13,30.94,31.0,54100
1998-04-08,30.88,31.0,30.88,30.94,25100
1998-04-09,30.94,31.06,30.75,30.94,12200
1998-04-13,30.94,30.94,30.75,30.94,3000
1998-04-14,30.94,31.0,30.94,30.94,67300
1998-04-15,30.75,30.94,30.63,30.63,15700
