datetime,open,high,low,close,volume
2002-10-01,8.86,9.09,8.72,8.9,1691200
2002-10-02,8.95,9.1,8.7,8.82,1348400
2002-10-03,8.9,9.11,8.6,8.99,1413200
2002-10-04,9.0,9.18,8.3,8.67,1156400
2002-10-07,8.85,8.88,8.45,8.55,1449100
2002-10-08,8.63,8.65,6.8,7.03,3136900
2002-10-09,7.06,7.32,6.49,7.05,3492700
2002-10-10,7.2,7.4,6.8,7.36,2130000
2002-10-11,7.51,8.7,6.91,7.35,5808900
2002-10-14,7.0,7.01,6.66,6.68,2758700
2002-10-15,6.9,7.15,6.66,7.15,1666000
2002-10-16,7.3,7.3,6.58,6.66,1248500
2002-10-17,6.64,6.9399999999999995,6.13,6.18,2413800
2002-10-18,6.0,6.0,5.65,5.65,2157700
2002-10-21,5.8,5.93,5.7,5.77,1899500
2002-10-22,5.82,5.99,5.41,5.58,1983900
2002-10-23,5.75,5.76,5.42,5.73,1443900
2002-10-24,5.8,6.19,5.64,5.95,1697900
2002-10-25,5.95,6.3,5.75,6.24,1432400
2002-10-28,6.65,6.96,6.37,6.55,1651300
2002-10-29,6.8,6.95,6.5,6.7,1522100
2002-10-30,6.7,7.16,6.7,7.15,1076500
2002-10-31,7.18,7.2,6.85,7.07,1518500
2002-11-01,7.04,7.51,6.95,7.33,995600
2002-11-04,7.32,7.75,7.32,7.62,1059400
2002-11-05,7.2,7.21,6.25,6.36,3073300
2002-11-06,6.38,6.8,6.15,6.17,2945600
2002-11-07,6.19,7.25,6.17,7.21,5054200
2002-11-08,7.7,7.7,6.5,6.5,6996800
2002-11-11,6.35,6.7,6.16,6.45,1644300
2002-11-12,6.5,6.6899999999999995,6.47,6.58,1846500
2002-11-13,6.36,6.67,6.36,6.61,1229600
2002-11-14,6.63,6.92,6.61,6.78,1068300
2002-11-15,6.8,7.01,6.78,6.93,1504200
2002-11-18,6.99,7.25,6.99,7.08,1636500
2002-11-19,7.03,7.14,6.86,7.0,987400
2002-11-20,7.0,7.14,7.0,7.13,869500
2002-11-21,7.05,7.29,7.05,7.26,1248000
2002-11-22,7.24,7.59,7.1,7.5600000000000005,1359500
2002-11-25,7.55,7.63,7.41,7.46,1011300
2002-11-26,7.5,7.78,7.38,7.65,1894900
2002-11-27,7.55,7.76,7.5,7.64,783900
2002-11-29,7.5,7.71,7.5,7.65,370000
2002-12-02,7.65,7.73,7.4,7.55,710600
2002-12-03,7.55,7.59,7.27,7.48,686700
2002-12-04,7.4,7.47,6.8100000000000005,6.86,1376300
2002-12-05,7.07,7.1,6.9,6.96,1240100
2002-12-06,7.0,7.03,6.6899999999999995,6.84,905600
2002-12-09,6.8,6.97,6.75,6.86,949700
2002-12-10,6.82,7.2,6.8100000000000005,7.18,1110900
2002-12-11,7.2,7.6,6.9,7.58,1912700
2002-12-12,7.42,7.59,7.36,7.48,1317000
2002-12-13,7.6,7.65,7.46,7.5600000000000005,636800
2002-12-16,7.68,7.95,7.6,7.92,1390400
2002-12-17,8.0,8.15,7.88,8.0,1198400
2002-12-18,8.0,8.12,7.91,7.99,2129900
2002-12-19,8.0,8.21,7.9,8.03,946100
2002-12-20,8.0,8.38,8.0,8.36,1249900
2002-12-23,8.36,8.64,8.29,8.51,1019300
2002-12-24,8.5,8.77,8.49,8.59,536100
2002-12-26,8.49,8.65,8.36,8.46,752300
2002-12-27,8.5,8.59,8.31,8.47,616700
2002-12-30,8.55,8.6,8.36,8.49,1134000
2002-12-31,8.43,8.59,8.41,8.48,1429200
2003-01-02,8.56,8.58,8.35,8.5,1437200
2003-01-03,8.6,8.65,8.5,8.6,1768500
2003-01-06,8.62,8.68,8.2,8.54,3363900
2003-01-07,8.05,8.2,8.0,8.06,1683500
2003-01-08,8.06,8.27,8.02,8.15,1530200
2003-01-09,8.15,8.28,8.08,8.23,1082100
2003-01-10,8.25,8.4,8.1,8.36,961900
2003-01-13,8.41,8.41,8.08,8.29,1400100
2003-01-14,8.43,8.43,8.17,8.2,918600
2003-01-15,8.22,8.28,8.07,8.11,699100
2003-01-16,8.18,8.37,8.13,8.31,641600
2003-01-17,8.22,8.23,8.01,8.1,809500
2003-01-21,8.12,8.2,7.85,7.95,974100
2003-01-22,7.96,7.96,7.57,7.59,1144900
2003-01-23,7.6899999999999995,7.75,7.47,7.5,1089200
2003-01-24,7.35,7.6,6.98,7.5600000000000005,1841300
2003-01-27,7.35,7.5,6.7,6.73,1597600
2003-01-28,6.9,7.17,6.84,7.08,1030600
2003-01-29,7.0,7.04,6.8,6.98,610500
2003-01-30,6.9,7.05,6.8,6.96,694600
2003-01-31,6.88,7.07,6.85,6.99,752400
2003-02-03,7.05,7.42,6.98,7.42,668800
2003-02-04,7.24,7.24,7.0,7.11,1326800
2003-02-05,7.11,7.14,6.6,6.75,1051900
2003-02-06,6.65,6.85,6.51,6.8,1143500
2003-02-07,6.75,6.75,6.08,6.11,3621400
2003-02-10,6.22,6.25,6.01,6.18,1627000
2003-02-11,6.19,6.25,5.9,5.93,1467500
2003-02-12,6.0,6.0,5.64,5.65,1863500
2003-02-13,5.68,5.6899999999999995,5.05,5.19,3242100
2003-02-14,5.23,5.32,4.75,5.09,2354900
2003-02-18,5.06,5.26,5.06,5.1,1476300
2003-02-19,5.08,5.1,4.52,4.8,1903400
2003-02-20,4.8,4.96,4.6,4.64,1580600
2003-02-21,4.6,4.72,4.35,4.62,1554300
