datetime,open,high,low,close,volume
2013-12-09,23.9,25.44,23.45,24.96,20698322
2013-12-10,24.53,25.17,24.41,24.88,16285283
2013-12-11,25.44,27.19,25.37,25.99,31194241
2013-12-12,26.2,26.72,25.45,25.5,19006600
2013-12-13,25.61,26.31,25.52,26.3,10829193
2013-12-16,26.63,26.77,26.35,26.61,12005738
2013-12-17,26.47,26.59,25.95,26.1,9904547
2013-12-18,25.99,26.23,25.55,26.22,9330665
2013-12-19,26.09,26.49,25.82,26.12,6247633
2013-12-20,26.16,26.5,26.14,26.35,6718177
2013-12-23,26.29,26.49,26.05,26.21,4267464
2013-12-24,26.0,26.27,26.0,26.25,2577959
2013-12-26,26.12,26.36,25.97,26.11,4078978
2013-12-27,25.95,26.1,24.91,24.95,11984938
2013-12-30,24.87,25.25,24.65,24.78,8220238
2013-12-31,24.74,25.25,24.63,25.24,6641685
2014-01-02,25.07,25.82,25.06,25.37,8348305
2014-01-03,25.78,26.76,25.51,26.54,12554990
2014-01-06,26.62,27.2,26.6,27.0,10881443
2014-01-07,27.2,27.4,26.67,26.92,10822126
2014-01-08,26.41,27.68,26.35,27.64,14210709
2014-01-09,28.24,29.6,28.2,29.47,24761510
2014-01-10,29.05,29.83,28.75,29.35,11994148
2014-01-13,29.18,29.53,28.58,28.64,10156042
2014-01-14,28.75,29.04,28.71,28.89,9614190
2014-01-15,28.9,29.45,28.7,28.85,9591688
2014-01-16,28.94,29.4,28.7,29.32,6613501
2014-01-17,29.3,30.03,29.17,30.01,11642687
2014-01-21,30.66,30.8,30.2,30.65,10233603
2014-01-22,30.71,31.24,30.65,31.2,7281596
2014-01-23,30.69,31.46,30.62,31.34,10495783
2014-01-24,31.02,31.18,29.91,30.41,13222095
2014-01-27,30.4,30.87,28.67,30.19,15258617
2014-01-28,30.32,32.21,30.02,31.95,22893738
2014-01-29,32.24,33.4,32.1,33.0,21224283
2014-01-30,33.36,34.2,33.2,33.84,11951001
2014-01-31,33.44,34.08,33.0,33.55,11792620
2014-02-03,33.95,34.49,33.05,33.95,19530187
2014-02-04,34.04,34.38,33.58,34.05,10595806
2014-02-05,33.82,33.97,33.4,33.8,14494774
2014-02-06,33.71,34.92,33.7,34.63,13034811
2014-02-07,34.81,35.7,34.65,35.65,14841102
2014-02-10,36.1,36.15,35.38,35.55,10653239
2014-02-11,35.58,35.64,34.39,35.08,11493399
2014-02-12,34.89,35.0,34.36,34.69,8494331
2014-02-13,34.08,35.04,34.06,35.02,8059684
2014-02-14,34.85,35.18,34.22,34.43,7054225
2014-02-18,34.73,34.95,34.2,34.29,6650691
2014-02-19,34.25,35.09,34.11,34.56,7039657
2014-02-20,34.43,35.67,34.43,35.67,7799519
