datetime,open,high,low,close,volume
2012-02-08,13.3,15.05,13.29,14.0,2574580
2012-02-09,14.17,14.22,13.75,13.91,579836
2012-02-10,14.0,14.03,13.77,13.9,334271
2012-02-13,13.91,14.42,13.63,13.65,174507
2012-02-14,13.6,13.79,13.3,13.46,121557
2012-02-15,13.5,14.07,13.3,13.4,174537
2012-02-16,13.4,13.7,13.4,13.54,68742
2012-02-17,13.61,13.99,13.5,13.66,110298
2012-02-21,13.61,14.34,13.56,13.63,248231
2012-02-22,13.99,14.22,13.75,13.97,273843
2012-02-23,13.97,14.0,13.84,13.89,81439
2012-02-24,13.93,13.93,13.55,13.69,119706
2012-02-27,13.65,13.84,13.63,13.66,233711
2012-02-28,13.75,13.84,13.75,13.82,67308
2012-02-29,13.88,14.15,13.85,14.13,68094
2012-03-01,14.15,15.35,14.1,15.02,609907
2012-03-02,15.07,15.7,14.97,15.14,236740
2012-03-05,15.07,15.15,14.78,15.09,184818
2012-03-06,14.98,15.27,14.84,15.0,130512
2012-03-07,15.04,15.34,15.04,15.23,110004
2012-03-08,14.54,15.53,14.45,15.23,119532
2012-03-09,15.18,15.6,15.08,15.32,166176
2012-03-12,14.95,15.4,14.95,15.13,88958
2012-03-13,15.14,16.48,15.07,15.78,315117
2012-03-14,15.67,16.35,15.67,16.22,152583
2012-03-15,16.18,17.13,16.18,17.07,228338
2012-03-16,16.91,17.26,16.2,16.85,318740
2012-03-19,17.12,17.92,16.9,17.4,295160
2012-03-20,17.44,17.51,16.9,17.49,94877
2012-03-21,17.5,17.76,17.24,17.38,200273
2012-03-22,17.18,17.32,16.44,16.6,99140
2012-03-23,16.56,17.35,16.56,17.08,220466
2012-03-26,17.31,17.38,16.75,17.01,142021
2012-03-27,17.75,21.25,17.58,21.17,1349746
2012-03-28,21.0,21.05,18.99,20.0,845930
2012-03-29,19.73,20.8,19.0,20.13,543893
2012-03-30,20.29,20.7,19.75,20.47,248470
2012-04-02,20.39,22.0,20.39,21.68,437511
2012-04-03,21.52,22.23,21.11,22.16,206338
2012-04-04,21.79,21.87,20.56,21.16,169963
2012-04-05,21.03,21.4,20.61,20.96,101220
2012-04-09,20.58,21.44,19.76,21.27,93710
2012-04-10,21.14,22.07,21.06,21.78,198052
2012-04-11,21.93,23.61,21.78,22.65,192289
2012-04-12,22.67,23.53,22.35,23.23,89556
2012-04-13,23.12,23.12,22.45,22.66,95569
2012-04-16,22.87,23.21,20.91,21.25,144640
2012-04-17,21.28,21.28,19.97,20.19,131605
2012-04-18,20.14,21.11,19.8,20.2,136577
2012-04-19,20.25,20.71,19.77,20.36,76709
2012-04-20,20.56,20.92,20.01,20.02,106111
2012-04-23,19.63,20.6,19.08,20.16,126833
2012-04-24,20.24,21.27,19.38,19.8,192081
2012-04-25,20.0,20.18,19.38,19.78,74858
2012-04-26,19.88,20.24,19.76,20.05,120578
2012-04-27,20.1,20.82,19.85,20.03,159394
2012-04-30,20.01,21.23,19.93,20.6,180252
2012-05-01,20.61,21.19,20.35,20.73,87997
2012-05-02,20.66,22.1,20.4,21.9,233624
2012-05-03,21.76,21.76,20.64,21.05,167790
2012-05-04,20.98,20.98,20.1,20.44,111921
2012-05-07,20.38,20.86,20.0,20.09,185365
2012-05-08,19.88,19.88,17.6,18.15,344679
2012-05-09,17.92,18.0,17.28,17.77,165054
2012-05-10,17.93,17.93,17.43,17.58,144809
2012-05-11,17.49,17.72,17.13,17.36,33075
2012-05-14,17.15,17.15,15.5,16.0,174636
2012-05-15,15.96,15.96,14.93,15.31,206267
2012-05-16,15.85,16.64,15.6,15.65,235951
2012-05-17,15.72,15.74,15.05,15.06,98255
2012-05-18,15.2,15.75,14.84,14.94,171389
2012-05-21,15.06,16.27,14.72,15.67,169282
2012-05-22,15.64,15.8,15.14,15.67,189161
2012-05-23,15.58,16.67,15.57,16.62,166719
2012-05-24,16.65,16.98,16.25,16.95,93145
2012-05-25,16.93,17.16,16.77,17.0,110796
2012-05-29,17.13,17.23,17.0,17.2,167472
2012-05-30,16.97,17.33,16.89,17.3,74549
2012-05-31,17.28,17.58,17.23,17.5,70076
2012-06-01,17.16,17.16,16.38,16.53,69780
2012-06-04,16.54,16.59,16.28,16.42,27651
2012-06-05,16.37,16.98,16.32,16.75,151792
2012-06-06,16.86,17.43,16.59,16.59,155764
2012-06-07,16.88,16.88,16.38,16.5,30659
2012-06-08,16.44,16.86,16.21,16.77,10400
2012-06-11,16.89,17.42,16.83,16.89,56958
2012-06-12,16.94,17.44,16.8,17.4,45781
2012-06-13,17.41,18.14,17.2,17.97,67657
2012-06-14,17.88,18.06,17.74,17.86,38539
2012-06-15,17.84,17.86,17.57,17.65,52702
2012-06-18,17.67,17.95,17.61,17.62,30520
2012-06-19,17.76,17.76,17.55,17.57,36868
2012-06-20,17.6,17.89,17.38,17.88,138978
2012-06-21,18.13,18.27,17.79,17.86,60042
2012-06-22,17.98,18.26,17.8,17.92,40108
2012-06-25,17.8,17.85,17.27,17.4,43730
2012-06-26,17.36,17.5,16.65,16.93,46341
2012-06-27,17.01,17.15,16.85,17.02,103370
2012-06-28,16.94,16.96,16.36,16.63,40241
2012-06-29,17.02,17.14,16.73,17.04,66047
2012-07-02,16.99,17.39,16.94,17.15,55734
2012-07-03,17.26,17.29,16.94,17.06,10062
2012-07-05,17.02,17.14,16.93,17.0,51024
2012-07-06,16.86,16.86,15.96,16.19,10184
2012-07-09,16.16,16.16,15.43,15.74,18343
2012-07-10,15.71,16.06,15.41,15.44,26674
