datetime,open,high,low,close,volume
2011-03-10,31.21,31.5,30.7,31.1,48966671
2011-03-11,30.5,31.29,30.5,31.13,9340807
2011-03-14,30.96,31.05,30.57,30.9,8351783
2011-03-15,30.39,31.5,30.36,31.38,7066514
2011-03-16,31.25,31.96,31.12,31.22,6080185
2011-03-17,31.54,31.93,31.4,31.9,3179989
2011-03-18,32.11,33.08,31.9,32.78,3937703
2011-03-21,33.39,33.39,32.0,32.1,3698770
2011-03-22,32.37,32.39,31.39,31.91,3895715
2011-03-23,31.7,32.68,31.5,32.66,3142027
2011-03-24,32.53,32.95,32.5,32.74,2077091
2011-03-25,32.71,33.1,32.58,32.96,3011109
2011-03-28,32.87,33.12,32.75,33.03,2050499
2011-03-29,33.44,34.01,33.05,33.85,5015984
2011-03-30,34.57,34.59,33.93,34.23,2896978
2011-03-31,34.0,34.11,33.66,33.89,1863880
2011-04-01,33.89,34.1,33.66,33.75,1790957
2011-04-04,33.87,33.87,33.31,33.66,2435077
2011-04-05,33.7,34.05,33.25,34.01,3408855
2011-04-06,33.75,34.2,33.24,33.3,2696501
2011-04-07,33.28,33.85,32.85,33.64,1911482
2011-04-08,33.52,33.99,32.99,33.2,2300467
2011-04-11,33.34,33.34,30.79,32.08,14702391
2011-04-12,32.11,32.59,31.33,31.56,3805382
2011-04-13,32.0,32.45,31.7,32.1,3744113
2011-04-14,31.89,32.5,31.79,32.1,1445122
2011-04-15,32.3,32.38,31.89,32.0,3049181
2011-04-18,31.82,32.54,30.75,32.1,2855536
2011-04-19,33.08,33.1,31.66,31.75,3648569
2011-04-20,32.0,32.19,31.15,31.62,3761157
2011-04-21,31.81,31.98,31.27,31.37,1426848
2011-04-25,31.56,31.6,31.1,31.4,704332
2011-04-26,31.35,32.07,31.16,32.01,1754109
2011-04-27,32.26,33.0,32.25,32.62,3118151
2011-04-28,32.51,32.99,32.25,32.57,1530811
2011-04-29,32.5,32.86,32.03,32.8,1188352
2011-05-02,32.8,33.79,32.8,33.43,2745449
2011-05-03,33.59,33.88,31.94,32.61,3381512
2011-05-04,33.1,33.96,32.79,33.55,4234005
2011-05-05,33.45,34.74,33.15,34.38,2572215
2011-05-06,34.06,34.5,33.89,34.2,1567127
2011-05-09,34.35,34.75,34.14,34.5,1959326
2011-05-10,34.03,34.86,34.0,34.6,1441960
2011-05-11,34.2,34.79,34.06,34.56,1231405
2011-05-12,34.3,34.59,34.12,34.5,793725
2011-05-13,34.43,34.77,34.23,34.56,1662022
2011-05-16,34.3,34.6,34.05,34.27,1692979
2011-05-17,34.21,34.95,34.0,34.54,2966225
2011-05-18,34.4,35.24,34.15,35.05,2003867
2011-05-19,35.02,35.23,34.5,35.02,1099367
2011-05-20,34.9,35.04,34.15,34.62,1919540
2011-05-23,34.4,34.56,34.0,34.36,2052138
2011-05-24,34.53,34.65,34.07,34.46,2733219
2011-05-25,34.57,35.01,34.24,34.66,2079924
2011-05-26,34.9,34.91,34.05,34.81,1674376
2011-05-27,34.92,35.1,34.41,34.73,1372282
2011-05-31,34.99,35.31,34.56,34.9,3785190
2011-06-01,35.0,35.27,34.42,34.78,2953636
2011-06-02,34.84,35.05,34.25,34.33,2098011
2011-06-03,34.0,34.15,33.72,34.11,2407851
2011-06-06,33.98,34.28,33.06,33.73,2177903
2011-06-07,33.79,34.9,33.73,34.51,1844055
2011-06-08,34.57,34.99,34.25,34.73,1335786
2011-06-09,35.03,35.37,34.58,35.22,1603631
2011-06-10,35.0,35.0,33.86,33.91,2100353
2011-06-13,34.15,34.15,33.25,33.64,1664847
2011-06-14,33.8,34.07,33.26,33.56,1813733
2011-06-15,33.25,33.52,32.62,33.17,2489559
2011-06-16,34.05,34.8,33.5,33.9,5550534
2011-06-17,34.0,34.99,33.95,34.61,2903896
2011-06-20,34.72,34.72,34.05,34.22,1443046
2011-06-21,34.2,34.36,33.5,33.93,2651163
2011-06-22,33.9,34.0,33.36,33.42,2338469
2011-06-23,33.3,33.44,32.28,33.27,3166201
2011-06-24,33.31,33.31,32.16,32.29,5469289
2011-06-27,32.4,32.71,31.49,32.48,2982769
2011-06-28,32.59,33.08,32.58,32.72,2310748
2011-06-29,32.98,33.3,32.59,32.73,1299751
2011-06-30,32.78,33.39,32.63,32.97,1292024
2011-07-01,33.14,33.5,32.54,33.07,1548128
2011-07-05,33.07,33.47,32.98,33.18,872215
2011-07-06,33.26,34.17,33.12,33.97,2028988
2011-07-07,34.25,34.74,34.0,34.27,1906276
2011-07-08,33.96,34.01,33.29,33.82,811018
2011-07-11,33.54,33.67,32.99,33.05,574069
2011-07-12,33.05,33.73,32.65,32.8,955576
2011-07-13,33.05,33.67,32.81,33.25,1073368
2011-07-14,33.3,33.54,32.98,33.17,1047466
2011-07-15,33.27,33.28,32.74,33.24,1003484
2011-07-18,33.04,33.07,32.44,32.6,1534143
2011-07-19,33.04,33.93,32.87,33.04,2716522
2011-07-20,33.2,33.51,32.69,33.25,666549
2011-07-21,33.43,34.56,33.43,34.43,1528367
2011-07-22,34.32,34.93,34.02,34.61,2033521
2011-07-25,30.05,30.8,27.51,27.98,23028834
2011-07-26,27.67,28.38,26.96,28.03,7508321
2011-07-27,27.96,28.38,27.33,27.37,6136385
2011-07-28,27.52,27.9,26.89,27.21,3596019
2011-07-29,27.03,27.15,26.5,26.67,3940682
2011-08-01,26.96,27.19,23.53,24.92,11847947
2011-08-02,25.95,26.09,24.34,24.63,4229029
2011-08-03,24.57,24.9,22.71,24.76,8478472
2011-08-04,24.63,24.65,22.58,22.91,6497662
2011-08-05,23.09,23.25,21.69,21.97,5208386
2011-08-08,21.58,21.67,17.25,18.2,10207512
2011-08-09,18.51,19.26,17.03,18.35,8181037
2011-08-10,17.8,18.96,17.68,18.56,11588950
2011-08-11,18.79,19.87,18.75,19.43,6770897
2011-08-12,19.48,21.41,18.59,21.23,6059871
2011-08-15,21.42,23.55,21.42,22.59,6543652
2011-08-16,22.33,22.41,21.52,21.76,2713636
2011-08-17,21.95,22.06,20.81,20.99,3316043
2011-08-18,20.49,20.7,19.67,19.94,3564637
2011-08-19,19.67,20.05,19.06,19.25,1752075
2011-08-22,19.57,19.91,18.8,19.06,1255192
2011-08-23,19.14,19.6,18.55,19.57,3184396
2011-08-24,19.56,20.24,19.09,20.03,1979014
2011-08-25,20.24,20.24,18.87,19.07,1492137
2011-08-26,19.02,19.6,18.47,19.49,1427140
2011-08-29,19.73,20.44,19.64,19.99,2104077
2011-08-30,19.93,20.01,19.61,19.86,1808212
2011-08-31,19.89,20.41,19.75,20.06,2658052
2011-09-01,20.16,20.62,19.08,19.19,1487313
2011-09-02,18.82,19.0,18.31,18.65,1865196
2011-09-06,18.08,18.91,17.87,18.76,2326755
2011-09-07,19.1,20.11,18.9,19.85,2163105
2011-09-08,19.71,20.15,19.42,19.5,1301093
2011-09-09,19.32,19.59,18.28,18.29,2290228
2011-09-12,18.09,18.84,17.6,18.4,3434078
2011-09-13,18.07,18.07,17.2,17.68,4126727
2011-09-14,17.71,19.11,17.6,18.61,6898093
2011-09-15,19.96,21.0,19.93,20.86,7260476
2011-09-16,21.26,21.54,20.75,21.24,3670774
2011-09-19,20.73,20.74,19.74,19.8,3797519
2011-09-20,20.0,20.2,19.49,19.9,2383802
2011-09-21,19.89,20.52,19.75,19.84,4123095
2011-09-22,19.03,20.33,19.03,19.94,3693220
2011-09-23,19.53,19.84,19.23,19.47,2820353
2011-09-26,19.77,20.0,19.37,19.8,2082161
2011-09-27,20.3,20.37,19.75,19.86,1335466
2011-09-28,19.88,19.88,19.2,19.2,1420593
2011-09-29,19.5,19.94,19.23,19.79,1574498
2011-09-30,19.52,20.31,19.47,20.14,3938490
2011-10-03,20.09,20.49,18.72,18.84,4062162
2011-10-04,18.51,18.68,17.43,18.6,3831274
2011-10-05,17.88,18.84,17.7,18.08,3975395
2011-10-06,18.11,18.8,17.99,18.26,1975362
2011-10-07,18.58,19.02,18.15,18.61,2053680
2011-10-10,18.99,19.28,18.82,19.17,1005199
2011-10-11,19.19,19.27,18.86,19.08,836721
2011-10-12,19.29,20.8,19.11,20.29,4869460
2011-10-13,20.12,21.21,19.92,21.16,3334490
2011-10-14,21.47,22.16,21.34,22.05,3421916
2011-10-17,21.95,22.21,21.46,21.83,1927771
2011-10-18,21.92,22.88,21.75,22.68,2801840
2011-10-19,22.75,22.86,21.76,21.93,2384216
2011-10-20,21.93,22.13,21.11,21.68,3050485
2011-10-21,22.1,23.38,22.1,23.28,3496843
2011-10-24,23.27,23.55,22.54,22.77,1828239
2011-10-25,22.59,22.59,22.1,22.16,1403396
2011-10-26,22.52,22.7,21.45,22.35,2103312
2011-10-27,22.5,22.95,21.33,22.55,3626069
2011-10-28,22.48,23.09,22.26,22.78,2096268
2011-10-31,22.68,23.73,22.52,23.45,3018647
2011-11-01,23.09,25.64,22.5,23.5,5642972
2011-11-02,24.05,24.7,23.31,23.36,3947009
2011-11-03,23.0,23.42,22.52,23.1,3586740
2011-11-04,23.23,23.62,22.85,23.5,1236700
2011-11-07,23.35,24.61,23.35,24.52,2792265
2011-11-08,24.38,25.6,23.9,25.23,5755358
2011-11-09,24.32,25.41,24.32,25.03,3626345
2011-11-10,25.01,25.98,25.01,25.88,3698586
2011-11-11,26.12,26.86,25.95,26.53,3949030
2011-11-14,26.4,26.73,26.06,26.55,2600577
2011-11-15,26.43,26.76,25.94,26.65,2347448
2011-11-16,26.52,26.75,25.46,25.48,2415747
2011-11-17,25.41,25.78,24.72,25.05,2998186
2011-11-18,25.09,25.69,24.63,25.24,3615338
2011-11-21,24.68,25.5,24.68,25.02,2000051
2011-11-22,24.93,25.03,23.79,23.94,2580713
2011-11-23,23.73,24.01,23.22,23.58,2555376
2011-11-25,23.59,23.99,23.41,23.46,251926
2011-11-28,23.86,24.36,23.61,23.77,1659835
2011-11-29,23.94,24.24,23.42,24.06,1644566
2011-11-30,24.68,24.73,23.91,24.36,3133436
2011-12-01,24.29,24.58,24.05,24.2,1438580
2011-12-02,24.02,24.48,21.55,22.44,8161801
2011-12-05,23.74,24.0,23.37,23.67,3548587
2011-12-06,23.65,24.03,23.0,23.22,2990003
2011-12-07,23.06,23.19,22.43,22.65,2593264
2011-12-08,22.53,22.55,21.13,21.45,2860293
2011-12-09,21.51,21.73,21.17,21.19,1517513
2011-12-12,21.08,21.28,20.34,20.63,2625055
2011-12-13,20.68,21.24,20.13,20.23,2238627
2011-12-14,20.16,20.77,19.86,20.58,3985371
2011-12-15,20.63,21.28,20.53,21.16,3038531
2011-12-16,21.42,21.9,21.2,21.54,4023010
2011-12-19,21.67,21.9,21.14,21.24,1673181
2011-12-20,21.53,21.8,20.94,21.07,2413058
2011-12-21,21.07,21.98,21.07,21.9,1573459
2011-12-22,21.91,22.22,21.69,21.87,1170222
2011-12-23,21.8,21.91,21.41,21.45,1122669
2011-12-27,21.41,21.69,21.05,21.38,913118
2011-12-28,21.4,21.44,20.82,20.92,1190687
2011-12-29,20.93,21.39,20.85,21.29,743667
2011-12-30,21.22,22.35,21.22,22.04,1874489
2012-01-03,22.0,22.13,21.27,21.64,1716468
2012-01-04,21.5,21.5,20.7,20.8,2872894
2012-01-05,20.65,21.58,20.65,21.28,1796933
2012-01-06,21.3,22.64,21.3,22.35,2923100
2012-01-09,22.14,22.68,21.59,21.66,1882602
2012-01-10,21.98,22.5,20.33,22.46,5271375
2012-01-11,22.29,23.95,22.19,23.81,5695814
2012-01-12,23.95,24.1,22.89,23.27,4038329
2012-01-13,23.32,24.1,23.17,23.92,1463305
2012-01-17,23.92,24.18,23.56,24.01,1481883
2012-01-18,24.05,24.54,23.84,24.25,2017455
2012-01-19,24.25,24.81,24.16,24.51,1986981
2012-01-20,24.5,24.6,24.15,24.49,1392509
2012-01-23,24.43,24.8,24.43,24.63,1457953
2012-01-24,24.6,26.16,24.47,26.09,6571077
2012-01-25,26.12,27.03,25.89,27.0,5665999
2012-01-26,26.55,26.87,26.17,26.36,1751158
2012-01-27,26.23,26.27,25.71,25.71,2760137
2012-01-30,25.65,25.82,24.72,24.85,2148685
2012-01-31,25.13,25.45,24.27,24.43,3319198
2012-02-01,24.83,25.25,24.4,24.96,3118949
2012-02-02,25.04,25.31,24.78,25.26,2041102
2012-02-03,25.26,26.5,25.26,26.47,4413264
2012-02-06,28.99,28.99,27.43,28.4,7657927
2012-02-07,28.48,29.3,28.48,28.84,6027377
2012-02-08,28.9,29.3,28.45,28.97,3804300
