datetime,open,high,low,close,volume
1998-01-02,49.13,49.88,49.13,49.81,850300
1998-01-05,49.56,50.06,48.38,48.75,1552100
1998-01-06,49.0,49.0,48.0,48.32,2274800
1998-01-07,47.75,49.5,47.75,49.06,1517300
1998-01-08,48.94,49.06,48.5,48.56,1142301
1998-01-09,48.06,48.51,47.0,47.44,1272000
1998-01-12,46.75,50.26,46.75,50.0,1471100
1998-01-13,51.56,52.32,51.19,52.31,2484402
1998-01-14,52.13,52.13,51.06,51.13,2068900
1998-01-15,51.06,51.32,50.19,50.63,1238602
1998-01-16,51.44,51.88,51.06,51.81,2453101
1998-01-20,51.94,53.0,51.94,52.75,1267101
1998-01-21,52.75,53.13,51.5,53.0,1846502
1998-01-22,53.06,54.25,53.0,53.13,3059203
1998-01-23,53.19,53.5,52.38,52.94,1784902
1998-01-26,53.0,53.13,52.5,52.69,1025600
1998-01-27,52.63,52.75,51.75,52.75,2112504
1998-01-28,52.94,53.44,52.5,52.94,1710700
1998-01-29,52.63,53.51,52.63,53.13,1082501
1998-01-30,53.06,53.25,52.0,52.25,1097400
1998-02-02,53.0,54.19,52.94,54.19,1098401
1998-02-03,53.94,54.38,53.75,54.19,652502
1998-02-04,54.06,54.69,54.0,54.44,820500
1998-02-05,54.88,55.13,54.63,55.12,1235103
1998-02-06,55.44,55.63,54.56,54.75,1372800
1998-02-09,54.88,54.94,53.87,54.25,555000
1998-02-10,54.19,54.69,53.75,53.88,856700
1998-02-11,54.25,54.26,52.56,52.94,1157500
1998-02-12,53.06,54.31,52.56,54.01,1426702
1998-02-13,53.5,54.88,53.13,54.5,791102
1998-02-17,54.38,55.19,54.12,54.38,764700
1998-02-18,54.13,55.56,54.06,55.38,1059400
1998-02-19,55.63,56.0,55.25,55.38,887001
1998-02-20,55.13,55.51,54.13,55.0,1699002
1998-02-23,54.88,55.07,54.43,54.75,925002
1998-02-24,54.88,55.06,54.06,54.38,793300
1998-02-25,54.63,55.44,54.12,55.0,857900
1998-02-26,55.25,56.06,55.06,55.94,1096600
1998-02-27,56.0,56.26,55.0,55.75,980001
1998-03-02,55.75,56.44,55.5,56.31,877100
1998-03-03,55.88,57.06,55.88,56.81,990100
1998-03-04,56.75,57.13,56.25,57.13,1022000
1998-03-05,56.94,57.38,56.12,56.56,1325300
1998-03-06,56.63,57.57,56.63,57.31,1294500
1998-03-09,57.19,57.94,57.19,57.5,1129700
1998-03-10,57.63,58.63,57.5,58.63,1503002
1998-03-11,58.75,59.44,58.63,58.88,699000
1998-03-12,57.0,57.25,56.56,57.06,1814103
1998-03-13,51.0,51.01,49.75,50.57,12273925
1998-03-16,50.5,51.0,50.12,50.31,4749707
1998-03-17,50.0,50.13,49.19,49.56,4607206
1998-03-18,49.5,50.32,49.37,50.13,5586304
1998-03-19,50.19,51.13,49.87,50.0,2396402
1998-03-20,50.44,50.51,49.62,49.82,2063405
1998-03-23,49.94,50.63,49.44,49.82,2117300
1998-03-24,50.13,50.63,49.62,50.32,2044200
1998-03-25,50.13,50.19,49.69,50.0,2673504
1998-03-26,49.69,50.07,49.5,49.63,2019903
1998-03-27,49.75,50.13,49.56,49.81,1835800
1998-03-30,50.13,50.26,49.88,50.06,1821400
1998-03-31,50.06,51.0,50.06,50.25,2593503
1998-04-01,50.38,50.38,49.62,50.0,2137801
1998-04-02,50.0,51.01,49.25,50.81,2536904
1998-04-03,50.75,50.75,50.0,50.25,1728505
1998-04-06,50.31,50.81,50.06,50.5,1490803
1998-04-07,50.13,50.19,49.5,49.75,2033503
1998-04-08,49.88,49.94,48.37,48.69,2516502
1998-04-09,49.06,49.38,48.06,48.38,2281700
1998-04-13,48.44,48.44,47.25,48.0,3134406
1998-04-14,48.0,49.38,48.0,49.31,3812604
1998-04-15,49.31,49.88,48.5,49.19,3129608
1998-04-16,49.0,49.19,48.44,48.69,1348402
1998-04-17,48.88,49.19,48.25,49.19,1522300
1998-04-20,48.38,49.01,48.38,48.63,1695800
1998-04-21,49.25,50.76,49.12,50.06,2445407
1998-04-22,50.25,50.94,50.0,50.0,2231002
1998-04-23,50.06,51.94,50.06,51.06,2597102
1998-04-24,51.94,52.0,50.94,51.13,1736201
1998-04-27,50.5,50.69,49.56,49.75,2191902
1998-04-28,49.94,50.38,49.44,49.44,1249700
1998-04-29,49.75,49.88,49.25,49.81,1303602
1998-04-30,50.5,51.38,50.38,50.75,2268501
1998-05-01,50.63,50.75,49.75,49.94,1629500
1998-05-04,50.0,51.13,49.87,50.69,1432305
1998-05-05,50.75,51.63,50.5,51.13,1776802
1998-05-06,51.06,51.19,50.12,50.31,1194201
