datetime,open,high,low,close,volume
1998-01-02,47.88,48.01,46.88,47.44,1100007
1998-01-05,47.63,47.63,47.12,47.56,2281002
1998-01-06,47.31,47.75,47.0,47.5,1615705
1998-01-07,47.13,47.44,46.87,47.19,1353701
1998-01-08,47.0,47.13,46.43,46.43,1161803
1998-01-09,46.31,46.38,45.25,45.38,1816202
1998-01-12,44.75,46.69,44.63,46.44,1702109
1998-01-13,46.5,47.06,46.32,47.06,1529601
1998-01-14,47.06,47.19,46.25,47.06,1431802
1998-01-15,46.94,47.38,46.38,47.0,1374201
1998-01-16,47.38,47.94,46.94,47.56,1764604
1998-01-20,47.25,48.01,47.19,47.94,1899912
1998-01-21,47.13,47.63,46.81,47.31,1804304
1998-01-22,47.13,47.82,46.94,47.69,1578110
1998-01-23,47.69,47.81,46.5,47.06,2342607
1998-01-26,46.56,47.19,46.25,47.06,1317405
1998-01-27,46.81,47.76,46.69,47.38,1922604
1998-01-28,47.31,47.88,46.75,47.69,1677617
1998-01-29,47.5,48.69,47.38,47.94,1824703
1998-01-30,47.88,47.94,47.06,47.26,1471207
1998-02-02,47.88,47.94,47.56,47.75,1257413
1998-02-03,47.5,48.51,47.37,48.38,1689404
1998-02-04,48.5,48.69,48.0,48.56,1915804
1998-02-05,48.5,49.26,48.19,48.5,2243120
1998-02-06,48.25,49.32,48.18,48.88,1666207
1998-02-09,48.56,49.32,48.56,49.06,1609704
1998-02-10,49.63,50.31,49.37,50.0,3262135
1998-02-11,50.06,50.37,49.62,50.19,2074203
1998-02-12,50.25,51.44,50.19,51.25,4536713
1998-02-13,51.38,53.63,51.37,53.25,5406242
1998-02-17,52.75,53.0,51.06,52.13,3030160
1998-02-18,51.81,52.88,51.81,52.56,2445418
1998-02-19,52.25,53.0,51.94,52.06,2377818
1998-02-20,52.75,53.01,52.5,52.88,2230107
1998-02-23,53.0,53.26,52.56,53.0,1407414
1998-02-24,52.56,52.62,51.75,51.75,1389717
1998-02-25,51.69,52.38,51.5,52.32,1649808
1998-02-26,52.44,54.0,52.0,54.0,2466208
1998-02-27,54.13,55.88,54.13,54.75,4581834
1998-03-02,54.5,54.88,53.44,53.57,1487315
1998-03-03,53.0,54.0,52.5,53.75,2243308
1998-03-04,53.31,53.94,52.62,53.88,2020713
1998-03-05,53.0,53.57,52.94,53.5,1481602
1998-03-06,53.56,54.19,53.5,53.94,1206500
1998-03-09,53.88,54.63,53.44,54.13,1483614
1998-03-10,54.38,55.12,54.38,55.0,1970430
1998-03-11,54.88,55.69,54.82,55.5,2595216
1998-03-12,55.31,56.26,55.31,55.81,2722607
1998-03-13,56.25,56.37,54.62,54.69,3565309
1998-03-16,53.0,53.62,52.0,52.88,5141818
1998-03-17,53.06,53.13,52.5,52.63,2761309
1998-03-18,52.63,53.26,52.31,52.37,2311816
1998-03-19,52.25,52.38,50.62,51.44,3297125
1998-03-20,51.75,51.75,51.06,51.38,3158408
1998-03-23,50.0,51.63,50.0,51.57,2664315
1998-03-24,52.5,52.51,51.62,52.44,2466904
1998-03-25,53.0,53.32,52.44,53.0,2768503
1998-03-26,53.75,55.19,53.75,55.19,5530315
1998-03-27,57.75,58.63,57.0,57.37,10537818
1998-03-30,58.5,59.63,58.0,59.32,4778116
1998-03-31,59.31,60.25,58.62,60.0,4909219
1998-04-01,60.06,62.13,59.63,61.5,5718613
1998-04-02,61.88,63.0,61.56,63.0,5960712
1998-04-03,63.0,63.81,62.69,63.51,4023819
1998-04-06,63.44,63.5,61.81,61.82,3537413
1998-04-07,61.38,61.44,60.5,61.07,2766109
1998-04-08,61.0,61.94,60.5,60.94,3244403
1998-04-09,61.13,62.51,60.62,62.25,2134206
1998-04-13,62.0,62.13,61.62,61.82,1933205
1998-04-14,61.63,62.07,61.5,62.0,1766402
1998-04-15,62.06,62.06,61.25,61.75,1821202
1998-04-16,61.88,61.94,60.69,61.44,2240502
1998-04-17,61.38,61.81,60.38,61.81,2597400
1998-04-20,62.25,62.63,61.43,62.56,2809803
1998-04-21,62.0,62.06,61.31,62.0,1957701
1998-04-22,61.75,61.81,60.69,60.94,2006800
1998-04-23,60.0,60.38,58.12,58.37,3048910
1998-04-24,58.38,58.94,57.68,58.07,2294904
1998-04-27,57.5,59.13,57.06,58.69,2354602
1998-04-28,58.75,58.88,57.5,58.13,1378506
1998-04-29,58.75,59.69,58.06,59.32,1592104
1998-04-30,60.5,62.0,60.31,61.87,4266203
1998-05-01,62.5,62.88,61.75,62.56,4271103
1998-05-04,62.0,62.56,61.81,62.5,1774301
1998-05-05,62.56,62.57,61.56,61.88,2263100
1998-05-06,62.0,62.69,61.44,61.44,1855504
1998-05-07,61.69,61.69,61.0,61.31,1700802
1998-05-08,61.38,62.25,61.31,62.19,2051101
1998-05-11,62.25,62.76,61.56,61.56,1977202
1998-05-12,61.31,62.94,61.31,62.94,1492003
1998-05-13,62.94,63.69,62.63,63.44,1837210
1998-05-14,63.25,64.13,63.12,64.0,1776005
1998-05-15,64.0,64.06,63.63,63.81,1835905
1998-05-18,63.69,63.75,63.13,63.19,1218900
1998-05-19,63.13,63.38,62.5,62.63,1162303
1998-05-20,64.5,65.94,63.5,65.94,3374101
1998-05-21,65.13,66.38,64.69,65.88,2628602
1998-05-22,66.13,66.69,65.37,65.56,1598603
1998-05-26,65.5,66.63,65.5,65.75,1922005
1998-05-27,65.13,66.06,65.0,65.81,2872005
1998-05-28,65.56,67.06,65.19,66.63,1236206
1998-05-29,66.63,66.88,65.5,65.63,1368600
1998-06-01,65.63,67.25,65.57,67.19,1226203
1998-06-02,67.0,67.5,66.5,67.0,1632303
1998-06-03,67.0,67.0,65.63,66.06,1292104
1998-06-04,65.88,66.94,65.75,66.63,1097104
1998-06-05,67.06,67.38,66.31,67.19,1159507
1998-06-08,67.19,67.94,66.93,67.19,984904
