datetime,open,high,low,close,volume
1998-01-02,107.94,108.0,106.0,106.56,128600
1998-01-05,53.25,54.0,52.5,52.69,203200
1998-01-06,52.63,52.63,51.56,51.81,244700
1998-01-07,51.63,51.63,51.06,51.5,366900
1998-01-08,51.5,52.19,51.31,52.0,175900
1998-01-09,52.06,52.06,50.5,50.63,209000
1998-01-12,49.5,51.13,49.37,49.75,205300
1998-01-13,50.19,50.82,49.19,50.82,122600
1998-01-14,50.88,52.06,50.69,52.0,197800
1998-01-15,52.0,52.75,51.56,52.75,482600
1998-01-16,53.0,53.5,51.5,51.5,266000
1998-01-20,51.63,51.88,50.56,51.19,517000
1998-01-21,51.5,51.63,50.63,51.25,339000
1998-01-22,51.38,52.25,51.0,52.06,257700
1998-01-23,52.06,52.06,49.44,50.32,206500
1998-01-26,50.5,50.5,49.88,50.25,223200
1998-01-27,50.75,50.75,49.06,49.63,520400
1998-01-28,49.63,50.44,49.63,50.31,414900
1998-01-29,48.5,50.0,48.5,49.19,608000
1998-01-30,49.31,49.38,47.88,47.88,401800
1998-02-02,48.5,51.88,48.44,51.63,527200
1998-02-03,51.56,51.94,51.0,51.94,473000
1998-02-04,51.88,51.88,50.38,50.44,290900
1998-02-05,50.44,51.88,50.44,51.56,396601
1998-02-06,51.88,53.0,51.5,52.69,322800
1998-02-09,53.0,53.44,53.0,53.25,605000
1998-02-10,53.31,53.94,53.25,53.5,302300
1998-02-11,53.56,54.88,53.56,54.31,186300
1998-02-12,54.31,55.31,53.75,55.13,291500
1998-02-13,55.19,55.88,54.5,55.63,281700
1998-02-17,55.69,56.13,55.19,55.25,230601
1998-02-18,55.5,55.62,55.31,55.44,194800
1998-02-19,55.69,56.81,55.56,56.57,207401
1998-02-20,56.69,56.69,54.5,54.75,367200
1998-02-23,55.19,55.94,54.94,55.94,408102
1998-02-24,55.63,55.63,53.25,53.25,518101
1998-02-25,53.25,53.69,52.87,53.25,453800
1998-02-26,53.19,53.19,51.81,52.06,926600
1998-02-27,52.25,52.31,51.81,52.13,484600
1998-03-02,52.25,52.44,51.75,52.0,148200
1998-03-03,52.06,53.25,51.56,53.25,591400
1998-03-04,52.5,54.5,52.25,53.94,1733003
1998-03-05,53.88,54.94,53.0,54.81,526900
1998-03-06,54.94,56.13,54.37,55.63,223100
1998-03-09,55.5,56.44,55.5,56.0,163000
1998-03-10,57.25,58.5,57.25,58.31,419500
1998-03-11,58.31,59.13,58.12,58.19,249300
1998-03-12,58.19,59.94,58.13,59.75,313100
1998-03-13,59.63,61.38,59.56,61.13,306600
1998-03-16,61.5,61.5,60.5,60.94,195300
1998-03-17,60.0,60.06,59.0,59.0,195600
1998-03-18,59.25,60.19,59.19,59.31,72200
1998-03-19,59.75,60.0,59.38,59.44,142500
1998-03-20,59.44,59.63,58.94,59.63,120700
1998-03-23,59.69,60.0,59.63,59.69,89900
1998-03-24,59.63,60.38,59.25,59.31,179700
1998-03-25,59.56,59.88,58.44,59.13,311500
1998-03-26,59.13,59.13,58.44,58.56,130400
1998-03-27,58.31,58.63,57.75,57.75,324400
1998-03-30,57.5,57.51,56.94,57.13,126400
1998-03-31,56.94,59.06,56.94,57.75,229300
1998-04-01,57.81,63.13,57.81,63.0,526700
1998-04-02,63.5,63.63,62.12,62.75,714600
1998-04-03,63.0,63.75,62.5,62.5,298900
1998-04-06,62.5,63.25,61.69,61.94,84000
1998-04-07,62.19,64.5,62.19,63.01,202000
1998-04-08,62.94,62.94,61.56,61.75,138800
1998-04-09,61.5,61.88,60.88,61.13,260200
1998-04-13,61.0,61.25,60.56,60.63,154100
1998-04-14,59.94,60.88,57.63,57.81,531600
1998-04-15,58.0,60.13,58.0,59.38,686700
1998-04-16,59.44,60.0,59.0,59.88,233900
1998-04-17,59.88,60.63,59.38,59.44,69400
