datetime,open,high,low,close,volume
2018-12-07,21.6,22.76,18.51,18.76,10261670
2018-12-10,18.9,19.44,18.0,18.75,4026393
2018-12-11,20.55,20.66,17.99,18.01,3144195
2018-12-12,18.55,19.48,18.02,18.75,2484806
2018-12-13,19.25,19.29,18.68,18.76,1557301
2018-12-14,18.75,18.88,18.25,18.31,687034
2018-12-17,18.33,18.48,16.9,17.01,1421832
2018-12-18,17.1,17.25,16.25,16.9,1441821
2018-12-19,16.86,17.37,16.0,16.02,906935
2018-12-20,16.0,16.14,14.75,15.5,2291290
2018-12-21,15.4,15.5,13.95,14.44,1966832
2018-12-24,14.32,14.32,13.75,14.08,638138
2018-12-26,14.15,14.31,13.03,13.52,1767072
2018-12-27,13.49,14.95,13.27,14.65,1722045
2018-12-28,14.72,14.85,13.82,14.15,885382
2018-12-31,14.24,15.3,14.21,15.27,936905
2019-01-02,14.93,15.45,14.51,15.39,2037825
2019-01-03,15.49,16.08,15.2,15.51,1531240
2019-01-04,16.0,17.5,15.9,16.94,1604446
2019-01-07,17.54,17.94,16.18,16.29,1504328
2019-01-08,17.35,17.47,16.05,16.93,1744642
2019-01-09,17.2,17.25,16.15,16.32,1123437
2019-01-10,16.36,16.52,16.0,16.49,462437
2019-01-11,16.6,17.06,16.53,16.98,545183
2019-01-14,17.0,17.07,16.72,16.74,591538
2019-01-15,17.0,17.0,16.41,16.64,440582
2019-01-16,16.8,16.95,16.26,16.29,193607
2019-01-17,16.05,16.53,16.05,16.34,237296
2019-01-18,16.46,16.8,16.25,16.7,472395
2019-01-22,16.62,16.63,15.35,15.59,600659
2019-01-23,15.59,15.92,14.76,14.8,607082
2019-01-24,14.9,15.2,14.64,14.65,418957
2019-01-25,14.8,14.92,14.4,14.9,891700
2019-01-28,14.84,14.84,14.45,14.48,511483
2019-01-29,14.46,14.88,14.45,14.64,563216
2019-01-30,14.72,15.54,14.65,15.14,632882
2019-01-31,15.24,17.48,15.24,16.68,2182489
2019-02-01,16.8,17.01,15.9,16.21,560664
2019-02-04,16.22,16.49,15.95,16.26,264617
2019-02-05,16.29,17.49,16.21,17.17,602119
2019-02-06,17.25,18.39,17.11,18.12,955643
2019-02-07,17.95,18.07,17.04,17.04,492451
2019-02-08,17.1,18.15,17.1,17.99,662331
2019-02-11,17.99,18.65,17.75,18.17,538925
2019-02-12,18.21,18.76,17.6,18.71,697758
2019-02-13,18.99,19.22,18.3,18.54,1277271
2019-02-14,18.64,19.96,18.63,19.69,1027813
2019-02-15,19.94,21.47,19.7,21.44,1921035
2019-02-19,21.51,21.51,20.05,20.81,1132041
2019-02-20,21.12,21.24,19.13,19.89,1057847
2019-02-21,19.74,19.98,18.88,19.38,767646
2019-02-22,19.35,20.04,19.35,19.87,530215
2019-02-25,20.54,22.3,19.83,21.64,1824369
2019-02-26,21.6,24.4,21.56,23.68,2385869
2019-02-27,23.37,23.83,21.53,22.1,1461622
2019-02-28,22.45,23.03,22.05,22.53,470043
2019-03-01,23.09,23.39,21.64,22.31,801468
2019-03-04,22.47,22.8,20.52,21.16,1039084
2019-03-05,21.18,21.49,20.29,21.38,980737
2019-03-06,21.4,22.05,20.06,20.63,955265
2019-03-07,20.42,21.16,19.61,20.58,913414
2019-03-08,20.37,21.08,19.9,20.93,569896
2019-03-11,20.99,20.99,19.97,20.4,603061
2019-03-12,20.52,20.89,19.12,19.23,1240870
2019-03-13,19.3,20.26,19.23,19.97,667076
2019-03-14,19.92,21.0,19.92,20.82,792859
2019-03-15,20.99,22.2,20.89,21.83,1086342
2019-03-18,21.74,22.22,21.22,22.15,892197
2019-03-19,22.47,22.6,20.18,20.3,899246
2019-03-20,20.41,20.98,19.9,20.04,758188
2019-03-21,20.0,20.25,19.21,19.33,774237
2019-03-22,19.38,19.7,18.75,19.0,439601
2019-03-25,19.0,19.59,18.21,19.41,590696
2019-03-26,19.61,19.94,19.24,19.91,328287
2019-03-27,20.08,20.08,18.89,19.26,517067
2019-03-28,19.3,19.74,19.0,19.71,371625
2019-03-29,19.87,20.81,19.47,20.32,582611
2019-04-01,20.54,20.92,20.04,20.58,496477
2019-04-02,20.68,20.68,19.54,19.68,483363
2019-04-03,19.92,21.67,19.81,21.29,847368
2019-04-04,21.12,23.18,21.04,23.08,1612169
2019-04-05,23.8,26.23,22.66,26.05,1873487
2019-04-08,25.9,29.79,25.6,27.24,2482559
2019-04-09,27.3,28.4,26.32,26.82,948869
2019-04-10,26.9,27.75,26.5,26.8,567087
2019-04-11,26.82,26.99,24.26,25.64,918514
2019-04-12,26.0,26.05,24.27,24.57,626169
2019-04-15,24.99,25.94,24.62,25.85,508235
2019-04-16,26.0,26.22,23.65,23.82,851927
2019-04-17,24.0,24.12,22.31,23.55,815530
2019-04-18,23.47,23.55,22.43,22.53,659700
2019-04-22,22.7,23.99,22.51,23.63,433393
2019-04-23,23.73,24.99,23.73,24.74,535484
2019-04-24,24.8,25.76,24.29,25.75,598962
2019-04-25,25.76,26.72,25.43,25.74,536370
2019-04-26,25.83,27.3,25.69,26.17,555690
2019-04-29,26.28,27.2,24.97,25.15,946008
2019-04-30,25.28,26.03,25.0,26.03,473380
2019-05-01,26.31,27.09,25.87,26.39,1035642
2019-05-02,26.33,28.49,26.19,28.33,984683
2019-05-03,28.89,28.95,26.85,27.21,741151
2019-05-06,26.38,27.81,26.25,27.1,591347
2019-05-07,27.18,27.26,24.16,24.56,930903
2019-05-08,23.7,26.0,23.53,23.53,880660
2019-05-09,23.5,24.0,22.75,23.31,463581
2019-05-10,23.04,24.93,22.8,24.87,467153
2019-05-13,24.46,24.77,23.22,24.45,421972
2019-05-14,24.5,24.89,23.57,23.59,413660
2019-05-15,23.46,23.84,22.81,23.01,678650
2019-05-16,23.5,24.05,23.15,23.49,481960
2019-05-17,23.31,23.43,21.68,23.02,1175064
2019-05-20,22.85,23.6,22.55,22.6,498923
2019-05-21,22.65,23.16,22.43,22.72,426785
2019-05-22,22.65,22.77,21.93,21.95,477282
2019-05-23,21.75,21.94,21.01,21.38,570581
2019-05-24,21.56,22.0,21.41,21.81,477827
2019-05-28,22.3,22.46,21.44,21.54,403269
2019-05-29,21.71,21.9,21.16,21.77,321957
2019-05-30,21.84,21.91,21.05,21.56,327434
2019-05-31,21.16,21.38,20.74,20.74,380639
2019-06-03,20.79,21.0,18.82,19.94,917040
2019-06-04,19.76,20.75,19.23,19.5,970038
2019-06-05,19.2,19.2,17.2,17.7,3239832
2019-06-06,17.83,18.93,17.61,17.94,5781836
2019-06-07,17.71,18.4,17.3,17.52,1680293
2019-06-10,17.85,17.99,15.67,15.68,2312032
2019-06-11,16.09,16.88,15.75,16.09,5028536
2019-06-12,16.11,16.37,15.62,16.3,1808340
2019-06-13,16.42,17.6,16.05,16.12,1391318
2019-06-14,16.25,16.68,15.32,15.4,1855622
2019-06-17,15.54,15.85,15.28,15.76,1047872
2019-06-18,15.9,16.19,15.58,15.73,958729
2019-06-19,15.75,16.3,15.37,15.49,2671033
2019-06-20,15.85,15.94,14.86,15.17,1457309
2019-06-21,15.2,15.32,14.5,14.78,1684245
2019-06-24,14.41,14.69,14.02,14.04,1196174
2019-06-25,14.11,14.25,13.65,13.79,1746420
2019-06-26,13.92,14.18,13.65,13.69,987384
2019-06-27,13.49,14.41,13.49,14.34,1558662
2019-06-28,14.41,14.64,14.11,14.61,1232556
2019-07-01,14.86,15.08,14.47,14.73,929059
2019-07-02,14.71,14.71,14.0,14.4,1076356
2019-07-03,14.5,15.65,14.4,15.31,878488
2019-07-05,15.47,15.47,14.83,14.97,839414
2019-07-08,14.89,14.9,14.14,14.29,816911
2019-07-09,14.31,14.85,14.15,14.84,620940
2019-07-10,14.94,15.22,14.05,14.5,1568346
2019-07-11,14.56,14.7,14.12,14.4,1009978
2019-07-12,14.27,14.48,14.06,14.2,957435
2019-07-15,14.28,14.46,14.0,14.31,608471
2019-07-16,14.32,14.48,14.0,14.14,972282
2019-07-17,14.17,14.59,14.0,14.05,977433
2019-07-18,14.09,14.28,13.9,14.28,640599
2019-07-19,14.29,14.4,14.01,14.09,884127
2019-07-22,14.18,14.32,13.91,14.06,905530
2019-07-23,14.06,14.13,13.12,13.59,1742686
2019-07-24,13.75,14.52,13.47,14.46,995502
2019-07-25,14.51,14.65,13.5,13.5,779390
2019-07-26,13.59,14.18,13.36,14.11,579610
2019-07-29,14.17,14.33,13.56,13.69,605634
2019-07-30,13.61,13.76,13.29,13.4,732526
2019-07-31,13.42,13.51,13.04,13.1,872987
2019-08-01,13.2,13.4,12.71,13.01,1191117
2019-08-02,13.0,13.04,12.4,12.74,989262
2019-08-05,12.55,12.69,12.2,12.28,835201
2019-08-06,12.5,12.87,11.9,12.29,1771496
2019-08-07,12.26,14.5,11.54,12.87,2568599
2019-08-08,12.91,13.3,12.3,13.21,1210953
2019-08-09,13.14,13.55,12.97,13.33,594561
2019-08-12,13.42,13.68,12.98,13.01,619188
2019-08-13,13.0,13.4,12.76,13.32,437150
2019-08-14,13.08,13.22,12.5,12.73,1132071
2019-08-15,12.72,12.96,12.47,12.67,969739
2019-08-16,12.85,13.24,12.79,13.17,906486
2019-08-19,13.25,13.5,13.02,13.41,1604357
2019-08-20,13.87,14.65,13.6,14.18,3013751
2019-08-21,14.25,14.42,13.76,14.32,1198392
2019-08-22,14.37,14.43,14.04,14.16,865761
2019-08-23,14.08,14.36,13.83,13.89,1286258
2019-08-26,14.01,15.38,14.0,14.98,2606477
2019-08-27,15.17,15.5,14.12,14.51,2172789
2019-08-28,14.51,15.04,14.38,14.82,1198058
2019-08-29,14.91,15.2,14.61,15.18,1404401
2019-08-30,15.3,15.76,15.2,15.75,1314534
2019-09-03,16.1,16.5,14.35,14.88,2091518
2019-09-04,15.11,15.59,14.8,15.42,1300825
2019-09-05,15.65,16.13,15.02,15.53,1122629
2019-09-06,15.56,16.18,15.14,15.91,1748828
2019-09-09,15.98,16.23,15.36,16.04,1971582
