datetime,open,high,low,close,volume
1998-01-02,56.5,56.94,55.81,56.31,176700
1998-01-05,56.31,57.75,56.31,56.5,321400
1998-01-06,56.0,56.0,54.68,55.06,419101
1998-01-07,54.75,54.75,53.37,53.94,532202
1998-01-08,53.63,54.0,52.25,52.44,417001
1998-01-09,51.63,52.38,50.25,50.87,751801
1998-01-12,49.75,50.81,49.56,50.62,513005
1998-01-13,50.81,52.12,50.81,52.12,573103
1998-01-14,52.38,53.0,52.19,52.75,498506
1998-01-15,52.63,52.76,51.25,51.81,455603
1998-01-16,52.63,53.0,51.81,52.13,553200
1998-01-20,52.19,52.56,51.75,52.25,276603
1998-01-21,52.38,52.44,50.5,51.25,434603
1998-01-22,50.88,51.31,50.5,51.0,276301
1998-01-23,51.06,51.5,50.12,50.25,459400
1998-01-26,50.38,51.0,49.88,49.88,345000
1998-01-27,49.94,52.44,49.5,51.19,709207
1998-01-28,51.06,52.88,51.06,51.5,405708
1998-01-29,51.56,53.5,51.56,52.63,446304
1998-01-30,52.31,52.63,51.38,51.69,350301
1998-02-02,52.5,53.25,52.31,52.94,478700
1998-02-03,52.56,54.69,52.56,54.63,445401
1998-02-04,55.06,55.06,53.87,54.63,545102
1998-02-05,54.63,54.88,53.63,54.5,323000
1998-02-06,54.88,56.38,54.88,55.38,428200
1998-02-09,55.69,55.88,54.56,55.06,205800
1998-02-10,55.0,55.38,54.75,54.94,633101
1998-02-11,55.0,55.07,54.75,55.0,319800
1998-02-12,54.69,55.0,54.18,54.69,397400
1998-02-13,54.38,54.44,53.81,54.13,420000
1998-02-17,54.25,55.0,54.19,54.56,350302
1998-02-18,54.63,55.51,54.44,55.44,290102
1998-02-19,55.25,55.38,54.06,54.82,464303
1998-02-20,55.13,55.13,53.75,54.69,437201
1998-02-23,54.69,54.88,53.69,53.81,964100
1998-02-24,53.63,54.57,53.63,54.25,454803
1998-02-25,54.38,55.5,54.31,55.12,552703
1998-02-26,55.0,55.32,54.56,55.32,490400
1998-02-27,55.25,55.5,54.81,55.44,310600
1998-03-02,55.94,56.13,55.13,55.25,445500
1998-03-03,54.19,55.81,54.19,55.56,387600
1998-03-04,55.69,55.69,54.94,55.25,230900
1998-03-05,54.5,55.38,54.5,55.38,401002
1998-03-06,55.56,57.0,55.5,56.88,624103
1998-03-09,56.88,56.94,56.38,56.63,347501
1998-03-10,57.0,57.25,56.75,57.13,278000
1998-03-11,57.44,58.69,57.31,58.31,571201
1998-03-12,58.25,59.06,57.93,58.63,595203
1998-03-13,59.0,59.13,58.25,58.38,499500
1998-03-16,59.88,60.31,59.31,60.13,862202
1998-03-17,60.25,60.25,59.75,59.94,379301
1998-03-18,60.0,60.13,59.69,59.88,480702
1998-03-19,59.88,61.19,59.87,61.0,546200
1998-03-20,61.56,61.63,60.38,60.56,872500
1998-03-23,60.38,60.44,59.75,60.0,517100
1998-03-24,60.38,60.75,60.0,60.07,508700
1998-03-25,60.31,60.38,59.13,59.25,526000
1998-03-26,58.63,59.69,58.62,59.38,342600
1998-03-27,59.81,59.88,58.25,58.94,237800
1998-03-30,58.88,59.13,58.57,58.87,340100
1998-03-31,59.0,61.01,59.0,59.75,632902
1998-04-01,60.0,60.0,58.0,59.94,419701
1998-04-02,59.81,60.63,59.25,60.56,248100
1998-04-03,60.63,61.38,60.0,60.31,301403
1998-04-06,60.44,61.69,60.44,61.19,415500
1998-04-07,61.0,61.76,60.94,61.31,668600
1998-04-08,61.0,61.25,60.25,60.25,393500
1998-04-09,60.5,61.13,59.75,61.06,394300
1998-04-13,62.63,65.13,62.12,64.63,1143907
1998-04-14,64.81,65.13,63.5,64.19,521602
1998-04-15,64.5,65.26,63.13,64.87,477602
1998-04-16,66.75,66.75,61.69,63.0,946603
1998-04-17,62.94,62.94,61.13,62.19,987001
1998-04-20,62.19,62.31,61.25,61.44,536201
1998-04-21,61.31,61.38,59.94,60.19,605303
1998-04-22,63.0,64.51,62.44,62.75,1037703
1998-04-23,62.0,62.56,61.5,62.0,503501
1998-04-24,61.75,62.0,60.12,60.63,576401
1998-04-27,60.0,60.0,57.94,59.19,616300
1998-04-28,60.0,60.01,57.5,57.94,798810
1998-04-29,58.13,59.06,57.75,58.75,447202
1998-04-30,59.38,60.94,59.38,60.37,779501
1998-05-01,61.5,62.5,60.75,61.94,425700
1998-05-04,62.63,63.13,61.19,61.38,420503
1998-05-05,60.75,61.01,60.31,60.81,427200
1998-05-06,60.5,60.94,59.32,60.06,616006
1998-05-07,60.0,60.13,58.44,58.5,442300
1998-05-08,58.44,59.94,58.44,59.51,591000
1998-05-11,59.63,59.82,58.75,59.19,461900
1998-05-12,59.13,59.44,58.13,59.44,553901
1998-05-13,59.5,59.94,58.13,59.25,460900
1998-05-14,58.81,59.88,58.57,59.25,313801
1998-05-15,59.25,59.38,58.5,58.94,588800
1998-05-18,58.63,58.88,57.69,58.31,499100
1998-05-19,58.75,58.81,58.38,58.5,368000
1998-05-20,59.25,60.0,59.06,59.25,409801
1998-05-21,59.13,59.75,58.94,59.63,653300
1998-05-22,59.75,59.88,59.06,59.25,148300
1998-05-26,59.38,59.38,57.62,57.68,308600
1998-05-27,57.06,57.88,56.25,57.37,605804
1998-05-28,57.31,58.31,57.31,57.75,242200
1998-05-29,58.0,58.38,56.81,57.75,376400
1998-06-01,57.94,59.06,57.63,58.31,401400
1998-06-02,58.5,59.0,57.63,57.69,338900
1998-06-03,57.88,58.01,56.56,56.87,430100
1998-06-04,56.5,56.94,55.25,56.82,470504
1998-06-05,57.25,58.31,57.06,58.31,489500
1998-06-08,59.0,59.0,58.25,58.69,255400
1998-06-09,58.5,58.81,57.5,58.19,359601
1998-06-10,57.75,58.94,57.32,58.06,326603
1998-06-11,58.0,58.38,55.75,55.94,673702
1998-06-12,56.0,56.0,54.75,55.56,843703
1998-06-15,54.94,55.63,54.31,54.94,688500
1998-06-16,55.06,55.31,54.31,54.75,537000
1998-06-17,55.0,56.19,55.0,55.44,719600
1998-06-18,55.5,55.88,55.25,55.31,535000
1998-06-19,54.44,55.19,54.44,54.94,632101
1998-06-22,54.88,55.44,54.81,54.94,359700
1998-06-23,54.75,55.5,54.63,55.38,565600
1998-06-24,55.31,56.06,54.94,55.63,1896400
1998-06-25,55.81,56.26,55.56,56.0,1332600
1998-06-26,55.94,56.0,55.5,55.56,568400
1998-06-29,55.69,55.94,55.44,55.44,909602
1998-06-30,55.38,55.44,53.87,53.94,1309601
1998-07-01,54.69,55.13,54.44,55.13,957504
1998-07-02,55.13,56.31,55.0,56.19,575601
1998-07-06,56.13,57.32,56.0,57.25,439602
1998-07-07,59.0,59.0,57.13,57.25,632201
1998-07-08,57.63,58.75,57.0,58.56,658400
1998-07-09,58.25,58.38,57.69,57.88,335000
1998-07-10,57.88,59.07,57.62,58.38,870600
1998-07-13,58.31,58.76,58.25,58.5,546700
1998-07-14,58.25,59.19,58.25,58.81,543000
1998-07-15,58.75,58.94,58.38,58.5,539700
1998-07-16,58.0,58.88,56.75,58.69,812501
1998-07-17,58.94,60.0,58.75,59.44,623201
1998-07-20,59.13,59.38,58.5,58.5,339200
1998-07-21,58.0,58.69,56.25,56.88,902700
1998-07-22,57.13,57.94,56.75,57.0,721500
1998-07-23,57.0,57.01,55.94,56.13,411000
1998-07-24,56.31,56.44,54.75,55.69,488802
1998-07-27,55.56,55.56,53.56,54.75,573400
1998-07-28,54.75,54.81,53.88,54.19,785501
1998-07-29,54.5,55.25,54.19,54.31,602102
1998-07-30,54.5,54.88,53.94,54.0,872001
1998-07-31,54.25,54.25,53.75,53.88,1014200
1998-08-03,53.0,53.13,52.31,52.31,887701
1998-08-04,52.5,52.69,50.06,50.13,831400
1998-08-05,50.25,51.19,49.06,50.0,1110502
1998-08-06,49.31,50.0,48.88,49.94,1535801
1998-08-07,50.0,50.25,49.06,49.38,1280501
1998-08-10,48.75,49.01,48.31,48.44,1003901
1998-08-11,47.63,47.69,46.5,47.38,1226000
1998-08-12,47.5,49.06,47.5,48.57,969901
1998-08-13,48.63,49.19,47.93,47.94,617500
1998-08-14,48.75,49.0,47.25,48.0,532600
1998-08-17,47.88,48.94,47.69,48.94,702400
1998-08-18,48.88,49.81,48.62,49.31,795701
1998-08-19,50.5,50.63,49.32,49.44,930700
1998-08-20,49.88,49.94,48.19,48.94,424000
1998-08-21,47.44,47.82,46.13,47.69,1021701
1998-08-24,47.94,49.44,47.93,48.0,588801
1998-08-25,48.81,49.13,46.93,47.37,570401
1998-08-26,47.13,47.26,46.25,46.75,431601
1998-08-27,45.75,46.63,43.81,44.37,1076501
1998-08-28,45.5,46.26,43.68,43.81,966304
1998-08-31,44.63,45.01,41.62,41.69,1179303
1998-09-01,42.25,44.19,41.87,44.06,1552201
1998-09-02,44.13,47.31,43.75,44.94,907701
1998-09-03,44.88,45.44,43.56,44.31,776801
1998-09-04,44.75,44.94,42.0,43.19,674002
1998-09-08,44.5,46.63,44.5,46.44,808104
1998-09-09,45.25,46.63,45.0,45.25,766300
1998-09-10,42.56,43.63,41.81,42.94,1130906
1998-09-11,42.5,45.57,42.0,45.5,1127708
1998-09-14,46.38,48.0,46.25,47.07,820102
1998-09-15,46.88,48.81,46.0,48.69,729001
1998-09-16,48.63,49.69,47.94,48.82,711903
1998-09-17,46.5,47.88,46.25,47.38,583900
1998-09-18,47.31,47.94,46.88,47.63,979300
1998-09-21,45.63,47.76,45.25,47.62,804803
1998-09-22,47.94,49.13,47.75,48.44,691501
1998-09-23,49.63,51.19,49.19,50.88,805502
1998-09-24,50.5,51.13,48.0,49.44,722401
1998-09-25,48.25,49.25,47.75,48.94,999803
1998-09-28,48.88,50.69,46.56,47.94,870011
1998-09-29,48.38,48.63,46.56,46.81,614904
1998-09-30,46.0,46.31,44.06,44.94,782400
1998-10-01,43.75,44.38,42.94,43.37,594100
1998-10-02,43.81,45.51,42.44,45.19,813605
1998-10-05,44.63,44.75,41.44,43.31,941304
1998-10-06,44.63,44.75,41.43,42.25,981902
1998-10-07,42.0,43.25,40.56,41.75,1304906
1998-10-08,40.56,41.01,38.75,40.38,1097702
1998-10-09,42.0,43.44,41.0,43.06,1066503
1998-10-12,44.75,45.75,44.0,44.06,732804
1998-10-13,43.63,46.25,43.31,45.31,716800
1998-10-14,45.31,47.38,44.5,46.32,574702
1998-10-15,45.75,49.5,45.43,49.5,1076705
1998-10-16,50.44,52.94,49.81,51.0,1754311
1998-10-19,50.88,52.69,50.81,52.07,520002
1998-10-20,51.44,54.13,51.44,53.44,922701
1998-10-21,53.31,53.31,51.13,51.19,748500
1998-10-22,49.5,52.13,49.5,51.94,742802
1998-10-23,51.94,52.0,50.75,51.13,304100
1998-10-26,51.25,51.63,50.25,51.0,297801
1998-10-27,51.13,51.75,48.87,49.56,582504
1998-10-28,49.56,50.06,48.88,49.44,482500
1998-10-29,49.63,49.88,49.06,49.75,649900
1998-10-30,49.88,50.75,49.75,49.94,1167902
1998-11-02,50.13,51.13,50.13,50.82,563600
1998-11-03,50.88,50.94,50.19,50.31,497600
1998-11-04,50.5,51.56,50.5,51.19,708800
1998-11-05,50.94,52.19,50.62,52.13,695900
1998-11-06,51.94,52.5,51.81,52.06,393100
1998-11-09,51.0,51.5,49.88,50.19,639900
1998-11-10,50.0,50.19,49.37,49.75,502300
1998-11-11,49.81,50.13,49.5,49.81,929600
1998-11-12,50.0,50.0,49.12,49.56,393800
1998-11-13,49.75,50.69,49.75,50.06,602700
1998-11-16,50.0,50.81,50.0,50.13,900400
1998-11-17,50.06,50.75,49.63,50.18,1191200
1998-11-18,50.38,50.38,48.94,49.75,896700
1998-11-19,49.94,51.94,49.88,51.31,730200
1998-11-20,52.5,52.5,51.87,52.12,898900
1998-11-23,53.0,53.69,52.5,52.88,924000
1998-11-24,53.0,53.19,52.5,52.63,1092500
1998-11-25,52.69,53.26,52.62,53.19,511600
1998-11-27,53.0,53.06,52.63,52.81,96600
1998-11-30,52.75,53.26,51.19,51.56,450100
1998-12-01,50.94,52.13,50.75,51.94,502900
1998-12-02,51.0,53.0,50.94,52.87,627700
1998-12-03,52.25,52.57,51.56,51.81,760500
1998-12-04,51.94,53.56,51.94,53.32,542700
1998-12-07,53.19,53.31,52.25,52.75,362500
1998-12-08,53.0,53.13,51.88,52.0,546600
1998-12-09,52.0,52.5,51.5,51.75,801900
1998-12-10,51.88,52.13,50.88,51.0,711500
1998-12-11,50.75,50.75,49.12,49.88,532800
1998-12-14,49.0,50.31,49.0,50.19,412300
1998-12-15,50.06,50.56,49.19,50.19,471300
1998-12-16,50.19,50.44,49.5,49.94,368100
1998-12-17,50.25,53.19,50.13,52.75,1250400
1998-12-18,53.31,53.38,51.44,52.5,815600
1998-12-21,52.25,52.94,52.25,52.63,415300
1998-12-22,52.25,53.13,52.06,52.38,381900
1998-12-23,52.63,53.94,52.0,53.76,378600
1998-12-24,53.38,53.94,53.25,53.44,175000
1998-12-28,53.25,53.63,52.81,53.25,336300
1998-12-29,53.25,53.88,53.25,53.88,292100
1998-12-30,53.75,54.0,53.31,53.75,331400
1998-12-31,53.75,54.63,53.5,54.19,588900
1999-01-04,54.25,54.5,51.56,52.31,715900
1999-01-05,52.63,53.13,52.25,52.75,604800
1999-01-06,53.25,53.69,53.25,53.63,1091900
1999-01-07,53.25,53.57,51.5,53.44,1250800
1999-01-08,53.75,54.19,52.81,54.13,1007200
1999-01-11,54.06,54.31,53.31,53.5,519700
1999-01-12,53.0,53.13,51.81,52.19,438100
1999-01-13,50.5,51.94,49.75,51.69,465900
1999-01-14,51.25,51.44,49.31,49.38,709600
1999-01-15,49.0,50.01,49.0,49.69,993000
1999-01-19,49.94,50.38,48.43,49.06,928100
1999-01-20,49.0,49.5,48.5,48.5,1021800
1999-01-21,48.25,48.25,47.0,47.63,1338900
1999-01-22,47.44,48.44,47.13,47.63,716900
1999-01-25,47.94,48.63,47.56,48.56,759000
1999-01-26,50.25,50.38,49.32,49.88,1062900
1999-01-27,50.0,51.01,49.56,49.56,1425100
1999-01-28,49.63,50.51,49.5,50.31,1059200
1999-01-29,50.38,51.76,49.62,51.06,694500
1999-02-01,50.94,50.94,50.0,50.19,827100
1999-02-02,49.81,50.07,48.88,49.81,700800
1999-02-03,49.88,50.38,49.63,50.25,694300
1999-02-04,50.25,50.25,49.13,49.44,867200
1999-02-05,49.63,49.63,48.5,48.94,689900
1999-02-08,48.81,49.0,48.5,48.63,644200
1999-02-09,48.69,48.69,47.44,47.56,803000
1999-02-10,48.0,48.13,47.63,48.0,761800
1999-02-11,48.25,49.44,48.0,49.12,730600
1999-02-12,49.0,49.56,48.5,48.81,488900
1999-02-16,49.06,49.69,49.0,49.56,575000
1999-02-17,49.38,51.82,49.13,50.63,997200
1999-02-18,51.75,52.26,51.13,51.25,690500
1999-02-19,51.56,51.56,50.56,50.69,539500
1999-02-22,50.5,51.56,50.25,51.5,668500
1999-02-23,52.0,53.0,52.0,52.31,877300
1999-02-24,52.25,53.0,50.38,50.88,628300
1999-02-25,50.19,51.0,50.07,50.88,726700
1999-02-26,52.0,52.25,51.31,51.94,646100
1999-03-01,51.5,52.19,51.38,52.0,598900
1999-03-02,52.0,52.38,51.62,51.81,943900
1999-03-03,52.0,52.57,51.88,52.31,551900
1999-03-04,52.38,53.76,52.31,53.76,615100
1999-03-05,54.0,55.06,54.0,54.81,1356200
1999-03-08,54.63,55.37,54.38,55.0,992300
1999-03-09,54.5,56.31,54.38,55.82,1132100
1999-03-10,55.5,57.0,55.13,56.88,984100
1999-03-11,57.0,57.75,56.43,57.5,971000
1999-03-12,57.25,57.44,56.75,57.06,1203200
1999-03-15,57.25,59.13,57.25,58.69,1283800
1999-03-16,58.75,59.51,58.5,58.63,1032500
1999-03-17,58.25,58.25,56.5,57.63,746700
1999-03-18,57.0,59.44,56.87,59.25,1050000
1999-03-19,59.25,59.56,58.44,59.5,1029500
1999-03-22,59.31,59.32,58.25,59.13,786200
1999-03-23,58.13,58.25,56.38,57.06,795300
1999-03-24,56.75,56.94,56.0,56.25,705200
1999-03-25,56.31,57.5,56.31,57.0,810500
1999-03-26,56.88,56.88,55.87,55.87,419500
1999-03-29,55.94,56.81,55.94,56.57,818100
1999-03-30,55.88,56.25,55.37,55.94,505600
1999-03-31,55.94,55.94,55.06,55.5,514500
1999-04-01,55.31,55.51,54.38,54.69,688700
1999-04-05,55.0,55.01,54.37,54.75,809100
1999-04-06,54.75,55.38,54.56,55.0,489700
1999-04-07,55.13,55.63,54.87,55.19,661200
1999-04-08,55.0,56.56,55.0,56.31,790000
1999-04-09,56.25,57.69,55.63,56.81,626900
1999-04-12,55.75,58.0,55.62,57.94,527800
1999-04-13,57.56,57.94,57.19,57.5,514400
1999-04-14,57.25,58.94,57.06,57.56,556200
1999-04-15,57.56,57.63,56.57,57.19,433500
1999-04-16,57.25,57.63,56.88,57.06,519400
1999-04-19,58.0,59.25,57.88,58.69,833200
1999-04-20,58.5,59.0,57.81,58.88,361400
1999-04-21,59.75,59.76,58.63,59.38,395200
1999-04-22,59.19,60.13,58.75,59.69,1029500
1999-04-23,58.25,59.06,58.13,58.87,1205300
1999-04-26,58.75,59.31,58.5,58.57,580300
1999-04-27,58.88,60.0,58.63,59.94,641800
1999-04-28,59.81,59.94,58.25,58.75,928800
1999-04-29,58.56,59.5,58.25,58.81,661400
1999-04-30,58.0,58.38,56.25,57.25,1387400
1999-05-03,57.88,59.75,57.88,59.44,655000
1999-05-04,59.25,59.38,57.06,57.69,673500
1999-05-05,57.63,58.31,57.25,57.69,508500
1999-05-06,56.75,57.26,55.5,56.56,606200
1999-05-07,56.56,57.63,55.31,57.13,1022400
1999-05-10,56.5,56.51,56.0,56.0,568300
1999-05-11,56.75,56.81,56.0,56.69,519000
1999-05-12,56.44,57.44,56.06,56.94,559800
1999-05-13,57.13,59.13,57.0,58.94,634900
1999-05-14,58.25,58.25,56.63,56.88,534100
1999-05-17,56.63,57.0,56.06,56.38,539300
1999-05-18,56.38,56.94,56.0,56.44,435100
1999-05-19,56.88,58.06,56.88,57.88,950800
1999-05-20,58.25,58.5,57.81,58.06,641700
1999-05-21,58.06,58.12,57.38,57.94,533300
1999-05-24,57.25,57.38,55.88,56.69,585400
1999-05-25,56.31,57.13,56.0,56.0,595700
1999-05-26,55.25,58.01,55.0,57.69,617600
1999-05-27,57.5,57.5,56.25,56.5,573100
1999-05-28,56.5,57.76,56.5,57.37,549800
1999-06-01,56.5,57.01,56.06,56.75,522900
1999-06-02,56.88,57.25,56.56,56.81,473800
1999-06-03,56.75,57.44,56.75,57.25,548800
1999-06-04,56.75,58.0,56.75,57.81,373500
1999-06-07,57.69,58.75,57.5,58.75,432400
1999-06-08,58.19,58.63,57.75,57.94,342400
1999-06-09,57.75,58.76,57.69,58.0,295000
1999-06-10,57.5,57.5,55.69,56.44,310400
1999-06-11,56.06,56.5,54.75,55.38,609600
1999-06-14,55.69,56.76,55.38,56.06,414900
1999-06-15,56.13,56.19,55.63,56.19,410200
1999-06-16,56.44,56.75,56.19,56.56,474600
1999-06-17,56.88,57.51,56.75,57.51,445200
1999-06-18,57.25,57.88,57.13,57.5,681100
1999-06-21,57.25,58.06,57.13,57.87,343100
1999-06-22,57.5,58.0,57.5,57.88,300400
1999-06-23,57.75,57.75,56.56,56.69,491800
1999-06-24,56.25,56.38,55.0,55.25,413300
1999-06-25,55.44,56.19,55.44,55.75,346000
1999-06-28,55.75,56.44,55.63,55.69,1057300
1999-06-29,56.25,57.25,56.25,57.0,703700
1999-06-30,56.75,58.44,56.0,57.81,1148200
1999-07-01,57.5,57.94,57.0,57.81,475100
1999-07-02,57.69,58.0,57.63,57.94,281000
1999-07-06,57.75,57.81,57.0,57.26,586300
1999-07-07,57.56,58.06,57.44,57.81,491500
1999-07-08,57.31,57.63,56.94,57.0,461200
1999-07-09,57.06,57.63,57.06,57.25,395500
1999-07-12,57.56,57.56,56.38,56.5,269000
