datetime,open,high,low,close,volume
1999-11-10,65.0,70.31,65.0,67.31,52944100
1999-11-11,68.75,76.94,68.75,73.12,27792700
1999-11-12,76.0,76.63,69.25,71.44,13826400
1999-11-15,70.5,70.88,67.31,67.75,8475900
1999-11-16,67.88,68.01,65.19,65.69,6827800
1999-11-17,65.56,68.19,65.12,67.69,5697900
1999-11-18,67.94,68.94,66.12,66.37,4662600
1999-11-19,66.31,66.31,64.25,64.75,4984200
1999-11-22,64.06,64.26,61.0,63.25,4620500
1999-11-23,63.38,67.01,63.25,66.25,2772500
1999-11-24,66.0,68.19,65.94,67.5,2101200
1999-11-26,68.44,69.44,68.19,69.13,1304900
1999-11-29,70.0,70.26,67.0,67.38,1894900
1999-11-30,67.38,67.63,66.06,66.25,1620500
1999-12-01,66.25,67.38,65.62,65.87,1378300
1999-12-02,66.0,67.06,65.87,67.0,1356800
1999-12-03,67.44,67.69,66.31,66.75,1718500
1999-12-06,66.5,66.51,65.38,66.0,1352700
1999-12-07,65.94,68.01,65.88,67.69,1655900
1999-12-08,68.0,68.26,66.75,68.13,1684100
1999-12-09,68.38,68.75,66.62,67.44,1644300
1999-12-10,66.38,67.01,65.37,66.18,1217700
1999-12-13,66.38,66.94,65.12,65.44,1317100
1999-12-14,66.0,66.0,64.75,64.81,1803300
1999-12-15,65.0,65.06,63.69,63.93,1571800
1999-12-16,63.75,64.07,63.25,63.75,1288600
1999-12-17,64.75,67.63,64.68,66.76,1951800
1999-12-20,67.69,68.38,66.94,67.94,1447500
1999-12-21,68.25,69.0,67.5,68.75,1238300
1999-12-22,68.94,68.94,66.06,67.0,1260000
1999-12-23,66.5,67.75,65.62,67.63,1141100
1999-12-27,68.5,69.63,67.5,69.44,1458700
1999-12-28,69.5,69.69,68.07,69.25,1006500
1999-12-29,69.0,69.38,67.56,69.38,881100
1999-12-30,69.25,69.5,68.0,69.13,903500
1999-12-31,68.88,69.5,68.37,69.0,647700
2000-01-03,69.69,69.76,67.0,67.06,1233400
2000-01-04,67.0,67.0,64.62,65.0,1369700
2000-01-05,64.88,66.51,64.75,66.19,1306500
2000-01-06,65.88,68.01,65.0,67.94,1895900
2000-01-07,67.63,67.63,66.25,66.38,982700
2000-01-10,66.88,67.44,66.44,67.0,1171700
2000-01-11,67.13,67.44,66.31,66.38,994400
2000-01-12,66.13,67.51,65.44,67.12,1086300
2000-01-13,67.63,68.51,67.37,68.31,1013600
2000-01-14,68.88,69.26,68.31,68.75,1093200
2000-01-18,69.0,69.01,67.37,68.44,866200
2000-01-19,68.5,68.56,67.44,68.06,1017100
2000-01-20,68.13,69.13,68.12,68.69,1918700
2000-01-21,68.88,68.88,66.69,67.25,1220900
2000-01-24,67.88,68.25,66.0,66.13,826000
2000-01-25,65.63,65.88,64.75,65.69,1180700
2000-01-26,65.25,65.63,64.5,65.38,775900
2000-01-27,65.31,65.37,64.0,65.12,1067500
2000-01-28,65.13,65.88,64.5,64.94,1289500
2000-01-31,63.0,63.19,59.0,59.5,5553500
2000-02-01,59.69,60.51,58.31,60.25,4514600
2000-02-02,59.75,59.94,57.18,58.19,4609000
2000-02-03,59.25,59.5,57.37,57.5,1886200
2000-02-04,58.19,58.19,56.06,56.38,1716000
2000-02-07,56.63,56.82,55.5,55.81,1444700
2000-02-08,56.25,59.13,55.75,59.0,1987800
2000-02-09,59.5,59.63,58.12,58.12,1105400
2000-02-10,58.06,58.5,56.5,57.31,976200
2000-02-11,56.81,57.01,55.12,55.19,982300
