datetime,open,high,low,close,volume
2016-11-22 21:40:00,79.31,79.36,79.28,79.33,74305
2016-11-22 21:50:00,79.33,79.36,79.3,79.34,63967
2016-11-22 22:00:00,79.33,79.37,79.27,79.33,93521
2016-11-22 22:10:00,79.32,79.36,79.29,79.36,106622
2016-11-22 22:20:00,79.36,79.36,79.22,79.23,94355
2016-11-22 22:30:00,79.24,79.31,79.23,79.31,100965
2016-11-22 22:40:00,79.31,79.4,79.27,79.38,187591
2016-11-22 22:50:00,79.38,79.43,79.29,79.3,321882
2016-11-23 16:30:00,79.46,80.09,79.37,79.92,114865
2016-11-23 16:40:00,79.87,80.08,79.6,79.91,81433
2016-11-23 16:50:00,79.9,80.33,79.73,79.9,107181
2016-11-23 17:00:00,79.88,79.97,79.73,79.8,53158
2016-11-23 17:10:00,79.8,79.86,79.66,79.77,45968
2016-11-23 17:20:00,79.75,79.84,79.66,79.76,35906
2016-11-23 17:30:00,79.78,79.84,79.63,79.75,43939
2016-11-23 17:40:00,79.73,79.73,79.54,79.6,40674
2016-11-23 17:50:00,79.61,79.61,79.37,79.45,50343
2016-11-23 18:00:00,79.45,79.66,79.36,79.65,72720
2016-11-23 18:10:00,79.62,79.65,79.41,79.54,44742
2016-11-23 18:20:00,79.55,79.58,79.37,79.48,45909
2016-11-23 18:30:00,79.47,79.52,79.33,79.4,54267
2016-11-23 18:40:00,79.41,79.48,79.34,79.48,57339
2016-11-23 18:50:00,79.47,79.58,79.41,79.57,65421
2016-11-23 19:00:00,79.57,79.57,79.4,79.48,49014
2016-11-23 19:10:00,79.49,79.63,79.42,79.58,129115
2016-11-23 19:20:00,79.63,79.92,79.62,79.91,34649
2016-11-23 19:30:00,79.91,79.91,79.7,79.78,31389
2016-11-23 19:40:00,79.77,79.81,79.7,79.73,26028
2016-11-23 19:50:00,79.74,79.74,79.51,79.61,26137
2016-11-23 20:00:00,79.59,79.64,79.53,79.62,22619
2016-11-23 20:10:00,79.61,79.62,79.52,79.6,19568
2016-11-23 20:20:00,79.6,79.63,79.53,79.54,33576
2016-11-23 20:30:00,79.51,79.56,79.42,79.51,26801
2016-11-23 20:40:00,79.49,79.59,79.49,79.57,34935
2016-11-23 20:50:00,79.56,79.6,79.51,79.56,29013
2016-11-23 21:00:00,79.57,79.65,79.56,79.61,25255
2016-11-23 21:10:00,79.56,79.62,79.49,79.53,32915
2016-11-23 21:20:00,79.52,79.56,79.44,79.47,26407
2016-11-23 21:30:00,79.48,79.58,79.47,79.48,25037
2016-11-23 21:40:00,79.47,79.53,79.44,79.47,23448
2016-11-23 21:50:00,79.47,79.49,79.4,79.42,34739
2016-11-23 22:00:00,79.42,79.44,79.38,79.41,28655
2016-11-23 22:10:00,79.4,79.41,79.22,79.28,46430
2016-11-23 22:20:00,79.28,79.5,79.27,79.5,64147
2016-11-23 22:30:00,79.5,79.63,79.46,79.55,73519
2016-11-23 22:40:00,79.53,79.7,79.52,79.66,78823
2016-11-23 22:50:00,79.66,79.73,79.6,79.72,138214
2016-11-25 16:30:00,80.06,80.45,80.06,80.42,80877
2016-11-25 16:40:00,80.42,80.67,80.17,80.17,125100
2016-11-25 16:50:00,80.18,80.26,79.99,79.99,59638
2016-11-25 17:00:00,79.97,80.02,79.73,79.92,86121
2016-11-25 17:10:00,79.91,79.97,79.85,79.95,41721
2016-11-25 17:20:00,79.95,80.16,79.91,80.1,56621
2016-11-25 17:30:00,80.1,80.27,80.09,80.21,51081
2016-11-25 17:40:00,80.2,80.25,80.13,80.2,39244
2016-11-25 17:50:00,80.2,80.25,80.18,80.2,34210
2016-11-25 18:00:00,80.2,80.24,80.07,80.07,50823
2016-11-25 18:10:00,80.07,80.27,80.07,80.27,43604
2016-11-25 18:20:00,80.27,80.36,80.23,80.23,70345
2016-11-25 18:30:00,80.24,80.28,80.07,80.08,26641
2016-11-25 18:40:00,80.08,80.1,79.99,80.02,29500
2016-11-25 18:50:00,80.01,80.19,80.01,80.19,44434
2016-11-25 19:00:00,80.19,80.32,80.09,80.12,34784
2016-11-25 19:10:00,80.13,80.2,80.11,80.17,34630
2016-11-25 19:20:00,80.17,80.2,80.09,80.14,47536
2016-11-25 19:30:00,80.14,80.2,80.1,80.14,53208
2016-11-25 19:40:00,80.14,80.14,79.98,80.1,64366
2016-11-25 19:50:00,80.1,80.1,79.96,80.02,68380
2016-11-25 20:00:00,80.06,80.06,80.06,80.06,75605
2016-11-25 20:10:00,80.0,80.0,80.0,80.0,100
2016-11-25 20:20:00,80.06,80.06,80.06,80.06,466
2016-11-25 20:30:00,80.06,80.06,80.06,80.06,678
2016-11-25 22:50:00,80.1,80.1,80.1,80.1,452
2016-11-28 16:30:00,79.77,80.52,79.51,80.2,142830
2016-11-28 16:40:00,80.2,80.35,79.89,79.92,98439
2016-11-28 16:50:00,79.92,80.03,79.78,79.99,53549
2016-11-28 17:00:00,79.99,80.2,79.94,80.19,124940
2016-11-28 17:10:00,80.18,80.22,79.6,79.6,109048
2016-11-28 17:20:00,79.61,79.62,79.3,79.45,88264
2016-11-28 17:30:00,79.47,79.62,79.34,79.38,73025
2016-11-28 17:40:00,79.38,79.51,79.34,79.34,47150
2016-11-28 17:50:00,79.32,79.32,79.08,79.23,143746
2016-11-28 18:00:00,79.24,79.31,79.05,79.06,56813
2016-11-28 18:10:00,79.07,79.18,78.98,79.18,64073
2016-11-28 18:20:00,79.18,79.22,79.07,79.12,73016
2016-11-28 18:30:00,79.11,79.14,79.02,79.07,73261
2016-11-28 18:40:00,79.08,79.12,78.94,79.03,87054
2016-11-28 18:50:00,79.04,79.08,78.92,78.99,80850
2016-11-28 19:00:00,79.0,79.03,78.95,78.98,88813
2016-11-28 19:10:00,78.97,78.98,78.86,78.86,62971
2016-11-28 19:20:00,78.87,78.95,78.77,78.77,61124
2016-11-28 19:30:00,78.77,78.79,78.6,78.6,119837
2016-11-28 19:40:00,78.61,78.66,78.54,78.6,100368
2016-11-28 19:50:00,78.61,78.63,78.47,78.55,112525
2016-11-28 20:00:00,78.55,78.57,78.42,78.45,77117
2016-11-28 20:10:00,78.45,78.51,78.39,78.47,72909
2016-11-28 20:20:00,78.48,78.6,78.39,78.55,101137
