datetime,open,high,low,close,volume
1998-01-02 16:00:00,21.81,21.88,21.68,21.69,46702
1998-01-02 17:00:00,21.69,21.69,21.37,21.5,41100
1998-01-02 18:00:00,21.5,21.56,21.37,21.44,49800
1998-01-02 19:00:00,21.44,21.69,21.44,21.56,44100
1998-01-02 20:00:00,21.56,21.63,21.44,21.44,23400
1998-01-02 21:00:00,21.44,21.44,21.31,21.31,51800
1998-01-02 22:00:00,21.31,21.69,21.31,21.62,59300
1998-01-05 16:00:00,21.63,21.94,21.63,21.88,74402
1998-01-05 17:00:00,21.94,21.94,21.75,21.75,104500
1998-01-05 18:00:00,21.81,21.94,21.75,21.88,97800
1998-01-05 19:00:00,21.81,21.88,21.75,21.87,64900
1998-01-05 20:00:00,21.88,21.88,21.63,21.69,63200
1998-01-05 21:00:00,21.69,21.75,21.56,21.69,157200
1998-01-05 22:00:00,21.69,21.88,21.63,21.75,113200
1998-01-06 16:00:00,21.56,21.63,21.44,21.5,91801
1998-01-06 17:00:00,21.5,21.5,21.37,21.44,123100
1998-01-06 18:00:00,21.38,21.44,21.25,21.31,108000
1998-01-06 19:00:00,21.25,21.44,21.18,21.25,111300
1998-01-06 20:00:00,21.25,21.31,21.18,21.25,107100
1998-01-06 21:00:00,21.25,21.25,21.13,21.19,64400
1998-01-06 22:00:00,21.25,21.25,21.19,21.25,48500
1998-01-07 16:00:00,21.0,21.06,20.75,21.06,123500
1998-01-07 17:00:00,21.06,21.25,21.0,21.25,198900
1998-01-07 18:00:00,21.25,21.31,21.13,21.25,126100
1998-01-07 19:00:00,21.19,21.38,21.18,21.31,86500
1998-01-07 20:00:00,21.31,21.81,21.31,21.81,324300
1998-01-07 21:00:00,21.75,22.19,21.75,22.13,374000
1998-01-07 22:00:00,22.13,22.63,22.13,22.62,350100
1998-01-08 16:00:00,22.63,22.94,22.63,22.81,216601
1998-01-08 17:00:00,22.81,22.94,22.75,22.88,374407
1998-01-08 18:00:00,22.94,22.94,22.81,22.88,112400
1998-01-08 19:00:00,22.88,22.94,22.12,22.31,294400
1998-01-08 20:00:00,22.38,22.44,22.25,22.31,134400
1998-01-08 21:00:00,22.31,22.38,22.25,22.25,97100
1998-01-08 22:00:00,22.25,22.38,22.13,22.25,207000
1998-01-09 16:00:00,22.25,22.31,22.13,22.25,92500
1998-01-09 17:00:00,22.19,22.25,22.0,22.13,141901
1998-01-09 18:00:00,22.06,22.13,21.88,22.06,166600
1998-01-09 19:00:00,22.06,22.13,22.0,22.13,83400
1998-01-09 20:00:00,22.13,22.25,22.06,22.13,96200
1998-01-09 21:00:00,22.06,22.13,21.94,22.0,174800
1998-01-09 22:00:00,22.0,22.0,21.88,21.88,246400
1998-01-12 16:00:00,21.56,21.88,21.56,21.88,143002
1998-01-12 17:00:00,21.81,22.0,21.75,22.0,169400
1998-01-12 18:00:00,21.94,22.31,21.94,22.13,320700
1998-01-12 19:00:00,22.13,22.19,22.06,22.13,89800
1998-01-12 20:00:00,22.06,22.13,22.06,22.06,18600
1998-01-12 21:00:00,22.13,22.19,22.0,22.13,103600
1998-01-12 22:00:00,22.19,22.31,22.06,22.31,132800
1998-01-13 16:00:00,22.25,22.44,22.25,22.31,90501
1998-01-13 17:00:00,22.31,22.38,22.0,22.0,239800
1998-01-13 18:00:00,22.0,22.13,22.0,22.0,213200
1998-01-13 19:00:00,22.0,22.13,22.0,22.06,32100
1998-01-13 20:00:00,22.06,22.06,22.0,22.0,213800
1998-01-13 21:00:00,22.0,22.06,21.94,21.94,182400
1998-01-13 22:00:00,21.94,22.13,21.94,22.13,161100
1998-01-14 16:00:00,22.31,22.31,21.94,22.0,153100
1998-01-14 17:00:00,21.94,22.07,21.94,21.94,92600
1998-01-14 18:00:00,21.94,22.0,21.81,21.88,144700
1998-01-14 19:00:00,21.81,21.88,21.75,21.75,167200
1998-01-14 20:00:00,21.75,21.81,21.63,21.63,185700
1998-01-14 21:00:00,21.69,21.69,21.5,21.56,99400
1998-01-14 22:00:00,21.56,22.0,21.56,22.0,148500
1998-01-15 16:00:00,22.0,22.06,21.94,22.0,71200
1998-01-15 17:00:00,22.0,22.13,22.0,22.07,108400
1998-01-15 18:00:00,22.13,22.25,22.06,22.13,70200
1998-01-15 19:00:00,22.06,22.19,21.94,22.0,69500
1998-01-15 20:00:00,22.0,22.06,21.94,21.94,61000
1998-01-15 21:00:00,22.0,22.06,21.94,22.06,43500
1998-01-15 22:00:00,22.06,22.06,21.94,22.0,80800
1998-01-16 16:00:00,22.0,22.19,22.0,22.19,170500
1998-01-16 17:00:00,22.19,22.19,22.0,22.06,112200
1998-01-16 18:00:00,22.06,22.13,21.88,21.94,381700
1998-01-16 19:00:00,22.0,22.0,21.63,21.81,119400
1998-01-16 20:00:00,21.81,21.88,21.5,21.56,708800
1998-01-16 21:00:00,21.63,21.75,21.5,21.63,361500
1998-01-16 22:00:00,21.69,22.06,21.63,21.81,387701
1998-01-20 16:00:00,21.81,22.0,21.81,21.94,228703
1998-01-20 17:00:00,22.0,22.0,21.88,21.94,106300
1998-01-20 18:00:00,21.88,22.0,21.81,21.94,312100
1998-01-20 19:00:00,21.88,22.01,21.81,21.88,91300
1998-01-20 20:00:00,21.88,21.94,21.88,21.88,77900
1998-01-20 21:00:00,21.94,22.0,21.88,21.88,114800
1998-01-20 22:00:00,21.88,22.07,21.88,21.88,173200
1998-01-21 16:00:00,21.94,22.0,21.69,21.69,119700
1998-01-21 17:00:00,21.69,21.87,21.69,21.81,149800
1998-01-21 18:00:00,21.81,21.88,21.75,21.75,270100
1998-01-21 19:00:00,21.81,21.81,21.63,21.69,110200
1998-01-21 20:00:00,21.75,21.81,21.69,21.75,132500
1998-01-21 21:00:00,21.69,21.81,21.63,21.75,193900
1998-01-21 22:00:00,21.75,22.0,21.69,21.94,62500
1998-01-22 16:00:00,21.81,21.94,21.81,21.81,84300
1998-01-22 17:00:00,21.88,21.94,21.75,21.94,192300
1998-01-22 18:00:00,21.94,22.0,21.88,21.94,110800
1998-01-22 19:00:00,21.94,22.13,21.88,22.13,130000
1998-01-22 20:00:00,22.13,22.19,21.94,22.0,49100
1998-01-22 21:00:00,22.06,22.19,22.0,22.0,154800
1998-01-22 22:00:00,22.06,22.13,22.0,22.06,235800
1998-01-23 16:00:00,22.19,22.38,22.13,22.31,133600
1998-01-23 17:00:00,22.25,22.31,21.69,22.0,231300
1998-01-23 18:00:00,21.94,22.0,21.69,21.88,135200
1998-01-23 19:00:00,21.88,21.94,21.81,21.81,78000
1998-01-23 20:00:00,21.81,21.94,21.81,21.88,77500
1998-01-23 21:00:00,21.94,22.19,21.88,22.13,191301
1998-01-23 22:00:00,22.06,22.06,21.94,22.06,169400
1998-01-26 16:00:00,21.94,22.19,21.94,22.0,105500
1998-01-26 17:00:00,22.0,22.06,21.94,22.0,319900
1998-01-26 18:00:00,22.06,22.06,21.88,21.88,91100
1998-01-26 19:00:00,21.88,22.0,21.81,22.0,146000
1998-01-26 20:00:00,22.0,22.0,21.88,21.94,52700
1998-01-26 21:00:00,21.88,21.94,21.81,21.94,95000
1998-01-26 22:00:00,21.88,22.06,21.88,22.0,150900
1998-01-27 16:00:00,22.0,22.06,21.94,22.0,51500
1998-01-27 17:00:00,22.0,22.13,21.94,22.06,242301
