datetime,open,high,low,close,volume
1998-01-02 16:00:00,51.94,52.07,51.94,52.07,1900
1998-01-02 17:00:00,52.0,52.0,51.56,51.63,3000
1998-01-02 18:00:00,51.75,51.88,51.69,51.81,2600
1998-01-02 19:00:00,51.88,51.88,51.88,51.88,1300
1998-01-02 20:00:00,51.88,51.88,51.88,51.88,1000
1998-01-02 21:00:00,51.81,51.81,51.63,51.63,5800
1998-01-02 22:00:00,51.63,51.69,51.63,51.63,4300
1998-01-05 16:00:00,51.5,51.63,51.5,51.63,3500
1998-01-05 17:00:00,51.63,51.63,51.25,51.25,20300
1998-01-05 18:00:00,51.31,51.63,51.31,51.63,1600
1998-01-05 19:00:00,51.56,51.56,51.44,51.5,11000
1998-01-05 20:00:00,51.5,51.5,51.38,51.44,15500
1998-01-05 21:00:00,51.38,51.5,51.31,51.5,16100
1998-01-05 22:00:00,51.5,51.63,51.38,51.63,4200
1998-01-06 16:00:00,51.5,52.0,51.5,51.88,9200
1998-01-06 17:00:00,52.0,52.0,51.62,51.81,5800
1998-01-06 18:00:00,51.94,52.06,51.88,52.06,6500
1998-01-06 19:00:00,52.13,52.13,51.94,51.94,2000
1998-01-06 20:00:00,52.0,52.0,51.94,51.94,5800
1998-01-06 21:00:00,52.0,52.0,51.56,51.63,6800
1998-01-06 22:00:00,51.88,51.88,51.63,51.81,2200
1998-01-07 16:00:00,51.69,51.69,51.56,51.69,1000
1998-01-07 17:00:00,51.63,51.88,51.63,51.75,3100
1998-01-07 18:00:00,51.75,51.88,51.75,51.88,2900
1998-01-07 19:00:00,51.88,51.88,51.88,51.88,1300
1998-01-07 21:00:00,51.88,51.88,51.88,51.88,500
1998-01-07 22:00:00,52.0,52.0,51.88,51.94,9700
1998-01-08 16:00:00,52.25,52.25,52.25,52.25,3300
1998-01-08 17:00:00,52.25,52.25,52.0,52.0,4000
1998-01-08 18:00:00,51.75,51.75,51.25,51.25,12500
1998-01-08 19:00:00,51.25,51.25,51.25,51.25,900
1998-01-08 20:00:00,51.22,51.25,51.22,51.25,1300
1998-01-08 21:00:00,51.25,51.31,51.25,51.25,3600
1998-01-08 22:00:00,51.25,51.31,51.25,51.31,9800
1998-01-09 16:00:00,51.25,51.25,51.13,51.13,800
1998-01-09 17:00:00,51.13,51.13,50.81,50.81,1000
1998-01-09 18:00:00,50.81,50.81,50.38,50.38,4600
1998-01-09 19:00:00,50.38,50.69,50.38,50.69,5300
1998-01-09 20:00:00,50.69,50.69,50.69,50.69,500
1998-01-09 21:00:00,50.56,50.56,50.5,50.5,15100
1998-01-09 22:00:00,50.5,50.5,49.63,49.63,15600
1998-01-12 16:00:00,49.38,49.38,49.0,49.06,4800
1998-01-12 17:00:00,49.13,49.51,48.94,49.0,15500
1998-01-12 18:00:00,48.94,49.38,48.94,49.38,3400
1998-01-12 19:00:00,49.44,49.81,49.44,49.81,1600
1998-01-12 20:00:00,49.75,49.94,49.75,49.75,4500
1998-01-12 21:00:00,49.81,49.81,49.69,49.69,500
1998-01-12 22:00:00,49.69,49.75,49.56,49.63,3300
1998-01-13 16:00:00,49.75,49.75,49.75,49.75,200
1998-01-13 17:00:00,49.88,50.06,49.88,50.06,3200
1998-01-13 18:00:00,50.06,50.06,50.0,50.06,3600
1998-01-13 19:00:00,50.19,50.31,50.19,50.31,1100
1998-01-13 20:00:00,50.38,50.38,50.31,50.38,13500
1998-01-13 21:00:00,50.38,50.69,50.38,50.69,4000
1998-01-13 22:00:00,50.88,51.0,50.88,51.0,2700
1998-01-14 16:00:00,50.63,50.76,50.31,50.31,7500
1998-01-14 17:00:00,50.31,50.31,50.25,50.25,600
1998-01-14 18:00:00,50.31,50.38,50.25,50.38,800
1998-01-14 19:00:00,50.44,50.63,50.44,50.63,2800
1998-01-14 20:00:00,50.69,51.0,50.63,51.0,2100
1998-01-14 21:00:00,51.06,51.25,51.06,51.25,1900
1998-01-14 22:00:00,51.25,51.75,51.25,51.69,5000
1998-01-15 16:00:00,51.56,51.69,51.56,51.69,1300
1998-01-15 17:00:00,51.75,51.88,51.69,51.69,5600
1998-01-15 18:00:00,51.75,52.38,51.75,52.38,2400
1998-01-15 19:00:00,52.25,52.31,52.12,52.31,12000
1998-01-15 20:00:00,52.41,52.63,52.41,52.63,10900
1998-01-15 21:00:00,52.75,52.75,52.56,52.56,8200
1998-01-15 22:00:00,52.56,52.69,52.5,52.69,4300
1998-01-16 16:00:00,52.75,53.0,52.75,53.0,52900
1998-01-16 17:00:00,52.94,53.0,52.56,52.56,6900
1998-01-16 18:00:00,52.63,52.63,52.38,52.38,3300
1998-01-16 19:00:00,52.5,52.88,52.5,52.88,5600
1998-01-16 20:00:00,53.0,53.25,53.0,53.0,5600
1998-01-16 21:00:00,52.94,53.0,52.63,52.63,3100
1998-01-16 22:00:00,52.63,52.75,52.31,52.44,11300
1998-01-20 16:00:00,52.63,52.75,52.63,52.75,4400
1998-01-20 17:00:00,52.5,53.38,52.38,53.38,40600
1998-01-20 18:00:00,53.63,53.75,53.63,53.75,7200
1998-01-20 19:00:00,53.63,53.63,53.63,53.63,1300
1998-01-20 20:00:00,53.63,53.69,53.5,53.5,37600
1998-01-20 21:00:00,53.38,53.75,53.25,53.75,3800
1998-01-20 22:00:00,53.88,53.88,53.07,53.07,9600
1998-01-21 16:00:00,53.19,53.56,53.19,53.56,2100
1998-01-21 17:00:00,53.5,53.5,53.38,53.38,900
1998-01-21 18:00:00,53.38,53.56,53.38,53.56,400
1998-01-21 19:00:00,53.44,53.44,53.38,53.38,4400
1998-01-21 20:00:00,53.38,53.38,53.25,53.25,4400
1998-01-21 21:00:00,53.31,53.31,53.25,53.31,1900
1998-01-21 22:00:00,53.31,53.94,53.31,53.94,7900
1998-01-22 16:00:00,53.56,53.57,53.13,53.13,3700
1998-01-22 17:00:00,53.0,53.0,52.63,52.69,4300
1998-01-22 18:00:00,52.75,52.94,52.75,52.75,6500
1998-01-22 19:00:00,52.75,52.75,52.5,52.5,2300
1998-01-22 20:00:00,52.5,52.5,52.38,52.38,600
1998-01-22 21:00:00,52.25,52.31,52.13,52.13,2600
1998-01-22 22:00:00,52.19,52.44,52.13,52.44,2900
1998-01-23 16:00:00,52.69,52.94,52.69,52.75,6400
1998-01-23 17:00:00,52.56,52.56,52.06,52.06,10500
1998-01-23 18:00:00,51.94,51.94,51.69,51.81,33700
1998-01-23 19:00:00,51.94,52.06,51.94,52.06,2200
1998-01-23 20:00:00,52.06,52.44,52.06,52.44,2400
1998-01-23 21:00:00,52.5,52.63,52.5,52.63,2000
1998-01-23 22:00:00,52.63,53.31,52.56,53.31,4700
1998-01-26 16:00:00,53.25,53.5,53.25,53.38,1800
1998-01-26 17:00:00,53.31,53.44,53.25,53.31,6400
1998-01-26 18:00:00,53.25,53.25,53.06,53.13,4200
1998-01-26 19:00:00,52.88,52.88,52.88,52.88,600
1998-01-26 20:00:00,53.0,53.0,52.63,52.63,2200
1998-01-26 21:00:00,52.75,53.0,52.75,53.0,1500
1998-01-26 22:00:00,53.0,53.06,52.88,53.0,2500
1998-01-27 16:00:00,52.94,52.94,52.88,52.88,500
1998-01-27 17:00:00,52.75,53.25,52.75,53.13,16900
1998-01-27 18:00:00,53.13,53.19,53.13,53.13,9900
1998-01-27 19:00:00,53.13,53.25,53.13,53.25,11300
1998-01-27 20:00:00,53.25,53.25,53.13,53.25,10700
