datetime,open,high,low,close,volume
2012-02-08 17:00:00,9.64,13.96,9.32,11.2,1917400
2012-02-08 18:00:00,11.2,17.9,11.12,16.58,4031239
2012-02-08 19:00:00,16.58,17.0,15.2,16.01,1624548
2012-02-08 20:00:00,16.1,16.2,13.8,14.3,967771
2012-02-08 21:00:00,14.28,15.42,14.1,15.3,1119544
2012-02-08 22:00:00,15.3,15.57,14.8,15.4,1181839
2012-02-09 16:00:00,15.18,17.2,14.12,16.98,1156496
2012-02-09 17:00:00,16.98,17.3,16.07,16.9,715401
2012-02-09 18:00:00,16.98,17.0,16.2,16.81,317253
2012-02-09 19:00:00,16.8,16.83,15.5,15.78,317780
2012-02-09 20:00:00,15.73,16.0,15.61,15.82,90620
2012-02-09 21:00:00,15.8,15.85,14.77,14.93,272776
2012-02-09 22:00:00,14.96,15.15,14.64,14.64,194168
2012-02-10 16:00:00,14.43,15.35,14.28,14.95,226147
2012-02-10 17:00:00,14.89,14.98,14.5,14.73,175850
2012-02-10 18:00:00,14.68,14.84,14.4,14.53,148596
2012-02-10 19:00:00,14.69,14.77,14.56,14.63,37348
2012-02-10 20:00:00,14.63,14.68,14.35,14.47,69910
2012-02-10 21:00:00,14.53,14.53,14.2,14.2,69294
2012-02-10 22:00:00,14.2,14.46,14.14,14.17,114742
2012-02-13 16:00:00,14.51,14.8,13.27,13.61,379608
2012-02-13 17:00:00,13.63,13.85,13.31,13.38,103922
2012-02-13 18:00:00,13.39,13.58,13.28,13.36,96443
2012-02-13 19:00:00,13.38,13.45,13.27,13.31,51411
2012-02-13 20:00:00,13.35,13.4,13.25,13.31,51232
2012-02-13 21:00:00,13.3,13.32,13.13,13.28,93840
2012-02-13 22:00:00,13.3,13.44,13.15,13.18,70030
2012-02-14 16:00:00,13.23,13.48,12.32,12.71,195271
2012-02-14 17:00:00,12.75,12.78,11.82,12.15,284845
2012-02-14 18:00:00,12.15,12.4,12.1,12.2,52633
2012-02-14 19:00:00,12.2,12.3,12.02,12.24,64305
2012-02-14 20:00:00,12.23,12.33,12.16,12.33,57444
2012-02-14 21:00:00,12.33,12.75,12.32,12.72,112350
2012-02-14 22:00:00,12.74,12.82,12.57,12.6,122116
2012-02-15 16:00:00,12.78,13.2,12.6,13.0,74895
2012-02-15 17:00:00,12.87,12.99,12.77,12.85,50344
2012-02-15 18:00:00,12.86,12.98,12.75,12.88,40604
2012-02-15 19:00:00,12.89,12.99,12.48,12.67,73361
2012-02-15 20:00:00,12.67,12.75,12.28,12.7,63559
2012-02-15 21:00:00,12.68,12.71,12.46,12.61,42696
2012-02-15 22:00:00,12.67,12.69,12.45,12.54,58580
2012-02-16 16:00:00,12.39,12.75,12.39,12.53,25894
2012-02-16 17:00:00,12.55,12.65,12.32,12.32,36097
2012-02-16 18:00:00,12.4,12.69,12.35,12.69,54485
2012-02-16 19:00:00,12.69,12.8,12.53,12.56,39282
2012-02-16 20:00:00,12.62,12.71,12.42,12.59,23862
2012-02-16 21:00:00,12.55,13.48,12.55,12.96,107627
2012-02-16 22:00:00,12.95,13.18,12.57,12.66,52280
2012-02-17 16:00:00,13.0,13.24,12.83,12.96,64287
2012-02-17 17:00:00,12.93,13.0,12.82,12.98,30996
2012-02-17 18:00:00,12.98,13.15,12.7,12.87,77772
2012-02-17 19:00:00,12.86,12.96,12.81,12.84,15913
2012-02-17 20:00:00,12.81,12.89,12.79,12.79,11282
2012-02-17 21:00:00,12.8,12.81,12.74,12.74,7258
2012-02-17 22:00:00,12.73,12.75,12.59,12.7,45884
2012-02-21 16:00:00,12.6,12.76,12.5,12.5,49501
2012-02-21 17:00:00,12.5,12.53,12.3,12.36,71612
2012-02-21 18:00:00,12.36,12.46,12.36,12.36,39863
2012-02-21 19:00:00,12.42,12.5,12.35,12.35,27035
2012-02-21 20:00:00,12.35,12.44,12.3,12.36,61316
2012-02-21 21:00:00,12.33,12.5,12.3,12.49,24315
2012-02-21 22:00:00,12.49,12.7,12.41,12.56,65998
2012-02-22 16:00:00,12.82,12.82,12.47,12.5,9299
2012-02-22 17:00:00,12.5,12.6,12.3,12.35,28782
2012-02-22 18:00:00,12.35,12.5,12.25,12.37,39435
2012-02-22 19:00:00,12.39,12.5,12.32,12.45,15814
2012-02-22 20:00:00,12.48,12.5,12.4,12.41,5486
2012-02-22 21:00:00,12.43,12.5,12.27,12.28,16919
2012-02-22 22:00:00,12.27,12.3,12.0,12.0,91639
2012-02-23 16:00:00,12.05,12.23,12.01,12.02,43597
2012-02-23 17:00:00,12.03,12.05,11.9,11.92,63734
2012-02-23 18:00:00,11.96,11.96,10.95,11.29,315500
2012-02-23 19:00:00,11.29,11.43,11.2,11.4,71285
2012-02-23 20:00:00,11.4,11.42,11.3,11.4,41285
2012-02-23 21:00:00,11.4,11.54,11.32,11.35,70569
2012-02-23 22:00:00,11.35,11.4,11.3,11.4,50507
2012-02-24 16:00:00,11.5,11.5,11.0,11.05,117755
2012-02-24 17:00:00,11.05,11.05,10.9,10.93,100485
2012-02-24 18:00:00,10.95,11.05,10.94,11.0,100161
2012-02-24 19:00:00,11.0,11.03,10.95,11.0,39536
2012-02-24 20:00:00,11.0,11.01,10.96,10.99,19596
2012-02-24 21:00:00,10.99,11.04,10.77,10.87,69518
2012-02-24 22:00:00,10.91,10.93,10.8,10.82,92690
2012-02-27 16:00:00,10.42,10.62,10.4,10.45,83613
2012-02-27 17:00:00,10.48,10.59,10.46,10.5,98323
2012-02-27 18:00:00,10.5,10.6,10.5,10.51,31761
2012-02-27 19:00:00,10.51,10.54,10.48,10.49,32533
2012-02-27 20:00:00,10.48,10.54,10.42,10.47,21565
2012-02-27 21:00:00,10.49,10.59,10.42,10.46,65503
2012-02-27 22:00:00,10.5,10.56,10.36,10.37,46531
2012-02-28 16:00:00,10.8,10.8,10.36,10.66,83341
2012-02-28 17:00:00,10.6,10.62,10.4,10.5,57345
2012-02-28 18:00:00,10.52,10.7,10.51,10.68,77035
2012-02-28 19:00:00,10.68,10.8,10.68,10.79,50606
2012-02-28 20:00:00,10.8,11.0,10.71,10.95,67660
2012-02-28 21:00:00,10.95,10.97,10.9,10.93,24219
2012-02-28 22:00:00,10.93,10.97,10.7,10.84,87796
2012-02-29 16:00:00,11.08,11.87,11.06,11.75,206689
2012-02-29 17:00:00,11.76,11.79,10.9,11.08,150432
2012-02-29 18:00:00,11.08,11.2,10.95,11.14,44381
2012-02-29 19:00:00,11.11,11.48,11.01,11.34,65902
2012-02-29 20:00:00,11.36,11.4,11.14,11.3,50539
2012-02-29 21:00:00,11.33,11.42,11.26,11.4,48978
2012-02-29 22:00:00,11.4,11.42,11.25,11.35,68179
2012-03-01 16:00:00,11.48,11.57,11.0,11.07,28069
2012-03-01 17:00:00,11.1,11.25,11.0,11.03,42555
2012-03-01 18:00:00,11.04,11.15,11.0,11.1,38654
2012-03-01 19:00:00,11.14,11.16,11.08,11.08,10788
2012-03-01 20:00:00,11.08,11.11,11.0,11.11,40733
2012-03-01 21:00:00,11.12,11.13,10.93,10.98,109377
2012-03-01 22:00:00,11.0,11.36,10.96,11.22,116993
2012-03-02 16:00:00,11.2,11.22,10.95,10.95,37484
2012-03-02 17:00:00,10.96,11.33,10.95,11.07,84401
2012-03-02 18:00:00,11.0,11.06,10.97,11.03,9624
2012-03-02 19:00:00,11.02,11.05,10.98,11.0,15038
2012-03-02 20:00:00,11.0,11.04,10.95,10.98,7643
2012-03-02 21:00:00,11.0,11.05,10.98,10.99,8450
2012-03-02 22:00:00,11.0,11.05,10.96,11.0,30067
2012-03-05 16:00:00,11.3,11.5,11.0,11.19,49099
2012-03-05 17:00:00,11.2,11.47,11.0,11.1,228510
2012-03-05 18:00:00,11.16,11.36,11.1,11.34,147909
2012-03-05 19:00:00,11.31,11.36,11.19,11.26,29464
2012-03-05 20:00:00,11.29,11.29,11.15,11.22,20929
2012-03-05 21:00:00,11.24,11.28,11.2,11.2,13237
2012-03-05 22:00:00,11.2,11.28,11.1,11.27,58018
2012-03-06 16:00:00,11.1,11.19,11.0,11.09,29421
2012-03-06 17:00:00,11.16,11.19,11.05,11.1,23257
2012-03-06 18:00:00,11.09,11.25,11.07,11.15,30878
2012-03-06 19:00:00,11.22,11.23,11.15,11.16,4425
2012-03-06 20:00:00,11.18,11.2,11.15,11.17,20015
2012-03-06 21:00:00,11.2,11.23,11.13,11.2,34487
2012-03-06 22:00:00,11.2,11.21,11.12,11.19,13815
2012-03-07 16:00:00,11.24,11.27,11.18,11.18,3900
2012-03-07 17:00:00,11.18,11.18,10.95,10.95,27707
2012-03-07 18:00:00,11.03,11.1,11.0,11.01,25221
2012-03-07 19:00:00,11.05,11.05,10.9,10.92,17038
2012-03-07 20:00:00,10.97,11.09,10.97,11.08,4844
2012-03-07 21:00:00,11.03,11.09,11.01,11.09,9600
2012-03-07 22:00:00,11.08,11.2,11.07,11.18,16657
2012-03-08 16:00:00,11.24,11.28,11.13,11.13,5423
2012-03-08 17:00:00,11.12,11.12,10.95,11.02,17543
2012-03-08 18:00:00,11.02,11.13,11.02,11.06,7900
2012-03-08 19:00:00,11.08,11.1,11.01,11.06,8771
2012-03-08 20:00:00,11.05,11.11,11.0,11.04,20082
2012-03-08 21:00:00,10.99,11.04,10.98,11.03,4963
2012-03-08 22:00:00,11.05,11.12,11.0,11.01,13728
2012-03-09 16:00:00,11.08,11.15,11.03,11.04,4855
2012-03-09 17:00:00,11.07,11.08,11.01,11.01,12915
2012-03-09 18:00:00,11.03,11.07,11.03,11.03,8890
2012-03-09 19:00:00,11.0,11.03,11.0,11.0,3400
2012-03-09 20:00:00,11.0,11.02,10.99,10.99,8040
2012-03-09 21:00:00,11.02,11.08,11.01,11.02,11830
2012-03-09 22:00:00,10.99,11.05,10.99,11.05,16350
2012-03-12 16:00:00,11.02,11.02,10.96,10.97,8455
2012-03-12 17:00:00,10.99,11.02,10.97,11.0,11830
2012-03-12 18:00:00,11.0,11.04,11.0,11.03,6264
2012-03-12 19:00:00,11.01,11.03,11.0,11.03,5300
2012-03-12 20:00:00,11.03,11.03,11.0,11.01,9526
2012-03-12 21:00:00,11.03,11.04,11.0,11.0,16124
2012-03-12 22:00:00,11.02,11.05,11.0,11.05,25632
2012-03-13 16:00:00,11.09,11.15,11.05,11.1,8574
2012-03-13 17:00:00,11.1,11.1,11.0,11.01,17008
2012-03-13 18:00:00,11.03,11.03,10.99,11.0,24326
2012-03-13 19:00:00,11.01,11.04,11.0,11.01,9300
2012-03-13 20:00:00,11.0,11.02,11.0,11.01,31153
2012-03-13 21:00:00,11.01,11.01,10.97,10.99,21388
2012-03-13 22:00:00,11.0,11.01,10.97,11.0,28099
2012-03-14 16:00:00,11.0,11.08,11.0,11.08,18419
2012-03-14 17:00:00,11.08,11.98,11.08,11.8,401555
2012-03-14 18:00:00,11.77,11.84,11.59,11.78,109033
2012-03-14 19:00:00,11.78,12.4,11.71,12.32,327374
2012-03-14 20:00:00,12.32,12.6,12.22,12.36,190681
2012-03-14 21:00:00,12.35,12.37,12.08,12.28,142637
2012-03-14 22:00:00,12.27,12.86,12.27,12.85,352894
2012-03-15 16:00:00,13.12,13.36,12.67,13.2,233589
2012-03-15 17:00:00,13.12,13.48,12.97,13.28,208549
2012-03-15 18:00:00,13.33,13.35,11.88,12.2,508519
2012-03-15 19:00:00,12.25,12.59,12.1,12.5,173876
2012-03-15 20:00:00,12.5,12.56,12.33,12.52,76808
2012-03-15 21:00:00,12.52,12.7,12.35,12.49,138874
2012-03-15 22:00:00,12.49,12.58,12.36,12.55,134421
2012-03-16 16:00:00,12.56,12.8,12.28,12.71,41797
2012-03-16 17:00:00,12.71,12.79,12.6,12.69,61134
2012-03-16 18:00:00,12.7,12.7,12.55,12.57,37949
2012-03-16 19:00:00,12.62,12.79,12.59,12.75,40915
2012-03-16 20:00:00,12.75,13.29,12.72,13.13,90013
2012-03-16 21:00:00,13.23,13.24,12.88,12.99,73104
2012-03-16 22:00:00,12.96,13.0,12.78,12.98,65163
2012-03-19 16:00:00,12.89,12.99,12.51,12.75,33046
2012-03-19 17:00:00,12.7,12.95,12.68,12.95,48554
