datetime,open,high,low,close,volume
2019-09-19 18:00:00,40.51,41.26,40.3,40.71,1180144
2019-09-19 19:00:00,40.67,41.44,36.03,39.12,9540596
2019-09-19 20:00:00,39.13,39.16,36.05,36.61,2413932
2019-09-19 21:00:00,36.64,38.49,36.58,37.35,1874440
2019-09-19 22:00:00,37.38,38.25,37.16,37.34,1835492
2019-09-20 16:00:00,38.59,38.94,37.77,38.22,546653
2019-09-20 17:00:00,38.26,39.2,38.1,38.5,581956
2019-09-20 18:00:00,38.64,38.96,38.09,38.1,401596
2019-09-20 19:00:00,38.1,38.73,37.98,38.0,226218
2019-09-20 20:00:00,38.0,38.43,36.75,37.05,401459
2019-09-20 21:00:00,37.02,37.5,36.75,36.75,407438
2019-09-20 22:00:00,36.77,37.2,36.15,36.15,344329
2019-09-23 16:00:00,36.58,37.64,36.07,37.4,316507
2019-09-23 17:00:00,37.4,38.15,36.92,37.78,480969
2019-09-23 18:00:00,37.71,37.99,36.82,37.63,262430
2019-09-23 19:00:00,37.63,37.8,36.91,37.27,148986
2019-09-23 20:00:00,37.27,37.4,36.73,37.01,110273
2019-09-23 21:00:00,37.01,37.17,35.75,36.12,293979
2019-09-23 22:00:00,36.12,36.85,35.75,35.9,403361
2019-09-24 16:00:00,36.01,37.12,36.0,36.89,251985
2019-09-24 17:00:00,36.95,37.08,36.4,36.54,367789
2019-09-24 18:00:00,36.56,36.6,35.24,35.42,476958
2019-09-24 19:00:00,35.34,35.49,34.48,34.74,554665
2019-09-24 20:00:00,34.75,34.81,34.3,34.79,256414
2019-09-24 21:00:00,34.73,35.36,34.35,34.37,319632
2019-09-24 22:00:00,34.35,34.78,34.06,34.58,600428
2019-09-25 16:00:00,34.6,35.44,34.2,34.54,242680
2019-09-25 17:00:00,34.68,35.6,34.2,35.19,304492
2019-09-25 18:00:00,35.11,35.36,34.8,35.04,226729
2019-09-25 19:00:00,35.04,35.18,34.81,34.96,161030
2019-09-25 20:00:00,34.94,35.0,34.57,34.85,134145
2019-09-25 21:00:00,34.85,35.2,34.55,34.98,285485
2019-09-25 22:00:00,34.97,35.46,34.92,35.22,361083
2019-09-26 16:00:00,36.0,36.29,35.66,35.95,354909
2019-09-26 17:00:00,36.0,36.13,35.18,35.28,236985
2019-09-26 18:00:00,35.17,35.25,32.58,33.48,600491
2019-09-26 19:00:00,33.51,34.84,33.4,34.23,260021
2019-09-26 20:00:00,34.23,34.43,33.4,33.62,176838
2019-09-26 21:00:00,33.6,33.97,33.04,33.38,132914
2019-09-26 22:00:00,33.34,33.7,32.3,32.6,621952
2019-09-27 16:00:00,33.0,33.51,32.77,32.92,320604
2019-09-27 17:00:00,32.85,32.94,31.86,32.27,347891
2019-09-27 18:00:00,32.24,32.42,31.69,31.77,211321
2019-09-27 19:00:00,31.76,32.36,31.44,31.45,304303
2019-09-27 20:00:00,31.44,31.48,31.14,31.46,272803
2019-09-27 21:00:00,31.4,31.75,30.75,30.89,255248
2019-09-27 22:00:00,30.93,32.37,30.47,32.13,590758
2019-09-30 16:00:00,32.64,32.94,32.04,32.78,156430
2019-09-30 17:00:00,32.81,32.91,32.0,32.03,158935
2019-09-30 18:00:00,32.05,32.2,32.0,32.07,55682
2019-09-30 19:00:00,32.09,32.75,32.06,32.58,154767
2019-09-30 20:00:00,32.65,34.2,32.55,33.87,344219
2019-09-30 21:00:00,33.78,34.09,33.7,33.98,160338
2019-09-30 22:00:00,34.0,34.2,33.83,33.86,279533
2019-10-01 16:00:00,34.25,34.48,33.4,33.64,126799
2019-10-01 17:00:00,33.6,33.7,32.63,32.76,252685
2019-10-01 18:00:00,32.76,32.8,31.89,32.05,161959
2019-10-01 19:00:00,32.02,32.57,31.25,32.27,229191
2019-10-01 20:00:00,32.2,32.29,31.9,31.96,112113
2019-10-01 21:00:00,32.0,32.18,31.82,31.98,76854
2019-10-01 22:00:00,31.98,32.43,31.89,32.38,175347
2019-10-02 16:00:00,31.65,31.9,31.04,31.06,221711
2019-10-02 17:00:00,31.11,31.3,30.75,30.9,315065
2019-10-02 18:00:00,30.89,31.54,30.83,31.01,254517
2019-10-02 19:00:00,30.95,31.01,30.01,30.04,237369
2019-10-02 20:00:00,30.09,30.6,30.03,30.2,205221
2019-10-02 21:00:00,30.22,30.43,30.09,30.34,230490
2019-10-02 22:00:00,30.38,31.51,30.35,31.1,250563
2019-10-03 16:00:00,31.18,31.39,30.73,31.03,159810
2019-10-03 17:00:00,31.06,31.64,30.5,31.63,186640
2019-10-03 18:00:00,31.53,32.69,31.46,32.42,223495
2019-10-03 19:00:00,32.4,34.8,32.37,34.32,530321
2019-10-03 20:00:00,34.26,34.49,32.0,32.46,629630
2019-10-03 21:00:00,32.44,33.4,32.21,33.25,315752
2019-10-03 22:00:00,33.25,33.47,32.71,32.88,261062
2019-10-04 16:00:00,33.05,33.89,33.04,33.3,124667
2019-10-04 17:00:00,33.4,33.75,33.15,33.24,128878
2019-10-04 18:00:00,33.3,33.35,32.8,33.32,116371
2019-10-04 19:00:00,33.32,33.88,33.32,33.84,59731
2019-10-04 20:00:00,33.84,34.23,33.81,34.1,141192
2019-10-04 21:00:00,34.07,34.6,33.99,34.46,110229
2019-10-04 22:00:00,34.42,35.08,34.4,34.8,172742
2019-10-07 16:00:00,34.9,35.5,34.4,35.17,92450
2019-10-07 17:00:00,35.1,35.44,34.79,35.13,173680
2019-10-07 18:00:00,35.1,35.65,34.86,35.07,115282
2019-10-07 19:00:00,35.12,36.15,35.12,36.11,158504
2019-10-07 20:00:00,36.12,36.73,35.95,36.56,308604
2019-10-07 21:00:00,36.56,37.14,36.53,36.99,482028
2019-10-07 22:00:00,36.96,37.97,36.61,36.82,494539
2019-10-08 16:00:00,36.5,36.71,36.0,36.4,191341
2019-10-08 17:00:00,36.4,36.55,35.23,36.05,302403
2019-10-08 18:00:00,35.94,35.95,35.46,35.53,131126
2019-10-08 19:00:00,35.5,36.1,35.45,35.94,83697
2019-10-08 20:00:00,35.92,35.94,35.6,35.84,47274
2019-10-08 21:00:00,35.82,35.9,35.4,35.52,133465
2019-10-08 22:00:00,35.41,35.52,34.92,35.46,207687
2019-10-09 16:00:00,35.85,36.49,35.61,36.09,104943
2019-10-09 17:00:00,36.03,37.49,36.03,37.38,175618
2019-10-09 18:00:00,37.43,37.45,36.65,36.79,246308
2019-10-09 19:00:00,36.8,36.98,36.13,36.22,122492
