datetime,open,high,low,close,volume
2010-11-18 16:00:00,35.39,35.99,34.65,35.2,96051786
2010-11-18 17:00:00,35.2,35.85,35.14,35.56,81600979
2010-11-18 18:00:00,35.56,35.59,35.05,35.2,38236765
2010-11-18 19:00:00,35.2,35.36,35.0,35.04,34581412
2010-11-18 20:00:00,35.04,35.11,34.65,34.83,40419730
2010-11-18 21:00:00,34.84,34.92,34.07,34.35,43804019
2010-11-18 22:00:00,34.35,34.52,33.89,34.0,56372034
2010-11-19 16:00:00,34.15,34.25,33.11,33.42,29254411
2010-11-19 17:00:00,33.42,33.75,33.35,33.62,20948775
2010-11-19 18:00:00,33.62,34.0,33.62,33.87,12286185
2010-11-19 19:00:00,33.87,34.31,33.85,34.21,9056986
2010-11-19 20:00:00,34.22,34.22,33.81,34.04,6230477
2010-11-19 21:00:00,34.04,34.18,34.01,34.1,4947879
2010-11-19 22:00:00,34.1,34.5,33.98,34.27,12326043
2010-11-22 16:00:00,34.24,34.41,33.81,34.33,7704831
2010-11-22 17:00:00,34.34,34.35,33.89,34.12,6955280
2010-11-22 18:00:00,34.12,34.33,34.06,34.3,3468362
2010-11-22 19:00:00,34.29,34.3,34.0,34.15,2308934
2010-11-22 20:00:00,34.15,34.34,34.14,34.3,1919551
2010-11-22 21:00:00,34.29,34.4,34.21,34.39,3128744
2010-11-22 22:00:00,34.38,34.48,33.96,34.08,7015837
2010-11-23 16:00:00,33.93,33.99,33.6,33.74,4337261
2010-11-23 17:00:00,33.74,33.8,33.43,33.65,7894290
2010-11-23 18:00:00,33.66,33.7,33.38,33.43,4090901
2010-11-23 19:00:00,33.42,33.54,33.38,33.5,1896040
2010-11-23 20:00:00,33.51,33.7,33.48,33.51,2107000
2010-11-23 21:00:00,33.52,33.66,33.35,33.41,2507725
2010-11-23 22:00:00,33.41,33.44,33.19,33.3,5382203
2010-11-24 16:00:00,33.73,33.8,33.49,33.53,5246607
2010-11-24 17:00:00,33.52,33.67,33.38,33.6,3946907
2010-11-24 18:00:00,33.61,33.62,33.42,33.54,2690939
2010-11-24 19:00:00,33.55,33.55,33.4,33.45,1648276
