datetime,open,high,low,close,volume
1998-01-02 16:00:00,51.38,51.75,51.38,51.75,1900
1998-01-02 17:00:00,51.81,51.88,51.19,51.19,11500
1998-01-02 18:00:00,51.38,51.56,51.38,51.44,13800
1998-01-02 19:00:00,51.5,51.75,51.5,51.56,7100
1998-01-02 20:00:00,51.44,51.44,50.81,50.88,15400
1998-01-02 21:00:00,51.06,51.06,50.75,50.81,11900
1998-01-02 22:00:00,50.94,51.19,50.75,51.19,16800
1998-01-05 16:00:00,51.31,51.56,51.06,51.56,14100
1998-01-05 17:00:00,51.63,51.69,51.63,51.69,10900
1998-01-05 18:00:00,51.69,51.76,51.56,51.69,9000
1998-01-05 19:00:00,51.63,51.75,51.37,51.5,21000
1998-01-05 20:00:00,51.44,51.56,51.13,51.25,12900
1998-01-05 21:00:00,51.13,51.13,50.62,50.88,18900
1998-01-05 22:00:00,50.94,50.94,50.5,50.63,20600
1998-01-06 16:00:00,50.88,51.0,50.63,50.81,12600
1998-01-06 17:00:00,50.81,51.25,50.81,51.13,9000
1998-01-06 19:00:00,49.25,49.31,47.19,47.25,149700
1998-01-06 20:00:00,47.0,47.5,46.56,47.5,124200
1998-01-06 21:00:00,47.5,47.5,47.25,47.31,69500
1998-01-06 22:00:00,47.31,47.31,46.81,46.94,122800
1998-01-07 16:00:00,46.0,46.25,45.81,46.13,105301
1998-01-07 17:00:00,46.13,46.19,44.69,44.81,185100
1998-01-07 18:00:00,44.94,46.19,44.94,46.19,146701
1998-01-07 19:00:00,46.06,46.19,45.75,46.0,123400
1998-01-07 20:00:00,46.0,46.13,45.88,46.13,102500
1998-01-07 21:00:00,46.13,46.38,46.06,46.25,366600
1998-01-07 22:00:00,46.31,46.31,46.0,46.19,110600
1998-01-08 16:00:00,46.25,46.25,45.57,45.94,49100
1998-01-08 17:00:00,45.88,45.91,45.06,45.38,74601
1998-01-08 18:00:00,45.38,45.44,44.63,45.0,47501
1998-01-08 19:00:00,45.0,45.38,44.63,45.13,44000
1998-01-08 20:00:00,45.06,45.56,45.0,45.13,40600
1998-01-08 21:00:00,45.19,45.5,45.0,45.19,24300
1998-01-08 22:00:00,45.31,45.44,44.88,45.38,69900
1998-01-09 16:00:00,45.44,45.44,44.63,44.82,51900
1998-01-09 17:00:00,44.75,45.38,44.63,45.31,54500
1998-01-09 18:00:00,45.38,45.76,45.31,45.63,79700
1998-01-09 19:00:00,45.69,45.88,45.5,45.5,41800
1998-01-09 20:00:00,45.69,45.69,45.06,45.06,45000
1998-01-09 21:00:00,45.13,45.13,44.69,44.69,21700
1998-01-09 22:00:00,44.63,44.69,43.75,44.06,115500
1998-01-12 16:00:00,43.5,44.63,43.44,44.57,41200
1998-01-12 17:00:00,44.63,44.88,44.13,44.38,24800
1998-01-12 18:00:00,44.38,44.75,44.13,44.19,26600
1998-01-12 19:00:00,44.13,44.32,44.0,44.32,16900
1998-01-12 20:00:00,44.31,44.5,44.19,44.44,11700
1998-01-12 21:00:00,44.38,44.5,44.13,44.19,17700
1998-01-12 22:00:00,44.31,44.5,44.25,44.44,55000
1998-01-13 16:00:00,44.44,44.75,44.31,44.31,13100
1998-01-13 17:00:00,44.25,44.44,43.88,43.88,29500
1998-01-13 18:00:00,43.81,44.01,43.81,43.94,29300
1998-01-13 19:00:00,43.94,44.07,43.81,44.0,30900
1998-01-13 20:00:00,44.13,44.31,44.0,44.19,35800
1998-01-13 21:00:00,44.31,44.56,44.25,44.31,24900
1998-01-13 22:00:00,44.38,44.38,43.88,44.0,54500
1998-01-14 16:00:00,44.0,44.13,43.75,43.75,35200
1998-01-14 17:00:00,43.81,44.01,43.75,43.94,54700
1998-01-14 18:00:00,44.0,44.0,43.88,43.94,48600
1998-01-14 19:00:00,43.88,44.06,43.88,43.94,16400
1998-01-14 20:00:00,43.94,44.13,43.94,44.06,45700
1998-01-14 21:00:00,44.06,44.06,43.94,43.94,7900
1998-01-14 22:00:00,44.06,44.19,44.06,44.19,11500
1998-01-15 16:00:00,44.06,44.13,43.94,44.0,7100
1998-01-15 17:00:00,44.0,44.63,44.0,44.63,64603
1998-01-15 18:00:00,44.56,45.0,44.56,44.81,44400
1998-01-15 19:00:00,44.75,44.75,44.5,44.56,43400
1998-01-15 20:00:00,44.56,44.69,44.56,44.69,11500
1998-01-15 21:00:00,44.63,44.94,44.62,44.94,29900
1998-01-15 22:00:00,44.94,44.94,44.56,44.94,27600
1998-01-16 16:00:00,45.31,45.44,45.19,45.44,39300
1998-01-16 17:00:00,45.44,45.63,45.13,45.5,44100
1998-01-16 18:00:00,45.5,45.75,45.44,45.56,27000
1998-01-16 19:00:00,45.56,45.81,45.38,45.38,19800
1998-01-16 20:00:00,45.44,45.69,45.13,45.69,33700
1998-01-16 21:00:00,45.88,45.88,45.56,45.56,66300
1998-01-16 22:00:00,45.56,45.69,45.25,45.38,39200
1998-01-20 16:00:00,45.5,45.5,44.75,44.94,47202
1998-01-20 17:00:00,44.94,45.13,44.81,44.81,30900
1998-01-20 18:00:00,44.81,44.94,44.69,44.94,62200
1998-01-20 19:00:00,44.94,44.94,44.81,44.88,13200
1998-01-20 20:00:00,44.81,44.88,44.69,44.69,16000
1998-01-20 21:00:00,44.75,45.0,44.69,45.0,124700
1998-01-20 22:00:00,45.0,45.06,44.94,45.0,113600
1998-01-21 16:00:00,45.0,45.25,45.0,45.0,22000
1998-01-21 17:00:00,45.0,45.56,45.0,45.44,30800
1998-01-21 18:00:00,45.44,46.06,45.44,45.81,61700
1998-01-21 19:00:00,45.81,45.81,45.25,45.38,63900
1998-01-21 20:00:00,45.38,45.44,45.25,45.38,18600
1998-01-21 21:00:00,45.38,45.38,45.19,45.25,74100
1998-01-21 22:00:00,45.25,45.44,45.25,45.31,128300
1998-01-22 16:00:00,45.25,45.25,44.81,44.81,27500
1998-01-22 17:00:00,44.81,45.0,44.56,45.0,21000
1998-01-22 18:00:00,45.0,45.13,44.93,45.0,58100
1998-01-22 19:00:00,45.13,45.19,45.13,45.19,5600
1998-01-22 20:00:00,45.19,45.25,45.06,45.06,47600
1998-01-22 21:00:00,45.13,45.13,44.63,44.75,24600
1998-01-22 22:00:00,44.69,44.88,44.56,44.88,24000
1998-01-23 16:00:00,44.88,45.19,44.88,45.13,11400
1998-01-23 17:00:00,45.0,45.0,43.94,43.94,63400
1998-01-23 18:00:00,43.94,44.19,43.63,43.94,90000
1998-01-23 19:00:00,43.94,44.19,43.81,43.94,66800
1998-01-23 20:00:00,43.94,44.01,43.88,43.88,52000
1998-01-23 21:00:00,43.88,44.0,43.63,43.69,25800
1998-01-23 22:00:00,43.56,43.69,43.37,43.62,53200
1998-01-26 16:00:00,43.63,43.63,43.0,43.0,23102
1998-01-26 17:00:00,43.0,43.25,42.75,43.25,59800
1998-01-26 18:00:00,43.25,43.5,43.19,43.44,33300
1998-01-26 19:00:00,43.44,43.78,43.44,43.75,65400
1998-01-26 20:00:00,43.75,43.94,43.75,43.94,47900
1998-01-26 21:00:00,43.69,43.94,43.18,43.31,36900
1998-01-26 22:00:00,43.44,43.81,43.44,43.69,28600
1998-01-27 16:00:00,43.75,43.88,43.75,43.81,24700
1998-01-27 17:00:00,43.81,43.88,43.44,43.88,50900
1998-01-27 18:00:00,43.94,43.94,43.06,43.13,73400
1998-01-27 19:00:00,43.25,43.69,43.19,43.56,59000
1998-01-27 20:00:00,43.69,44.0,43.69,43.75,38300
1998-01-27 21:00:00,43.88,44.25,43.88,44.0,111200
1998-01-27 22:00:00,44.0,44.06,43.38,43.5,40800
1998-01-28 16:00:00,43.5,43.75,43.5,43.75,49100
1998-01-28 17:00:00,43.75,43.81,43.44,43.44,69200
1998-01-28 18:00:00,43.5,43.5,43.13,43.25,24000
1998-01-28 19:00:00,43.13,43.5,43.13,43.5,25000
1998-01-28 20:00:00,43.5,43.5,43.25,43.44,17300
1998-01-28 21:00:00,43.38,43.5,43.38,43.5,6200
1998-01-28 22:00:00,43.5,43.75,43.31,43.69,20300
1998-01-29 16:00:00,43.69,43.81,43.63,43.81,9100
1998-01-29 17:00:00,43.75,44.13,43.75,44.06,66100
1998-01-29 18:00:00,43.94,44.13,43.69,43.69,22500
1998-01-29 19:00:00,44.0,44.38,43.81,44.13,132501
1998-01-29 20:00:00,44.13,44.19,43.81,44.06,9300
1998-01-29 21:00:00,44.0,44.01,43.81,43.88,485000
1998-01-29 22:00:00,43.81,43.88,43.13,43.25,23700
1998-01-30 16:00:00,43.25,43.25,42.75,42.88,43000
1998-01-30 17:00:00,42.88,43.13,42.88,42.88,80000
1998-01-30 18:00:00,42.94,43.0,42.75,42.75,74900
1998-01-30 19:00:00,42.75,42.94,42.75,42.88,27900
1998-01-30 20:00:00,42.81,42.88,42.75,42.81,63400
1998-01-30 21:00:00,42.75,42.88,42.5,42.56,60000
1998-01-30 22:00:00,42.38,42.38,42.06,42.25,67500
1998-02-02 16:00:00,42.63,42.81,42.31,42.44,105700
1998-02-02 17:00:00,42.44,43.38,42.38,43.38,90000
1998-02-02 18:00:00,43.25,43.81,43.12,43.5,61400
1998-02-02 19:00:00,43.56,44.0,43.56,44.0,25600
1998-02-02 20:00:00,44.0,44.0,43.75,44.0,29500
1998-02-02 21:00:00,43.94,44.0,43.94,44.0,51100
1998-02-02 22:00:00,44.0,44.13,43.69,43.75,66100
1998-02-03 16:00:00,43.56,43.75,43.5,43.63,15100
1998-02-03 17:00:00,43.69,43.75,43.13,43.5,35800
1998-02-03 18:00:00,43.25,44.0,43.25,43.88,42600
1998-02-03 19:00:00,43.88,44.0,43.63,43.94,53400
1998-02-03 20:00:00,43.94,44.0,43.88,44.0,27700
1998-02-03 21:00:00,44.0,44.0,43.94,44.0,30900
1998-02-03 22:00:00,44.0,44.0,43.94,43.94,27100
1998-02-04 16:00:00,43.75,43.81,43.69,43.75,19500
1998-02-04 17:00:00,43.75,43.81,43.44,43.56,28700
1998-02-04 18:00:00,43.56,43.63,43.25,43.56,40200
1998-02-04 19:00:00,43.56,43.69,43.5,43.63,35800
1998-02-04 20:00:00,43.63,43.94,43.56,43.69,34900
1998-02-04 21:00:00,43.81,43.81,43.31,43.44,45000
1998-02-04 22:00:00,43.5,43.56,43.31,43.38,18400
1998-02-05 16:00:00,43.88,44.0,43.81,44.0,34400
1998-02-05 17:00:00,44.0,44.0,43.0,43.0,128600
1998-02-05 18:00:00,43.06,43.25,43.0,43.19,41600
1998-02-05 19:00:00,43.19,43.25,43.06,43.13,38500
1998-02-05 20:00:00,43.19,43.44,43.19,43.44,66100
1998-02-05 21:00:00,43.5,43.63,43.38,43.38,34202
1998-02-05 22:00:00,43.5,43.81,43.44,43.69,32100
1998-02-06 16:00:00,43.13,43.69,43.13,43.38,26500
1998-02-06 17:00:00,43.31,43.94,43.31,43.81,108100
1998-02-06 18:00:00,43.81,44.13,43.81,44.0,119000
1998-02-06 19:00:00,44.0,44.0,43.5,43.75,16000
1998-02-06 20:00:00,43.63,43.75,43.63,43.63,6000
1998-02-06 21:00:00,43.75,43.75,43.63,43.63,38300
1998-02-06 22:00:00,43.63,43.63,43.19,43.31,32700
1998-02-09 16:00:00,43.31,43.44,43.06,43.44,25500
1998-02-09 17:00:00,43.38,43.81,43.25,43.75,57600
1998-02-09 18:00:00,43.75,43.94,43.69,43.94,32200
1998-02-09 19:00:00,43.88,43.94,43.63,43.63,40300
1998-02-09 20:00:00,43.81,43.94,43.44,43.5,41300
1998-02-09 21:00:00,43.5,43.5,43.12,43.13,48300
1998-02-09 22:00:00,43.19,43.19,43.0,43.06,132300
1998-02-10 16:00:00,43.13,43.44,43.06,43.38,20800
1998-02-10 17:00:00,43.38,43.69,43.19,43.69,67900
