datetime,open,high,low,close,volume
2007-05-02 21:00:00,51.76,51.94,51.75,51.82,36800
2007-05-02 22:00:00,51.82,51.83,51.6,51.62,80700
2007-05-03 16:00:00,51.6,51.97,51.6,51.8,87000
2007-05-03 17:00:00,51.8,52.09,51.6,52.09,98700
2007-05-03 18:00:00,52.09,52.09,51.8,52.06,73100
2007-05-03 19:00:00,52.05,52.1,51.85,52.04,68400
2007-05-03 20:00:00,52.02,52.19,52.0,52.08,51000
2007-05-03 21:00:00,52.09,52.4,52.09,52.33,93900
2007-05-03 22:00:00,52.34,52.4,52.22,52.28,141400
2007-05-04 16:00:00,52.36,52.5,51.87,52.25,57100
2007-05-04 17:00:00,52.24,52.39,51.9,52.09,71600
2007-05-04 18:00:00,52.08,52.42,52.01,52.3,68700
2007-05-04 19:00:00,52.31,52.31,52.0,52.25,73100
2007-05-04 20:00:00,52.26,52.32,52.12,52.21,68200
2007-05-04 21:00:00,52.21,52.42,52.18,52.3,78000
2007-05-04 22:00:00,52.29,52.44,52.23,52.4,91800
2007-05-07 16:00:00,52.52,53.48,52.52,52.96,132500
2007-05-07 17:00:00,52.93,53.04,52.51,53.0,149500
2007-05-07 18:00:00,53.0,53.45,52.97,53.41,144200
2007-05-07 19:00:00,53.41,53.56,53.28,53.51,141100
2007-05-07 20:00:00,53.49,53.54,53.08,53.18,82000
2007-05-07 21:00:00,53.15,53.35,53.15,53.25,65500
2007-05-07 22:00:00,53.27,53.43,53.17,53.37,142700
2007-05-08 16:00:00,53.67,53.67,52.57,52.65,77600
2007-05-08 17:00:00,52.65,53.35,52.51,53.34,165200
2007-05-08 18:00:00,53.34,53.41,53.15,53.31,83700
2007-05-08 19:00:00,53.29,53.88,53.08,53.8,80000
2007-05-08 20:00:00,53.8,53.87,53.51,53.56,52000
2007-05-08 21:00:00,53.52,53.68,53.46,53.52,63000
2007-05-08 22:00:00,53.52,53.67,53.45,53.54,106100
