datetime,open,high,low,close,volume
2007-05-07 17:00:00,16.14,16.14,16.12,16.14,6700
2007-05-07 18:00:00,16.14,16.16,16.11,16.11,9600
2007-05-07 19:00:00,16.11,16.12,16.0,16.11,107200
2007-05-07 20:00:00,16.11,16.11,16.01,16.01,9800
2007-05-07 21:00:00,16.0,16.0,15.89,15.89,16600
2007-05-07 22:00:00,15.88,16.03,15.54,16.01,50500
2007-05-08 16:00:00,16.01,16.01,15.69,15.72,29100
2007-05-08 17:00:00,15.74,15.78,15.44,15.78,46700
2007-05-08 18:00:00,15.78,15.78,15.56,15.76,25200
2007-05-08 19:00:00,15.75,16.06,15.74,16.02,61600
2007-05-08 20:00:00,16.01,16.5,16.01,16.28,53800
2007-05-08 21:00:00,16.27,16.49,16.16,16.36,31500
2007-05-08 22:00:00,16.34,16.54,16.31,16.5,46700
2007-05-09 16:00:00,16.4,16.4,16.05,16.09,15600
2007-05-09 17:00:00,16.13,16.35,16.09,16.31,19200
2007-05-09 18:00:00,16.29,16.54,16.29,16.51,30600
2007-05-09 19:00:00,16.49,16.54,16.43,16.43,18700
2007-05-09 20:00:00,16.42,16.43,16.35,16.36,25500
2007-05-09 21:00:00,16.36,16.41,16.2,16.33,58100
2007-05-09 22:00:00,16.33,16.51,16.31,16.43,44100
2007-05-10 16:00:00,16.35,16.35,15.97,15.97,13600
2007-05-10 17:00:00,16.03,16.04,15.81,15.95,21700
2007-05-10 18:00:00,15.95,15.98,15.88,15.88,25500
2007-05-10 19:00:00,15.86,15.95,15.85,15.91,22700
2007-05-10 20:00:00,15.9,16.0,15.85,15.99,33500
2007-05-10 21:00:00,16.0,16.06,15.98,16.01,21900
2007-05-10 22:00:00,16.01,16.03,15.95,16.01,39300
2007-05-11 16:00:00,16.04,16.05,15.87,16.0,8400
2007-05-11 17:00:00,16.0,16.03,15.75,15.84,27800
2007-05-11 18:00:00,15.84,16.05,15.77,16.04,34400
2007-05-11 19:00:00,16.03,16.06,15.95,15.99,24000
2007-05-11 20:00:00,15.99,16.22,15.99,16.18,16900
2007-05-11 21:00:00,16.19,16.22,16.08,16.12,19800
2007-05-11 22:00:00,16.12,16.22,16.08,16.19,27900
2007-05-14 16:00:00,15.8,16.06,15.8,16.02,21000
2007-05-14 17:00:00,16.02,16.1,16.0,16.08,27900
2007-05-14 18:00:00,16.06,16.06,15.98,16.0,172100
2007-05-14 19:00:00,16.01,16.01,15.93,15.96,23300
2007-05-14 20:00:00,15.95,15.98,15.75,15.76,37500
2007-05-14 21:00:00,15.76,15.77,15.54,15.54,34800
2007-05-14 22:00:00,15.55,15.57,15.43,15.48,44600
2007-05-15 16:00:00,15.44,15.45,15.06,15.39,74900
2007-05-15 17:00:00,15.4,15.45,15.32,15.32,22500
2007-05-15 18:00:00,15.3,15.35,15.24,15.33,18800
2007-05-15 19:00:00,15.32,15.48,15.31,15.45,17100
2007-05-15 20:00:00,15.45,15.48,15.4,15.41,19300
2007-05-15 21:00:00,15.4,15.52,15.4,15.52,45800
2007-05-15 22:00:00,15.52,15.72,15.47,15.7,116700
2007-05-16 16:00:00,15.71,15.76,15.71,15.72,12100
2007-05-16 17:00:00,15.71,15.81,15.71,15.72,28200
2007-05-16 18:00:00,15.72,15.8,15.71,15.78,16100
2007-05-16 19:00:00,15.78,15.78,15.75,15.76,9000
2007-05-16 20:00:00,15.77,15.84,15.75,15.84,10700
2007-05-16 21:00:00,15.84,15.99,15.83,15.98,25300
2007-05-16 22:00:00,15.98,16.12,15.95,16.11,45500
2007-05-17 16:00:00,16.04,16.53,16.04,16.45,53900
2007-05-17 17:00:00,16.46,16.72,16.46,16.55,54700
2007-05-17 18:00:00,16.55,17.05,16.53,16.86,61800
2007-05-17 19:00:00,16.87,17.03,16.86,16.89,33300
2007-05-17 20:00:00,16.89,16.89,16.71,16.74,24500
2007-05-17 21:00:00,16.73,16.79,16.71,16.78,17800
2007-05-17 22:00:00,16.79,16.9,16.71,16.72,45700
2007-05-18 16:00:00,16.72,16.91,16.7,16.76,27600
2007-05-18 17:00:00,16.76,16.97,16.73,16.9,27700
2007-05-18 18:00:00,16.91,20.24,16.81,19.28,507600
2007-05-18 19:00:00,19.29,19.31,18.2,19.13,364800
2007-05-18 21:00:00,19.0,19.14,17.84,19.05,389300
2007-05-18 22:00:00,19.03,19.15,18.81,18.89,356000
2007-05-21 16:00:00,18.88,19.36,18.88,19.29,41800
2007-05-21 17:00:00,19.29,19.3,19.13,19.17,92787
2007-05-21 18:00:00,19.18,19.26,19.1,19.22,75500
2007-05-21 19:00:00,19.2,19.24,19.0,19.05,99500
2007-05-21 20:00:00,19.03,19.21,18.99,19.01,91400
2007-05-21 21:00:00,19.01,19.07,18.85,18.95,73900
2007-05-21 22:00:00,18.95,19.07,18.9,19.03,170300
2007-05-22 16:00:00,19.04,19.42,18.96,19.37,24900
2007-05-22 17:00:00,19.35,19.59,18.97,19.12,79400
2007-05-22 18:00:00,19.1,19.22,18.95,19.15,148256
2007-05-22 19:00:00,19.1,19.3,19.1,19.26,86209
2007-05-22 20:00:00,19.28,19.44,19.26,19.4,72700
2007-05-22 21:00:00,19.4,19.53,19.34,19.47,134100
2007-05-22 22:00:00,19.47,19.49,19.25,19.4,159400
2007-05-23 16:00:00,19.45,19.64,19.33,19.62,24900
2007-05-23 17:00:00,19.62,19.65,19.54,19.62,143000
2007-05-23 18:00:00,19.62,19.65,19.56,19.6,58500
2007-05-23 19:00:00,19.6,19.65,19.54,19.6,38200
2007-05-23 20:00:00,19.58,19.6,19.51,19.54,41100
2007-05-23 21:00:00,19.54,19.54,19.24,19.33,196900
2007-05-23 22:00:00,19.32,19.49,19.27,19.38,82600
2007-05-24 16:00:00,19.29,19.6,19.29,19.55,13100
2007-05-24 17:00:00,19.57,19.58,19.41,19.52,17500
2007-05-24 18:00:00,19.5,19.5,19.21,19.3,35100
2007-05-24 19:00:00,19.32,19.36,19.28,19.31,30800
2007-05-24 20:00:00,19.3,19.33,19.28,19.32,11500
2007-05-24 21:00:00,19.31,19.33,19.23,19.29,30100
2007-05-24 22:00:00,19.29,19.33,19.22,19.28,31300
2007-05-25 16:00:00,19.15,19.39,19.15,19.32,23600
2007-05-25 17:00:00,19.26,19.33,19.17,19.25,73500
2007-05-25 18:00:00,19.22,19.25,19.11,19.14,60900
2007-05-25 19:00:00,19.14,19.23,19.09,19.19,53400
2007-05-25 20:00:00,19.19,19.24,19.16,19.22,34200
2007-05-25 21:00:00,19.19,19.24,19.16,19.2,65300
2007-05-25 22:00:00,19.21,19.34,19.13,19.34,89600
2007-05-29 16:00:00,19.25,19.39,19.17,19.27,21000
2007-05-29 17:00:00,19.27,19.3,19.16,19.16,29100
2007-05-29 18:00:00,19.16,19.29,19.13,19.26,17600
2007-05-29 19:00:00,19.24,19.25,19.13,19.13,12200
2007-05-29 20:00:00,19.13,19.15,19.06,19.12,16700
2007-05-29 21:00:00,19.11,19.17,18.99,19.0,43000
2007-05-29 22:00:00,19.0,19.16,19.0,19.12,34700
2007-05-30 16:00:00,19.0,19.19,19.0,19.19,19700
2007-05-30 17:00:00,19.2,19.2,18.99,19.02,15100
2007-05-30 18:00:00,19.01,19.07,19.0,19.05,19700
2007-05-30 19:00:00,19.05,19.16,19.02,19.14,27700
2007-05-30 20:00:00,19.13,19.14,19.02,19.08,22000
2007-05-30 21:00:00,19.06,19.15,19.02,19.1,33400
2007-05-30 22:00:00,19.1,19.62,19.09,19.45,335400
2007-05-31 16:00:00,19.6,19.91,19.6,19.91,10600
2007-05-31 17:00:00,19.94,19.97,19.65,19.75,49400
2007-05-31 18:00:00,19.77,19.77,19.66,19.72,21825
2007-05-31 19:00:00,19.72,19.79,19.66,19.7,33800
2007-05-31 20:00:00,19.7,19.7,19.35,19.51,38900
2007-05-31 21:00:00,19.52,19.53,19.41,19.44,18700
2007-05-31 22:00:00,19.42,19.77,19.3,19.51,256200
2007-06-01 16:00:00,49.62,49.82,49.58,49.81,57756
2007-06-01 17:00:00,49.8,49.9,49.55,49.61,231279
2007-06-01 18:00:00,49.69,49.75,49.63,49.71,129058
2007-06-01 19:00:00,49.7,49.78,49.64,49.77,184767
