datetime,open,high,low,close,volume
2018-12-07 18:00:00,21.6,22.39,21.31,21.81,2076097
2018-12-07 19:00:00,21.81,22.76,21.6,22.16,1675614
2018-12-07 20:00:00,22.16,22.25,21.25,21.56,908319
2018-12-07 21:00:00,21.56,21.62,20.1,20.15,2352203
2018-12-07 22:00:00,20.13,20.47,18.51,18.76,3249437
2018-12-10 16:00:00,18.9,19.44,18.6,19.06,600261
2018-12-10 17:00:00,19.06,19.24,18.35,18.65,995764
2018-12-10 18:00:00,18.64,18.67,18.0,18.43,773543
2018-12-10 19:00:00,18.41,18.85,18.25,18.76,481998
2018-12-10 20:00:00,18.76,19.28,18.75,19.05,344199
2018-12-10 21:00:00,19.05,19.1,18.8,18.9,280190
2018-12-10 22:00:00,18.9,19.0,18.51,18.75,550438
2018-12-11 16:00:00,20.55,20.66,19.12,19.73,583388
2018-12-11 17:00:00,19.74,20.16,19.6,19.77,400132
2018-12-11 18:00:00,19.76,19.99,19.52,19.52,173128
2018-12-11 19:00:00,19.54,19.54,18.85,19.13,263867
2018-12-11 20:00:00,19.1,19.54,18.8,18.8,218688
2018-12-11 21:00:00,18.78,18.86,18.01,18.02,566258
2018-12-11 22:00:00,18.02,18.19,17.99,18.01,938734
2018-12-12 16:00:00,18.55,18.63,18.02,18.27,353616
2018-12-12 17:00:00,18.32,19.48,18.25,19.0,803867
2018-12-12 18:00:00,18.94,19.17,18.61,18.64,254899
2018-12-12 19:00:00,18.64,18.85,18.46,18.46,173331
2018-12-12 20:00:00,18.47,18.47,18.22,18.24,251812
2018-12-12 21:00:00,18.25,18.34,18.15,18.28,248970
2018-12-12 22:00:00,18.3,18.75,18.18,18.75,398311
2018-12-13 16:00:00,19.25,19.26,18.85,18.85,383382
2018-12-13 17:00:00,18.82,19.1,18.68,18.82,349348
2018-12-13 18:00:00,18.85,19.29,18.68,19.03,207156
2018-12-13 19:00:00,19.04,19.19,18.98,19.06,111962
2018-12-13 20:00:00,19.03,19.12,18.98,19.0,95913
2018-12-13 21:00:00,19.0,19.03,18.71,18.95,115525
2018-12-13 22:00:00,18.96,19.15,18.72,18.76,294015
2018-12-14 16:00:00,18.75,18.88,18.33,18.51,116824
2018-12-14 17:00:00,18.51,18.65,18.44,18.53,87409
2018-12-14 18:00:00,18.55,18.6,18.5,18.51,63387
2018-12-14 19:00:00,18.51,18.52,18.4,18.44,89292
2018-12-14 20:00:00,18.44,18.54,18.41,18.44,46448
2018-12-14 21:00:00,18.44,18.56,18.3,18.38,91222
2018-12-14 22:00:00,18.39,18.4,18.25,18.31,192452
2018-12-17 16:00:00,18.33,18.48,18.13,18.17,117493
2018-12-17 17:00:00,18.25,18.26,18.04,18.05,107188
2018-12-17 18:00:00,18.05,18.1,18.0,18.07,222021
2018-12-17 19:00:00,18.08,18.14,17.9,17.95,226749
2018-12-17 20:00:00,17.94,18.0,17.5,17.6,201613
2018-12-17 21:00:00,17.6,17.6,17.25,17.29,179664
2018-12-17 22:00:00,17.29,17.31,16.9,17.01,367104
2018-12-18 16:00:00,17.1,17.25,16.5,16.5,161878
2018-12-18 17:00:00,16.5,16.82,16.25,16.66,331693
2018-12-18 18:00:00,16.7,16.78,16.43,16.55,138402
2018-12-18 19:00:00,16.54,16.84,16.54,16.66,153355
