datetime,open,high,low,close,volume
2012-05-01 16:00:00,33.74,34.1,33.3,33.74,1106851
2012-05-01 17:00:00,33.75,33.95,33.09,33.44,1323389
2012-05-01 18:00:00,33.44,33.76,33.4,33.66,601979
2012-05-01 19:00:00,33.66,33.82,33.59,33.8,483304
2012-05-01 20:00:00,33.8,33.9,33.76,33.89,417558
2012-05-01 21:00:00,33.88,33.9,33.7,33.89,756816
2012-05-01 22:00:00,33.9,33.91,32.67,32.89,1781082
2012-05-02 16:00:00,32.6,32.67,31.75,32.07,1631550
2012-05-02 17:00:00,32.05,32.09,31.63,32.03,2627786
2012-05-02 18:00:00,32.03,32.05,31.64,31.89,1096228
2012-05-02 19:00:00,31.9,32.02,31.74,31.92,967451
2012-05-02 20:00:00,31.92,31.95,31.73,31.74,1062442
2012-05-02 21:00:00,31.74,32.5,31.68,31.85,1445475
2012-05-02 22:00:00,31.85,32.19,31.83,32.06,2071087
2012-05-03 16:00:00,31.93,31.98,31.36,31.76,837403
2012-05-03 17:00:00,31.75,31.98,31.31,31.73,1760413
2012-05-03 18:00:00,31.73,31.74,31.5,31.64,1291057
2012-05-03 19:00:00,31.64,31.7,31.32,31.37,887474
2012-05-03 20:00:00,31.38,31.38,31.05,31.25,1615897
2012-05-03 21:00:00,31.25,31.28,31.14,31.26,1606951
2012-05-03 22:00:00,31.26,31.47,31.25,31.39,3070848
2012-05-04 16:00:00,30.85,31.1,30.73,30.9,787037
2012-05-04 17:00:00,30.91,31.05,30.71,31.0,1826502
2012-05-04 18:00:00,30.99,31.0,30.75,30.79,1063011
2012-05-04 19:00:00,30.79,30.96,30.78,30.96,1124392
2012-05-04 20:00:00,30.96,31.05,30.94,30.99,897289
2012-05-04 21:00:00,30.99,31.0,30.12,30.51,1378192
2012-05-04 22:00:00,30.52,30.72,30.18,30.19,2630230
2012-05-07 16:00:00,30.1,30.55,29.93,30.1,1428049
2012-05-07 17:00:00,30.13,30.29,30.01,30.01,1515956
2012-05-07 18:00:00,30.01,30.08,29.7,29.89,1621634
2012-05-07 19:00:00,29.89,29.93,29.79,29.85,1495850
2012-05-07 20:00:00,29.85,29.94,29.61,29.74,1565577
2012-05-07 21:00:00,29.74,29.75,29.5,29.58,987076
2012-05-07 22:00:00,29.59,29.6,29.25,29.44,2875755
2012-05-08 16:00:00,29.09,30.0,28.75,29.6,2208866
2012-05-08 17:00:00,29.55,29.66,29.12,29.22,2432090
2012-05-08 18:00:00,29.23,29.55,29.13,29.49,1609667
2012-05-08 19:00:00,29.48,29.49,29.25,29.34,873907
2012-05-08 20:00:00,29.35,29.38,29.27,29.3,831454
2012-05-08 21:00:00,29.3,29.75,29.29,29.75,2124349
2012-05-08 22:00:00,29.75,30.41,29.71,30.21,3662887
2012-05-09 16:00:00,29.81,30.77,29.73,30.74,1252385
2012-05-09 17:00:00,30.74,31.83,30.67,31.48,3190257
2012-05-09 18:00:00,31.48,31.66,31.22,31.48,1821738
2012-05-09 19:00:00,31.46,31.54,31.2,31.31,877375
2012-05-09 20:00:00,31.34,31.69,31.2,31.6,1266960
2012-05-09 21:00:00,31.6,31.89,31.34,31.87,1396412
2012-05-09 22:00:00,31.88,32.89,31.86,32.49,2633104
2012-05-10 16:00:00,33.05,33.35,32.75,33.03,669161
2012-05-10 17:00:00,33.03,33.08,32.81,32.93,1062599
2012-05-10 18:00:00,32.94,32.97,32.86,32.9,1227649
2012-05-10 19:00:00,32.9,32.99,32.36,32.39,951666
2012-05-10 20:00:00,32.38,32.74,32.02,32.09,898901
2012-05-10 21:00:00,32.08,32.33,32.0,32.17,747330
2012-05-10 22:00:00,32.16,32.54,31.52,32.48,1990760
2012-05-11 16:00:00,31.73,32.0,31.71,31.9,496864
2012-05-11 17:00:00,31.9,32.15,31.75,31.96,908072
2012-05-11 18:00:00,31.96,31.99,31.4,31.74,577084
2012-05-11 19:00:00,31.74,31.94,31.73,31.75,366223
2012-05-11 20:00:00,31.74,31.85,31.67,31.77,383645
2012-05-11 21:00:00,31.77,31.78,31.56,31.71,419564
2012-05-11 22:00:00,31.69,31.93,31.69,31.87,911529
2012-05-14 16:00:00,31.19,31.43,31.0,31.17,456371
2012-05-14 17:00:00,31.16,31.25,30.87,30.87,1128654
2012-05-14 18:00:00,30.87,31.45,30.76,31.44,810149
2012-05-14 19:00:00,31.44,31.58,31.15,31.24,682723
2012-05-14 20:00:00,31.23,31.5,31.17,31.44,653623
2012-05-14 21:00:00,31.44,31.54,31.24,31.37,733763
2012-05-14 22:00:00,31.37,31.52,31.18,31.36,1620638
2012-05-15 16:00:00,31.35,32.18,31.06,31.66,657204
2012-05-15 17:00:00,31.68,32.15,31.51,31.75,876371
2012-05-15 18:00:00,31.75,32.12,31.51,32.09,930618
2012-05-15 19:00:00,32.08,32.24,31.81,32.0,644680
2012-05-15 20:00:00,32.01,32.32,31.72,31.78,670484
2012-05-15 21:00:00,31.78,31.92,31.6,31.74,695808
2012-05-15 22:00:00,31.73,31.87,31.49,31.7,1607782
2012-05-16 16:00:00,31.46,31.9,31.25,31.69,610742
2012-05-16 17:00:00,31.68,32.39,31.67,32.15,931590
2012-05-16 18:00:00,32.15,32.25,31.96,32.15,711230
2012-05-16 19:00:00,32.15,32.24,32.01,32.19,607204
2012-05-16 20:00:00,32.2,32.31,32.08,32.13,561235
2012-05-16 21:00:00,32.14,32.39,32.07,32.36,810337
