datetime,open,high,low,close,volume
2015-01-02 16:00:00,69.0,69.0,68.01,68.3,201917
2015-01-02 17:00:00,68.3,68.51,68.18,68.39,334983
2015-01-02 18:00:00,68.39,68.5,68.35,68.43,162728
2015-01-02 19:00:00,68.43,68.47,68.4,68.45,111851
2015-01-02 20:00:00,68.45,68.48,68.44,68.47,124381
2015-01-02 21:00:00,68.46,69.34,68.46,69.33,243277
2015-01-02 22:00:00,69.29,72.0,69.23,70.06,646031
2015-01-05 16:00:00,71.23,71.31,70.05,70.09,1089239
2015-01-05 17:00:00,70.07,70.28,67.5,67.6,842918
2015-01-05 18:00:00,67.62,69.74,67.6,69.4,540330
2015-01-05 19:00:00,69.36,70.0,68.88,69.6,312175
2015-01-05 20:00:00,69.59,69.72,68.5,68.83,265813
2015-01-05 21:00:00,68.81,69.43,67.06,67.3,417750
2015-01-05 22:00:00,67.32,67.79,67.15,67.62,603174
2015-01-06 16:00:00,67.93,67.99,65.01,65.52,290037
2015-01-06 17:00:00,65.47,65.53,64.22,64.64,684512
2015-01-06 18:00:00,64.64,65.15,64.56,64.6,410453
2015-01-06 19:00:00,64.61,64.63,63.27,63.92,424012
2015-01-06 20:00:00,63.94,64.16,63.02,63.95,358223
2015-01-06 21:00:00,63.95,64.5,63.7,64.05,355212
2015-01-06 22:00:00,64.12,65.39,63.54,64.66,743519
2015-01-07 16:00:00,65.01,65.7,63.51,64.6,244689
2015-01-07 17:00:00,64.56,65.05,64.18,64.84,314645
2015-01-07 18:00:00,64.86,65.78,64.62,65.49,258761
2015-01-07 19:00:00,65.51,65.99,65.27,65.3,170175
2015-01-07 20:00:00,65.3,65.85,64.65,64.86,180922
2015-01-07 21:00:00,64.87,65.0,64.36,64.48,197281
2015-01-07 22:00:00,64.51,66.76,64.5,66.65,411742
2015-01-08 16:00:00,67.95,68.89,67.13,68.67,194699
2015-01-08 17:00:00,68.71,69.29,68.62,69.24,278072
2015-01-08 18:00:00,69.29,69.69,69.01,69.23,337151
2015-01-08 19:00:00,69.24,69.36,68.91,69.13,180490
2015-01-08 20:00:00,69.11,69.23,68.8,68.97,177614
2015-01-08 21:00:00,68.98,69.0,68.4,68.54,206636
2015-01-08 22:00:00,68.57,68.74,67.56,67.69,482575
2015-01-09 16:00:00,68.45,68.45,67.05,67.53,111948
2015-01-09 17:00:00,67.45,67.45,66.72,67.19,117765
2015-01-09 18:00:00,67.19,67.47,66.61,67.42,102506
2015-01-09 19:00:00,67.45,67.47,66.74,66.75,84093
2015-01-09 20:00:00,66.72,67.22,66.68,67.09,64604
2015-01-09 21:00:00,67.08,67.14,66.93,66.96,89407
2015-01-09 22:00:00,67.04,67.47,66.97,67.09,213056
2015-01-12 16:00:00,67.39,67.99,65.25,65.4,123426
2015-01-12 17:00:00,65.32,66.38,64.8,66.38,175213
2015-01-12 18:00:00,66.38,66.89,65.54,65.73,174272
2015-01-12 19:00:00,65.73,66.0,65.5,65.68,83683
2015-01-12 20:00:00,65.78,65.78,65.25,65.33,132063
2015-01-12 21:00:00,65.35,65.51,65.3,65.44,77164
2015-01-12 22:00:00,65.45,65.68,65.05,65.49,241900
2015-01-13 16:00:00,65.74,67.02,65.12,67.0,200473
2015-01-13 17:00:00,67.11,67.59,66.81,67.16,126931
2015-01-13 18:00:00,67.22,67.26,66.72,66.73,64508
2015-01-13 19:00:00,66.79,66.89,65.51,65.62,139320
2015-01-13 20:00:00,65.68,65.78,63.61,64.6,163839
2015-01-13 21:00:00,64.7,64.98,64.1,64.38,125730
2015-01-13 22:00:00,64.4,65.44,64.05,65.08,247664
2015-01-14 16:00:00,64.65,65.02,63.11,64.59,127687
2015-01-14 17:00:00,64.74,65.45,64.03,64.14,120587
2015-01-14 18:00:00,64.15,64.53,63.9,64.16,93518
2015-01-14 19:00:00,64.2,64.36,63.9,64.1,59490
2015-01-14 20:00:00,64.1,64.44,63.55,63.93,101465
2015-01-14 21:00:00,63.9,64.85,63.87,64.3,94448
2015-01-14 22:00:00,64.42,64.98,64.25,64.54,179228
2015-01-15 16:00:00,64.23,64.94,63.71,63.9,110290
2015-01-15 17:00:00,63.91,64.79,63.68,64.6,142101
2015-01-15 18:00:00,64.57,64.79,64.02,64.7,117635
2015-01-15 19:00:00,64.61,64.86,63.62,63.88,142253
2015-01-15 20:00:00,63.8,64.24,63.6,64.01,143686
2015-01-15 21:00:00,64.0,64.74,63.97,64.66,121866
2015-01-15 22:00:00,64.63,64.87,64.26,64.36,347878
2015-01-16 16:00:00,64.02,64.6,63.81,64.23,184987
2015-01-16 17:00:00,64.22,65.23,64.14,64.8,209394
2015-01-16 18:00:00,64.7,65.42,64.49,65.28,90978
2015-01-16 19:00:00,65.24,65.5,65.17,65.34,95661
2015-01-16 20:00:00,65.33,66.33,65.22,66.23,109347
2015-01-16 21:00:00,66.2,66.42,65.69,65.84,99359
2015-01-16 22:00:00,65.87,65.96,65.41,65.8,254210
2015-01-20 16:00:00,65.75,66.26,65.23,65.87,79721
2015-01-20 17:00:00,65.97,66.46,65.79,66.19,99399
2015-01-20 18:00:00,66.1,66.65,66.03,66.46,98710
2015-01-20 19:00:00,66.47,66.84,66.25,66.73,62882
2015-01-20 20:00:00,66.67,67.25,66.61,66.79,58652
2015-01-20 21:00:00,66.73,67.75,66.73,67.68,140609
2015-01-20 22:00:00,67.71,68.2,67.56,68.07,220875
2015-01-21 16:00:00,67.61,69.0,67.57,68.86,76895
2015-01-21 17:00:00,68.83,69.24,68.23,69.22,106354
2015-01-21 18:00:00,69.22,70.55,69.15,70.38,202742
2015-01-21 19:00:00,70.48,70.8,69.7,70.03,155043
2015-01-21 20:00:00,70.01,70.27,68.6,69.0,160318
2015-01-21 21:00:00,68.88,69.55,68.8,69.22,309091
2015-01-21 22:00:00,69.25,69.25,68.69,68.86,298127
2015-01-22 16:00:00,69.54,69.7,67.03,67.71,180414
2015-01-22 17:00:00,67.68,68.81,67.28,68.54,174854
2015-01-22 18:00:00,68.62,68.99,67.99,68.17,86776
2015-01-22 19:00:00,68.27,68.63,68.08,68.3,68382
2015-01-22 20:00:00,68.29,68.36,67.78,68.26,103691
2015-01-22 21:00:00,68.27,69.95,68.23,69.89,210554
2015-01-22 22:00:00,69.92,70.68,69.85,70.61,352764
2015-01-23 16:00:00,70.72,74.34,70.57,73.59,324066
2015-01-23 17:00:00,73.59,73.82,72.71,73.38,209502
2015-01-23 18:00:00,73.41,73.92,72.98,73.53,150665
2015-01-23 19:00:00,73.53,74.0,73.21,73.99,71961
2015-01-23 20:00:00,74.0,74.29,73.34,73.91,167021
2015-01-23 21:00:00,73.92,73.99,73.45,73.54,199225
2015-01-23 22:00:00,73.54,74.09,73.2,73.39,308626
2015-01-26 16:00:00,72.4,73.25,72.3,72.77,144893
2015-01-26 17:00:00,72.77,73.57,72.61,73.5,270358
2015-01-26 18:00:00,73.48,73.62,73.01,73.28,103262
2015-01-26 19:00:00,73.28,73.72,73.08,73.7,86223
2015-01-26 20:00:00,73.7,74.0,73.59,73.66,402220
2015-01-26 21:00:00,73.73,73.81,72.98,73.2,150358
2015-01-26 22:00:00,73.17,73.48,72.9,73.14,198359
2015-01-27 16:00:00,73.0,73.0,71.5,72.22,156883
2015-01-27 17:00:00,72.22,72.98,71.82,72.17,211228
2015-01-27 18:00:00,72.12,72.65,71.88,72.29,78139
2015-01-27 19:00:00,72.23,72.65,72.14,72.43,52137
2015-01-27 20:00:00,72.42,72.87,72.4,72.86,79206
2015-01-27 21:00:00,72.8,73.49,72.79,73.45,133417
2015-01-27 22:00:00,73.43,73.88,73.42,73.76,361568
2015-01-28 16:00:00,75.0,78.06,75.0,76.85,623077
2015-01-28 17:00:00,76.83,77.2,75.37,75.52,535580
2015-01-28 18:00:00,75.48,76.39,75.17,76.18,244824
2015-01-28 19:00:00,76.08,76.64,76.08,76.51,168428
2015-01-28 20:00:00,76.49,76.49,75.87,75.87,156716
2015-01-28 21:00:00,75.89,76.46,75.38,75.9,290912
2015-01-28 22:00:00,75.9,76.03,74.22,75.68,558991
2015-01-29 16:00:00,72.7,74.5,72.2,74.36,456153
2015-01-29 17:00:00,74.22,74.94,73.45,73.83,480675
2015-01-29 18:00:00,73.83,74.59,73.34,74.39,357413
2015-01-29 19:00:00,74.37,74.79,74.2,74.52,152731
2015-01-29 20:00:00,74.52,75.63,74.0,75.0,271954
2015-01-29 21:00:00,74.99,75.25,74.0,75.02,209833
2015-01-29 22:00:00,75.04,75.88,74.96,75.84,376051
2015-01-30 16:00:00,74.64,75.26,74.2,74.47,96731
2015-01-30 17:00:00,74.25,74.63,73.82,73.82,234530
2015-01-30 18:00:00,73.85,74.34,73.31,74.34,149780
2015-01-30 19:00:00,74.33,74.75,74.1,74.38,184997
2015-01-30 20:00:00,74.37,75.12,74.32,75.0,132011
2015-01-30 21:00:00,75.0,75.07,74.3,74.68,158579
2015-01-30 22:00:00,74.68,74.8,73.69,73.89,392929
2015-02-02 16:00:00,73.08,74.0,71.52,71.57,182244
2015-02-02 17:00:00,71.55,72.23,69.18,70.89,496075
2015-02-02 18:00:00,70.9,71.27,69.5,70.04,363127
2015-02-02 19:00:00,70.1,70.28,69.3,69.45,333079
2015-02-02 20:00:00,69.53,69.66,68.02,68.03,354158
2015-02-02 21:00:00,68.03,68.81,68.02,68.04,391707
2015-02-02 22:00:00,68.03,69.47,66.88,68.71,947547
2015-02-03 16:00:00,68.74,70.0,68.74,69.67,223438
2015-02-03 17:00:00,69.62,69.92,68.46,68.72,360885
2015-02-03 18:00:00,68.74,68.84,67.62,67.76,413006
2015-02-03 19:00:00,67.71,67.88,67.05,67.65,279509
