datetime,open,high,low,close,volume
2010-06-29 18:00:00,1.23,1.26,1.16,1.2,17642793
2010-06-29 19:00:00,1.2,1.23,1.2,1.22,5992710
2010-06-29 20:00:00,1.22,1.27,1.22,1.27,5145171
2010-06-29 21:00:00,1.27,1.46,1.27,1.46,9751716
2010-06-29 22:00:00,1.46,1.66,1.4,1.59,9864591
2010-06-30 16:00:00,1.72,1.98,1.63,1.77,11670747
2010-06-30 17:00:00,1.76,1.85,1.73,1.84,7633383
2010-06-30 18:00:00,1.84,2.02,1.82,1.85,11713155
2010-06-30 19:00:00,1.85,1.91,1.8,1.86,5421036
2010-06-30 20:00:00,1.86,1.87,1.82,1.82,2202324
2010-06-30 21:00:00,1.82,1.82,1.6800000000000002,1.7,4736136
2010-06-30 22:00:00,1.7,1.72,1.55,1.5699999999999998,6843885
2010-07-01 16:00:00,1.66,1.72,1.63,1.65,4999941
2010-07-01 17:00:00,1.65,1.65,1.58,1.61,3009534
2010-07-01 18:00:00,1.62,1.62,1.34,1.39,7393431
2010-07-01 19:00:00,1.39,1.5,1.37,1.47,2794071
2010-07-01 20:00:00,1.46,1.47,1.4,1.44,1939839
2010-07-01 21:00:00,1.44,1.47,1.4,1.43,2019861
2010-07-01 22:00:00,1.43,1.47,1.4,1.46,1979670
2010-07-02 16:00:00,1.53,1.54,1.37,1.37,2424321
2010-07-02 17:00:00,1.37,1.41,1.36,1.38,2520642
2010-07-02 18:00:00,1.37,1.38,1.36,1.37,804459
2010-07-02 19:00:00,1.37,1.38,1.3,1.3,2594223
2010-07-02 20:00:00,1.3,1.31,1.27,1.3,2069868
2010-07-02 21:00:00,1.3,1.3,1.27,1.28,1700499
2010-07-02 22:00:00,1.28,1.29,1.24,1.28,2819283
2010-07-06 16:00:00,1.33,1.33,1.21,1.22,3714471
2010-07-06 17:00:00,1.22,1.27,1.2,1.24,3421350
2010-07-06 18:00:00,1.24,1.25,1.21,1.22,1186839
2010-07-06 19:00:00,1.22,1.23,1.18,1.18,1655433
2010-07-06 20:00:00,1.19,1.2,1.15,1.15,1860513
2010-07-06 21:00:00,1.15,1.16,1.13,1.13,1673130
2010-07-06 22:00:00,1.13,1.13,1.05,1.06,6409962
2010-07-07 16:00:00,1.09,1.1,1.03,1.08,4662894
2010-07-07 17:00:00,1.07,1.09,1.01,1.03,3577578
2010-07-07 18:00:00,1.04,1.05,1.02,1.03,1269831
2010-07-07 19:00:00,1.03,1.03,0.99,1.01,2710800
2010-07-07 20:00:00,1.01,1.03,1.0,1.02,1496364
2010-07-07 21:00:00,1.02,1.06,1.01,1.05,3040434
2010-07-07 22:00:00,1.05,1.06,1.04,1.04,3659085
2010-07-08 16:00:00,1.07,1.08,1.03,1.04,2829117
2010-07-08 17:00:00,1.04,1.11,1.04,1.08,5096754
2010-07-08 18:00:00,1.08,1.09,1.05,1.05,2599170
2010-07-08 19:00:00,1.06,1.09,1.05,1.06,1323516
2010-07-08 20:00:00,1.06,1.09,1.06,1.08,1129743
2010-07-08 21:00:00,1.08,1.15,1.07,1.11,4514556
2010-07-08 22:00:00,1.11,1.16,1.1,1.16,5112123
2010-07-09 16:00:00,1.16,1.17,1.1,1.11,2076171
2010-07-09 17:00:00,1.11,1.16,1.11,1.15,1679439
2010-07-09 18:00:00,1.15,1.15,1.12,1.14,1325742
2010-07-09 19:00:00,1.14,1.15,1.13,1.15,579552
2010-07-09 20:00:00,1.15,1.18,1.14,1.16,1990179
2010-07-09 21:00:00,1.16,1.18,1.15,1.17,625500
2010-07-09 22:00:00,1.17,1.17,1.12,1.15,1448994
2010-07-12 16:00:00,1.19,1.2,1.16,1.18,1477815
2010-07-12 17:00:00,1.18,1.18,1.15,1.18,1222476
2010-07-12 18:00:00,1.18,1.18,1.15,1.15,471009
2010-07-12 19:00:00,1.15,1.15,1.13,1.13,552114
2010-07-12 20:00:00,1.13,1.15,1.13,1.14,216681
2010-07-12 21:00:00,1.14,1.14,1.13,1.13,345159
2010-07-12 22:00:00,1.13,1.15,1.13,1.13,888594
2010-07-13 16:00:00,1.15,1.16,1.12,1.13,607509
2010-07-13 17:00:00,1.13,1.13,1.12,1.13,559182
2010-07-13 18:00:00,1.13,1.15,1.13,1.13,312225
2010-07-13 19:00:00,1.13,1.15,1.13,1.15,335013
2010-07-13 20:00:00,1.15,1.21,1.15,1.2,1412259
2010-07-13 21:00:00,1.2,1.21,1.19,1.21,1369833
2010-07-13 22:00:00,1.21,1.23,1.2,1.2,1878003
2010-07-14 16:00:00,1.19,1.21,1.18,1.2,628920
2010-07-14 17:00:00,1.2,1.24,1.18,1.24,1394541
2010-07-14 18:00:00,1.24,1.31,1.24,1.29,3003807
2010-07-14 19:00:00,1.29,1.3,1.27,1.29,981987
2010-07-14 20:00:00,1.29,1.32,1.28,1.3,1144812
2010-07-14 21:00:00,1.3,1.32,1.28,1.31,1499733
2010-07-14 22:00:00,1.31,1.33,1.3,1.31,2878515
2010-07-15 16:00:00,1.32,1.33,1.3,1.32,831087
2010-07-15 17:00:00,1.32,1.35,1.26,1.32,2140431
2010-07-15 18:00:00,1.32,1.37,1.32,1.36,1526916
2010-07-15 19:00:00,1.36,1.37,1.35,1.37,971433
2010-07-15 20:00:00,1.36,1.43,1.36,1.41,1884828
2010-07-15 21:00:00,1.41,1.41,1.34,1.36,1719204
2010-07-15 22:00:00,1.35,1.36,1.27,1.32,1951797
2010-07-16 16:00:00,1.37,1.4,1.33,1.36,1476435
2010-07-16 17:00:00,1.37,1.41,1.34,1.39,1807206
2010-07-16 18:00:00,1.39,1.4,1.37,1.39,923439
2010-07-16 19:00:00,1.39,1.39,1.35,1.37,708447
2010-07-16 20:00:00,1.37,1.38,1.36,1.36,427881
2010-07-16 21:00:00,1.36,1.37,1.33,1.37,658551
2010-07-16 22:00:00,1.37,1.37,1.34,1.37,1201284
2010-07-19 16:00:00,1.42,1.47,1.4,1.44,1830672
2010-07-19 17:00:00,1.44,1.44,1.39,1.43,1343166
2010-07-19 18:00:00,1.43,1.48,1.42,1.47,1526334
2010-07-19 19:00:00,1.47,1.47,1.45,1.46,653463
2010-07-19 20:00:00,1.46,1.46,1.45,1.45,330549
2010-07-19 21:00:00,1.45,1.47,1.44,1.47,541827
2010-07-19 22:00:00,1.46,1.47,1.45,1.46,890883
2010-07-20 16:00:00,1.45,1.45,1.41,1.43,620937
2010-07-20 17:00:00,1.43,1.43,1.39,1.39,1356468
2010-07-20 18:00:00,1.39,1.43,1.39,1.41,448665
2010-07-20 19:00:00,1.42,1.42,1.4,1.4,278988
2010-07-20 20:00:00,1.4,1.41,1.4,1.4,337230
2010-07-20 21:00:00,1.4,1.4,1.33,1.34,925167
2010-07-20 22:00:00,1.34,1.35,1.33,1.34,1292760
2010-07-21 16:00:00,1.37,1.39,1.36,1.36,497553
2010-07-21 17:00:00,1.36,1.37,1.33,1.34,432855
2010-07-21 18:00:00,1.34,1.34,1.3,1.32,825435
2010-07-21 19:00:00,1.32,1.34,1.3,1.34,506973
2010-07-21 20:00:00,1.34,1.37,1.33,1.37,356586
2010-07-21 21:00:00,1.37,1.37,1.33,1.34,554367
2010-07-21 22:00:00,1.34,1.36,1.33,1.33,463581
2010-07-22 16:00:00,1.36,1.37,1.35,1.36,366405
2010-07-22 17:00:00,1.36,1.41,1.36,1.41,1038861
2010-07-22 18:00:00,1.41,1.41,1.38,1.4,390300
2010-07-22 19:00:00,1.39,1.4,1.39,1.4,160590
2010-07-22 20:00:00,1.4,1.41,1.4,1.4,192009
2010-07-22 21:00:00,1.4,1.4,1.38,1.39,250260
2010-07-22 22:00:00,1.39,1.4,1.39,1.4,373965
2010-07-23 16:00:00,1.41,1.43,1.4,1.41,307530
2010-07-23 17:00:00,1.41,1.43,1.41,1.42,507843
2010-07-23 18:00:00,1.42,1.43,1.41,1.42,163422
2010-07-23 19:00:00,1.42,1.42,1.41,1.41,129114
2010-07-23 20:00:00,1.41,1.42,1.41,1.41,173943
2010-07-23 21:00:00,1.42,1.42,1.41,1.42,197607
2010-07-23 22:00:00,1.42,1.42,1.4,1.41,452358
2010-07-26 16:00:00,1.43,1.43,1.41,1.42,218964
2010-07-26 17:00:00,1.41,1.43,1.4,1.42,388587
2010-07-26 18:00:00,1.42,1.42,1.4,1.4,250164
2010-07-26 19:00:00,1.4,1.4,1.38,1.39,358683
2010-07-26 20:00:00,1.39,1.4,1.38,1.39,297906
2010-07-26 21:00:00,1.39,1.39,1.35,1.36,546453
2010-07-26 22:00:00,1.36,1.41,1.36,1.39,616701
2010-07-27 16:00:00,1.39,1.41,1.38,1.38,362787
2010-07-27 17:00:00,1.39,1.39,1.37,1.38,227100
