datetime,open,high,low,close,volume
2002-05-09 18:00:00,25.15,25.17,25.1,25.13,15300
2002-05-09 19:00:00,25.11,25.18,25.05,25.13,45900
2002-05-09 20:00:00,25.14,25.17,25.09,25.14,75900
2002-05-09 21:00:00,25.15,25.18,24.85,24.88,82200
2002-05-09 22:00:00,24.86,24.88,23.75,23.87,304100
2002-05-10 16:00:00,24.9,25.08,24.28,24.75,129500
2002-05-10 17:00:00,24.71,24.8,24.5,24.79,114800
2002-05-10 18:00:00,24.79,24.98,24.7,24.89,75700
2002-05-10 19:00:00,24.88,24.89,24.31,24.5,46400
2002-05-10 20:00:00,24.53,24.85,24.41,24.51,56200
2002-05-10 21:00:00,24.5,24.55,24.05,24.07,56500
2002-05-10 22:00:00,24.13,24.13,23.76,23.8,95900
2002-05-13 16:00:00,24.12,24.72,23.54,24.41,66200
2002-05-13 17:00:00,24.47,25.0,24.38,24.47,97700
2002-05-13 18:00:00,24.59,24.96,24.43,24.9,38000
2002-05-13 19:00:00,24.88,25.34,24.81,24.82,85300
2002-05-13 20:00:00,24.81,24.87,24.21,24.33,91800
2002-05-13 21:00:00,24.32,24.82,24.32,24.69,154400
2002-05-13 22:00:00,24.73,25.0,24.66,24.91,167100
2002-05-14 16:00:00,25.67,26.24,25.66,26.12,232900
2002-05-14 17:00:00,26.15,26.24,25.76,25.84,330600
2002-05-14 18:00:00,25.82,25.93,24.0,25.2,627800
2002-05-14 19:00:00,25.24,25.58,24.64,24.79,172200
2002-05-14 20:00:00,24.76,25.04,24.16,24.27,114100
2002-05-14 21:00:00,24.28,25.3,24.28,25.21,153600
2002-05-14 22:00:00,25.23,25.26,24.62,24.82,90900
2002-05-15 16:00:00,24.7,25.09,24.14,24.65,90200
2002-05-15 17:00:00,24.65,24.89,24.4,24.72,104700
2002-05-15 18:00:00,24.69,24.9,24.67,24.71,223800
2002-05-15 19:00:00,24.71,24.8,24.55,24.72,71200
2002-05-15 20:00:00,24.7,25.77,24.7,25.65,119500
2002-05-15 21:00:00,25.65,25.65,25.29,25.42,109200
2002-05-15 22:00:00,25.37,25.45,25.16,25.4,95700
2002-05-16 16:00:00,25.34,25.38,24.67,25.07,72900
2002-05-16 17:00:00,25.01,25.64,25.0,25.43,138900
2002-05-16 18:00:00,25.41,25.57,25.0,25.45,66500
2002-05-16 19:00:00,25.47,25.47,25.31,25.38,23400
2002-05-16 20:00:00,25.32,25.74,25.31,25.69,96100
2002-05-16 21:00:00,25.69,25.98,25.46,25.61,92900
2002-05-16 22:00:00,25.62,25.88,25.38,25.86,49700
2002-05-17 16:00:00,25.88,26.1,25.46,25.7,72500
2002-05-17 17:00:00,25.7,25.75,25.06,25.31,164600
2002-05-17 18:00:00,25.3,25.3,25.16,25.25,23100
2002-05-17 19:00:00,25.23,25.66,25.23,25.49,33900
2002-05-17 20:00:00,25.53,25.53,25.33,25.37,28900
2002-05-17 21:00:00,25.35,25.6,25.2,25.41,61400
2002-05-17 22:00:00,25.49,25.76,25.3,25.62,103500
2002-05-20 16:00:00,25.39,25.86,25.15,25.48,34100
2002-05-20 17:00:00,25.45,25.69,25.17,25.45,50700
2002-05-20 18:00:00,25.48,25.87,25.34,25.4,84000
2002-05-20 19:00:00,25.4,25.6,25.3,25.46,87300
2002-05-20 20:00:00,25.49,25.87,25.46,25.75,116300
2002-05-20 21:00:00,25.71,25.94,25.61,25.8,118100
2002-05-20 22:00:00,25.85,26.08,25.73,26.05,406200
2002-05-21 16:00:00,26.0,26.5,25.3,25.54,272000
2002-05-21 17:00:00,25.48,25.9,25.48,25.7,132000
2002-05-21 18:00:00,25.74,25.78,25.1,25.4,172600
2002-05-21 19:00:00,25.37,25.7,25.35,25.59,45400
2002-05-21 20:00:00,25.61,26.05,25.52,25.58,147800
2002-05-21 21:00:00,25.65,25.75,25.11,25.19,137200
2002-05-21 22:00:00,25.2,25.63,25.01,25.07,170200
2002-05-22 16:00:00,24.95,25.0,24.65,24.99,52400
2002-05-22 17:00:00,24.95,25.4,24.66,24.69,79000
2002-05-22 18:00:00,24.74,24.8,24.51,24.61,43600
2002-05-22 19:00:00,24.65,25.05,24.56,24.9,56700
2002-05-22 20:00:00,24.86,24.92,24.67,24.79,15100
2002-05-22 21:00:00,24.79,24.85,24.58,24.58,74200
2002-05-22 22:00:00,24.59,24.84,24.56,24.81,111500
2002-05-23 16:00:00,24.9,25.39,24.55,24.81,148200
2002-05-23 17:00:00,24.84,25.06,24.78,24.9,68300
2002-05-23 18:00:00,24.9,24.9,24.75,24.8,53900
2002-05-23 19:00:00,24.83,24.99,24.83,24.97,30200
2002-05-23 20:00:00,24.89,25.48,24.83,25.46,90000
2002-05-23 21:00:00,25.48,26.44,25.33,25.91,417400
2002-05-23 22:00:00,25.94,26.1,25.68,26.04,147800
2002-05-24 16:00:00,25.84,25.95,25.74,25.9,51600
2002-05-24 17:00:00,25.88,25.9,25.75,25.76,54000
2002-05-24 18:00:00,25.77,25.92,25.75,25.82,42600
2002-05-24 19:00:00,25.82,25.94,25.75,25.77,33600
2002-05-24 20:00:00,25.78,25.95,25.75,25.79,14400
2002-05-24 21:00:00,25.79,25.81,25.76,25.79,20000
2002-05-24 22:00:00,25.77,25.83,25.5,25.5,117100
2002-05-28 16:00:00,25.66,25.96,25.5,25.63,57000
2002-05-28 17:00:00,25.57,25.57,24.79,24.94,103600
2002-05-28 18:00:00,24.94,25.15,24.9,25.11,50700
2002-05-28 19:00:00,25.08,26.45,25.08,25.81,198400
2002-05-28 20:00:00,25.83,26.14,25.68,25.7,45300
2002-05-28 21:00:00,25.71,25.85,25.6,25.69,62700
2002-05-28 22:00:00,25.69,26.02,25.6,25.76,77600
2002-05-29 16:00:00,25.66,26.0,25.25,25.76,113000
2002-05-29 17:00:00,25.8,26.0,25.71,25.87,114200
2002-05-29 18:00:00,25.9,26.18,25.8,26.18,65400
2002-05-29 19:00:00,26.14,26.18,25.7,25.84,57800
2002-05-29 20:00:00,25.75,25.93,25.71,25.81,65700
2002-05-29 21:00:00,25.79,25.84,24.92,25.0,111100
2002-05-29 22:00:00,25.08,25.17,23.7,24.71,513800
2002-05-30 16:00:00,24.47,25.2,24.3,25.17,54800
2002-05-30 17:00:00,25.08,25.39,24.86,25.25,127100
2002-05-30 18:00:00,25.29,25.5,24.85,24.95,71000
2002-05-30 19:00:00,25.02,25.1,24.95,25.03,19400
2002-05-30 20:00:00,25.06,25.08,24.64,24.89,33400
2002-05-30 21:00:00,24.96,25.47,24.93,25.4,62200
2002-05-30 22:00:00,25.4,25.77,25.22,25.22,101100
2002-05-31 16:00:00,25.45,25.8,25.08,25.35,66200
2002-05-31 17:00:00,25.49,25.8,25.23,25.61,71200
2002-05-31 18:00:00,25.67,26.0,25.67,25.87,57800
2002-05-31 19:00:00,25.89,25.95,25.61,25.95,31400
2002-05-31 20:00:00,25.93,26.04,25.74,25.82,39600
2002-05-31 21:00:00,25.93,25.98,25.7,25.73,47000
