datetime,open,high,low,close,volume
1998-01-02 16:00:00,34.44,34.69,34.25,34.25,6000
1998-01-02 20:00:00,34.25,34.25,34.13,34.13,4500
1998-01-05 16:00:00,34.19,34.44,34.0,34.25,3700
1998-01-05 20:00:00,34.25,34.5,34.25,34.44,2500
1998-01-06 16:00:00,34.38,34.38,34.25,34.38,7100
1998-01-06 20:00:00,34.44,34.63,34.38,34.44,18900
1998-01-07 16:00:00,34.31,34.31,34.31,34.31,400
1998-01-07 20:00:00,34.31,34.38,34.25,34.25,4300
1998-01-08 16:00:00,34.25,34.25,34.19,34.19,1400
1998-01-08 20:00:00,34.06,34.06,33.62,33.81,7300
1998-01-09 16:00:00,33.75,34.31,33.75,33.75,11500
1998-01-09 20:00:00,34.0,34.0,33.75,33.75,12100
1998-01-12 16:00:00,33.81,33.94,33.56,33.75,6000
1998-01-12 20:00:00,33.63,33.75,33.63,33.75,4900
1998-01-13 16:00:00,33.81,33.81,33.63,33.63,9100
1998-01-13 20:00:00,33.69,34.19,33.69,34.13,6400
1998-01-14 16:00:00,34.13,34.44,34.13,34.44,1800
1998-01-14 20:00:00,34.31,34.38,34.0,34.0,4200
1998-01-15 16:00:00,34.19,34.25,33.69,33.69,5100
1998-01-15 20:00:00,33.75,34.0,33.56,33.75,8900
1998-01-16 16:00:00,34.0,34.01,33.72,34.0,13600
1998-01-16 20:00:00,34.0,34.0,33.81,33.81,1300
1998-01-20 16:00:00,33.94,34.13,33.81,34.13,70900
1998-01-20 20:00:00,34.13,35.0,34.13,34.88,18800
1998-01-21 16:00:00,34.94,35.38,34.75,35.16,30700
1998-01-21 20:00:00,35.25,35.25,35.0,35.06,13900
1998-01-22 16:00:00,34.75,35.5,34.75,35.5,272800
1998-01-22 20:00:00,35.44,35.94,35.44,35.69,10500
1998-01-23 16:00:00,35.94,36.81,35.94,36.63,19700
1998-01-23 20:00:00,36.81,36.94,36.44,36.75,19400
1998-01-26 16:00:00,36.5,36.63,36.13,36.13,11800
1998-01-26 20:00:00,36.0,36.13,35.69,35.81,60100
1998-01-27 16:00:00,35.81,36.75,35.81,36.75,25300
1998-01-27 20:00:00,36.75,37.0,36.75,36.81,21900
1998-01-28 16:00:00,36.94,37.44,36.63,37.19,33700
1998-01-28 20:00:00,37.22,37.38,37.19,37.25,18500
1998-01-29 16:00:00,36.94,37.19,36.81,37.0,43400
1998-01-29 20:00:00,36.94,37.0,36.75,36.94,8700
1998-01-30 16:00:00,36.81,37.38,36.81,37.19,31800
1998-01-30 20:00:00,37.13,37.19,37.0,37.13,8900
1998-02-02 16:00:00,37.25,38.25,37.25,38.13,47400
1998-02-02 20:00:00,38.19,38.38,37.88,38.31,34000
1998-02-03 16:00:00,38.31,39.0,38.31,38.88,36200
1998-02-03 20:00:00,38.88,39.5,38.69,39.31,21500
1998-02-04 16:00:00,39.13,39.25,38.69,39.06,100700
1998-02-04 20:00:00,39.0,39.5,38.94,39.0,127000
1998-02-05 16:00:00,39.44,39.44,39.0,39.0,33700
1998-02-05 20:00:00,39.06,39.19,38.88,39.13,66300
1998-02-06 16:00:00,39.38,39.38,39.0,39.13,12900
1998-02-06 20:00:00,39.13,39.13,38.75,38.75,19100
1998-02-09 16:00:00,38.94,38.94,38.69,38.88,13700
1998-02-09 20:00:00,38.94,39.5,38.94,39.5,68200
1998-02-10 16:00:00,39.5,39.5,39.0,39.06,9100
1998-02-10 20:00:00,39.19,39.19,39.0,39.0,6100
1998-02-11 16:00:00,39.19,39.38,39.06,39.06,22900
1998-02-11 20:00:00,39.19,39.19,38.75,39.0,10600
1998-02-12 16:00:00,39.38,39.5,39.0,39.12,22300
1998-02-12 20:00:00,39.25,39.25,39.0,39.19,6800
1998-02-13 16:00:00,39.19,39.5,38.75,39.5,18100
1998-02-13 20:00:00,39.44,39.5,39.38,39.44,15900
1998-02-17 16:00:00,39.44,39.5,39.06,39.13,7900
1998-02-17 20:00:00,39.06,39.13,39.0,39.0,9800
1998-02-18 16:00:00,39.0,39.44,39.0,39.38,6100
1998-02-18 20:00:00,39.38,39.38,39.0,39.38,15100
1998-02-19 16:00:00,39.38,39.38,39.0,39.06,13800
1998-02-19 20:00:00,38.88,38.88,37.75,37.75,18100
1998-02-20 16:00:00,38.0,38.63,37.5,38.38,20300
1998-02-20 20:00:00,38.25,38.38,38.13,38.38,11500
1998-02-23 16:00:00,38.63,38.94,38.13,38.5,32600
1998-02-23 20:00:00,38.5,38.94,38.38,38.75,12500
1998-02-24 16:00:00,38.94,39.5,38.81,39.5,88200
1998-02-24 20:00:00,39.5,39.75,39.5,39.69,34400
1998-02-25 16:00:00,39.75,41.51,39.75,41.5,44300
1998-02-25 20:00:00,41.44,41.5,40.38,40.44,25900
1998-02-26 16:00:00,40.5,40.56,39.75,40.06,22300
1998-02-26 20:00:00,40.13,40.63,40.06,40.56,15800
1998-02-27 16:00:00,40.56,41.13,40.56,41.0,17600
1998-02-27 20:00:00,41.0,41.5,41.0,41.5,13200
1998-03-02 16:00:00,41.5,42.0,41.5,41.69,16700
1998-03-02 20:00:00,41.69,41.69,40.25,40.75,26300
1998-03-03 16:00:00,40.13,41.75,40.13,41.75,28800
1998-03-03 20:00:00,41.88,41.94,41.63,41.88,9600
1998-03-04 16:00:00,42.0,43.0,42.0,42.81,17900
1998-03-04 20:00:00,42.69,42.81,42.5,42.56,10200
1998-03-05 16:00:00,42.0,43.0,42.0,42.38,36700
1998-03-05 20:00:00,42.38,42.63,42.19,42.19,28900
1998-03-06 16:00:00,41.5,42.5,41.5,42.44,45400
1998-03-06 20:00:00,42.44,42.88,42.38,42.44,49600
1998-03-09 16:00:00,42.31,42.63,42.25,42.38,25400
1998-03-09 20:00:00,42.5,42.94,42.5,42.63,44400
1998-03-10 16:00:00,42.5,42.82,42.44,42.82,6600
1998-03-10 20:00:00,42.88,42.94,42.63,42.63,4500
1998-03-11 16:00:00,42.88,42.94,42.63,42.88,20500
1998-03-11 20:00:00,42.75,43.19,42.75,43.13,23600
1998-03-12 16:00:00,42.94,42.94,42.38,42.38,8200
1998-03-12 20:00:00,42.63,42.69,42.38,42.5,12800
1998-03-13 16:00:00,42.69,42.94,42.69,42.69,18300
1998-03-13 20:00:00,42.69,42.88,42.63,42.69,36300
1998-03-16 16:00:00,42.5,42.88,42.38,42.56,16600
1998-03-16 20:00:00,42.5,43.13,42.5,42.94,26900
1998-03-17 16:00:00,43.0,43.0,42.56,42.56,11500
1998-03-17 20:00:00,42.5,42.5,42.38,42.38,6600
1998-03-18 16:00:00,42.25,42.38,42.0,42.25,8900
1998-03-18 20:00:00,42.25,43.63,42.25,43.0,97700
1998-03-19 16:00:00,43.0,44.0,43.0,44.0,30600
1998-03-19 20:00:00,44.06,44.06,43.75,43.75,5200
1998-03-20 16:00:00,43.38,44.06,43.19,44.06,15700
1998-03-20 20:00:00,44.19,44.5,43.94,44.25,13600
1998-03-23 16:00:00,43.88,44.5,43.63,44.13,10600
1998-03-23 20:00:00,44.13,45.0,44.06,44.44,25600
1998-03-24 16:00:00,44.38,45.25,44.38,45.06,11700
1998-03-24 20:00:00,45.25,45.44,45.0,45.38,14000
1998-03-25 16:00:00,45.38,46.13,45.38,45.81,8200
1998-03-25 20:00:00,45.88,45.88,45.06,45.5,31300
1998-03-26 16:00:00,45.13,45.13,44.5,44.94,8400
1998-03-26 20:00:00,45.0,45.13,44.88,44.94,7000
1998-03-27 16:00:00,44.5,45.0,44.25,44.63,10000
1998-03-27 20:00:00,44.75,44.75,44.44,44.63,5200
1998-03-30 16:00:00,44.38,44.63,44.19,44.19,12300
1998-03-30 20:00:00,44.13,44.13,42.63,43.31,21200
1998-03-31 16:00:00,42.56,44.01,42.56,44.01,31600
1998-03-31 20:00:00,44.13,44.13,43.0,43.31,23500
1998-04-01 16:00:00,43.5,43.88,42.75,43.38,10600
1998-04-01 20:00:00,43.63,43.88,43.63,43.63,2200
1998-04-02 16:00:00,43.88,44.31,43.88,44.31,17600
