datetime,open,high,low,close,volume
1998-01-02 16:00:00,55.75,56.0,55.75,55.94,20800
1998-01-02 20:00:00,56.0,56.0,55.88,56.0,14800
1998-01-05 16:00:00,56.0,56.0,55.88,55.94,4600
1998-01-05 20:00:00,55.88,56.0,55.88,55.88,6500
1998-01-06 16:00:00,55.69,55.69,55.25,55.5,31900
1998-01-06 20:00:00,55.5,55.5,55.44,55.44,4000
1998-01-07 16:00:00,55.06,55.06,54.81,54.81,1400
1998-01-07 20:00:00,54.88,54.88,54.75,54.81,2400
1998-01-08 16:00:00,54.75,54.75,54.63,54.63,2200
1998-01-08 20:00:00,54.63,54.63,54.5,54.5,700
1998-01-09 16:00:00,54.38,54.38,54.38,54.38,3300
1998-01-09 20:00:00,54.38,54.38,54.0,54.0,10100
1998-01-12 16:00:00,54.13,54.13,53.63,53.63,4800
1998-01-12 20:00:00,53.63,53.63,53.63,53.63,3000
1998-01-13 16:00:00,53.56,53.56,52.75,52.81,3700
1998-01-13 20:00:00,52.88,53.06,52.88,53.06,4500
1998-01-14 16:00:00,53.38,54.0,53.25,54.0,13900
1998-01-14 20:00:00,54.25,54.38,54.25,54.38,9200
1998-01-15 16:00:00,56.0,56.0,56.0,56.0,14100
1998-01-15 20:00:00,55.88,55.88,55.63,55.69,5700
1998-01-16 16:00:00,55.69,56.0,55.25,55.63,6900
1998-01-16 20:00:00,55.56,55.56,54.75,54.75,6600
1998-01-20 16:00:00,54.75,54.75,54.75,54.75,2800
1998-01-20 20:00:00,55.0,55.5,55.0,55.37,8900
1998-01-21 16:00:00,55.44,55.44,55.25,55.25,1100
1998-01-21 20:00:00,55.44,57.63,55.44,57.38,22600
1998-01-22 16:00:00,57.31,57.44,57.25,57.44,12600
1998-01-22 20:00:00,57.5,58.0,57.5,58.0,7800
1998-01-23 16:00:00,58.0,59.0,57.88,57.88,9700
1998-01-23 20:00:00,57.88,57.88,57.69,57.69,7200
1998-01-26 16:00:00,57.75,57.75,56.88,56.88,11900
1998-01-26 20:00:00,57.19,57.19,57.06,57.13,5000
1998-01-27 16:00:00,56.88,56.88,56.81,56.88,700
1998-01-27 20:00:00,56.88,56.88,56.56,56.63,13000
1998-01-28 16:00:00,56.63,56.63,56.31,56.31,5000
1998-01-28 20:00:00,56.31,56.31,55.38,55.38,8400
1998-01-29 16:00:00,55.38,55.38,55.38,55.38,200
1998-01-29 20:00:00,55.38,55.38,55.0,55.0,6200
1998-01-30 16:00:00,55.0,55.0,54.75,54.75,5700
1998-01-30 20:00:00,54.69,54.69,53.81,53.81,6400
1998-02-02 16:00:00,53.69,53.69,53.44,53.44,20700
1998-02-02 20:00:00,53.5,54.13,53.5,54.13,19700
1998-02-03 16:00:00,54.13,55.19,54.13,55.19,5900
1998-02-03 20:00:00,55.19,56.75,55.19,56.75,12400
1998-02-04 16:00:00,58.75,59.01,58.31,58.88,14500
1998-02-04 20:00:00,58.88,59.25,58.88,59.25,7700
1998-02-05 16:00:00,58.81,58.81,58.69,58.69,1700
1998-02-05 20:00:00,58.75,58.75,58.38,58.56,17300
1998-02-06 20:00:00,58.56,58.56,58.56,58.56,300
1998-02-09 16:00:00,58.44,58.5,58.25,58.31,2000
1998-02-09 20:00:00,58.31,58.94,58.31,58.94,7800
1998-02-10 16:00:00,59.31,59.56,59.31,59.56,5300
1998-02-11 16:00:00,59.56,60.31,59.56,59.94,3600
1998-02-11 20:00:00,59.94,59.94,59.94,59.94,100
1998-02-12 16:00:00,59.88,59.88,59.88,59.88,100
1998-02-12 20:00:00,60.0,60.31,60.0,60.31,1500
1998-02-13 16:00:00,60.56,60.75,60.56,60.75,300
1998-02-13 20:00:00,61.0,61.31,61.0,61.31,2400
1998-02-17 16:00:00,61.19,61.19,61.06,61.06,1600
1998-02-17 20:00:00,61.0,61.0,60.69,60.88,7400
1998-02-18 16:00:00,60.94,61.0,60.94,61.0,600
1998-02-18 20:00:00,61.0,61.19,61.0,61.19,2500
1998-02-19 16:00:00,60.94,60.94,60.94,60.94,1400
1998-02-19 20:00:00,60.88,60.88,60.75,60.75,4300
1998-02-20 16:00:00,60.38,60.5,60.38,60.5,1900
1998-02-20 20:00:00,60.44,60.44,60.44,60.44,600
1998-02-23 16:00:00,60.25,60.5,60.25,60.5,5200
1998-02-23 20:00:00,60.25,62.0,60.25,62.0,8200
1998-02-24 16:00:00,61.75,61.75,61.63,61.63,1500
1998-02-24 20:00:00,61.56,61.63,61.56,61.63,2000
1998-02-25 16:00:00,61.63,62.0,61.63,62.0,13100
1998-02-25 20:00:00,61.94,61.94,61.81,61.81,500
1998-02-26 16:00:00,61.88,61.88,61.88,61.88,400
1998-02-26 20:00:00,62.0,62.44,62.0,62.31,2200
1998-02-27 16:00:00,62.38,62.63,62.13,62.63,19200
1998-02-27 20:00:00,62.56,62.69,62.56,62.69,400
1998-03-02 16:00:00,62.56,62.75,62.56,62.75,7300
1998-03-02 20:00:00,62.63,62.75,62.56,62.75,9100
1998-03-03 20:00:00,62.69,62.69,62.25,62.31,2900
1998-03-04 16:00:00,62.56,62.75,62.38,62.75,7900
1998-03-04 20:00:00,62.69,62.69,62.5,62.63,1400
1998-03-05 16:00:00,62.38,62.38,62.31,62.31,2800
1998-03-05 20:00:00,62.31,62.44,62.31,62.31,1700
1998-03-06 16:00:00,62.75,62.75,62.75,62.75,700
1998-03-06 20:00:00,62.94,63.75,62.94,63.75,12800
1998-03-09 16:00:00,62.0,63.0,61.5,62.94,46600
1998-03-09 20:00:00,62.94,62.94,62.63,62.63,5600
1998-03-10 16:00:00,62.88,62.88,62.19,62.25,9500
1998-03-10 20:00:00,62.0,62.0,61.63,61.63,1900
1998-03-11 16:00:00,61.5,61.63,60.63,60.94,8500
1998-03-11 20:00:00,61.06,61.12,61.06,61.12,500
1998-03-12 16:00:00,60.81,60.81,60.75,60.81,3500
1998-03-12 20:00:00,60.81,60.81,60.56,60.56,1900
1998-03-13 16:00:00,60.44,60.44,59.75,59.81,2600
1998-03-13 20:00:00,59.81,59.81,59.63,59.63,2300
1998-03-16 16:00:00,59.5,60.38,59.5,60.38,4900
1998-03-16 20:00:00,60.63,62.13,60.63,61.87,10300
1998-03-17 16:00:00,61.88,61.94,61.88,61.94,1900
1998-03-17 20:00:00,61.88,61.88,61.88,61.88,200
1998-03-18 16:00:00,61.88,61.94,61.88,61.88,2800
1998-03-18 20:00:00,61.75,61.75,61.75,61.75,3700
1998-03-19 16:00:00,61.75,61.75,61.75,61.75,800
1998-03-19 20:00:00,61.75,61.75,59.25,59.25,32100
1998-03-20 16:00:00,59.06,59.19,59.0,59.0,7900
1998-03-20 20:00:00,58.88,58.88,58.88,58.88,200
1998-03-23 16:00:00,58.81,59.0,58.75,59.0,2000
1998-03-23 20:00:00,58.88,58.94,58.63,58.69,1200
1998-03-24 20:00:00,58.56,58.69,58.56,58.69,2700
1998-03-25 16:00:00,58.75,58.94,58.75,58.94,2100
1998-03-25 20:00:00,58.88,59.25,58.81,59.25,8700
1998-03-26 16:00:00,59.38,59.38,59.38,59.38,2400
1998-03-26 20:00:00,59.0,59.06,58.75,58.75,3800
1998-03-30 16:00:00,58.69,58.69,58.38,58.38,1700
1998-03-30 20:00:00,58.0,58.0,57.63,57.63,5200
1998-03-31 16:00:00,57.5,57.56,57.25,57.25,3000
1998-03-31 20:00:00,57.5,57.69,57.44,57.69,1900
