datetime,open,high,low,close,volume
1998-01-02 16:00:00,33.0,33.63,33.0,33.25,396700
1998-01-02 20:00:00,33.31,33.32,32.25,33.19,359300
1998-01-05 16:00:00,31.0,31.0,30.12,30.56,2413005
1998-01-05 20:00:00,30.63,30.94,30.0,30.88,1838708
1998-01-06 16:00:00,30.81,31.38,30.5,31.19,3094905
1998-01-06 20:00:00,31.25,31.25,30.75,31.0,630502
1998-01-07 16:00:00,31.0,31.07,30.5,30.94,2760700
1998-01-07 20:00:00,30.94,31.06,30.75,31.0,847903
1998-01-08 16:00:00,31.0,31.19,30.81,31.0,1386803
1998-01-08 20:00:00,31.0,31.13,30.88,31.06,670100
1998-01-09 16:00:00,31.06,31.19,30.81,31.06,459800
1998-01-09 20:00:00,31.06,31.13,30.5,30.69,493800
1998-01-12 16:00:00,30.25,31.19,30.12,31.06,1101907
1998-01-12 20:00:00,31.13,31.5,30.81,31.5,617200
1998-01-13 16:00:00,32.0,32.06,31.31,31.56,1810102
1998-01-13 20:00:00,31.56,32.26,31.56,32.13,585702
1998-01-14 16:00:00,32.38,32.44,31.75,31.81,584402
1998-01-14 20:00:00,31.75,32.06,31.63,32.0,389702
1998-01-15 16:00:00,32.25,32.44,32.06,32.19,227400
1998-01-15 20:00:00,32.19,32.63,32.13,32.44,680900
1998-01-16 16:00:00,32.94,32.94,32.25,32.31,543101
1998-01-16 20:00:00,32.31,32.32,32.0,32.19,415400
1998-01-20 16:00:00,32.75,33.0,32.5,32.94,559000
1998-01-20 20:00:00,32.94,32.94,32.75,32.81,400700
1998-01-21 16:00:00,32.0,32.13,31.75,31.88,907301
1998-01-21 20:00:00,31.88,32.37,31.81,32.37,428200
1998-01-22 16:00:00,31.94,32.19,31.75,31.94,1046000
1998-01-22 20:00:00,31.94,32.19,31.37,31.5,616105
1998-01-23 16:00:00,31.56,31.76,31.44,31.5,590500
1998-01-23 20:00:00,31.56,31.75,31.37,31.5,435103
1998-01-26 16:00:00,31.75,31.94,31.56,31.88,483300
1998-01-26 20:00:00,31.81,32.07,31.62,32.06,302100
1998-01-27 16:00:00,32.19,32.88,32.12,32.82,553300
1998-01-27 20:00:00,32.75,33.06,32.75,33.0,548201
1998-01-28 16:00:00,32.88,33.31,32.63,32.69,472300
1998-01-28 20:00:00,32.69,32.69,31.44,32.13,359601
1998-01-29 16:00:00,32.19,32.75,32.0,32.5,470900
1998-01-29 20:00:00,32.44,32.44,31.56,31.88,336700
1998-01-30 16:00:00,32.38,32.44,31.69,32.06,675501
1998-01-30 20:00:00,32.0,32.0,31.5,31.63,313701
1998-02-02 16:00:00,32.13,32.56,32.06,32.25,513401
1998-02-02 20:00:00,32.25,32.38,31.94,32.12,231200
1998-02-03 16:00:00,31.88,32.01,31.37,31.5,429703
1998-02-03 20:00:00,31.5,32.0,31.5,32.0,305300
1998-02-04 16:00:00,31.81,32.06,31.37,31.56,500401
1998-02-04 20:00:00,31.63,32.13,31.31,31.38,628500
1998-02-05 16:00:00,31.56,31.76,30.81,31.13,518305
1998-02-05 20:00:00,31.13,31.75,31.0,31.69,1304002
1998-02-06 16:00:00,32.13,32.25,31.69,32.06,746102
1998-02-06 20:00:00,32.13,32.75,32.06,32.38,896300
