datetime,open,high,low,close,volume
1998-01-02 16:00:00,58.0,58.88,57.75,58.44,208501
1998-01-02 20:00:00,58.44,59.44,58.37,59.31,159602
1998-01-05 16:00:00,59.13,59.44,58.56,58.75,267201
1998-01-05 20:00:00,58.75,58.76,57.88,58.44,228700
1998-01-06 16:00:00,58.44,58.44,57.13,57.25,280701
1998-01-06 20:00:00,57.25,57.25,56.06,56.5,460801
1998-01-07 16:00:00,55.63,55.69,55.25,55.31,611600
1998-01-07 20:00:00,55.31,56.06,55.25,55.75,426401
1998-01-08 16:00:00,55.75,55.94,55.13,55.25,536700
1998-01-08 20:00:00,55.25,55.63,55.19,55.38,223701
1998-01-09 16:00:00,55.25,55.69,54.88,55.44,333004
1998-01-09 20:00:00,55.44,55.51,52.94,53.0,453603
1998-01-12 16:00:00,52.75,54.0,52.69,54.0,617503
1998-01-12 20:00:00,54.0,55.44,53.5,55.44,314500
1998-01-13 16:00:00,55.69,55.69,54.13,54.69,261503
1998-01-13 20:00:00,54.69,55.06,54.38,55.0,159600
1998-01-14 16:00:00,55.06,55.06,53.5,54.19,280601
1998-01-14 20:00:00,54.19,55.13,54.0,55.07,196100
1998-01-15 16:00:00,54.94,54.94,54.06,54.06,150600
1998-01-15 20:00:00,54.06,54.26,53.81,53.94,252200
1998-01-16 16:00:00,54.06,54.94,53.87,54.69,368201
1998-01-16 20:00:00,54.81,55.13,54.56,54.88,207301
1998-01-20 16:00:00,55.0,55.13,54.87,54.87,246400
1998-01-20 20:00:00,54.88,55.13,54.43,55.06,279000
1998-01-21 16:00:00,55.13,55.62,54.38,54.44,322500
1998-01-21 20:00:00,54.44,54.5,53.63,54.38,251300
1998-01-22 16:00:00,54.13,54.5,53.75,54.38,280000
1998-01-22 20:00:00,54.38,54.44,53.25,53.31,193900
1998-01-23 16:00:00,53.38,53.94,53.06,53.06,379001
1998-01-23 20:00:00,53.06,54.38,52.88,54.26,394400
1998-01-26 16:00:00,54.44,54.44,53.63,54.25,394400
1998-01-26 20:00:00,54.31,54.75,54.0,54.44,185300
1998-01-27 16:00:00,54.31,54.94,54.25,54.56,371400
1998-01-27 20:00:00,54.69,55.19,54.56,54.69,225900
1998-01-28 16:00:00,55.0,55.38,54.44,54.94,228302
1998-01-28 20:00:00,54.69,55.38,54.62,54.81,170100
1998-01-29 16:00:00,54.81,56.31,54.57,56.13,277201
1998-01-29 20:00:00,56.06,56.19,55.38,55.69,293700
1998-01-30 16:00:00,55.5,55.69,54.0,54.63,575902
1998-01-30 20:00:00,54.63,54.69,54.06,54.06,268200
1998-02-02 16:00:00,53.69,55.38,53.69,55.31,550300
1998-02-02 20:00:00,55.31,55.5,55.06,55.06,202400
1998-02-03 16:00:00,54.88,54.94,53.81,54.0,329101
1998-02-03 20:00:00,54.0,54.76,54.0,54.75,606101
1998-02-04 16:00:00,54.75,55.94,54.56,55.94,441801
1998-02-04 20:00:00,55.94,55.94,55.06,55.06,362300
1998-02-05 16:00:00,55.19,55.44,55.0,55.38,375801
1998-02-05 20:00:00,55.38,55.88,55.12,55.81,194600
1998-02-06 16:00:00,56.0,56.31,55.63,56.25,349600
1998-02-06 20:00:00,56.38,56.44,55.87,55.88,153000
1998-02-09 16:00:00,56.13,56.13,54.94,54.94,674404
1998-02-09 20:00:00,54.94,55.13,54.25,54.57,505905
1998-02-10 16:00:00,54.63,54.81,53.88,54.5,1869306
1998-02-10 20:00:00,54.56,54.81,54.31,54.63,500800
1998-02-11 16:00:00,54.69,55.13,54.5,55.06,583200
1998-02-11 20:00:00,55.0,55.56,54.94,55.44,204000
1998-02-12 16:00:00,55.44,55.5,54.56,55.0,263300
1998-02-12 20:00:00,54.94,55.51,54.94,55.38,359600
1998-02-13 16:00:00,55.13,55.26,54.94,55.0,171900
1998-02-13 20:00:00,55.0,55.38,54.88,55.31,204401
1998-02-17 16:00:00,55.5,55.81,55.06,55.25,441301
1998-02-17 20:00:00,55.25,55.31,54.31,54.5,257000
1998-02-18 16:00:00,53.25,54.75,53.25,54.63,960401
1998-02-18 20:00:00,54.69,55.31,54.38,55.0,693702
1998-02-19 16:00:00,55.94,55.94,55.25,55.5,456200
1998-02-19 20:00:00,55.5,55.88,54.93,55.13,363500
1998-02-20 16:00:00,55.75,56.75,55.31,56.19,881013
1998-02-20 20:00:00,56.19,56.88,56.06,56.81,318601
1998-02-23 16:00:00,57.25,57.56,56.81,57.56,459305
1998-02-23 20:00:00,57.5,57.56,56.68,57.0,266801
1998-02-24 16:00:00,56.81,56.94,56.5,56.94,314301
1998-02-24 20:00:00,56.94,57.01,56.63,56.75,370200
1998-02-25 16:00:00,57.0,58.13,56.94,58.06,294405
1998-02-25 20:00:00,58.13,58.25,57.63,57.75,254700
1998-02-26 16:00:00,58.0,58.44,57.81,58.06,376301
1998-02-26 20:00:00,58.06,58.25,58.0,58.13,219000
1998-02-27 16:00:00,58.06,58.44,58.0,58.25,191900
1998-02-27 20:00:00,58.19,58.38,58.06,58.06,216301
1998-03-02 16:00:00,58.0,58.88,57.87,58.56,189306
1998-03-02 20:00:00,58.5,58.56,58.06,58.25,177900
1998-03-03 16:00:00,58.38,58.94,58.25,58.62,276301
1998-03-03 20:00:00,58.75,58.88,58.43,58.5,160901
1998-03-04 16:00:00,58.13,58.44,58.13,58.44,245300
1998-03-04 20:00:00,58.44,58.5,58.06,58.38,215800
1998-03-05 16:00:00,58.13,58.44,58.06,58.19,209801
1998-03-05 20:00:00,58.13,58.31,58.06,58.19,208500
1998-03-06 16:00:00,58.31,58.69,58.19,58.62,252302
1998-03-06 20:00:00,58.63,58.88,58.56,58.81,138200
1998-03-09 16:00:00,58.5,59.0,58.38,58.88,189501
1998-03-09 20:00:00,58.63,58.94,58.31,58.94,142501
1998-03-10 16:00:00,58.81,58.88,58.31,58.5,287301
1998-03-10 20:00:00,58.44,58.63,58.37,58.44,207601
1998-03-11 16:00:00,58.56,58.75,58.12,58.69,184300
1998-03-11 20:00:00,58.69,58.75,58.5,58.63,160800
1998-03-12 16:00:00,58.25,58.69,58.06,58.56,179200
1998-03-12 20:00:00,58.63,59.38,58.38,59.31,233701
1998-03-13 16:00:00,59.31,60.01,58.94,59.69,258100
1998-03-13 20:00:00,59.63,60.0,59.5,59.63,171800
1998-03-16 16:00:00,58.94,60.81,58.93,60.31,396601
1998-03-16 20:00:00,60.31,60.63,60.18,60.38,289200
1998-03-17 16:00:00,60.13,60.44,59.81,59.88,200300
1998-03-17 20:00:00,59.88,60.13,59.5,59.5,290300
1998-03-18 16:00:00,59.44,60.01,59.37,59.94,137400
1998-03-18 20:00:00,59.88,60.56,59.81,60.25,190900
1998-03-19 16:00:00,60.44,60.94,60.38,60.81,133800
1998-03-19 20:00:00,60.75,61.38,60.75,60.88,175400
1998-03-20 16:00:00,61.69,61.82,60.75,61.81,450800
1998-03-20 20:00:00,61.88,62.5,61.38,62.13,201700
1998-03-23 16:00:00,61.0,62.56,61.0,62.56,250303
1998-03-23 20:00:00,62.56,62.88,62.31,62.76,265700
1998-03-24 16:00:00,62.75,62.75,61.44,62.0,209801
1998-03-24 20:00:00,62.0,62.06,61.75,61.81,92901
1998-03-25 16:00:00,62.19,62.41,61.75,62.25,193800
1998-03-25 20:00:00,62.19,62.38,60.81,61.44,162900
1998-03-26 16:00:00,61.19,62.25,61.19,61.25,372000
1998-03-26 20:00:00,61.25,61.31,60.69,60.81,170900
1998-03-27 16:00:00,60.75,60.81,59.38,59.75,618100
1998-03-27 20:00:00,59.69,60.0,59.5,59.5,303900
1998-03-30 16:00:00,59.31,60.0,59.06,59.75,378200
1998-03-30 20:00:00,59.75,59.88,59.56,59.81,155600
1998-03-31 16:00:00,56.94,57.13,56.56,56.81,546203
1998-03-31 20:00:00,56.81,56.88,56.5,56.76,357001
1998-04-01 16:00:00,56.75,56.94,55.94,55.94,314702
1998-04-01 20:00:00,56.0,56.25,55.69,55.88,337302
1998-04-02 16:00:00,55.88,55.94,55.38,55.44,440401
1998-04-02 20:00:00,55.44,56.0,55.38,56.0,304500
1998-04-03 16:00:00,56.0,56.06,55.06,55.31,363400
1998-04-03 20:00:00,55.25,55.57,54.31,54.63,317103
1998-04-06 16:00:00,55.19,55.38,54.25,54.31,325401
1998-04-06 20:00:00,54.31,54.57,53.87,53.94,407801
1998-04-07 16:00:00,53.0,53.63,52.5,53.63,405100
1998-04-07 20:00:00,53.56,53.63,53.19,53.38,209600
1998-04-08 16:00:00,53.13,53.26,53.0,53.25,460800
1998-04-08 20:00:00,53.25,53.31,52.31,52.44,307801
1998-04-09 16:00:00,52.88,53.44,52.81,53.25,314600
1998-04-09 20:00:00,53.13,53.19,52.56,52.81,276901
1998-04-13 16:00:00,52.94,52.94,51.63,51.69,434102
1998-04-13 20:00:00,51.69,52.51,51.5,52.0,397400
1998-04-14 16:00:00,52.0,52.63,52.0,52.5,476700
1998-04-14 20:00:00,52.44,52.5,52.13,52.44,421603
1998-04-15 16:00:00,52.44,52.51,51.88,52.25,442900
1998-04-15 20:00:00,52.25,52.25,51.56,51.75,285702
1998-04-16 16:00:00,51.5,51.56,50.63,51.19,503001
1998-04-16 20:00:00,51.13,51.25,50.18,51.25,360400
1998-04-17 16:00:00,51.25,53.06,51.25,52.63,484402
1998-04-17 20:00:00,52.75,52.88,52.44,52.56,219700
1998-04-20 16:00:00,52.56,53.38,52.06,52.13,412800
1998-04-20 20:00:00,52.25,53.01,52.13,52.38,199400
1998-04-21 16:00:00,52.31,52.57,51.12,51.38,357700
1998-04-21 20:00:00,51.44,52.31,51.13,51.26,297800
1998-04-22 16:00:00,51.63,52.0,51.13,51.38,376600
1998-04-22 20:00:00,51.44,51.5,51.12,51.12,208000
1998-04-23 16:00:00,50.81,51.19,50.31,51.07,387900
1998-04-23 20:00:00,51.06,51.69,50.56,50.75,326500
1998-04-24 16:00:00,50.81,51.44,50.31,50.75,313302
1998-04-24 20:00:00,50.75,50.81,49.87,49.94,367000
1998-04-27 16:00:00,49.06,49.5,48.19,48.88,572903
1998-04-27 20:00:00,48.94,49.01,48.31,48.44,397500
1998-04-28 16:00:00,49.0,49.31,48.56,49.12,788100
1998-04-28 20:00:00,49.06,49.5,48.87,49.0,963400
1998-04-29 16:00:00,48.88,48.94,48.13,48.56,633601
1998-04-29 20:00:00,48.5,48.94,48.43,48.63,334500
1998-04-30 16:00:00,50.13,50.81,50.0,50.75,876802
1998-04-30 20:00:00,50.81,51.69,50.38,51.12,418103
1998-05-01 16:00:00,51.31,52.0,50.81,51.63,380803
1998-05-01 20:00:00,51.56,52.25,51.56,52.0,293100
1998-05-04 16:00:00,52.75,53.13,51.75,52.32,466502
1998-05-04 20:00:00,52.31,52.88,52.31,52.56,234000
1998-05-05 16:00:00,52.5,52.75,52.06,52.44,324301
1998-05-05 20:00:00,52.38,52.63,52.13,52.38,232701
1998-05-06 16:00:00,54.19,54.25,53.12,53.75,757604
1998-05-06 20:00:00,53.81,54.44,53.69,53.82,636307
1998-05-07 16:00:00,54.25,54.25,53.25,53.5,483605
1998-05-07 20:00:00,53.5,53.88,53.37,53.63,318601
1998-05-08 16:00:00,53.94,55.31,53.75,55.18,496204
1998-05-08 20:00:00,55.31,55.82,54.25,54.5,441601
1998-05-11 16:00:00,54.5,55.38,53.94,53.94,457400
1998-05-11 20:00:00,53.94,54.13,53.63,53.69,223600
1998-05-12 16:00:00,53.56,54.31,53.19,53.38,368601
1998-05-12 20:00:00,53.38,53.44,53.06,53.25,226600
1998-05-13 16:00:00,53.38,53.56,53.25,53.37,350000
1998-05-13 20:00:00,53.38,53.94,53.31,53.75,625500
1998-05-14 16:00:00,53.94,54.88,53.5,54.69,392803
1998-05-14 20:00:00,54.75,55.01,54.5,54.94,418301
1998-05-15 16:00:00,54.88,54.88,53.56,53.94,337600
1998-05-15 20:00:00,54.0,54.13,53.44,53.56,213000
1998-05-18 16:00:00,53.31,53.75,53.06,53.12,271600
1998-05-18 20:00:00,53.06,53.57,53.0,53.56,268900
1998-05-19 16:00:00,53.5,53.5,51.5,52.0,777504
1998-05-19 20:00:00,52.25,53.38,52.12,53.25,481700
1998-05-20 16:00:00,54.44,54.69,54.06,54.44,699801
1998-05-20 20:00:00,54.44,55.0,54.25,54.94,464600
1998-05-21 16:00:00,54.75,55.69,54.25,54.94,609600
1998-05-21 20:00:00,54.88,55.5,54.63,55.25,329300
1998-05-22 16:00:00,55.19,55.5,54.19,55.44,260800
1998-05-22 20:00:00,55.44,55.63,54.93,55.44,273300
1998-05-26 16:00:00,55.81,55.88,55.06,55.57,358102
1998-05-26 20:00:00,55.5,56.19,55.0,55.12,307601
1998-05-27 16:00:00,55.0,55.31,54.31,54.5,337603
1998-05-27 20:00:00,54.5,54.94,54.18,54.81,176002
1998-05-28 16:00:00,54.69,55.0,54.0,54.44,356000
1998-05-28 20:00:00,54.44,54.94,54.31,54.44,208900
1998-05-29 16:00:00,54.44,55.38,54.44,55.0,249401
1998-05-29 20:00:00,55.0,55.0,54.5,54.63,182800
1998-06-01 16:00:00,54.44,55.0,54.12,54.69,352902
1998-06-01 20:00:00,54.63,54.88,54.31,54.82,237100
1998-06-02 16:00:00,55.38,56.19,55.19,55.75,371501
1998-06-02 20:00:00,55.75,56.31,55.5,56.0,581603
1998-06-03 16:00:00,56.44,56.56,55.69,56.56,463800
1998-06-03 20:00:00,56.56,56.82,56.19,56.31,210100
1998-06-04 16:00:00,55.94,55.94,55.31,55.56,391000
1998-06-04 20:00:00,55.56,56.57,55.43,56.5,124200
1998-06-05 16:00:00,56.69,56.88,56.0,56.88,402402
1998-06-05 20:00:00,56.81,57.0,56.69,57.0,183200
1998-06-08 16:00:00,57.13,57.13,55.81,55.88,625200
1998-06-08 20:00:00,55.94,56.19,55.94,56.06,253501
1998-06-09 16:00:00,56.0,56.28,55.88,56.13,363400
1998-06-09 20:00:00,56.13,56.44,56.0,56.44,174800
1998-06-10 16:00:00,56.25,56.75,55.94,56.63,228000
1998-06-10 20:00:00,56.63,57.06,56.06,56.13,364600
1998-06-11 16:00:00,56.13,56.63,55.69,56.19,334200
1998-06-11 20:00:00,56.13,56.44,56.0,56.19,177200
1998-06-12 16:00:00,56.13,56.19,55.06,55.25,411200
1998-06-12 20:00:00,55.25,55.94,55.13,55.63,228400
1998-06-15 16:00:00,55.13,56.19,55.0,55.06,331701
1998-06-15 20:00:00,55.19,55.5,55.0,55.31,156500
1998-06-16 16:00:00,53.75,54.5,53.12,54.44,458000
1998-06-16 20:00:00,54.31,54.94,54.0,54.56,312800
1998-06-17 16:00:00,54.38,54.76,53.69,54.38,614500
1998-06-17 20:00:00,54.31,56.13,54.19,55.81,403500
1998-06-18 16:00:00,55.69,55.94,54.5,54.69,367701
1998-06-18 20:00:00,54.69,54.94,54.62,54.94,214202
1998-06-19 16:00:00,54.69,54.94,54.06,54.25,588400
1998-06-19 20:00:00,54.19,54.5,53.56,53.94,250601
1998-06-22 16:00:00,53.81,54.44,53.5,53.5,313800
1998-06-22 20:00:00,53.44,53.75,53.19,53.44,234700
1998-06-23 16:00:00,53.75,53.94,53.31,53.31,191600
1998-06-23 20:00:00,53.31,53.69,53.06,53.44,285400
1998-06-24 16:00:00,53.31,53.31,52.5,52.94,223200
1998-06-24 20:00:00,52.94,53.69,52.63,53.69,425000
1998-06-25 16:00:00,53.63,55.25,53.5,55.25,343501
1998-06-25 20:00:00,55.25,55.25,53.88,54.19,148400
1998-06-26 16:00:00,54.13,54.63,53.69,54.63,190100
1998-06-26 20:00:00,54.56,54.69,54.25,54.63,144100
1998-06-29 16:00:00,54.88,55.0,53.94,54.0,221300
1998-06-29 20:00:00,54.0,54.25,53.13,53.56,111300
1998-06-30 16:00:00,53.56,53.56,53.0,53.06,369000
1998-06-30 20:00:00,53.06,53.25,52.81,53.13,281602
1998-07-01 16:00:00,53.13,53.69,53.0,53.63,399300
1998-07-01 20:00:00,53.63,53.69,52.94,53.44,324400
1998-07-02 16:00:00,52.5,53.32,52.5,52.56,368201
1998-07-02 20:00:00,52.63,52.81,52.38,52.57,307100
1998-07-06 16:00:00,52.38,52.88,52.25,52.63,374100
1998-07-06 20:00:00,52.69,53.38,52.44,53.38,373100
1998-07-07 16:00:00,53.5,54.19,53.13,54.13,255200
1998-07-07 20:00:00,54.19,54.25,53.25,53.31,230301
1998-07-08 16:00:00,53.25,53.31,52.63,52.81,409600
1998-07-08 20:00:00,52.75,53.69,52.75,53.25,295700
1998-07-09 16:00:00,53.0,53.19,52.56,52.88,261000
1998-07-09 20:00:00,52.75,53.06,52.44,53.06,245500
1998-07-10 16:00:00,53.06,53.94,53.06,53.5,459800
1998-07-10 20:00:00,53.44,54.19,53.43,53.88,227301
1998-07-13 16:00:00,53.88,53.94,53.31,53.31,417500
1998-07-13 20:00:00,53.25,53.25,52.62,52.94,242700
1998-07-14 16:00:00,54.0,54.44,53.62,53.88,665301
1998-07-14 20:00:00,53.88,54.82,53.75,54.63,368400
1998-07-15 16:00:00,55.0,55.38,54.87,55.25,536400
