datetime,open,high,low,close,volume
1998-01-02 16:00:00,55.25,55.63,55.0,55.31,28400
1998-01-02 20:00:00,55.38,55.5,55.13,55.44,18300
1998-01-05 16:00:00,56.88,56.88,56.25,56.5,56900
1998-01-05 20:00:00,56.38,56.44,56.06,56.25,43200
1998-01-06 16:00:00,56.06,56.06,55.56,56.0,54100
1998-01-06 20:00:00,56.0,56.25,55.19,55.56,49500
1998-01-07 16:00:00,55.31,55.94,55.31,55.69,80100
1998-01-07 20:00:00,55.69,55.75,55.12,55.38,47700
1998-01-08 16:00:00,55.25,55.56,55.0,55.06,25000
1998-01-08 20:00:00,55.06,55.25,55.0,55.06,58100
1998-01-09 16:00:00,55.0,55.0,54.44,54.88,28000
1998-01-09 20:00:00,54.75,55.25,54.38,54.44,109100
1998-01-12 16:00:00,54.0,54.63,53.69,54.38,54400
1998-01-12 20:00:00,54.38,54.5,54.06,54.19,75700
1998-01-13 16:00:00,54.25,54.25,53.5,53.75,59700
1998-01-13 20:00:00,53.81,54.31,53.75,54.31,44400
1998-01-14 16:00:00,54.31,54.38,53.5,53.56,60400
1998-01-14 20:00:00,53.63,54.19,53.63,54.13,31500
1998-01-15 16:00:00,54.06,54.13,53.38,53.5,45600
1998-01-15 20:00:00,53.5,53.81,53.25,53.69,27400
1998-01-16 16:00:00,27.25,28.0,26.88,27.94,108700
1998-01-16 20:00:00,27.81,28.0,27.56,27.75,75400
1998-01-20 16:00:00,28.5,28.5,27.56,27.69,88800
1998-01-20 20:00:00,27.69,27.75,27.43,27.69,48902
1998-01-21 16:00:00,27.38,27.5,27.0,27.13,107000
1998-01-21 20:00:00,27.13,27.69,27.0,27.69,56600
1998-01-22 16:00:00,27.31,27.69,27.06,27.56,52401
1998-01-22 20:00:00,27.63,27.69,27.5,27.69,50800
1998-01-23 16:00:00,27.56,27.81,26.69,27.25,132400
1998-01-23 20:00:00,27.06,27.56,26.94,27.56,47900
1998-01-26 16:00:00,27.63,27.69,27.44,27.5,107500
1998-01-26 20:00:00,27.56,27.56,26.94,27.44,58601
1998-01-27 16:00:00,27.25,27.63,27.19,27.38,62600
1998-01-27 20:00:00,27.38,27.5,27.25,27.38,49700
1998-01-28 16:00:00,27.25,27.38,26.75,27.13,75900
1998-01-28 20:00:00,27.13,27.5,27.06,27.19,71200
1998-01-29 16:00:00,27.06,27.75,27.06,27.38,80000
1998-01-29 20:00:00,27.25,27.44,27.06,27.19,96300
1998-01-30 16:00:00,27.5,27.69,27.13,27.56,53500
1998-01-30 20:00:00,27.56,27.69,27.38,27.44,95800
1998-02-02 16:00:00,27.75,27.75,27.44,27.75,97400
1998-02-02 20:00:00,27.75,27.75,27.63,27.69,46100
1998-02-03 16:00:00,27.44,27.69,27.44,27.63,97700
1998-02-03 20:00:00,27.63,27.94,27.5,27.81,111100
1998-02-04 16:00:00,27.75,27.88,27.5,27.63,51200
1998-02-04 20:00:00,27.56,27.94,27.25,27.31,73700
1998-02-05 16:00:00,27.25,27.5,26.88,27.19,105200
1998-02-05 20:00:00,27.31,27.63,27.19,27.63,86300
1998-02-06 16:00:00,27.69,27.94,27.63,27.88,104000
1998-02-06 20:00:00,27.81,27.88,27.68,27.75,41400
1998-02-09 16:00:00,27.38,27.75,27.25,27.63,132300
1998-02-09 20:00:00,27.63,27.81,27.5,27.69,85900
1998-02-10 16:00:00,27.94,28.31,27.75,28.0,154902
1998-02-10 20:00:00,28.0,28.31,27.94,28.13,182700
1998-02-11 16:00:00,28.19,28.19,27.75,27.88,120200
1998-02-11 20:00:00,27.88,28.25,27.75,28.25,84200
1998-02-12 16:00:00,28.0,28.0,27.63,27.94,92400
1998-02-12 20:00:00,27.88,28.38,27.88,28.25,127000
1998-02-13 16:00:00,28.0,28.19,27.81,27.81,69400
1998-02-13 20:00:00,27.81,28.25,27.81,28.06,66200
1998-02-17 16:00:00,27.69,28.56,27.69,28.25,67400
1998-02-17 20:00:00,28.25,28.38,28.06,28.31,50600
1998-02-18 16:00:00,28.38,28.56,28.19,28.5,58900
1998-02-18 20:00:00,28.5,28.56,28.19,28.25,44900
1998-02-19 16:00:00,28.25,28.31,27.88,27.94,124900
1998-02-19 20:00:00,27.94,28.0,27.75,27.81,99200
1998-02-20 16:00:00,28.06,28.13,27.88,28.0,80600
1998-02-20 20:00:00,28.0,28.44,28.0,28.25,73600
1998-02-23 16:00:00,28.5,28.88,28.0,28.13,90300
1998-02-23 20:00:00,28.13,28.44,27.94,28.44,107300
1998-02-24 16:00:00,28.38,28.44,28.25,28.44,124100
1998-02-24 20:00:00,28.38,28.44,28.12,28.19,86600
1998-02-25 16:00:00,28.44,28.69,28.31,28.63,82200
1998-02-25 20:00:00,28.63,28.75,28.56,28.75,33400
1998-02-26 16:00:00,28.5,28.81,28.25,28.63,58800
1998-02-26 20:00:00,28.63,28.81,28.5,28.81,30600
1998-02-27 16:00:00,28.5,28.94,28.5,28.87,48700
1998-02-27 20:00:00,28.88,29.09,28.69,28.88,39100
1998-03-02 16:00:00,28.88,29.06,28.81,29.0,38900
1998-03-02 20:00:00,29.06,29.13,28.94,29.06,48500
1998-03-03 16:00:00,28.88,29.13,28.88,29.06,139600
1998-03-03 20:00:00,29.06,29.13,28.87,29.0,80500
1998-03-04 16:00:00,29.19,29.19,28.69,28.94,87800
1998-03-04 20:00:00,28.94,29.0,28.81,28.88,68100
1998-03-05 16:00:00,28.63,28.75,28.5,28.56,53600
1998-03-05 20:00:00,28.63,28.88,28.5,28.56,48100
1998-03-06 16:00:00,27.75,29.44,27.75,29.19,181000
1998-03-06 20:00:00,29.19,29.19,28.88,29.06,146200
1998-03-09 16:00:00,29.13,29.13,28.69,28.94,61500
1998-03-09 20:00:00,28.94,28.94,28.75,28.81,65100
1998-03-10 16:00:00,28.88,29.0,28.5,28.75,100600
1998-03-10 20:00:00,28.69,28.88,28.69,28.88,111400
1998-03-11 16:00:00,28.75,29.06,28.56,29.06,33600
1998-03-11 20:00:00,29.06,29.12,29.0,29.06,64800
1998-03-12 16:00:00,28.81,29.0,28.19,28.31,93800
1998-03-12 20:00:00,28.31,28.5,28.06,28.37,60500
1998-03-13 16:00:00,28.44,28.88,28.44,28.69,154400
1998-03-13 20:00:00,28.75,28.75,28.19,28.25,58900
1998-03-16 16:00:00,28.25,28.38,28.25,28.25,71000
1998-03-16 20:00:00,28.25,28.5,28.12,28.37,112400
1998-03-17 16:00:00,28.38,29.0,28.38,28.94,107200
1998-03-17 20:00:00,29.0,29.13,28.88,29.13,80800
1998-03-18 16:00:00,28.94,29.13,28.94,29.13,126500
1998-03-18 20:00:00,29.13,29.44,29.0,29.13,107300
1998-03-19 16:00:00,29.25,29.31,28.94,29.19,77900
1998-03-19 20:00:00,29.19,29.19,29.0,29.0,200600
1998-03-20 16:00:00,29.0,29.63,28.37,28.81,310400
1998-03-20 20:00:00,28.81,28.88,28.63,28.75,71400
1998-03-23 16:00:00,28.5,28.75,28.5,28.75,185400
1998-03-23 20:00:00,28.75,28.75,28.63,28.75,75800
1998-03-24 16:00:00,28.75,28.81,28.5,28.69,90400
1998-03-24 20:00:00,28.69,28.75,28.63,28.75,300300
1998-03-25 16:00:00,28.75,28.75,28.56,28.63,79600
1998-03-25 20:00:00,28.63,28.63,28.31,28.38,60500
1998-03-26 16:00:00,28.38,28.5,28.13,28.5,189800
1998-03-26 20:00:00,28.5,28.56,28.0,28.31,264200
1998-03-27 16:00:00,28.38,28.44,28.13,28.38,88100
1998-03-27 20:00:00,28.38,28.44,28.19,28.25,96900
1998-03-30 16:00:00,28.06,28.31,28.06,28.31,63901
1998-03-30 20:00:00,28.31,28.44,28.19,28.38,130600
1998-03-31 16:00:00,28.31,29.13,28.31,29.0,294800
1998-03-31 20:00:00,29.0,29.38,28.75,29.0,99900
1998-04-01 16:00:00,28.81,29.13,28.19,29.13,203200
1998-04-01 20:00:00,29.13,29.44,29.06,29.38,104200
1998-04-02 16:00:00,29.19,29.63,29.13,29.63,109700
1998-04-02 20:00:00,29.63,29.94,29.5,29.63,74500
1998-04-03 16:00:00,29.56,29.69,29.07,29.5,56200
1998-04-03 20:00:00,29.38,29.87,29.31,29.63,69400
1998-04-06 16:00:00,29.63,30.38,29.63,29.81,135500
1998-04-06 20:00:00,29.75,29.94,29.69,29.81,56400
1998-04-07 16:00:00,29.5,29.69,29.44,29.44,38100
1998-04-07 20:00:00,29.38,29.44,28.75,29.19,87300
1998-04-08 16:00:00,29.0,29.19,29.0,29.19,45200
1998-04-08 20:00:00,29.13,29.38,29.13,29.13,103300
1998-04-09 16:00:00,29.0,29.56,28.88,29.44,105700
1998-04-09 20:00:00,29.44,29.5,29.38,29.5,28000
1998-04-13 16:00:00,29.25,29.31,28.75,28.75,175800
1998-04-13 20:00:00,28.81,28.88,28.56,28.63,65500
1998-04-14 16:00:00,28.5,29.19,28.5,29.06,57000
1998-04-14 20:00:00,29.06,29.5,29.06,29.38,76600
1998-04-15 16:00:00,29.63,30.5,29.63,29.88,136700
1998-04-15 20:00:00,29.94,30.26,29.81,30.0,71800
1998-04-16 16:00:00,30.0,30.0,29.81,29.88,123900
1998-04-16 20:00:00,29.81,29.81,29.44,29.81,169900
1998-04-17 16:00:00,30.0,30.19,29.5,30.19,90200
1998-04-17 20:00:00,30.06,30.5,30.0,30.19,100400
1998-04-20 16:00:00,30.0,30.19,29.81,30.13,66600
1998-04-20 20:00:00,30.19,30.88,30.06,30.81,111800
1998-04-21 16:00:00,30.56,30.75,30.31,30.75,91900
1998-04-21 20:00:00,30.75,32.01,30.75,31.63,198000
1998-04-22 16:00:00,31.38,31.5,30.94,31.06,102000
1998-04-22 20:00:00,31.06,31.38,31.0,31.25,71200
1998-04-23 16:00:00,31.0,31.38,31.0,31.25,53200
1998-04-23 20:00:00,31.19,31.38,31.13,31.38,81700
1998-04-24 16:00:00,31.56,31.63,31.19,31.25,75500
1998-04-24 20:00:00,31.25,31.25,30.56,31.0,85800
1998-04-27 16:00:00,30.75,30.81,30.5,30.69,86600
1998-04-27 20:00:00,30.69,30.88,30.63,30.81,147800
1998-04-28 16:00:00,30.88,31.0,30.5,30.94,48000
1998-04-28 20:00:00,30.94,31.0,30.94,30.94,28400
1998-04-29 16:00:00,30.81,30.88,30.5,30.63,38100
1998-04-29 20:00:00,30.69,31.19,30.63,31.06,55500
1998-04-30 16:00:00,31.0,31.88,30.75,31.88,107800
1998-04-30 20:00:00,31.88,31.88,31.69,31.75,70500
1998-05-01 16:00:00,32.0,32.25,31.44,31.5,70200
1998-05-01 20:00:00,31.5,31.94,31.44,31.75,28300
1998-05-04 16:00:00,32.0,32.38,31.5,31.56,56200
1998-05-04 20:00:00,31.63,32.0,31.56,31.94,107400
1998-05-05 16:00:00,31.75,31.88,31.44,31.75,60500
1998-05-05 20:00:00,31.81,32.5,31.81,32.31,77500
1998-05-06 16:00:00,32.25,32.25,31.63,31.63,68700
1998-05-06 20:00:00,31.63,31.69,31.44,31.44,39300
1998-05-07 16:00:00,31.38,31.75,30.88,31.44,48800
1998-05-07 20:00:00,31.5,31.75,31.44,31.63,53500
1998-05-08 16:00:00,31.63,33.0,31.63,33.0,80400
1998-05-08 20:00:00,33.0,33.0,32.31,32.5,49900
1998-05-11 16:00:00,32.25,32.38,32.12,32.25,35900
1998-05-11 20:00:00,32.19,32.38,31.88,32.19,40000
1998-05-12 16:00:00,32.19,32.19,31.69,31.81,45900
1998-05-12 20:00:00,31.81,32.38,31.81,32.38,40400
1998-05-13 16:00:00,32.25,32.25,32.0,32.0,39400
1998-05-13 20:00:00,32.0,32.0,31.88,32.0,46900
1998-05-14 16:00:00,31.88,32.0,31.75,32.0,83100
1998-05-14 20:00:00,31.81,32.06,31.5,31.56,139500
1998-05-15 16:00:00,31.56,31.94,31.56,31.75,72300
1998-05-15 20:00:00,31.81,31.94,31.63,31.94,31500
1998-05-18 16:00:00,31.69,32.25,31.69,31.69,47600
1998-05-18 20:00:00,31.69,31.88,31.19,31.38,121100
1998-05-19 16:00:00,31.44,31.69,31.25,31.38,78600
1998-05-19 20:00:00,31.38,31.5,31.13,31.44,70600
1998-05-20 16:00:00,31.63,31.63,31.25,31.31,98000
1998-05-20 20:00:00,31.25,31.38,31.06,31.31,73500
1998-05-21 16:00:00,31.38,31.44,31.25,31.44,201200
1998-05-21 20:00:00,31.31,31.44,31.25,31.44,56900
1998-05-22 16:00:00,31.44,31.88,31.44,31.69,38300
1998-05-22 20:00:00,31.81,31.88,31.69,31.69,11600
1998-05-26 16:00:00,31.75,31.75,31.25,31.5,45900
1998-05-26 20:00:00,31.5,31.63,31.31,31.31,25000
1998-05-27 16:00:00,31.06,31.25,30.69,30.81,56200
1998-05-27 20:00:00,30.81,31.25,30.69,31.0,89100
1998-05-28 16:00:00,31.0,31.13,30.94,31.0,76300
1998-05-28 20:00:00,31.0,31.0,30.94,31.0,33700
1998-05-29 16:00:00,31.19,31.88,31.19,31.31,88600
1998-05-29 20:00:00,31.38,31.38,30.81,30.88,94000
1998-06-01 16:00:00,30.81,31.25,30.75,30.94,174300
1998-06-01 20:00:00,30.88,30.94,30.63,30.75,76801
1998-06-02 16:00:00,30.94,30.94,30.56,30.81,60700
1998-06-02 20:00:00,30.88,30.88,30.5,30.5,139500
1998-06-03 16:00:00,30.63,30.94,30.38,30.88,57100
1998-06-03 20:00:00,30.75,31.0,30.19,30.38,95000
1998-06-04 16:00:00,30.38,30.75,30.19,30.44,43300
1998-06-04 20:00:00,30.5,31.0,30.38,30.88,126300
1998-06-05 16:00:00,31.0,31.31,30.75,31.0,58900
1998-06-05 20:00:00,31.0,31.19,30.94,31.13,48100
1998-06-08 16:00:00,31.06,31.44,30.88,31.13,81700
1998-06-08 20:00:00,31.13,31.38,30.94,31.06,52300
1998-06-09 16:00:00,31.13,31.31,31.0,31.19,44100
1998-06-09 20:00:00,31.13,31.32,31.0,31.25,26300
1998-06-10 16:00:00,30.94,31.25,30.88,31.19,43300
1998-06-10 20:00:00,31.25,31.31,30.94,31.0,74600
1998-06-11 16:00:00,30.88,30.94,29.63,30.0,88700
1998-06-11 20:00:00,30.0,30.13,29.75,29.94,135500
1998-06-12 16:00:00,29.5,30.88,29.5,30.38,114500
1998-06-12 20:00:00,30.44,30.81,30.19,30.5,138800
1998-06-15 16:00:00,30.31,30.63,30.19,30.63,182000
