datetime,open,high,low,close,volume
1998-01-02 16:00:00,34.81,34.81,34.31,34.31,8600
1998-01-02 20:00:00,34.19,34.44,34.13,34.38,18100
1998-01-05 16:00:00,34.63,34.69,34.38,34.44,35900
1998-01-05 20:00:00,34.44,34.5,34.19,34.38,32500
1998-01-06 16:00:00,34.38,34.5,34.31,34.38,21800
1998-01-06 20:00:00,34.44,34.5,34.31,34.37,25000
1998-01-07 16:00:00,34.5,34.5,34.38,34.44,8800
1998-01-07 20:00:00,34.44,34.81,34.44,34.81,5100
1998-01-08 16:00:00,34.69,34.81,34.56,34.81,10300
1998-01-08 20:00:00,34.88,34.94,34.81,34.88,2900
1998-01-09 16:00:00,34.88,34.94,34.88,34.88,10100
1998-01-09 20:00:00,34.88,34.94,34.5,34.5,17000
1998-01-12 16:00:00,34.25,34.38,34.13,34.25,13100
1998-01-12 20:00:00,34.19,34.25,34.19,34.25,9400
1998-01-13 16:00:00,34.25,34.25,34.19,34.19,4100
1998-01-13 20:00:00,34.19,34.31,34.13,34.31,15200
1998-01-14 16:00:00,34.25,34.38,34.25,34.25,75500
1998-01-14 20:00:00,34.25,34.38,34.25,34.38,4800
1998-01-15 16:00:00,34.69,34.81,34.69,34.81,4000
1998-01-15 20:00:00,34.88,34.88,34.56,34.63,7000
1998-01-16 16:00:00,34.88,34.94,34.69,34.88,15700
1998-01-16 20:00:00,34.81,34.88,34.75,34.75,7300
1998-01-20 16:00:00,34.88,34.88,34.38,34.63,35300
1998-01-20 20:00:00,34.75,34.81,34.63,34.63,7200
1998-01-21 16:00:00,34.5,34.63,34.44,34.44,29700
1998-01-21 20:00:00,34.44,34.63,34.44,34.44,14800
1998-01-22 16:00:00,34.44,34.5,34.44,34.44,35100
1998-01-22 20:00:00,34.44,34.5,34.44,34.5,13900
1998-01-23 16:00:00,34.63,34.75,34.63,34.63,26100
1998-01-23 20:00:00,34.63,34.75,34.63,34.75,5100
1998-01-26 16:00:00,34.75,34.94,34.75,34.75,11500
1998-01-26 20:00:00,34.81,34.88,34.75,34.75,26600
1998-01-27 16:00:00,34.88,34.94,34.75,34.75,16900
1998-01-27 20:00:00,34.88,34.88,34.69,34.69,40600
1998-01-28 16:00:00,34.56,34.63,34.38,34.63,19200
