datetime,open,high,low,close,volume
1998-01-02 16:00:00,62.56,63.88,61.87,63.75,1256628
1998-01-02 20:00:00,63.69,64.63,63.63,64.38,883811
1998-01-05 16:00:00,64.63,65.51,64.25,65.06,1951047
1998-01-05 20:00:00,65.06,65.06,63.56,64.19,1057828
1998-01-06 16:00:00,63.56,64.56,63.5,63.94,1217228
1998-01-06 20:00:00,64.0,64.32,63.82,64.25,1021308
1998-01-07 16:00:00,63.94,64.5,63.06,63.06,1437925
1998-01-07 20:00:00,63.13,64.5,62.81,64.5,1121803
1998-01-08 16:00:00,64.5,65.69,64.0,65.12,1590929
1998-01-08 20:00:00,65.25,65.56,64.82,65.19,1265208
1998-01-09 16:00:00,65.19,65.31,62.62,62.88,1589612
1998-01-09 20:00:00,62.88,63.69,61.57,62.06,1575203
1998-01-12 16:00:00,60.56,63.0,60.56,62.87,2202911
1998-01-12 20:00:00,62.75,63.44,61.5,62.13,1175018
1998-01-13 16:00:00,62.25,62.82,62.25,62.56,1083618
1998-01-13 20:00:00,62.63,63.81,62.43,63.75,1218910
1998-01-14 16:00:00,63.94,63.94,62.37,62.88,1228528
1998-01-14 20:00:00,62.88,63.5,62.75,63.13,808004
1998-01-15 16:00:00,63.0,64.19,62.69,63.94,1381614
1998-01-15 20:00:00,64.0,64.5,63.75,64.0,1186208
1998-01-16 16:00:00,64.63,64.94,64.18,64.63,1521802
1998-01-16 20:00:00,64.56,64.69,63.56,63.88,756706
1998-01-20 16:00:00,63.94,63.94,63.12,63.44,1268720
1998-01-20 20:00:00,63.44,64.56,63.13,64.19,1225610
1998-01-21 16:00:00,63.06,63.63,62.81,63.0,1749608
1998-01-21 20:00:00,62.94,63.26,62.69,63.06,1214006
1998-01-22 16:00:00,62.31,62.94,62.0,62.25,1511617
1998-01-22 20:00:00,62.25,63.0,62.0,62.19,906005
1998-01-23 16:00:00,62.0,62.44,61.18,61.25,1356714
1998-01-23 20:00:00,61.25,61.94,61.19,61.63,912702
1998-01-26 16:00:00,61.63,62.44,61.0,62.12,1321808
1998-01-26 20:00:00,62.13,62.25,61.38,61.44,613508
1998-01-27 16:00:00,61.88,62.57,61.56,62.56,801131
1998-01-27 20:00:00,62.5,63.81,62.31,63.38,1203529
1998-01-28 16:00:00,63.19,63.69,62.75,63.69,1270318
1998-01-28 20:00:00,63.69,63.94,63.31,63.32,728804
1998-01-29 16:00:00,61.0,62.31,61.0,61.82,2705829
1998-01-29 20:00:00,61.81,61.88,60.5,60.63,1784524
1998-01-30 16:00:00,60.69,60.88,60.07,60.5,2200341
1998-01-30 20:00:00,60.5,60.69,59.94,60.0,1284303
1998-02-02 16:00:00,60.81,62.13,60.81,61.87,1986734
1998-02-02 20:00:00,61.88,62.19,61.75,61.87,1331706
1998-02-03 16:00:00,61.06,61.13,59.81,60.0,3057273
1998-02-03 20:00:00,60.06,60.63,59.81,60.44,1519039
1998-02-04 16:00:00,60.06,61.06,60.0,61.0,1783949
1998-02-04 20:00:00,61.06,61.26,60.37,60.44,2325132
1998-02-05 16:00:00,61.69,62.63,61.43,61.75,2792550
1998-02-05 20:00:00,61.69,62.26,61.44,61.63,1360310
1998-02-06 16:00:00,61.31,63.06,61.31,62.56,2381505
1998-02-06 20:00:00,62.56,62.82,61.62,62.25,933014
1998-02-09 16:00:00,61.81,62.25,61.25,61.38,1642035
1998-02-09 20:00:00,61.38,61.57,61.07,61.32,979404
1998-02-10 16:00:00,62.44,63.82,62.12,63.81,2654941
1998-02-10 20:00:00,63.81,64.44,63.25,63.43,1799953
1998-02-11 16:00:00,63.19,64.06,62.56,62.75,1740542
1998-02-11 20:00:00,62.69,62.82,62.31,62.69,1039309
1998-02-12 16:00:00,62.13,62.44,60.87,61.31,1742617
1998-02-12 20:00:00,61.31,62.63,61.31,62.44,1751309
1998-02-13 16:00:00,61.81,62.25,61.75,61.88,682012
1998-02-13 20:00:00,62.0,62.0,61.43,61.75,524803
1998-02-17 16:00:00,62.88,62.94,61.69,61.81,1214724
