datetime,open,high,low,close,volume
1998-01-02 16:00:00,29.5,30.25,29.13,30.0,230804
1998-01-02 20:00:00,30.0,30.82,29.69,30.37,377800
1998-01-05 16:00:00,30.63,32.26,29.69,32.06,924902
1998-01-05 20:00:00,31.88,32.01,29.75,29.88,689400
1998-01-06 16:00:00,29.13,29.44,26.13,26.5,1668207
1998-01-06 20:00:00,26.5,27.63,26.0,26.07,1238500
1998-01-07 16:00:00,26.13,26.81,25.12,25.75,885813
1998-01-07 20:00:00,25.75,26.13,25.37,25.37,654400
1998-01-08 16:00:00,25.25,27.0,25.0,25.62,1144208
1998-01-08 20:00:00,25.69,25.76,24.31,24.57,720901
1998-01-09 16:00:00,24.88,25.51,22.38,22.88,1318214
1998-01-09 20:00:00,22.84,23.63,21.87,23.19,1027302
1998-01-12 16:00:00,22.5,25.01,22.5,23.94,884715
1998-01-12 20:00:00,23.94,24.25,23.12,23.19,605702
1998-01-13 16:00:00,24.38,25.5,23.25,25.0,1430012
1998-01-13 20:00:00,25.0,25.88,24.63,25.0,1166901
1998-01-14 16:00:00,24.88,25.26,23.75,24.44,1334310
1998-01-14 20:00:00,24.44,24.94,24.25,24.94,693100
1998-01-15 16:00:00,25.0,25.94,24.5,25.25,456405
1998-01-15 20:00:00,25.19,25.25,23.62,23.75,370501
1998-01-16 16:00:00,24.25,25.0,24.0,24.88,682900
1998-01-16 20:00:00,24.88,24.88,23.75,23.75,492104
1998-01-20 16:00:00,24.25,25.63,24.25,24.94,412301
1998-01-20 20:00:00,24.88,25.26,24.75,25.06,170500
1998-01-21 16:00:00,24.88,27.01,24.37,25.88,1353702
1998-01-21 20:00:00,25.88,26.25,24.75,25.0,524803
1998-01-22 16:00:00,23.13,24.38,22.56,23.06,2551211
1998-01-22 20:00:00,23.06,23.19,22.62,22.69,925500
1998-01-23 16:00:00,23.75,24.0,22.62,23.0,510713
1998-01-23 20:00:00,22.94,23.38,22.87,23.06,376700
1998-01-26 16:00:00,23.38,23.38,22.37,22.5,330206
1998-01-26 20:00:00,22.44,22.76,21.56,21.69,839602
1998-01-27 16:00:00,21.5,22.5,21.37,22.37,946400
1998-01-27 20:00:00,22.47,22.63,22.25,22.44,1010600
1998-01-28 16:00:00,22.5,23.56,21.87,23.35,718000
1998-01-28 20:00:00,23.25,23.25,22.25,23.0,594700
1998-01-29 16:00:00,22.63,23.38,22.12,22.56,823600
1998-01-29 20:00:00,22.56,22.63,22.38,22.5,753700
1998-01-30 16:00:00,22.75,22.94,22.5,22.88,611400
1998-01-30 20:00:00,22.75,22.88,22.75,22.81,228600
1998-02-02 16:00:00,23.38,24.31,23.19,23.94,838002
1998-02-02 20:00:00,24.0,24.19,23.62,23.68,443500
1998-02-03 16:00:00,23.81,25.63,23.19,25.25,1902603
1998-02-03 20:00:00,25.25,25.31,24.37,24.87,726000
1998-02-04 16:00:00,24.63,26.38,24.25,26.19,1257635
1998-02-04 20:00:00,26.19,26.88,25.62,25.88,820606
1998-02-05 16:00:00,26.63,27.38,25.5,25.75,1023604
1998-02-05 20:00:00,25.75,25.88,24.56,24.94,585400
1998-02-06 16:00:00,25.13,26.38,24.88,25.56,1008912
1998-02-06 20:00:00,25.63,25.63,25.25,25.32,286800
1998-02-09 16:00:00,25.75,26.0,24.87,25.26,351906
1998-02-09 20:00:00,25.13,25.69,25.06,25.38,151900
1998-02-10 16:00:00,25.38,26.69,24.87,26.44,1156019
1998-02-10 20:00:00,26.44,26.63,26.06,26.19,494100
1998-02-11 16:00:00,26.0,26.75,26.0,26.5,846412
1998-02-11 20:00:00,26.69,26.69,26.12,26.25,478201
1998-02-12 16:00:00,27.25,28.13,27.12,27.81,1795124
1998-02-12 20:00:00,27.81,29.13,27.81,28.5,1451003
1998-02-13 16:00:00,27.0,28.75,26.87,28.38,2180507
1998-02-13 20:00:00,28.38,29.19,28.31,28.91,779700
1998-02-17 16:00:00,28.63,28.94,28.31,28.56,1254313
1998-02-17 20:00:00,28.5,28.81,28.43,28.5,766200
1998-02-18 16:00:00,28.38,29.57,28.37,29.37,815501
1998-02-18 20:00:00,29.38,29.38,28.93,29.31,555200
1998-02-19 16:00:00,29.56,30.82,29.5,30.57,806604
1998-02-19 20:00:00,30.5,31.19,29.37,29.38,804000
1998-02-20 16:00:00,29.75,30.25,27.87,28.38,1048103
1998-02-20 20:00:00,28.38,29.76,28.25,28.5,749101
1998-02-23 16:00:00,29.0,29.44,28.25,29.38,493800
1998-02-23 20:00:00,29.38,29.76,29.31,29.76,402500
1998-02-24 16:00:00,29.5,29.5,28.5,28.75,577303
1998-02-24 20:00:00,28.75,28.88,27.75,27.82,631600
1998-02-25 16:00:00,28.5,29.12,27.87,29.0,620010
1998-02-25 20:00:00,28.94,29.94,28.94,29.63,600807
1998-02-26 16:00:00,29.75,30.25,29.19,29.69,509517
1998-02-26 20:00:00,29.75,30.01,29.63,29.88,386200
1998-02-27 16:00:00,29.5,29.63,29.13,29.44,312304
1998-02-27 20:00:00,29.38,29.5,28.25,28.25,361105
1998-03-02 16:00:00,28.31,28.5,27.37,27.75,750509
1998-03-02 20:00:00,27.75,27.88,27.62,27.69,319400
1998-03-03 16:00:00,27.63,28.63,27.13,28.44,796401
1998-03-03 20:00:00,28.44,28.63,28.25,28.44,383500
1998-03-04 16:00:00,28.44,29.13,28.25,28.5,817409
1998-03-04 20:00:00,28.56,28.63,28.31,28.56,348300
1998-03-05 16:00:00,27.44,27.88,27.12,27.31,852211
1998-03-05 20:00:00,27.31,27.38,26.37,26.88,780100
1998-03-06 16:00:00,27.0,27.75,26.87,27.5,748902
1998-03-06 20:00:00,27.5,27.63,26.38,26.5,738500
1998-03-09 16:00:00,26.25,26.51,25.88,25.94,479900
1998-03-09 20:00:00,26.0,26.13,25.25,25.5,501200
1998-03-10 16:00:00,25.69,26.63,25.5,26.0,313800
1998-03-10 20:00:00,26.0,26.76,26.0,26.75,188200
1998-03-11 16:00:00,27.13,27.26,25.87,26.06,428904
1998-03-11 20:00:00,26.19,26.56,25.87,26.56,645300
1998-03-12 16:00:00,26.5,26.63,26.12,26.63,1259502
1998-03-12 20:00:00,26.63,27.13,26.44,26.88,589100
1998-03-13 16:00:00,26.88,27.63,26.75,27.19,195605
1998-03-13 20:00:00,27.25,27.38,27.0,27.25,138601
1998-03-16 16:00:00,27.25,27.38,26.87,27.13,98100
1998-03-16 20:00:00,26.94,27.13,26.94,27.13,75700
1998-03-17 16:00:00,27.13,27.38,26.07,26.44,443502
1998-03-17 20:00:00,26.38,27.13,26.25,27.13,328403
1998-03-18 16:00:00,27.0,28.13,26.87,27.19,434900
1998-03-18 20:00:00,27.19,27.38,27.12,27.19,349000
1998-03-19 16:00:00,27.19,27.76,27.0,27.38,250102
1998-03-19 20:00:00,27.5,28.62,27.44,28.62,443202
1998-03-20 16:00:00,28.56,28.62,27.0,27.25,749004
1998-03-20 20:00:00,27.31,27.38,26.87,27.01,652700
1998-03-23 16:00:00,26.75,27.5,26.75,27.25,385104
1998-03-23 20:00:00,27.25,27.51,26.94,27.0,276700
1998-03-24 16:00:00,27.06,27.19,26.5,27.13,407701
1998-03-24 20:00:00,27.0,27.13,26.62,26.69,353300
1998-03-25 16:00:00,28.0,28.63,27.5,28.38,952808
1998-03-25 20:00:00,28.25,28.5,26.75,27.25,652900
1998-03-26 16:00:00,27.5,27.63,26.56,27.44,404200
1998-03-26 20:00:00,27.44,28.0,27.44,27.5,144100
1998-03-27 16:00:00,27.63,28.25,27.56,28.0,253200
1998-03-27 20:00:00,27.88,28.38,27.5,28.38,264200
1998-03-30 16:00:00,28.13,28.88,28.13,28.63,229602
1998-03-30 20:00:00,28.5,28.63,28.25,28.38,182800
1998-03-31 16:00:00,28.25,28.81,28.12,28.62,92000
1998-03-31 20:00:00,28.69,28.75,28.0,28.13,224700
1998-04-01 16:00:00,27.88,30.38,27.62,30.25,1142207
1998-04-01 20:00:00,30.06,30.76,30.0,30.37,670702
1998-04-02 16:00:00,30.25,31.63,30.12,31.19,1074606
1998-04-02 20:00:00,31.19,31.38,31.06,31.13,815600
1998-04-03 16:00:00,31.19,31.38,30.37,30.56,494103
1998-04-03 20:00:00,30.63,31.43,30.57,31.25,615600
1998-04-06 16:00:00,31.25,31.25,29.75,29.94,549400
1998-04-06 20:00:00,29.88,30.26,29.5,29.94,605500
1998-04-07 16:00:00,29.75,29.75,28.44,29.0,665105
1998-04-07 20:00:00,29.06,29.25,28.31,28.75,472300
1998-04-08 16:00:00,28.56,29.13,28.5,28.88,236100
1998-04-08 20:00:00,28.81,28.88,28.31,28.75,121700
1998-04-09 16:00:00,28.88,29.76,28.87,29.44,669809
1998-04-09 20:00:00,29.5,29.5,28.75,29.12,614300
1998-04-13 16:00:00,29.13,29.13,28.38,28.63,290800
1998-04-13 20:00:00,28.63,29.51,28.44,29.5,235200
1998-04-14 16:00:00,29.25,29.88,28.63,29.81,370000
1998-04-14 20:00:00,29.88,31.25,29.81,30.06,776703
1998-04-15 16:00:00,30.25,31.38,29.25,30.75,880308
1998-04-15 20:00:00,31.0,31.13,30.37,31.06,368700
1998-04-16 16:00:00,30.63,30.63,29.38,30.5,625303
1998-04-16 20:00:00,30.5,30.88,29.75,30.07,299701
1998-04-17 16:00:00,29.75,30.63,29.5,29.88,322900
1998-04-17 20:00:00,29.94,30.26,29.94,29.94,68300
1998-04-20 16:00:00,29.75,33.01,29.75,32.0,1009601
1998-04-20 20:00:00,32.06,32.51,31.38,31.63,503400
1998-04-21 16:00:00,32.0,32.13,31.62,31.63,295400
1998-04-21 20:00:00,31.69,31.75,31.0,31.13,160200
1998-04-22 16:00:00,31.38,31.94,31.13,31.88,435700
1998-04-22 20:00:00,31.81,32.32,31.63,31.63,1183005
1998-04-23 16:00:00,31.56,31.75,30.38,30.75,454900
1998-04-23 20:00:00,30.75,30.88,30.37,30.5,410900
1998-04-24 16:00:00,30.75,31.26,30.5,31.0,541400
1998-04-24 20:00:00,30.94,31.13,30.62,31.0,359100
1998-04-27 16:00:00,30.5,31.0,30.0,30.38,545100
1998-04-27 20:00:00,30.38,30.76,30.0,30.25,285101
1998-04-28 16:00:00,30.75,30.94,30.12,30.63,221900
1998-04-28 20:00:00,30.63,30.88,30.5,30.75,188900
1998-04-29 16:00:00,30.88,30.91,30.38,30.5,361700
1998-04-29 20:00:00,30.63,30.76,30.12,30.44,299900
1998-04-30 16:00:00,31.0,31.13,30.63,30.94,389900
1998-04-30 20:00:00,30.94,31.26,30.88,31.0,370500
1998-05-01 16:00:00,30.94,31.0,29.75,29.88,353601
1998-05-01 20:00:00,29.81,30.51,29.56,30.13,350900
1998-05-04 16:00:00,30.13,32.38,30.13,31.63,1289305
1998-05-04 20:00:00,31.69,31.81,31.13,31.19,335600
1998-05-05 16:00:00,31.25,32.13,31.25,31.5,392906
1998-05-05 20:00:00,31.44,31.88,31.12,31.12,392000
1998-05-06 16:00:00,31.5,31.5,30.44,30.69,377901
1998-05-06 20:00:00,30.69,30.88,29.94,30.19,252202
1998-05-07 16:00:00,30.25,30.26,29.5,29.63,364100
1998-05-07 20:00:00,29.75,29.87,28.87,29.0,561602
1998-05-08 16:00:00,29.06,30.13,29.0,29.75,275400
1998-05-08 20:00:00,29.75,29.82,29.25,29.62,347000
1998-05-11 16:00:00,29.88,30.26,29.12,29.25,296500
1998-05-11 20:00:00,29.31,29.88,28.87,28.88,183700
1998-05-12 16:00:00,28.75,29.0,28.0,28.25,260202
1998-05-12 20:00:00,28.25,28.76,28.0,28.75,429700
1998-05-13 16:00:00,28.88,29.63,28.75,29.37,298500
1998-05-13 20:00:00,29.47,29.88,29.0,29.06,322200
1998-05-14 16:00:00,28.75,29.25,28.5,29.0,147600
1998-05-14 20:00:00,28.88,28.94,27.75,27.75,243402
1998-05-15 16:00:00,27.5,27.75,26.38,26.38,775305
1998-05-15 20:00:00,26.44,26.51,25.87,26.0,611901
1998-05-18 16:00:00,25.94,26.01,25.25,25.63,709600
1998-05-18 20:00:00,25.75,26.88,25.63,26.25,397603
