datetime,open,high,low,close,volume
2001-06-13 16:00:00,31.5,32.0,31.19,31.5,44156400
2001-06-13 20:00:00,31.51,31.51,31.09,31.25,22256000
2001-06-14 16:00:00,31.0,31.0,29.5,30.04,26318770
2001-06-14 20:00:00,30.04,30.37,30.04,30.15,4723150
2001-06-15 16:00:00,30.0,30.75,29.95,30.69,8160440
2001-06-15 20:00:00,30.69,30.69,30.43,30.6,5444300
2001-06-18 16:00:00,30.06,30.6,30.06,30.3,2855400
2001-06-18 20:00:00,30.29,30.45,30.11,30.32,1029900
2001-06-19 16:00:00,30.68,30.79,30.39,30.55,2782530
2001-06-19 20:00:00,30.54,30.63,30.32,30.32,2237060
2001-06-20 16:00:00,30.43,30.62,30.34,30.42,1935860
2001-06-20 20:00:00,30.42,30.43,30.21,30.27,1703390
2001-06-21 16:00:00,30.34,30.34,30.0,30.02,1627440
2001-06-21 20:00:00,30.01,30.05,30.0,30.01,2642650
2001-06-22 16:00:00,30.03,30.05,30.03,30.04,1887220
2001-06-22 20:00:00,30.04,30.04,29.79,29.97,2248870
2001-06-25 16:00:00,30.0,30.07,29.85,30.05,1457700
2001-06-25 20:00:00,30.06,30.15,30.02,30.15,904500
2001-06-26 16:00:00,30.01,30.09,29.82,29.96,1983080
2001-06-26 20:00:00,29.96,30.08,29.96,30.03,1199300
2001-06-27 16:00:00,29.95,29.96,29.81,29.9,2005300
2001-06-27 20:00:00,29.91,30.0,29.9,29.94,1013000
2001-06-28 16:00:00,29.98,30.22,29.97,30.21,1257100
2001-06-28 20:00:00,30.2,30.44,30.2,30.41,1131600
2001-06-29 16:00:00,30.5,30.86,30.33,30.8,2030000
2001-06-29 20:00:00,30.8,31.01,30.5,31.0,2101990
2001-07-02 16:00:00,30.7,30.7,30.45,30.48,1997900
2001-07-02 20:00:00,30.48,30.53,30.42,30.47,1126480
2001-07-03 16:00:00,30.46,30.64,30.42,30.56,579980
2001-07-03 20:00:00,30.57,30.57,30.56,30.57,11300
2001-07-05 16:00:00,30.75,30.99,30.63,30.94,828700
2001-07-05 20:00:00,30.94,31.03,30.85,30.93,1028790
2001-07-06 16:00:00,30.98,30.98,30.55,30.61,461100
2001-07-06 20:00:00,30.67,30.77,30.5,30.65,259800
2001-07-09 16:00:00,30.6,30.74,30.26,30.47,1690900
2001-07-09 20:00:00,30.49,30.65,30.25,30.38,530670
2001-07-10 16:00:00,30.45,30.85,30.28,30.64,2238500
2001-07-10 20:00:00,30.64,30.68,30.34,30.35,871600
2001-07-11 16:00:00,30.41,30.41,30.04,30.23,1455420
2001-07-11 20:00:00,30.22,30.28,30.14,30.25,504010
2001-07-12 16:00:00,30.69,30.69,30.24,30.49,846880
2001-07-12 20:00:00,30.49,30.93,30.45,30.86,953890
2001-07-13 16:00:00,30.9,30.9,30.46,30.85,622800
2001-07-13 20:00:00,30.85,30.98,30.65,30.73,271000
2001-07-16 16:00:00,30.71,30.99,30.63,30.94,674700
2001-07-16 20:00:00,30.94,30.97,30.69,30.73,416880
2001-07-17 16:00:00,30.9,31.25,30.86,31.24,2014850
2001-07-17 20:00:00,31.25,31.45,31.18,31.44,1508290
2001-07-18 16:00:00,31.45,31.48,30.8,30.91,3950890
2001-07-18 20:00:00,30.91,31.49,30.87,31.49,1499650
2001-07-19 16:00:00,31.74,31.74,30.19,31.02,2058330
2001-07-19 20:00:00,31.02,31.39,31.0,31.32,1073250
2001-07-20 16:00:00,31.28,31.37,31.03,31.14,826330
2001-07-20 20:00:00,31.14,31.22,31.09,31.17,403750
2001-07-23 16:00:00,31.1,31.1,30.92,31.04,789400
2001-07-23 20:00:00,31.04,31.19,30.96,31.0,843000
2001-07-24 16:00:00,31.18,31.18,30.9,31.0,547700
2001-07-24 20:00:00,31.0,31.19,31.0,31.07,466910
2001-07-25 16:00:00,31.0,31.0,30.5,30.54,555630
2001-07-25 20:00:00,30.53,30.9,30.5,30.7,248320
2001-07-26 16:00:00,30.95,31.11,30.62,31.04,996500
2001-07-26 20:00:00,31.04,31.19,30.94,31.12,803200
2001-07-27 16:00:00,31.2,31.2,30.81,31.14,1175450
2001-07-27 20:00:00,31.09,31.09,30.89,30.91,288430
2001-07-30 16:00:00,31.09,31.1,30.6,30.68,720900
2001-07-30 20:00:00,30.7,30.77,30.5,30.6,465090
2001-07-31 16:00:00,30.43,31.08,30.43,30.99,1184060
2001-07-31 20:00:00,30.98,31.05,30.48,31.02,695750
