datetime,open,high,low,close,volume
1998-01-02 16:00:00,74.56,74.63,74.06,74.5,99500
1998-01-02 20:00:00,74.44,74.56,74.38,74.5,63900
1998-01-05 16:00:00,74.69,75.88,74.56,75.63,148702
1998-01-05 20:00:00,75.56,75.56,74.56,75.0,90800
1998-01-06 16:00:00,74.88,75.13,74.5,75.0,185900
1998-01-06 20:00:00,75.06,76.69,74.94,76.31,243200
1998-01-07 16:00:00,75.75,75.75,74.56,74.69,78500
1998-01-07 20:00:00,74.69,74.88,73.94,74.44,85500
1998-01-08 16:00:00,74.69,74.94,73.69,73.75,100200
1998-01-08 20:00:00,73.63,73.94,73.25,73.38,78100
1998-01-09 16:00:00,73.0,73.0,71.88,72.13,159500
1998-01-09 20:00:00,72.0,72.19,70.5,70.88,119400
1998-01-12 16:00:00,70.0,71.26,69.56,71.12,190501
1998-01-12 20:00:00,71.19,71.94,70.75,71.63,122200
1998-01-13 16:00:00,72.5,72.94,72.0,72.25,110100
1998-01-13 20:00:00,72.31,72.44,72.06,72.38,62300
1998-01-14 16:00:00,72.75,73.13,72.63,72.75,142900
1998-01-14 20:00:00,72.69,73.0,72.68,72.94,56900
1998-01-15 16:00:00,72.94,72.94,71.12,71.25,69000
1998-01-15 20:00:00,71.13,71.75,71.0,71.69,86400
1998-01-16 16:00:00,72.5,73.25,72.38,73.13,173400
1998-01-16 20:00:00,73.13,73.31,72.88,73.06,66500
1998-01-20 16:00:00,73.06,73.63,72.94,73.0,86800
1998-01-20 20:00:00,73.06,74.88,72.75,74.75,109700
1998-01-21 16:00:00,74.44,74.94,73.5,73.56,107200
1998-01-21 20:00:00,73.56,73.63,72.69,73.63,109200
1998-01-22 16:00:00,73.25,73.25,72.69,72.88,50300
1998-01-22 20:00:00,72.75,73.0,72.37,72.51,48500
1998-01-23 16:00:00,72.5,72.5,71.06,71.75,124300
1998-01-23 20:00:00,71.75,72.5,71.69,72.38,65100
1998-01-26 16:00:00,72.31,72.76,71.38,71.63,108900
1998-01-26 20:00:00,71.69,72.0,71.19,71.94,160300
1998-01-27 16:00:00,72.31,72.88,72.0,72.13,109100
1998-01-27 20:00:00,72.19,72.63,72.0,72.44,332700
1998-01-28 16:00:00,72.44,73.5,72.44,73.0,232700
1998-01-28 20:00:00,73.06,73.13,72.75,72.75,216000
1998-01-29 16:00:00,72.81,74.88,72.75,74.13,177200
1998-01-29 20:00:00,74.19,74.94,73.81,74.44,122200
1998-01-30 16:00:00,74.5,74.76,73.94,74.31,111800
1998-01-30 20:00:00,74.31,74.31,73.88,74.0,76900
1998-02-02 16:00:00,73.88,75.94,73.63,75.19,287100
1998-02-02 20:00:00,75.19,75.63,74.81,75.32,147501
1998-02-03 16:00:00,75.0,75.25,74.81,75.19,81500
1998-02-03 20:00:00,75.13,75.31,75.0,75.25,74300
1998-02-04 16:00:00,74.75,75.31,74.75,75.19,139400
1998-02-04 20:00:00,75.25,75.38,74.94,75.18,120100
1998-02-05 16:00:00,75.06,75.75,74.44,74.94,93900
1998-02-05 20:00:00,75.0,75.19,74.88,74.94,57900
1998-02-06 16:00:00,75.25,75.5,75.0,75.19,72900
1998-02-06 20:00:00,75.13,75.25,74.88,75.13,49400
1998-02-09 16:00:00,75.06,75.69,74.94,75.25,89100
1998-02-09 20:00:00,75.25,75.69,75.06,75.38,72100
1998-02-10 16:00:00,75.56,77.06,75.56,76.75,145900
1998-02-10 20:00:00,76.88,76.94,75.63,75.75,192400
1998-02-11 16:00:00,75.56,77.25,75.25,76.13,239601
1998-02-11 20:00:00,76.06,79.0,76.06,79.0,549000
1998-02-12 16:00:00,78.75,79.44,78.75,79.31,301802
1998-02-12 20:00:00,79.31,80.75,79.31,80.75,369200
1998-02-13 16:00:00,80.25,80.56,78.81,79.13,201602
1998-02-13 20:00:00,79.19,79.75,78.88,79.75,111200
1998-02-17 16:00:00,80.5,81.75,80.0,80.44,240601
1998-02-17 20:00:00,80.38,81.19,80.12,81.19,187500
1998-02-18 16:00:00,81.0,83.13,80.94,82.5,212300
1998-02-18 20:00:00,82.63,82.88,81.75,82.18,124600
1998-02-19 16:00:00,82.13,83.0,81.87,83.0,240200
1998-02-19 20:00:00,82.88,83.38,82.75,83.13,242500
1998-02-20 16:00:00,83.44,83.44,82.69,83.44,232900
1998-02-20 20:00:00,83.44,84.69,83.38,84.69,223400
1998-02-23 16:00:00,84.69,86.0,84.0,85.56,383605
1998-02-23 20:00:00,85.56,86.5,85.31,85.75,128702
1998-02-24 16:00:00,85.88,86.25,84.88,86.06,279900
1998-02-24 20:00:00,86.13,86.13,84.94,85.0,277700
1998-02-25 16:00:00,85.0,85.44,84.97,85.19,204700
1998-02-25 20:00:00,85.19,85.38,85.0,85.19,111500
1998-02-26 16:00:00,85.0,85.69,84.69,85.69,136101
1998-02-26 20:00:00,85.69,86.94,85.69,86.13,162400
1998-02-27 16:00:00,85.88,86.44,85.88,86.44,162700
1998-02-27 20:00:00,86.63,87.51,86.25,86.56,169300
1998-03-02 16:00:00,86.56,87.25,86.0,86.62,101400
1998-03-02 20:00:00,86.69,86.69,85.88,86.31,100600
1998-03-03 16:00:00,86.06,87.13,86.06,86.63,110400
1998-03-03 20:00:00,86.63,87.07,86.63,86.75,52100
1998-03-04 16:00:00,86.56,86.63,85.88,85.94,110500
1998-03-04 20:00:00,85.94,86.06,85.75,85.75,116700
1998-03-05 16:00:00,85.38,85.44,83.75,83.75,206000
1998-03-05 20:00:00,83.75,84.56,83.25,84.38,183200
1998-03-06 16:00:00,84.0,85.44,84.0,85.38,188000
1998-03-06 20:00:00,85.44,87.38,85.38,86.5,84400
1998-03-09 16:00:00,86.5,88.5,86.5,88.44,286800
1998-03-09 20:00:00,88.38,88.38,87.5,87.56,92800
1998-03-10 16:00:00,87.63,88.38,87.25,88.06,303600
1998-03-10 20:00:00,88.0,88.75,88.0,88.5,88600
1998-03-11 16:00:00,88.81,89.94,88.75,89.63,151704
1998-03-11 20:00:00,89.69,90.31,89.19,90.31,192100
1998-03-12 16:00:00,89.94,91.75,89.25,91.25,235400
1998-03-12 20:00:00,91.31,92.5,91.13,91.44,180100
1998-03-13 16:00:00,91.06,92.25,90.75,91.88,160601
1998-03-13 20:00:00,91.81,92.19,91.0,91.13,121800
1998-03-16 16:00:00,91.0,91.88,90.81,91.81,122500
1998-03-16 20:00:00,91.81,92.13,91.37,91.88,113200
1998-03-17 16:00:00,91.0,91.25,89.94,91.0,325200
1998-03-17 20:00:00,90.88,91.0,90.38,90.69,49100
1998-03-18 16:00:00,90.0,90.94,90.0,90.5,104700
1998-03-18 20:00:00,90.44,90.5,89.81,90.25,67500
1998-03-19 16:00:00,90.75,91.13,90.63,90.81,146400
1998-03-19 20:00:00,90.81,91.44,90.75,90.81,155400
1998-03-20 16:00:00,91.19,91.19,89.88,90.5,229400
1998-03-20 20:00:00,90.56,90.81,90.31,90.75,95200
1998-03-23 16:00:00,90.88,91.25,89.07,90.06,129700
1998-03-23 20:00:00,90.06,90.07,89.0,89.0,130700
1998-03-24 16:00:00,89.0,89.19,88.38,89.13,261400
1998-03-24 20:00:00,89.13,89.75,89.13,89.38,211800
1998-03-25 16:00:00,90.0,90.94,89.56,90.75,182400
1998-03-25 20:00:00,90.88,90.88,89.25,89.56,105500
1998-03-26 16:00:00,89.38,89.38,88.0,88.56,162000
1998-03-26 20:00:00,88.63,88.63,88.0,88.12,139600
1998-03-27 16:00:00,87.94,88.13,85.94,87.5,510900
1998-03-27 20:00:00,87.5,88.25,86.88,87.5,232600
1998-03-30 16:00:00,87.0,87.0,85.88,86.75,865700
1998-03-30 20:00:00,86.75,86.75,86.13,86.25,127900
1998-03-31 16:00:00,86.13,88.51,86.13,88.38,445801
1998-03-31 20:00:00,88.31,88.38,87.0,87.37,157000
1998-04-01 16:00:00,87.56,87.88,87.13,87.81,130500
1998-04-01 20:00:00,87.88,88.0,87.44,87.81,94700
1998-04-02 16:00:00,87.63,88.44,87.25,88.0,259900
1998-04-02 20:00:00,88.06,88.31,87.94,88.31,115900
1998-04-03 16:00:00,88.5,90.13,88.5,90.06,365200
1998-04-03 20:00:00,90.13,90.75,89.5,90.5,187600
1998-04-06 16:00:00,90.38,91.63,90.38,91.31,244000
1998-04-06 20:00:00,91.38,91.56,91.0,91.13,168900
1998-04-07 16:00:00,90.63,91.38,90.63,91.25,185400
1998-04-07 20:00:00,91.19,91.25,88.38,88.81,200600
1998-04-08 16:00:00,89.25,90.25,89.25,89.37,104300
1998-04-08 20:00:00,89.38,89.38,87.94,88.38,163001
1998-04-09 16:00:00,88.44,89.94,88.25,89.82,176300
1998-04-09 20:00:00,89.81,89.81,88.87,89.25,135700
1998-04-13 16:00:00,89.56,90.25,89.06,90.06,120800
1998-04-13 20:00:00,90.0,90.25,89.75,89.94,137400
1998-04-14 16:00:00,90.06,90.69,90.06,90.5,120700
1998-04-14 20:00:00,90.44,91.13,90.38,91.13,187800
1998-04-15 16:00:00,91.13,91.38,90.31,91.38,145500
1998-04-15 20:00:00,91.38,92.13,91.31,91.88,199500
1998-04-16 16:00:00,91.75,92.06,91.25,91.57,214900
1998-04-16 20:00:00,91.56,91.75,91.0,91.56,99000
1998-04-17 16:00:00,91.56,92.51,91.5,92.19,185900
1998-04-17 20:00:00,92.13,93.0,91.62,92.5,159501
1998-04-20 16:00:00,92.56,93.63,92.56,93.13,158901
1998-04-20 20:00:00,93.13,93.44,92.94,93.44,148400
1998-04-21 16:00:00,93.44,93.44,92.75,93.0,199000
1998-04-21 20:00:00,93.13,94.44,93.0,94.0,188700
1998-04-22 16:00:00,94.0,94.88,93.44,94.88,146900
1998-04-22 20:00:00,94.81,94.88,93.38,93.44,97600
1998-04-23 16:00:00,93.25,93.44,92.13,92.94,77400
1998-04-23 20:00:00,92.94,92.94,91.56,91.94,169900
1998-04-24 16:00:00,91.25,91.88,91.13,91.19,74300
1998-04-24 20:00:00,91.25,91.38,89.75,90.25,117400
