datetime,open,high,low,close,volume
2004-10-25 16:00:00,15.0,15.18,14.95,15.03,345600
2004-10-25 20:00:00,15.04,15.09,14.8,15.06,212600
2004-10-26 16:00:00,15.05,15.08,14.81,14.88,376400
2004-10-26 20:00:00,14.87,15.17,14.85,15.15,404700
2004-10-27 16:00:00,15.14,15.16,14.9,15.0,414300
2004-10-27 20:00:00,15.0,15.05,14.9,15.05,411800
2004-10-28 16:00:00,15.03,15.05,14.84,14.93,537000
2004-10-28 20:00:00,14.95,15.02,14.87,14.96,487700
2004-10-29 16:00:00,14.93,15.05,14.83,14.88,425000
2004-10-29 20:00:00,14.88,15.02,14.84,14.97,530400
2004-11-01 16:00:00,15.4,15.42,15.05,15.08,365400
2004-11-01 20:00:00,15.08,15.15,15.05,15.11,437800
2004-11-02 16:00:00,15.1,15.2,15.06,15.18,312000
2004-11-02 20:00:00,15.17,15.2,15.0,15.07,354900
2004-11-03 16:00:00,15.28,15.51,15.22,15.47,495400
2004-11-03 20:00:00,15.48,15.48,15.28,15.41,423300
2004-11-04 16:00:00,15.65,15.8,15.5,15.6,240000
2004-11-04 20:00:00,15.61,16.17,15.55,15.85,383500
2004-11-05 16:00:00,16.1,16.2,15.85,15.97,737800
2004-11-05 20:00:00,15.96,16.21,15.95,16.15,655600
2004-11-08 16:00:00,16.42,16.51,16.27,16.46,519800
2004-11-08 20:00:00,16.45,16.62,16.45,16.61,305800
2004-11-09 16:00:00,16.73,16.74,16.24,16.35,408400
2004-11-09 20:00:00,16.35,16.45,16.31,16.43,681900
2004-11-10 16:00:00,16.65,16.7,16.1,16.25,739600
2004-11-10 20:00:00,16.25,16.26,16.0,16.15,459800
2004-11-11 16:00:00,16.3,16.3,16.1,16.24,163500
2004-11-11 20:00:00,16.24,16.3,16.19,16.22,368600
2004-11-12 16:00:00,16.35,16.35,16.15,16.25,163500
2004-11-12 20:00:00,16.26,16.29,16.12,16.25,890100
2004-11-15 16:00:00,16.25,16.3,16.0,16.15,239100
2004-11-15 20:00:00,16.15,16.19,16.06,16.15,249800
2004-11-16 16:00:00,16.1,16.1,15.62,15.92,376200
2004-11-16 20:00:00,15.92,16.0,15.88,15.93,306200
2004-11-17 16:00:00,15.92,16.29,15.9,16.1,429200
2004-11-17 20:00:00,16.1,16.33,15.97,16.32,369400
2004-11-18 16:00:00,16.2,16.49,16.2,16.25,268100
2004-11-18 20:00:00,16.26,16.4,16.11,16.36,409900
2004-11-19 16:00:00,16.35,16.36,16.2,16.23,144100
2004-11-19 20:00:00,16.23,16.3,16.15,16.25,432600
2004-11-22 16:00:00,16.34,16.35,16.07,16.1,682000
2004-11-22 20:00:00,16.1,16.24,15.96,16.23,414000
2004-11-23 16:00:00,16.3,16.37,16.15,16.2,419000
2004-11-23 20:00:00,16.2,16.32,16.16,16.3,565900
2004-11-24 16:00:00,16.25,16.98,16.25,16.92,688500
2004-11-24 20:00:00,16.9,17.2,16.87,17.17,722200
2004-11-26 16:00:00,17.2,17.45,17.12,17.45,294400
2004-11-26 20:00:00,17.45,17.48,17.45,17.48,7300
2004-11-29 16:00:00,17.5,17.5,16.89,17.2,365600
2004-11-29 20:00:00,17.14,17.35,17.07,17.27,328700
2004-11-30 16:00:00,17.3,17.56,17.27,17.51,549400
2004-11-30 20:00:00,17.48,17.5,17.3,17.38,545300
2004-12-01 16:00:00,17.5,18.0,17.46,17.94,966600
2004-12-01 20:00:00,17.94,18.22,17.9,18.18,629000
2004-12-02 16:00:00,18.23,18.58,18.15,18.31,862600
2004-12-02 20:00:00,18.32,18.38,18.2,18.2,674300
2004-12-03 16:00:00,18.38,18.45,18.25,18.37,354000
2004-12-03 20:00:00,18.38,18.47,18.34,18.41,326800
2004-12-06 16:00:00,18.48,18.49,18.13,18.28,1728200
2004-12-06 20:00:00,18.25,18.31,18.2,18.22,238700
2004-12-07 16:00:00,18.23,18.28,17.61,17.69,397800
2004-12-07 20:00:00,17.67,17.82,17.25,17.61,666400
2004-12-08 16:00:00,17.55,17.6,17.07,17.37,409000
2004-12-08 20:00:00,17.39,17.5,17.25,17.44,189700
2004-12-09 16:00:00,17.65,17.65,17.15,17.35,895100
2004-12-09 20:00:00,17.34,17.63,17.25,17.59,286400
2004-12-10 16:00:00,17.45,17.65,17.36,17.41,265600
2004-12-10 20:00:00,17.42,17.55,17.39,17.45,168400
2004-12-13 16:00:00,17.38,17.9,17.38,17.9,264200
2004-12-13 20:00:00,17.89,18.19,17.75,18.15,445000
2004-12-14 16:00:00,18.1,18.37,18.01,18.01,530300
