datetime,open,high,low,close,volume
1998-06-01 16:00:00,508.0,508.0,507.38,507.75,13790
1998-06-01 20:00:00,507.75,507.75,507.75,507.75,80
1998-06-02 16:00:00,508.0,509.38,508.0,509.38,1520
1998-06-02 20:00:00,509.38,509.38,509.25,509.25,30
1998-06-03 16:00:00,508.88,509.13,508.63,508.63,1690
1998-06-03 20:00:00,508.63,508.88,508.63,508.88,420
1998-06-04 16:00:00,509.13,510.0,509.0,509.75,2320
1998-06-04 20:00:00,510.0,510.25,510.0,510.25,320
1998-06-05 16:00:00,510.25,511.0,510.0,510.75,2010
1998-06-05 20:00:00,511.0,512.5,511.0,512.5,1120
1998-06-08 16:00:00,514.0,517.63,514.0,515.0,670
1998-06-08 20:00:00,514.13,514.13,514.0,514.0,4880
1998-06-09 16:00:00,513.88,514.0,513.25,513.63,7670
1998-06-09 20:00:00,513.63,513.88,513.63,513.88,800
1998-06-10 16:00:00,514.0,514.69,514.0,514.69,1270
1998-06-10 20:00:00,514.88,518.5,514.88,518.19,6470
1998-06-11 16:00:00,518.19,518.19,518.0,518.0,440
1998-06-11 20:00:00,517.88,518.0,517.0,518.0,2450
1998-06-12 16:00:00,517.75,517.81,516.0,516.75,16480
1998-06-12 20:00:00,516.94,516.94,516.5,516.81,3740
1998-06-15 16:00:00,516.31,516.75,516.13,516.56,4470
1998-06-15 20:00:00,516.63,516.81,516.44,516.63,8940
1998-06-16 16:00:00,519.25,519.25,519.0,519.0,6890
1998-06-16 20:00:00,519.06,519.38,518.75,519.38,4560
1998-06-17 16:00:00,519.25,519.63,519.0,519.5,2080
1998-06-17 20:00:00,519.5,519.5,519.12,519.5,880
1998-06-18 16:00:00,519.75,520.88,519.63,520.88,3290
1998-06-18 20:00:00,520.63,522.5,520.25,522.5,4610
1998-06-19 16:00:00,522.38,522.38,521.38,521.38,1470
1998-06-19 20:00:00,521.38,521.38,520.88,521.0,520
1998-06-22 16:00:00,521.5,521.5,520.0,520.0,4130
1998-06-22 20:00:00,519.75,520.0,519.75,520.0,600
1998-06-23 16:00:00,519.63,519.75,519.13,519.13,3050
1998-06-23 20:00:00,519.13,519.38,519.0,519.38,180
1998-06-24 16:00:00,519.38,519.63,519.0,519.0,830
1998-06-24 20:00:00,519.0,527.0,519.0,527.0,6960
1998-06-25 16:00:00,526.75,526.75,524.75,525.25,5340
1998-06-25 20:00:00,525.0,531.5,525.0,531.5,4380
1998-06-26 16:00:00,534.13,537.13,532.0,537.13,2860
1998-06-26 20:00:00,537.63,537.75,535.81,537.75,1650
1998-06-29 16:00:00,540.75,541.63,540.5,541.31,2610
1998-06-29 20:00:00,541.31,544.5,541.31,544.5,1040
1998-06-30 16:00:00,545.5,548.0,545.5,545.56,5730
1998-06-30 20:00:00,545.31,554.0,545.0,554.0,13910
1998-07-01 16:00:00,552.75,552.75,548.0,548.5,6710
1998-07-01 20:00:00,548.0,548.0,546.0,546.0,1100
1998-07-02 16:00:00,546.0,549.0,543.0,544.0,4540
1998-07-02 20:00:00,544.0,547.0,542.0,546.0,3790
1998-07-06 16:00:00,550.5,550.88,550.5,550.63,3120
1998-07-06 20:00:00,551.63,555.5,551.63,554.13,1960
