datetime,open,high,low,close,volume
1998-01-02 16:00:00,69.75,70.13,68.38,69.75,178100
1998-01-02 20:00:00,69.94,70.26,69.44,69.5,194900
1998-01-05 16:00:00,69.75,70.0,69.37,69.81,220400
1998-01-05 20:00:00,69.81,70.0,69.5,69.94,155800
1998-01-06 16:00:00,69.63,69.76,68.63,69.38,166400
1998-01-06 20:00:00,68.94,69.26,68.5,68.63,186700
1998-01-07 16:00:00,68.88,68.88,66.12,66.75,277000
1998-01-07 20:00:00,66.63,66.88,65.87,66.5,187900
1998-01-08 16:00:00,66.25,66.63,64.87,65.44,264100
1998-01-08 20:00:00,65.5,65.63,65.37,65.47,108300
1998-01-09 16:00:00,65.5,65.63,62.75,62.88,359600
1998-01-09 20:00:00,63.0,63.5,62.5,63.5,339400
1998-01-12 16:00:00,62.5,63.88,62.0,63.06,207301
1998-01-12 20:00:00,63.06,63.51,62.75,63.19,115300
1998-01-13 16:00:00,64.0,66.13,63.75,65.0,234800
1998-01-13 20:00:00,64.88,65.57,64.75,65.13,77500
1998-01-14 16:00:00,65.63,66.25,64.0,64.25,342103
1998-01-14 20:00:00,64.13,64.76,62.5,63.75,393900
1998-01-15 16:00:00,63.88,64.0,63.38,63.69,224600
1998-01-15 20:00:00,63.69,63.75,63.0,63.37,179400
1998-01-16 16:00:00,63.5,64.51,62.87,64.0,318000
1998-01-16 20:00:00,63.88,64.13,63.5,63.5,122600
1998-01-20 16:00:00,64.25,65.25,63.75,64.88,274400
1998-01-20 20:00:00,64.75,64.88,64.5,64.5,84300
1998-01-21 16:00:00,65.06,65.38,64.37,64.38,167700
1998-01-21 20:00:00,64.38,64.51,63.62,64.0,159800
1998-01-22 16:00:00,63.5,64.0,63.12,63.5,151100
1998-01-22 20:00:00,63.44,63.5,61.5,62.88,267800
1998-01-23 16:00:00,63.13,63.76,60.87,61.38,286100
1998-01-23 20:00:00,61.19,61.75,60.37,61.19,273000
1998-01-26 16:00:00,64.19,66.25,64.07,65.44,1247704
1998-01-26 20:00:00,65.63,65.63,64.37,64.44,965800
1998-01-27 16:00:00,64.5,64.76,63.87,64.56,652402
1998-01-27 20:00:00,64.5,65.0,64.38,64.82,661200
1998-01-28 16:00:00,65.13,68.44,65.0,68.13,801300
1998-01-28 20:00:00,68.13,70.01,68.0,69.94,732903
1998-01-29 16:00:00,69.88,71.13,69.62,69.88,1696600
1998-01-29 20:00:00,69.78,70.25,68.5,69.63,3172005
1998-01-30 16:00:00,68.0,68.38,67.0,67.69,993714
1998-01-30 20:00:00,67.72,67.75,67.13,67.37,1025302
1998-02-02 16:00:00,67.75,69.25,67.75,68.56,799202
1998-02-02 20:00:00,68.56,69.63,68.25,69.56,340003
1998-02-03 16:00:00,69.0,69.56,68.87,69.25,287200
1998-02-03 20:00:00,69.13,71.63,69.13,71.5,580300
1998-02-04 16:00:00,70.75,71.13,69.75,69.88,479502
1998-02-04 20:00:00,70.0,70.63,69.87,70.38,271800
1998-02-05 16:00:00,70.44,70.63,69.5,69.81,225601
1998-02-05 20:00:00,69.81,70.13,69.56,69.75,122900
1998-02-06 16:00:00,69.88,71.26,69.75,70.88,365102
1998-02-06 20:00:00,70.88,71.63,70.0,70.0,163901
1998-02-09 16:00:00,70.5,70.63,69.75,70.09,174004
1998-02-09 20:00:00,70.09,70.63,70.06,70.44,89200
1998-02-10 16:00:00,70.25,71.0,70.0,71.0,283700
1998-02-10 20:00:00,71.0,72.5,70.88,71.94,605600
1998-02-11 16:00:00,71.88,72.01,70.63,71.0,211800
1998-02-11 20:00:00,71.0,71.76,71.0,71.25,248800
1998-02-12 16:00:00,70.75,71.56,70.63,70.88,324100
1998-02-12 20:00:00,70.94,72.76,70.88,72.38,248800
1998-02-13 16:00:00,72.0,72.13,71.06,71.25,191401
1998-02-13 20:00:00,71.13,71.63,71.13,71.56,130600
1998-02-17 16:00:00,71.63,72.76,71.37,71.5,156400
1998-02-17 20:00:00,71.63,71.63,71.25,71.5,157100
1998-02-18 16:00:00,71.31,72.13,71.25,72.13,171600
1998-02-18 20:00:00,72.13,72.13,71.5,71.69,111900
1998-02-19 16:00:00,71.69,72.0,71.62,71.69,115000
1998-02-19 20:00:00,71.69,72.25,71.69,71.88,106800
1998-02-20 16:00:00,72.5,72.63,71.87,72.13,316700
1998-02-20 20:00:00,72.13,73.63,72.13,73.38,272800
1998-02-23 16:00:00,73.75,74.38,73.37,74.13,290500
1998-02-23 20:00:00,74.06,74.26,73.75,74.13,138400
1998-02-24 16:00:00,73.75,74.0,72.37,73.31,270500
1998-02-24 20:00:00,73.28,73.63,72.88,73.37,167300
1998-02-25 16:00:00,73.63,74.13,73.5,74.06,289400
1998-02-25 20:00:00,74.13,74.38,73.63,73.75,299802
1998-02-26 16:00:00,73.94,73.94,73.37,73.6,92700
1998-02-26 20:00:00,73.63,76.25,73.56,76.0,298400
1998-02-27 16:00:00,75.75,76.38,75.5,75.63,208900
1998-02-27 20:00:00,75.63,76.13,75.38,75.75,98700
1998-03-02 16:00:00,75.75,76.38,75.37,76.06,152100
1998-03-02 20:00:00,76.0,76.06,75.31,75.88,126200
1998-03-03 16:00:00,75.38,76.94,75.25,76.38,380300
1998-03-03 20:00:00,76.5,76.69,75.87,76.0,164900
1998-03-04 16:00:00,75.5,76.13,74.56,75.0,193400
1998-03-04 20:00:00,75.0,75.19,74.62,74.62,148200
1998-03-05 16:00:00,74.25,74.5,73.0,73.44,312800
1998-03-05 20:00:00,73.38,73.44,71.88,72.81,240200
1998-03-06 16:00:00,73.13,73.63,72.12,73.56,275201
1998-03-06 20:00:00,73.5,73.88,73.0,73.19,162601
1998-03-09 16:00:00,73.25,74.13,72.87,73.56,175502
1998-03-09 20:00:00,73.5,73.75,73.12,73.51,127500
1998-03-10 16:00:00,74.0,74.0,73.31,73.5,181600
1998-03-10 20:00:00,73.5,73.63,73.25,73.56,368100
1998-03-11 16:00:00,73.88,74.19,73.5,73.69,112500
1998-03-11 20:00:00,73.63,74.0,73.12,73.25,152900
1998-03-12 16:00:00,73.5,73.5,72.62,73.31,87500
1998-03-12 20:00:00,73.38,74.44,73.0,74.06,147700
1998-03-13 16:00:00,74.38,75.38,73.88,74.63,169000
1998-03-13 20:00:00,74.81,75.5,74.37,75.25,112100
1998-03-16 16:00:00,75.0,75.75,74.87,75.56,91200
1998-03-16 20:00:00,75.56,76.25,75.31,75.57,251901
1998-03-17 16:00:00,75.75,76.13,75.37,75.44,109000
1998-03-17 20:00:00,75.44,75.88,75.38,75.63,112100
