datetime,open,high,low,close,volume
1998-01-02 16:00:00,30.5,30.63,30.25,30.44,248600
1998-01-02 20:00:00,30.44,30.5,29.87,30.44,212900
1998-01-05 16:00:00,30.63,30.63,29.88,29.88,345002
1998-01-05 20:00:00,29.94,30.0,29.5,29.94,515900
1998-01-06 16:00:00,29.75,30.32,29.69,30.25,754600
1998-01-06 20:00:00,30.25,30.5,30.25,30.44,564000
1998-01-07 16:00:00,30.38,30.44,30.0,30.13,638500
1998-01-07 20:00:00,30.06,30.19,30.0,30.13,289900
1998-01-08 16:00:00,30.0,30.13,29.88,30.0,519200
1998-01-08 20:00:00,30.0,30.19,29.87,30.06,362901
1998-01-09 16:00:00,30.13,30.38,29.88,30.06,573200
1998-01-09 20:00:00,30.0,30.25,29.5,29.75,403400
1998-01-12 16:00:00,29.63,30.37,29.56,30.0,541202
1998-01-12 20:00:00,29.94,30.31,29.68,30.25,561602
1998-01-13 16:00:00,30.19,30.56,30.19,30.25,590702
1998-01-13 20:00:00,30.31,30.44,30.25,30.31,853800
1998-01-14 16:00:00,30.25,30.31,30.13,30.19,441800
1998-01-14 20:00:00,30.19,30.31,30.13,30.25,264500
1998-01-15 16:00:00,30.13,30.31,29.94,30.13,366000
1998-01-15 20:00:00,30.13,30.25,30.06,30.06,111700
1998-01-16 16:00:00,30.06,30.06,29.56,29.69,866500
1998-01-16 20:00:00,29.69,29.81,29.63,29.69,414900
1998-01-20 16:00:00,29.5,29.63,29.19,29.19,353000
1998-01-20 20:00:00,29.19,29.44,29.19,29.44,341400
1998-01-21 16:00:00,29.44,29.44,29.06,29.25,959200
1998-01-21 20:00:00,29.31,29.38,29.13,29.31,421700
1998-01-22 16:00:00,29.25,29.88,29.19,29.62,512300
1998-01-22 20:00:00,29.63,29.75,29.44,29.5,332300
1998-01-23 16:00:00,29.5,29.75,29.5,29.69,439201
1998-01-23 20:00:00,29.63,29.81,29.56,29.63,295700
1998-01-26 16:00:00,29.69,30.19,29.69,30.13,408702
1998-01-26 20:00:00,30.19,30.19,30.06,30.13,229800
1998-01-27 16:00:00,30.0,30.06,29.88,29.88,834600
1998-01-27 20:00:00,29.88,30.0,29.81,29.88,480100
1998-01-28 16:00:00,29.81,30.0,29.81,30.0,266400
1998-01-28 20:00:00,29.94,30.19,29.88,29.94,484500
1998-01-29 16:00:00,29.81,30.19,29.81,30.0,389800
1998-01-29 20:00:00,30.0,30.06,29.88,29.88,151000
1998-01-30 16:00:00,29.81,30.06,29.81,30.0,236600
1998-01-30 20:00:00,30.0,30.03,29.75,29.81,270700
1998-02-02 16:00:00,29.94,30.13,29.88,30.07,227800
1998-02-02 20:00:00,30.06,30.13,29.94,30.0,188100
1998-02-03 16:00:00,29.94,30.06,29.81,29.81,383300
1998-02-03 20:00:00,29.75,29.94,29.75,29.88,232301
1998-02-04 16:00:00,29.75,29.88,29.69,29.75,252100
1998-02-04 20:00:00,29.75,29.88,29.5,29.56,498700
1998-02-05 16:00:00,29.5,29.63,29.38,29.38,320300
1998-02-05 20:00:00,29.38,29.75,29.31,29.75,684900
1998-02-06 16:00:00,30.0,30.13,29.94,30.0,336900
1998-02-06 20:00:00,30.0,30.13,30.0,30.06,213300
1998-02-09 16:00:00,30.0,30.06,29.63,29.69,280700
1998-02-09 20:00:00,29.69,29.94,29.69,29.75,416300
1998-02-10 16:00:00,29.75,29.94,29.69,29.88,423401
1998-02-10 20:00:00,29.88,29.94,29.63,29.69,220700
1998-02-11 16:00:00,29.5,29.88,29.5,29.63,234600
1998-02-11 20:00:00,29.63,29.81,29.63,29.81,235000
1998-02-12 16:00:00,29.75,29.81,29.63,29.75,177500
1998-02-12 20:00:00,29.69,29.94,29.63,29.94,283100
1998-02-13 16:00:00,29.81,29.81,29.63,29.75,319800
1998-02-13 20:00:00,29.69,29.75,29.5,29.5,404100
1998-02-17 16:00:00,29.5,30.06,29.5,30.0,569300
1998-02-17 20:00:00,30.0,30.06,29.88,29.94,208000
1998-02-18 16:00:00,29.94,30.0,29.88,29.88,242900
1998-02-18 20:00:00,29.88,30.06,29.88,30.0,381900
1998-02-19 16:00:00,30.0,30.19,29.88,29.88,422600
1998-02-19 20:00:00,29.88,29.94,29.81,29.81,137400
1998-02-20 16:00:00,29.94,29.94,29.69,29.69,295100
1998-02-20 20:00:00,29.69,29.81,29.63,29.75,189200
1998-02-23 16:00:00,29.75,30.0,29.75,29.94,314000
1998-02-23 20:00:00,30.0,30.01,29.88,29.94,172400
1998-02-24 16:00:00,29.88,30.19,29.63,30.0,725800
1998-02-24 20:00:00,30.06,30.06,29.88,30.0,253900
1998-02-25 16:00:00,30.0,30.19,30.0,30.13,540300
1998-02-25 20:00:00,30.19,30.19,29.94,29.94,257900
1998-02-26 16:00:00,29.94,30.19,29.94,30.06,433200
1998-02-26 20:00:00,30.19,30.31,30.06,30.13,542200
1998-02-27 16:00:00,30.06,30.19,30.06,30.06,281600
1998-02-27 20:00:00,30.06,30.19,30.0,30.19,133600
1998-03-02 16:00:00,30.06,30.31,30.06,30.19,239600
1998-03-02 20:00:00,30.25,30.25,30.0,30.19,469500
1998-03-03 16:00:00,30.0,30.13,29.94,29.94,312300
1998-03-03 20:00:00,30.0,30.13,29.94,30.06,207700
1998-03-04 16:00:00,30.0,30.13,29.88,30.06,330500
1998-03-04 20:00:00,30.06,30.13,30.0,30.06,334400
1998-03-05 16:00:00,30.0,30.13,29.88,30.01,486500
1998-03-05 20:00:00,30.0,30.12,29.88,30.0,242800
1998-03-06 16:00:00,29.94,30.19,29.94,30.13,305902
1998-03-06 20:00:00,30.13,30.31,30.06,30.19,334900
1998-03-09 16:00:00,30.0,30.38,30.0,30.31,288800
1998-03-09 20:00:00,30.31,30.38,30.31,30.38,221900
