datetime,open,high,low,close,volume
2015-07-06 16:00:00,38.0,39.75,36.0,36.68,3396812
2015-07-06 20:00:00,36.66,37.5,36.29,36.71,1387997
2015-07-07 16:00:00,37.72,37.81,36.0,36.51,3541471
2015-07-07 20:00:00,36.5,36.76,36.34,36.55,3470133
2015-07-08 16:00:00,36.34,36.36,34.94,35.25,2306853
2015-07-08 20:00:00,35.25,35.26,34.53,34.68,2426463
2015-07-09 16:00:00,35.1,35.52,34.0,34.1,1781788
2015-07-09 20:00:00,34.07,34.64,33.99,34.49,1933843
2015-07-10 16:00:00,34.66,35.0,33.98,34.66,1957680
2015-07-10 20:00:00,34.7,35.19,34.3,34.89,2472164
2015-07-13 16:00:00,35.59,37.51,35.5,36.71,4134421
2015-07-13 20:00:00,36.7,37.08,36.6,36.82,2723683
2015-07-14 16:00:00,36.57,37.74,36.57,37.02,2001202
2015-07-14 20:00:00,37.03,37.06,36.6,36.9,2263242
2015-07-15 16:00:00,37.98,38.2,37.03,37.5,7769397
2015-07-15 20:00:00,37.5,37.6,37.2,37.5,3844358
2015-07-16 16:00:00,38.82,39.97,38.36,38.41,12844914
2015-07-16 20:00:00,38.41,38.71,38.08,38.68,5879269
2015-07-17 16:00:00,39.42,39.44,38.18,38.77,7891868
2015-07-17 20:00:00,38.76,40.2,38.47,38.62,10151189
2015-07-20 16:00:00,41.46,42.55,39.8,40.97,32975529
2015-07-20 20:00:00,40.97,41.2,40.25,40.48,13453975
2015-07-21 16:00:00,41.06,41.11,40.17,40.38,16672819
2015-07-21 20:00:00,40.38,40.4,39.12,39.35,10191345
2015-07-22 16:00:00,39.35,39.72,38.55,39.16,14052906
2015-07-22 20:00:00,39.16,39.25,38.1,38.38,9036675
2015-07-23 16:00:00,38.7,38.75,37.5,37.51,10124097
2015-07-23 20:00:00,37.51,37.71,36.93,37.01,7811975
2015-07-24 16:00:00,37.72,38.0,37.25,37.27,6543358
2015-07-24 20:00:00,37.27,37.39,36.91,37.02,5555650
2015-07-27 16:00:00,36.77,37.38,36.24,36.68,7506397
2015-07-27 20:00:00,36.66,36.91,36.22,36.4,6744061
2015-07-28 16:00:00,37.19,37.56,36.83,37.56,8699576
2015-07-28 20:00:00,37.55,38.01,37.37,37.61,8894461
2015-07-29 16:00:00,37.96,38.1,37.62,37.91,6304073
2015-07-29 20:00:00,37.91,38.1,37.85,37.94,4719493
2015-07-30 16:00:00,38.04,39.01,37.71,39.01,7758029
2015-07-30 20:00:00,39.01,39.01,38.33,38.46,5272590
2015-07-31 16:00:00,39.14,39.2,38.22,38.51,6312912
2015-07-31 20:00:00,38.51,38.9,38.44,38.73,4749711
2015-08-03 16:00:00,39.25,39.89,38.95,39.45,8081458
2015-08-03 20:00:00,39.45,39.6,38.9,39.4,6158067
2015-08-04 16:00:00,39.86,39.91,38.43,38.72,5256275
2015-08-04 20:00:00,38.72,39.22,38.54,38.97,4427866
2015-08-05 16:00:00,39.7,39.88,39.17,39.45,5340833
2015-08-05 20:00:00,39.45,39.56,39.27,39.27,2910964
2015-08-06 16:00:00,39.63,39.74,38.55,38.91,3757826
2015-08-06 20:00:00,38.91,39.05,38.68,38.85,2850705
2015-08-07 16:00:00,39.04,39.14,38.66,38.69,3874306
2015-08-07 20:00:00,38.69,39.23,38.6,39.17,3872071
2015-08-10 16:00:00,39.43,39.69,38.86,39.01,4312677
2015-08-10 20:00:00,39.01,39.1,38.77,39.05,3104267
2015-08-11 16:00:00,38.93,39.28,38.72,39.14,3386600
2015-08-11 20:00:00,39.13,39.15,38.82,38.86,3552343
2015-08-12 16:00:00,38.55,38.58,37.01,37.92,9031525
2015-08-12 20:00:00,37.91,38.49,37.85,38.22,11068960
2015-08-13 16:00:00,38.4,38.49,37.65,37.71,3791635
2015-08-13 20:00:00,37.71,37.99,37.44,37.62,3560109
2015-08-14 16:00:00,37.49,38.14,37.38,37.81,3632735
2015-08-14 20:00:00,37.81,38.19,37.75,38.15,2115292
2015-08-17 16:00:00,38.3,38.59,37.7,38.31,2518877
