datetime,open,high,low,close,volume
1998-01-02 16:00:00,37.38,37.51,37.06,37.19,31200
1998-01-02 20:00:00,37.19,37.31,37.06,37.25,76200
1998-01-05 16:00:00,37.25,37.75,37.12,37.75,60500
1998-01-05 20:00:00,37.69,37.69,37.44,37.5,21100
1998-01-06 16:00:00,37.31,37.38,37.19,37.19,23200
1998-01-06 20:00:00,37.19,37.5,37.19,37.25,20000
1998-01-07 16:00:00,37.38,37.38,36.0,36.25,86300
1998-01-07 20:00:00,36.25,37.0,36.25,37.0,108700
1998-01-08 16:00:00,37.13,37.25,36.56,36.63,50200
1998-01-08 20:00:00,36.69,36.88,36.37,36.88,139600
1998-01-09 16:00:00,36.94,36.94,35.0,35.63,218600
1998-01-09 20:00:00,35.75,36.0,35.63,36.0,61200
1998-01-12 16:00:00,35.25,35.63,34.75,35.63,261700
1998-01-12 20:00:00,35.69,36.38,35.69,36.19,157700
1998-01-13 16:00:00,36.69,37.01,36.5,36.62,100200
1998-01-13 20:00:00,36.63,36.69,36.37,36.44,86300
1998-01-14 16:00:00,36.69,37.63,36.69,37.63,168800
1998-01-14 20:00:00,37.69,38.13,37.5,38.13,206200
1998-01-15 16:00:00,38.25,38.63,38.06,38.63,139900
1998-01-15 20:00:00,38.63,38.81,37.75,37.75,134600
1998-01-16 16:00:00,37.75,37.75,37.44,37.63,385400
1998-01-16 20:00:00,37.63,37.63,37.5,37.5,40400
1998-01-20 16:00:00,37.56,37.63,37.38,37.63,159200
1998-01-20 20:00:00,37.56,37.63,37.56,37.63,52900
1998-01-21 16:00:00,37.56,37.56,36.75,36.75,100800
1998-01-21 20:00:00,36.75,37.01,36.56,36.88,72200
1998-01-22 16:00:00,36.63,36.69,36.5,36.56,18000
1998-01-22 20:00:00,36.56,36.75,36.38,36.63,39700
1998-01-23 16:00:00,36.63,37.0,36.5,36.88,217700
1998-01-23 20:00:00,36.88,36.88,36.31,36.38,160200
1998-01-26 16:00:00,36.31,36.5,35.25,35.88,64300
1998-01-26 20:00:00,36.0,36.13,35.81,36.06,24600
1998-01-27 16:00:00,36.25,36.44,36.0,36.44,28900
1998-01-27 20:00:00,36.5,36.87,36.37,36.5,142200
1998-01-28 16:00:00,36.44,36.56,36.38,36.5,23500
1998-01-28 20:00:00,36.56,36.88,36.38,36.88,26900
1998-01-29 16:00:00,37.0,37.69,37.0,37.63,127700
1998-01-29 20:00:00,37.69,37.69,36.75,37.0,98600
1998-01-30 16:00:00,37.06,37.38,36.88,37.19,42700
1998-01-30 20:00:00,37.13,37.38,36.94,36.94,64800
1998-02-02 16:00:00,36.69,38.12,36.69,38.12,99000
1998-02-02 20:00:00,38.0,38.69,37.94,38.69,84800
1998-02-03 16:00:00,38.56,38.88,38.38,38.69,31500
1998-02-03 20:00:00,38.69,38.81,38.25,38.63,26000
1998-02-04 16:00:00,38.56,39.13,38.56,38.81,60500
1998-02-04 20:00:00,38.75,39.0,38.75,38.88,22500
1998-02-05 16:00:00,38.75,39.44,38.5,38.63,28100
1998-02-05 20:00:00,38.63,39.06,38.62,38.69,24400
1998-02-06 16:00:00,38.88,39.44,38.5,39.44,44400
1998-02-06 20:00:00,39.38,39.56,39.19,39.56,51000
1998-02-09 16:00:00,39.25,39.63,38.63,38.75,37300
1998-02-09 20:00:00,38.81,39.44,38.75,39.25,45400
1998-02-10 16:00:00,39.5,40.5,39.5,40.38,68200
1998-02-10 20:00:00,40.25,40.56,40.25,40.25,15000
1998-02-11 16:00:00,40.25,40.5,40.13,40.25,61800
1998-02-11 20:00:00,40.19,40.69,40.13,40.56,58000
1998-02-12 16:00:00,40.5,40.5,39.5,39.88,126200
1998-02-12 20:00:00,39.94,40.25,39.88,40.0,74100
1998-02-13 16:00:00,40.0,40.69,40.0,40.63,132301
1998-02-13 20:00:00,40.5,40.76,40.25,40.44,22800
1998-02-17 16:00:00,40.44,40.5,40.06,40.31,55900
1998-02-17 20:00:00,40.19,40.31,40.19,40.25,70200
1998-02-18 16:00:00,40.13,40.88,40.13,40.88,129400
1998-02-18 20:00:00,40.88,40.88,40.69,40.69,15400
1998-02-19 16:00:00,40.44,40.56,40.0,40.13,42100
1998-02-19 20:00:00,40.25,40.31,40.13,40.19,42000
1998-02-20 16:00:00,40.13,40.25,39.69,39.81,32500
1998-02-20 20:00:00,39.88,40.19,39.69,40.19,49500
1998-02-23 16:00:00,40.25,40.94,40.25,40.94,83800
1998-02-23 20:00:00,40.88,40.94,40.38,40.56,65401
