datetime,open,high,low,close,volume
1998-01-02 16:00:00,63.25,63.25,61.75,62.38,183500
1998-01-02 20:00:00,62.13,62.5,62.12,62.13,76900
1998-01-05 16:00:00,62.25,63.5,62.0,63.0,76600
1998-01-05 20:00:00,63.0,63.63,63.0,63.37,127400
1998-01-06 16:00:00,63.25,63.26,62.37,62.56,19200
1998-01-06 20:00:00,62.59,62.69,62.37,62.5,176400
1998-01-07 16:00:00,62.88,62.88,61.25,61.25,260400
1998-01-07 20:00:00,61.38,61.63,61.13,61.63,116600
1998-01-08 16:00:00,61.13,61.5,60.0,60.5,88300
1998-01-08 20:00:00,60.5,60.63,59.38,59.75,81700
1998-01-09 16:00:00,60.0,60.13,57.25,57.25,173400
1998-01-09 20:00:00,57.75,57.76,54.75,54.88,185900
1998-01-12 16:00:00,50.5,55.0,50.25,53.25,593815
1998-01-12 20:00:00,53.25,54.25,53.12,53.87,120200
1998-01-13 16:00:00,55.38,58.38,55.0,57.5,146600
1998-01-13 20:00:00,57.5,57.63,56.5,57.5,70300
1998-01-14 16:00:00,57.63,58.63,56.75,58.25,121600
1998-01-14 20:00:00,58.25,59.38,57.88,58.88,185700
1998-01-15 16:00:00,58.5,59.38,57.37,57.69,165800
1998-01-15 20:00:00,57.63,57.76,56.75,56.87,217500
1998-01-16 16:00:00,57.38,58.76,56.0,57.25,284800
1998-01-16 20:00:00,57.88,58.25,57.75,58.25,86500
1998-01-20 16:00:00,58.25,59.88,57.87,59.38,139701
1998-01-20 20:00:00,59.38,60.0,58.75,59.75,93000
1998-01-21 16:00:00,59.63,60.51,58.12,58.44,216300
1998-01-21 20:00:00,58.44,59.5,58.37,58.62,85100
1998-01-22 16:00:00,58.0,58.0,56.87,57.06,172500
1998-01-22 20:00:00,57.13,57.63,55.5,55.5,242900
1998-01-23 16:00:00,56.38,56.5,52.12,54.25,255500
1998-01-23 20:00:00,53.94,54.75,53.88,54.75,53300
1998-01-26 16:00:00,55.25,55.25,54.13,54.31,56500
1998-01-26 20:00:00,54.31,55.0,54.12,54.25,59900
1998-01-27 16:00:00,54.0,55.25,54.0,55.13,83000
1998-01-27 20:00:00,55.13,55.22,54.0,54.88,72200
1998-01-28 16:00:00,55.25,57.88,54.75,56.5,330800
1998-01-28 20:00:00,56.19,57.01,55.0,56.88,227800
1998-01-29 16:00:00,57.0,58.76,56.5,58.75,256200
1998-01-29 20:00:00,58.5,60.0,58.31,58.88,284100
1998-01-30 16:00:00,59.44,61.31,58.63,60.94,346703
1998-01-30 20:00:00,61.13,66.25,60.88,64.75,373304
1998-02-02 16:00:00,66.13,66.75,63.88,64.0,305800
