datetime,open,high,low,close,volume
1999-04-26,29.56,29.56,29.31,29.31,19300
1999-04-27,29.44,29.44,29.0,29.06,13400
1999-04-28,29.0,29.0,28.44,28.44,52600
1999-04-29,28.56,28.56,27.88,27.94,51700
1999-04-30,28.0,28.75,27.81,27.81,37200
1999-05-03,27.94,27.94,26.5,26.5,60700
1999-05-04,26.63,28.19,26.63,28.19,218300
1999-05-05,28.13,28.13,27.81,27.94,88600
1999-05-06,28.0,28.75,28.0,28.69,55300
1999-05-07,28.63,28.63,28.25,28.44,78600
1999-05-10,28.0,28.13,27.07,27.31,126500
1999-05-11,27.13,28.31,26.88,28.31,89000
1999-05-12,28.25,29.75,28.12,29.06,2631800
1999-05-13,29.0,29.51,28.88,29.06,239100
1999-05-14,28.63,28.75,27.0,28.38,150400
1999-05-17,28.5,28.5,28.0,28.19,65300
1999-05-18,29.0,29.0,28.38,28.5,47300
1999-05-19,28.56,29.0,28.56,28.69,29000
1999-05-20,29.0,29.44,28.63,29.25,155400
1999-05-21,29.38,29.56,28.62,29.0,125400
1999-05-24,29.13,29.13,28.75,28.81,105600
1999-05-25,28.75,28.75,28.0,28.38,64300
1999-05-26,28.38,28.38,27.44,27.94,194000
1999-05-27,28.0,28.0,27.13,27.56,58900
1999-05-28,27.5,27.81,27.38,27.81,16000
1999-06-01,27.69,29.0,27.69,28.81,37900
1999-06-02,28.88,29.51,28.75,29.25,120000
1999-06-03,29.31,30.0,29.0,29.5,81000
1999-06-04,29.44,29.75,29.25,29.38,231700
1999-06-07,29.75,29.75,29.5,29.56,16700
1999-06-08,29.56,29.63,29.5,29.56,22100
1999-06-09,29.56,29.87,29.5,29.75,23500
1999-06-10,29.63,29.69,29.5,29.69,16400
1999-06-11,29.69,29.94,29.5,29.63,51100
1999-06-14,29.63,29.63,28.88,28.94,17200
1999-06-15,28.88,29.19,28.87,28.94,28500
1999-06-16,28.75,28.75,27.56,27.88,71000
1999-06-17,27.63,27.63,27.13,27.19,70200
1999-06-18,27.13,27.13,26.82,26.88,58900
1999-06-21,26.88,27.13,26.63,27.06,37600
1999-06-22,27.13,27.25,26.88,27.25,50900
1999-06-23,27.25,27.25,26.81,27.0,140600
1999-06-24,27.0,27.0,25.81,26.0,82800
1999-06-25,25.94,26.44,25.63,25.75,83000
1999-06-28,25.75,25.88,25.37,25.69,127000
1999-06-29,25.56,26.19,25.56,26.19,90100
1999-06-30,26.19,28.63,26.13,28.63,47000
1999-07-01,28.63,29.38,27.88,29.38,86100
1999-07-02,29.63,30.76,29.5,30.56,64500
1999-07-06,30.88,32.26,30.88,31.75,172300
1999-07-07,31.75,32.38,31.63,32.0,66000
1999-07-08,31.88,31.88,30.94,31.25,68200
