datetime,open,high,low,close,volume
2012-08-13 19:50:00,1.01,1.01,1.01,1.01,500
2012-08-13 20:00:00,1.01,1.01,1.01,1.01,1300
2012-08-14 21:40:00,1.28,1.28,1.28,1.28,2500
2012-08-15 18:40:00,1.01,1.01,1.01,1.01,1000
2012-08-17 22:30:00,0.75,0.75,0.75,0.75,2500
2012-08-17 22:40:00,1.0,1.0,1.0,1.0,100
2012-09-27 19:10:00,1.01,1.01,1.01,1.01,100
2012-12-17 17:10:00,1.01,1.01,1.01,1.01,100
2014-03-27 18:20:00,1.01,1.01,1.01,1.01,320
2014-03-28 16:30:00,0.25,0.25,0.25,0.25,320
2019-06-12 18:20:00,63.5,64.94,63.25,63.45,3281522
2019-06-12 18:30:00,63.49,67.0,62.77,63.36,2524229
2019-06-12 18:40:00,63.36,63.43,59.0,60.1,1860430
2019-06-12 18:50:00,64.45,64.45,57.0,57.0,1554264
2019-06-12 19:00:00,57.01,57.98,56.0,57.4,975532
2019-06-12 19:10:00,57.43,58.75,56.25,58.21,635310
2019-06-12 19:20:00,58.4,61.0,58.0,60.63,550922
2019-06-12 19:30:00,60.74,61.78,59.5,60.41,543069
2019-06-12 19:40:00,60.34,60.99,59.12,59.98,306800
2019-06-12 19:50:00,59.95,61.25,59.12,61.25,209458
2019-06-12 20:00:00,61.25,61.32,59.41,60.72,191857
2019-06-12 20:10:00,60.74,62.25,60.51,62.22,385755
2019-06-12 20:20:00,62.3,63.5,61.52,62.55,468508
2019-06-12 20:30:00,62.66,63.0,61.1,61.41,235789
2019-06-12 20:40:00,61.39,61.88,60.0,60.73,219974
2019-06-12 20:50:00,60.75,61.5,60.18,61.26,218104
2019-06-12 21:00:00,61.26,62.44,60.8,61.98,205884
2019-06-12 21:10:00,61.97,62.43,61.27,62.25,187988
2019-06-12 21:20:00,62.25,62.35,61.1,61.41,208123
2019-06-12 21:30:00,61.4,61.49,60.5,60.81,205054
2019-06-12 21:40:00,60.78,61.06,60.24,60.92,120332
2019-06-12 21:50:00,60.9,61.65,60.6,61.14,114208
2019-06-12 22:00:00,61.16,61.16,60.07,60.3,220545
2019-06-12 22:10:00,60.3,60.7,59.07,59.35,254591
2019-06-12 22:20:00,59.47,59.59,58.35,58.92,367470
2019-06-12 22:30:00,58.91,59.35,57.5,57.94,402545
2019-06-12 22:40:00,57.89,58.75,57.0,57.17,378376
2019-06-12 22:50:00,57.17,58.4,57.0,58.2,849702
2019-06-13 16:30:00,63.86,65.94,62.65,65.26,1477351
2019-06-13 16:40:00,65.33,66.8,63.69,65.32,946001
2019-06-13 16:50:00,65.26,65.39,62.88,64.34,483802
2019-06-13 17:00:00,64.4,65.33,62.8,64.89,364627
2019-06-13 17:10:00,64.74,65.25,64.12,64.34,163848
2019-06-13 17:20:00,64.5,64.7,63.11,63.88,209511
2019-06-13 17:30:00,63.89,64.26,62.76,63.83,191932
2019-06-13 17:40:00,63.99,64.18,63.28,63.75,116895
