datetime,open,high,low,close,volume
2021-06-07 16:30:00,385.47,386.45,384.03,384.43,138650
2021-06-07 16:45:00,384.48,384.83,384.11,384.11,38539
2021-06-07 17:00:00,384.11,384.31,382.87,382.94,39189
2021-06-07 17:15:00,382.96,382.96,381.8,382.11,50130
2021-06-07 17:30:00,382.0,382.19,381.43,381.62,32362
2021-06-07 17:45:00,381.64,382.13,381.45,381.62,36956
2021-06-07 18:00:00,381.65,381.8,381.26,381.4,38251
2021-06-07 18:15:00,381.46,381.56,381.05,381.09,32734
2021-06-07 18:30:00,381.09,381.19,380.87,380.97,35907
2021-06-07 18:45:00,380.96,381.08,379.54,379.56,76150
2021-06-07 19:00:00,379.65,380.36,379.49,380.07,44424
2021-06-07 19:15:00,380.01,380.23,379.87,380.2,29397
2021-06-07 19:30:00,380.23,380.27,379.82,380.14,30230
2021-06-07 19:45:00,380.1,380.31,379.8,379.83,26496
2021-06-07 20:00:00,379.89,380.18,379.75,379.85,19529
2021-06-07 20:15:00,379.88,380.05,379.21,379.36,32829
2021-06-07 20:30:00,379.43,379.63,379.25,379.31,22669
2021-06-07 20:45:00,379.28,379.4,379.18,379.19,26244
2021-06-07 21:00:00,379.28,379.51,379.1,379.35,23352
2021-06-07 21:15:00,379.37,379.51,379.06,379.15,30543
2021-06-07 21:30:00,379.08,379.34,378.9,378.92,61594
2021-06-07 21:45:00,378.92,379.14,378.57,378.63,56147
2021-06-07 22:00:00,378.65,379.21,378.64,379.12,55823
2021-06-07 22:15:00,379.1,379.3,378.9,379.17,43214
2021-06-07 22:30:00,379.21,379.75,379.08,379.63,61421
2021-06-07 22:45:00,379.65,380.89,379.62,380.38,203552
2021-06-07 23:00:00,380.41,380.42,380.27,380.4,310280
2021-06-08 16:30:00,380.41,381.21,379.81,380.47,74342
2021-06-08 16:45:00,380.1,380.8,379.79,379.8,38150
2021-06-08 17:00:00,379.73,379.95,378.68,378.8,24858
2021-06-08 17:15:00,378.8,378.99,378.57,378.87,19552
2021-06-08 17:30:00,378.78,379.73,378.75,379.49,23884
2021-06-08 17:45:00,379.44,379.61,379.1,379.22,15451
2021-06-08 18:00:00,379.18,379.63,378.9,378.95,15317
2021-06-08 18:15:00,378.97,379.0,377.77,378.06,25854
2021-06-08 18:30:00,377.97,378.65,377.69,378.65,17886
2021-06-08 18:45:00,378.69,378.8,378.23,378.38,20067
2021-06-08 19:00:00,378.57,379.3,378.54,379.26,12293
2021-06-08 19:15:00,379.21,379.79,379.02,379.71,19933
2021-06-08 19:30:00,379.66,380.06,379.63,379.97,16435
2021-06-08 19:45:00,379.85,380.32,379.5,379.7,15260
2021-06-08 20:00:00,379.63,380.14,379.49,379.99,20478
2021-06-08 20:15:00,380.0,380.07,379.52,379.62,14078
2021-06-08 20:30:00,379.62,380.17,379.51,380.03,17200
2021-06-08 20:45:00,380.02,380.05,379.61,379.74,8861
